timestamps,open,high,low,close,volume,amount
2021-05-28,128.52,128.52,126.9,126.99,1223225.0,155337342.75
2021-06-01,126.12,127.67,124.32,125.75,1274796.0,160305597.0
2021-06-02,125.84,126.53,123.91,124.53,1812117.0,225662930.01
2021-06-03,123.04,125.27,122.035,123.94,1331165.0,164984590.1
2021-06-04,124.81,127.07,124.665,126.75,1005057.0,127390974.75
2021-06-07,125.89,126.69,124.27,124.93,1097258.0,137080441.94
2021-06-08,126.26,127.4,124.995,125.22,1488264.0,186360418.08
2021-06-09,126.13,126.95,124.7811,125.19,1469616.0,183981227.04
2021-06-10,124.99,128.6,124.51,128.51,2145781.0,275754316.31
2021-06-11,127.94,129.35,127.94,129.28,1032508.0,133482634.24
2021-06-14,129.66,131.01,128.9517,130.96,1055149.0,138182313.04000002
2021-06-15,130.76,131.22,129.05,129.46,1042540.0,134967228.4
2021-06-16,129.24,130.43,126.73,128.2,1128469.0,144669725.79999998
2021-06-17,127.03,131.49,127.03,130.91,1346148.0,176224234.68
2021-06-18,130.55,131.8785,129.875,130.47,2661742.0,347277478.74
2021-06-21,130.93,132.775,128.92,132.13,1677606.0,221662080.78
2021-06-22,131.97,134.15,131.31,134.04,1251206.0,167711652.23999998
2021-06-23,133.97,134.955,132.87,133.0,1537070.0,204430310.0
2021-06-24,134.35,135.6,134.01,135.02,1235822.0,166860686.44000003
2021-06-25,135.7,136.66,134.2,134.76,2070705.0,279048205.79999995
2021-06-28,135.78,137.23,135.53,137.1,1245148.0,170709790.79999998
2021-06-29,136.9678,138.525,134.84,138.35,916684.0,126823231.4
2021-06-30,138.0,138.765,136.47,136.82,2140889.0,292916432.97999996
2021-07-01,136.04,137.0,135.04,136.93,1018412.0,139451155.16
2021-07-02,137.48,138.44,137.32,137.94,715238.0,98659929.72
2021-07-06,138.33,139.01,136.94,138.67,1118251.0,155067866.17
2021-07-07,139.77,140.545,137.6,139.1,1336187.0,185863611.7
2021-07-08,137.16,137.89,135.35,137.31,1238375.0,170041271.25
