timestamps,open,high,low,close,volume,amount
2021-05-28,53.11,53.33,52.42,52.87,1320340.0,69806375.8
2021-06-01,53.11,53.5,52.5,53.5,1606175.0,85930362.5
2021-06-02,53.71,54.43,53.42,54.41,2277972.0,123944456.52
2021-06-03,57.95,59.5,57.95,58.38,5849857.0,341514651.66
2021-06-04,58.74,60.63,58.58,60.01,3193446.0,191638694.46
2021-06-07,60.0,60.81,59.8,60.77,1905678.0,115808052.06
2021-06-08,60.88,61.09,60.27,60.47,1261022.0,76254000.34
2021-06-09,60.5,60.98,60.04,60.08,1612667.0,96889033.36
2021-06-10,60.46,60.46,58.83,59.01,1548253.0,91362409.53
2021-06-11,59.16,59.31,58.4,58.89,1202028.0,70787428.92
2021-06-14,58.74,58.82,57.72,58.2,1213538.0,70627911.60000001
2021-06-15,57.95,58.165,57.33,57.63,1189655.0,68559817.65
2021-06-16,57.61,57.78,57.0,57.54,1631080.0,93852343.2
2021-06-17,57.26,57.83,56.6,56.82,1201549.0,68272014.18
2021-06-18,56.39,56.58,55.48,56.15,2395540.0,134509571.0
2021-06-21,56.16,57.365,55.97,57.11,1272839.0,72691835.29
2021-06-22,57.04,57.97,56.92,57.71,1783755.0,102940501.05
2021-06-23,57.62,57.91,57.18,57.18,1033443.0,59092270.74
2021-06-24,57.8,58.06,57.04,57.65,1120523.0,64598150.95
2021-06-25,57.81,58.475,57.72,58.14,1859728.0,108124585.92
2021-06-28,58.15,58.38,57.39,57.53,915905.0,52692014.65
2021-06-29,57.67,57.74,56.91,57.32,641117.0,36748826.44
2021-06-30,57.25,57.4,56.56,56.89,1117899.0,63597274.11
2021-07-01,57.13,58.44,57.13,57.8,1377421.0,79614933.8
2021-07-02,57.95,58.13,57.5,57.92,655865.0,37987700.8
2021-07-06,58.27,58.38,57.16,57.73,857033.0,49476515.09
2021-07-07,57.82,58.02,56.2216,56.8,1084013.0,61571938.4
2021-07-08,55.98,57.19,55.44,56.48,894480.0,50520230.4
2021-07-09,56.88,57.78,56.88,57.66,942479.0,54343339.13999999
2021-07-12,57.88,57.9581,56.44,56.76,1007112.0,57163677.12
2021-07-13,57.05,57.23,56.4765,56.86,958333.0,54490814.38
2021-07-14,57.1,57.4925,56.77,56.96,669416.0,38129935.36
2021-07-15,56.7,57.0,56.11,56.49,645350.0,36455821.5
2021-07-16,56.51,56.7,54.99,55.05,1500337.0,82593551.85
2021-07-19,54.155,54.46,53.66,54.15,1709440.0,92566176.0
2021-07-20,54.5,54.88,54.05,54.54,1427983.0,77882192.82
