timestamps,open,high,low,close,volume,amount
2021-08-30,10.21,10.6,10.0,10.39,368605.0,3829805.95
2021-08-31,10.9,11.1,10.61,10.77,359673.0,3873678.21
2021-09-01,10.84,10.95,10.22,10.4,392004.0,4076841.6
2021-09-02,10.5,11.58,10.5,11.03,511520.0,5642065.6
2021-09-03,11.14,11.56,10.95,11.49,265562.0,3051307.38
2021-09-07,11.95,12.24,11.37,11.75,331026.0,3889555.5
2021-09-08,11.6,12.24,11.33,12.17,429579.0,5227976.43
2021-09-09,12.2,13.41,12.2,13.07,459109.0,6000554.63
2021-09-10,13.1,13.33,12.5,13.2,754135.0,9954582.0
2021-09-13,13.38,13.4,13.06,13.28,164116.0,2179460.48
2021-09-14,13.49,13.5,12.54,12.55,116341.0,1460079.55
2021-09-15,12.75,13.29,12.65,12.98,216106.0,2805055.88
2021-09-16,13.04,14.99,13.04,14.52,454509.0,6599470.68
2021-09-17,15.06,15.3899,13.56,13.56,378459.0,5131904.04
2021-09-20,12.99,13.15,11.47,12.31,286025.0,3520967.75
2021-09-21,12.28,13.09,12.02,12.31,100604.0,1238435.24
2021-09-22,13.19,13.19,12.05,12.13,242965.0,2947165.45
2021-09-23,12.25,12.44,11.12,11.23,243571.0,2735302.33
2021-09-24,10.99,11.48,10.9,11.25,257084.0,2892195.0
2021-09-27,11.03,11.0977,10.15,10.19,252265.0,2570580.35
2021-09-28,10.19,10.3922,9.81,10.33,161031.0,1663450.23
2021-09-29,10.42,11.34,10.3522,11.2,170504.0,1909644.8
2021-09-30,11.31,11.83,10.1,10.34,274074.0,2833925.16
2021-10-01,10.81,10.99,9.72,9.74,318403.0,3101245.22
2021-10-04,9.86,9.86,8.66,9.67,319256.0,3087205.52
2021-10-05,9.67,10.67,9.52,10.26,209269.0,2147099.94
2021-10-06,10.47,10.9499,9.62,9.86,288585.0,2845448.0999999996
2021-10-07,9.98,10.15,8.7801,8.91,469051.0,4179244.41
2021-10-08,9.07,9.07,7.69,7.89,921994.0,7274532.66
2021-10-11,7.19,7.19,6.12,6.14,6792016.0,41702978.239999995
2021-10-12,6.33,6.4429,5.32,5.41,3444720.0,18635935.2
2021-10-13,5.545,5.78,5.13,5.53,3360044.0,18581043.32
2021-10-14,5.78,6.15,5.56,6.07,3033242.0,18411778.94
2021-10-15,6.4,7.36,6.17,6.99,8891835.0,62153926.65
2021-10-18,6.78,8.1,6.5,7.9,6855930.0,54161847.0
2021-10-19,8.1097,8.49,7.121,7.45,4178917.0,31132931.65
2021-10-20,7.5,9.52,7.46,8.73,7376299.0,64395090.27
2021-10-21,8.62,8.78,8.05,8.31,1764102.0,14659687.62
2021-10-22,8.18,8.26,7.65,8.0,1503007.0,12024056.0
2021-10-25,7.97,9.0,7.95,8.92,1459430.0,13018115.6
2021-10-26,9.25,9.25,8.14,8.76,1017325.0,8911767.0
2021-10-27,8.45,8.6,7.8,7.9,1174215.0,9276298.5
2021-10-28,8.25,8.34,7.58,7.69,820706.0,6311229.140000001
2021-10-29,7.86,7.95,7.43,7.86,1090043.0,8567737.98
2021-11-01,7.9,9.98,7.7105,9.85,7619167.0,75048794.95
2021-11-02,8.7,9.09,8.19,8.99,2168262.0,19492675.38
2021-11-03,8.71,9.0,8.32,8.93,989508.0,8836306.44
2021-11-04,9.1,9.24,8.3906,8.51,1089604.0,9272530.04
2021-11-05,8.66,8.95,8.47,8.87,713733.0,6330811.709999999
2021-11-08,9.34,9.48,8.88,9.28,1392664.0,12923921.92
2021-11-09,9.49,9.69,8.91,9.31,775894.0,7223573.140000001
2021-11-10,9.43,9.4499,8.582,8.74,763815.0,6675743.100000001
2021-11-11,8.76,8.96,8.13,8.17,970099.0,7925708.83
2021-11-12,8.2,8.52,7.7,8.42,906942.0,7636451.64
2021-11-15,8.85,8.87,8.31,8.68,811342.0,7042448.56
2021-11-16,8.49,8.49,8.17,8.28,967528.0,8011131.839999999
2021-11-17,8.22,8.34,7.8,8.15,649100.0,5290165.0
2021-11-18,8.15,8.19,7.59,7.78,718835.0,5592536.3
2021-11-19,7.825,8.7,7.69,8.23,949165.0,7811627.95
2021-11-22,8.27,8.4839,8.0,8.29,746644.0,6189678.76
2021-11-23,8.16,8.32,7.83,8.01,574948.0,4605333.4799999995
2021-11-24,8.05,8.05,7.585,7.8,464997.0,3626976.6
2021-11-26,7.71,7.85,7.22,7.5,534148.0,4006110.0
2021-11-29,7.89,7.9,7.52,7.6,539603.0,4100982.8
2021-11-30,7.54,7.99,7.18,7.89,1848718.0,14586385.02
2021-12-01,7.95,7.98,7.4,7.69,602290.0,4631610.100000001
2021-12-02,7.6,7.9,7.26,7.59,469159.0,3560916.81
2021-12-03,7.7,7.7,6.91,7.24,623712.0,4515674.88
2021-12-06,6.88,7.0,6.21,6.34,1144110.0,7253657.399999999
2021-12-07,6.53,6.74,6.28,6.29,692287.0,4354485.23
2021-12-08,6.32,6.63,6.13,6.52,957074.0,6240122.4799999995
2021-12-09,6.55,6.65,5.85,5.93,589383.0,3495041.19
2021-12-10,6.02,6.05,5.43,5.49,815703.0,4478209.47
2021-12-13,5.7027,5.739,4.93,5.01,690287.0,3458337.8699999996
2021-12-14,5.01,5.12,4.57,4.78,744470.0,3558566.6
2021-12-15,5.0115,5.2434,4.9,5.16,1153453.0,5951817.48
2021-12-16,5.23,5.62,4.97,4.97,682611.0,3392576.67
2021-12-17,5.08,5.13,4.52,4.59,3365364.0,15447020.76
2021-12-20,4.45,4.72,4.35,4.66,611029.0,2847395.14
2021-12-21,4.75,4.92,4.66,4.87,343700.0,1673819.0
2021-12-22,4.9,4.99,4.7053,4.98,322252.0,1604814.9600000002
2021-12-23,5.0,5.23,4.8501,5.21,553822.0,2885412.62
2021-12-27,5.26,5.39,4.96,4.98,529826.0,2638533.4800000004
2021-12-28,4.95,4.95,4.48,4.69,563571.0,2643147.99
2021-12-29,4.73,4.75,4.45,4.48,558535.0,2502236.8000000003
2021-12-30,4.48,4.75,4.48,4.62,755506.0,3490437.72
2021-12-31,4.675,4.89,4.6,4.63,345143.0,1598012.09
2022-01-03,4.62,4.715,4.45,4.61,326328.0,1504372.08
2022-01-04,4.6,4.69,4.33,4.43,549499.0,2434280.57
2022-01-05,4.43,4.5,3.96,4.09,625944.0,2560110.96
2022-01-06,4.03,4.5388,3.9,4.33,869837.0,3766394.21
2022-01-07,4.32,4.36,3.94,3.98,569834.0,2267939.32
2022-01-10,3.91,3.9599,3.7,3.79,617556.0,2340537.24
2022-01-11,3.71,3.86,3.58,3.73,960858.0,3584000.34
2022-01-12,3.96,3.96,3.63,3.69,867994.0,3202897.86
2022-01-13,3.74,3.74,3.39,3.4,683994.0,2325579.6
2022-01-14,3.41,3.46,3.25,3.37,533056.0,1796398.72
2022-01-18,3.31,3.54,3.3,3.34,625705.0,2089854.7
2022-01-19,3.36,3.43,3.055,3.08,481434.0,1482816.72
2022-01-20,3.16,3.44,3.13,3.25,608372.0,1977209.0
2022-01-21,3.09,3.13,2.73,2.77,1146438.0,3175633.26
2022-01-24,2.63,2.91,2.54,2.8,1116066.0,3124984.8
2022-01-25,2.84,2.89,2.6116,2.75,480728.0,1322002.0
2022-01-26,2.91,3.16,2.9,3.0,757750.0,2273250.0
2022-01-27,3.13,3.2199,2.72,2.75,547084.0,1504481.0
2022-01-28,2.75,2.885,2.63,2.78,568607.0,1580727.46
2022-01-31,2.765,3.07,2.765,3.04,757307.0,2302213.28
2022-02-01,3.21,3.21,2.9,3.04,827699.0,2516204.96
2022-02-02,3.07,3.19,2.8,2.85,570303.0,1625363.55
2022-02-03,2.81,2.84,2.61,2.63,452648.0,1190464.24
2022-02-04,2.69,2.89,2.62,2.77,986642.0,2732998.34
2022-02-07,2.91,3.15,2.84,2.9,960196.0,2784568.4
2022-02-08,2.89,2.915,2.79,2.87,504992.0,1449327.04
2022-02-09,2.97,3.23,2.88,3.23,1057789.0,3416658.47
2022-02-10,3.03,3.44,3.03,3.23,1033282.0,3337500.86
2022-02-11,3.21,3.329,3.04,3.13,773172.0,2420028.36
2022-02-14,3.14,3.25,2.99,3.07,458109.0,1406394.63
2022-02-15,3.16,3.26,3.13,3.25,437375.0,1421468.75
2022-02-16,3.15,3.2301,3.0099,3.19,829779.0,2646995.01
2022-02-17,3.15,3.24,2.99,3.08,461582.0,1421672.56
2022-02-18,3.06,3.06,2.8,2.81,519393.0,1459494.33
2022-02-22,2.8,2.8,2.59,2.62,601748.0,1576579.76
2022-02-23,2.68,2.69,2.54,2.55,434820.0,1108791.0
2022-02-24,2.35,2.845,2.33,2.83,520878.0,1474084.74
2022-02-25,2.91,2.93,2.73,2.89,509701.0,1473035.89
2022-02-28,2.9,3.13,2.87,3.05,447904.0,1366107.2
2022-03-01,3.16,3.3,3.0,3.02,471024.0,1422492.48
2022-03-02,3.03,3.03,2.86,2.92,335607.0,979972.44
2022-03-03,2.96,2.9651,2.63,2.64,554668.0,1464323.52
2022-03-04,2.73,3.1527,2.58,2.66,894014.0,2378077.24
2022-03-07,2.65,2.96,2.64,2.93,904735.0,2650873.5500000003
2022-03-08,2.98,3.02,2.78,2.96,479137.0,1418245.52
2022-03-09,3.21,3.25,3.03,3.2,821372.0,2628390.4000000004
2022-03-10,3.15,3.16,2.87,3.03,225074.0,681974.22
2022-03-11,3.06,3.08,2.87,2.89,196749.0,568604.61
2022-03-14,2.86,2.88,2.6,2.66,272577.0,725054.8200000001
2022-03-15,2.69,2.75,2.62,2.71,170859.0,463027.89
2022-03-16,2.74,2.96,2.72,2.96,543296.0,1608156.16
2022-03-17,2.96,3.11,2.87,3.11,539456.0,1677708.16
2022-03-18,3.08,3.44,3.0217,3.36,937643.0,3150480.48
2022-03-21,3.37,3.53,3.29,3.5,765450.0,2679075.0
2022-03-22,3.53,3.71,3.5,3.56,768343.0,2735301.08
2022-03-23,3.56,3.81,3.5487,3.66,438147.0,1603618.02
2022-03-24,3.68,3.89,3.52,3.71,567017.0,2103633.07
2022-03-25,3.72,3.8,3.57,3.62,422084.0,1527944.08
2022-03-28,3.73,3.88,3.61,3.85,505952.0,1947915.2
2022-03-29,3.88,3.94,3.745,3.76,239230.0,899504.7999999999
2022-03-30,3.75,3.89,3.65,3.67,262078.0,961826.26
2022-03-31,3.69,3.72,3.58,3.64,254222.0,925368.08
2022-04-01,3.65,3.7,3.51,3.62,303207.0,1097609.34
2022-04-04,3.65,3.78,3.61,3.71,321428.0,1192497.88
2022-04-05,3.7,3.71,3.51,3.68,308237.0,1134312.16
2022-04-06,3.62,3.62,3.43,3.54,275280.0,974491.2
2022-04-07,3.55,3.61,3.45,3.56,254347.0,905475.32
2022-04-08,3.55,3.55,3.43,3.46,179230.0,620135.8
2022-04-11,3.41,3.44,3.3,3.43,277748.0,952675.64
2022-04-12,3.48,3.56,3.405,3.47,232762.0,807684.14
2022-04-13,3.54,3.64,3.44,3.62,276733.0,1001773.46
2022-04-14,3.62,3.62,3.36,3.39,202390.0,686102.1
2022-04-18,3.33,3.35,3.25,3.29,288443.0,948977.47
2022-04-19,3.3,3.45,3.25,3.43,221089.0,758335.27
2022-04-20,3.45,3.45,3.24,3.33,163229.0,543552.5700000001
2022-04-21,3.38,3.42,3.18,3.22,179127.0,576788.9400000001
2022-04-22,3.2,3.29,3.175,3.22,289350.0,931707.0
2022-04-25,3.2,3.35,3.08,3.35,335985.0,1125549.75
2022-04-26,3.3,3.3,2.96,2.97,265544.0,788665.68
2022-04-27,2.92,3.02,2.882,2.97,450072.0,1336713.84
2022-04-28,2.95,3.08,2.84,3.02,392358.0,1184921.16
2022-04-29,2.97,3.12,2.97,3.03,272462.0,825559.86
2022-05-02,3.01,3.19,2.97,3.17,325934.0,1033210.78
2022-05-03,3.15,3.255,3.07,3.18,290962.0,925259.16
2022-05-04,3.16,3.32,2.96,3.27,326296.0,1066987.92
2022-05-05,3.15,3.23,2.85,2.92,270104.0,788703.6799999999
2022-05-06,2.9,3.03,2.75,2.93,382526.0,1120801.1800000002
2022-05-09,2.79,3.32,2.19,3.23,1331081.0,4299391.63
2022-05-10,2.48,2.7479,1.585,1.72,2002011.0,3443458.92
2022-05-11,1.59,1.78,1.55,1.63,673504.0,1097811.52
2022-05-12,1.64,1.69,1.29,1.66,968367.0,1607489.22
2022-05-13,1.71,1.99,1.71,1.94,640923.0,1243390.62
2022-05-16,1.94,1.955,1.75,1.75,374992.0,656236.0
2022-05-17,1.86,1.93,1.75,1.89,283775.0,536334.75
2022-05-18,1.83,2.01,1.81,1.82,266586.0,485186.52
2022-05-19,1.81,2.02,1.81,1.97,345065.0,679778.05
2022-05-20,1.97,2.09,1.9039,1.93,264782.0,511029.26
2022-05-23,2.02,2.03,1.86,1.97,222832.0,438979.04
2022-05-24,1.95,1.96,1.78,1.92,280078.0,537749.76
2022-05-25,1.88,2.04,1.8505,1.98,235576.0,466440.48
2022-05-26,1.99,2.16,1.92,2.14,283865.0,607471.1000000001
2022-05-27,2.18,2.29,2.132,2.26,254025.0,574096.5
2022-05-31,2.45,2.47,2.205,2.43,648678.0,1576287.54
2022-06-01,2.44,2.57,2.2,2.25,398194.0,895936.5
2022-06-02,2.23,2.55,2.2188,2.515,306883.0,771810.745
2022-06-03,2.46,2.47,2.25,2.3,285613.0,656909.8999999999
2022-06-06,2.38,2.415,2.04,2.05,340414.0,697848.7
2022-06-07,2.0,2.025,1.7,1.89,588422.0,1112117.5799999998
2022-06-08,1.85,1.985,1.85,1.91,188762.0,360535.42
2022-06-09,1.85,1.91,1.71,1.71,326892.0,558985.32
2022-06-10,1.67,1.76,1.64,1.64,161793.0,265340.51999999996
2022-06-13,1.6,1.6,1.46,1.48,369053.0,546198.44
2022-06-14,1.48,1.5395,1.48,1.5,243006.0,364509.0
2022-06-15,1.52,1.66,1.47,1.61,320379.0,515810.19
