timestamps,open,high,low,close,volume,amount
2021-05-28,8.75,8.75,8.55,8.62,303531.0,2616437.2199999997
2021-06-01,8.72,8.72,8.475,8.6,278580.0,2395788.0
2021-06-02,8.6,8.62,8.39,8.43,222710.0,1877445.3
2021-06-03,8.38,8.47,8.26,8.42,198995.0,1675537.9
2021-06-04,8.45,8.66,8.45,8.62,296015.0,2551649.3
2021-06-07,8.7,8.8,8.57,8.62,293269.0,2527978.78
2021-06-08,8.62,8.66,8.47,8.52,118023.0,1005555.96
2021-06-09,8.52,8.55,8.45,8.45,102437.0,865592.6499999999
2021-06-10,8.47,8.49,8.41,8.43,107487.0,906115.41
2021-06-11,8.48,8.5,8.3,8.31,127129.0,1056441.99
2021-06-14,8.29,8.29,8.13,8.15,328697.0,2678880.5500000003
2021-06-15,8.16,8.445,8.15,8.29,503617.0,4174984.93
2021-06-16,8.26,8.28,8.16,8.24,174075.0,1434378.0
2021-06-17,8.24,8.26,7.98,8.05,576640.0,4641952.0
2021-06-18,8.05,8.05,7.76,7.77,523463.0,4067307.51
2021-06-21,7.82,7.98,7.79,7.97,337504.0,2689906.88
2021-06-22,7.97,8.0,7.8009,7.9,297100.0,2347090.0
2021-06-23,7.86,7.95,7.79,7.8,205618.0,1603820.4
2021-06-24,7.88,7.93,7.8,7.9,161594.0,1276592.6
2021-06-25,7.93,8.11,7.92,8.1,268070.0,2171367.0
2021-06-28,8.14,8.14,8.02,8.09,350202.0,2833134.18
2021-06-29,8.07,8.14,7.95,8.01,398172.0,3189357.7199999997
2021-06-30,7.98,7.9823,7.765,7.85,447554.0,3513298.9
2021-07-01,7.9,8.12,7.85,8.08,253813.0,2050809.04
2021-07-02,8.11,8.17,7.98,8.07,364408.0,2940772.56
2021-07-06,8.07,8.07,7.75,7.81,542306.0,4235409.859999999
2021-07-07,7.8,7.835,7.52,7.62,406570.0,3098063.4
2021-07-08,7.5,7.63,7.44,7.53,255639.0,1924961.67
2021-07-09,7.63,7.8,7.6,7.72,260084.0,2007848.48
2021-07-12,7.66,7.76,7.62,7.74,214179.0,1657745.46
2021-07-13,7.69,7.755,7.63,7.68,234993.0,1804746.24
2021-07-14,7.7,7.81,7.575,7.61,363994.0,2769994.3400000003
2021-07-15,7.6,7.63,7.43,7.49,259247.0,1941760.03
2021-07-16,7.56,7.58,7.32,7.35,321824.0,2365406.4
2021-07-19,7.22,7.235,7.04,7.08,508726.0,3601780.08
2021-07-20,7.08,7.315,7.01,7.27,487317.0,3542794.59
2021-07-21,7.31,7.51,7.31,7.49,348519.0,2610407.31
2021-07-22,7.49,7.49,7.265,7.28,261106.0,1900851.68
2021-07-23,7.34,7.37,7.245,7.36,284668.0,2095156.48
2021-07-26,7.32,7.53,7.31,7.46,335408.0,2502143.68
2021-07-27,7.76,8.6882,7.76,8.6,1289642.0,11090921.2
2021-07-28,8.6,9.025,8.51,8.96,743204.0,6659107.840000001
2021-07-29,9.05,9.05,8.74,8.82,711524.0,6275641.680000001
2021-07-30,8.81,8.99,8.72,8.87,1512000.0,13411439.999999998
2021-08-02,9.0,9.09,8.88,8.92,382849.0,3415013.08
2021-08-03,9.01,9.155,8.8,9.09,412518.0,3749788.62
2021-08-04,9.02,9.14,8.7,8.71,407267.0,3547295.5700000003
2021-08-05,8.74,8.8,8.68,8.7,238461.0,2074610.6999999995
2021-08-06,8.74,8.79,8.66,8.77,199691.0,1751290.0699999998
2021-08-09,8.74,8.76,8.62,8.72,389687.0,3398070.64
2021-08-10,8.73,8.8373,8.71,8.77,172968.0,1516929.36
2021-08-11,8.79,8.79,8.64,8.75,467473.0,4090388.75
2021-08-12,8.7,8.81,8.665,8.79,492452.0,4328653.079999999
2021-08-13,8.73,8.8,8.71,8.73,161022.0,1405722.06
2021-08-16,8.67,8.77,8.63,8.69,193674.0,1683027.0599999998
2021-08-17,8.66,8.7,8.57,8.66,280290.0,2427311.4
2021-08-18,8.61,8.77,8.61,8.7,291532.0,2536328.4
2021-08-19,8.59,8.7,8.52,8.69,396933.0,3449347.77
2021-08-20,8.65,8.805,8.59,8.76,164037.0,1436964.12
2021-08-23,8.83,8.93,8.75,8.93,242995.0,2169945.35
2021-08-24,8.93,9.0966,8.92,9.09,178864.0,1625873.76
