timestamps,open,high,low,close,volume,amount
2021-05-28,57.68,57.86,57.215,57.34,13018034.0,746454069.5600001
2021-06-01,57.91,57.92,56.84,56.95,12070213.0,687398630.35
2021-06-02,57.03,57.03,56.23,56.69,13816517.0,783258348.73
2021-06-03,56.515,56.63,55.845,56.39,10671399.0,601760189.61
2021-06-04,56.66,57.21,56.43,57.0,11314937.0,644951409.0
2021-06-07,56.73,57.235,56.63,56.92,11099397.0,631777677.24
2021-06-08,56.79,56.935,56.13,56.43,14745602.0,832094320.86
2021-06-09,56.79,56.915,56.22,56.26,9211893.0,518261100.18
2021-06-10,56.46,57.04,56.35,56.6,12373351.0,700331666.6
2021-06-11,56.5522,56.89,56.42,56.88,9679129.0,550548857.52
2021-06-14,56.78,57.29,56.255,57.28,12473862.0,714502815.36
2021-06-15,57.265,57.77,57.215,57.32,12092845.0,693161875.4
2021-06-16,57.67,58.1,56.84,57.12,14943165.0,853553584.8
2021-06-17,56.98,57.87,56.75,57.52,15549381.0,894400395.12
2021-06-18,57.25,57.48,56.44,56.71,26722742.0,1515446698.82
2021-06-21,56.98,57.4,56.86,57.28,12966116.0,742699124.48
2021-06-22,57.46,57.805,57.285,57.63,14324529.0,825522606.27
2021-06-23,57.47,57.8,54.91,55.48,33501672.0,1858672762.56
2021-06-24,55.7,56.305,55.6,56.06,20521530.0,1150436971.8
2021-06-25,55.9603,56.6,55.9,56.42,17280784.0,974981833.28
2021-06-28,56.63,56.69,55.82,56.1,13483950.0,756449595.0
2021-06-29,56.17,57.03,56.17,56.54,12496374.0,706544985.96
2021-06-30,56.53,57.14,56.38,57.02,12985109.0,740410915.1800001
2021-07-01,57.07,57.99,57.02,57.75,10034075.0,579467831.25
2021-07-02,58.0,58.53,57.83,58.42,10668607.0,623260020.94
2021-07-06,57.99,58.27,56.93,57.66,12866557.0,741885676.62
2021-07-07,57.98,58.3,57.725,58.17,12868989.0,748589090.13
2021-07-08,57.8,58.37,57.41,58.23,21483596.0,1250989795.08
2021-07-09,58.22,58.71,58.01,58.03,14741421.0,855444660.63
2021-07-12,58.255,58.37,57.52,58.26,11576314.0,674436053.64
2021-07-13,58.26,58.45,57.7,57.82,11366521.0,657212244.22
2021-07-14,58.13,58.18,57.61,57.77,9776945.0,564814112.65
2021-07-15,57.64,58.125,57.49,57.95,12757308.0,739285998.6
2021-07-16,57.9158,58.35,57.5,57.55,12409875.0,714188306.25
2021-07-19,57.48,57.565,56.32,56.63,18272472.0,1034770089.36
2021-07-20,56.73,57.44,56.52,57.08,17575340.0,1003200407.2
2021-07-21,56.93,58.11,56.76,57.81,13990318.0,808780283.58
2021-07-22,57.83,57.97,56.89,57.79,13377476.0,773084338.04
2021-07-23,57.92,58.59,57.78,58.36,8550834.0,499026672.24
2021-07-26,58.21,58.77,58.0,58.7,11595415.0,680650860.5
2021-07-27,58.67,59.08,58.28,58.56,11625284.0,680776631.0400001
2021-07-28,58.25,58.54,57.38,57.98,13239554.0,767629340.92
2021-07-29,59.2,59.7,58.06,58.11,19769584.0,1148810526.24
2021-07-30,58.07,59.225,57.9075,58.83,22478502.0,1322410272.6599998
2021-08-02,58.96,59.27,58.01,58.47,11634279.0,680256293.13
2021-08-03,58.7,58.75,57.24,58.23,11207791.0,652629669.93
2021-08-04,58.01,58.43,57.485,57.97,9507626.0,551157079.22
2021-08-05,58.3,58.63,58.02,58.34,8723538.0,508931206.92
2021-08-06,58.2,58.97,58.1374,58.69,10589168.0,621478269.92
2021-08-09,58.66,58.6896,58.03,58.28,12119250.0,706309890.0
2021-08-10,58.22,58.46,58.045,58.45,8229364.0,481006325.8
2021-08-11,58.91,59.15,58.47,59.09,8849849.0,522937577.41
2021-08-12,59.05,59.14,58.59,59.03,9315096.0,549870116.88
2021-08-13,59.37,59.5,58.992,59.32,7542764.0,447436760.48
2021-08-16,59.14,59.58,58.86,59.25,12221331.0,724113861.75
2021-08-17,59.12,59.5,58.81,59.47,12911586.0,767852019.42
2021-08-18,59.47,59.68,58.98,59.03,12514245.0,738715882.35
2021-08-19,59.03,59.21,58.515,58.96,10460101.0,616727554.96
2021-08-20,58.8567,59.69,58.7,59.41,11538238.0,685486719.5799999
2021-08-23,59.11,60.12,59.0,59.8,12419829.0,742705774.1999999
2021-08-24,59.86,60.045,59.4,59.53,9613574.0,572296060.22
2021-08-25,59.51,59.82,59.21,59.48,7757139.0,461394627.72
2021-08-26,59.59,59.7,58.97,59.0,8118817.0,479010203.0
2021-08-27,59.11,59.51,58.955,59.4,13129663.0,779901982.1999999
2021-08-30,59.23,59.745,59.1,59.71,11995131.0,716229272.01
2021-08-31,59.47,60.755,59.41,60.68,16718697.0,1014490533.96
2021-09-01,61.01,61.52,60.56,61.14,15040273.0,919562291.22
2021-09-02,61.37,61.8,61.28,61.75,10224535.0,631365036.25
2021-09-03,61.4039,61.8,61.33,61.72,8081434.0,498786106.48
2021-09-07,61.43,61.567,60.2,60.3,16306556.0,983285326.8
2021-09-08,60.16,60.515,60.04,60.14,16750382.0,1007367973.48
2021-09-09,60.37,60.37,59.43,59.56,10390468.0,618856274.08
2021-09-10,59.44,59.845,59.06,59.3,10211538.0,605544203.4
2021-09-13,59.98,60.59,59.525,59.97,14373549.0,861981733.53
2021-09-14,60.3477,60.845,55.395,55.59,56060603.0,3116408920.77
2021-09-15,55.5,57.68,55.5,57.0,38021909.0,2167248813.0
2021-09-16,57.25,57.7299,56.4,57.28,18591045.0,1064895057.6
2021-09-17,56.93,57.65,56.805,57.11,23758579.0,1356852446.69
2021-09-20,56.89,56.99,55.86,56.49,19287189.0,1089533306.61
2021-09-21,56.97,57.3,55.745,56.06,13698228.0,767922661.6800001
2021-09-22,56.87,57.055,55.905,56.02,17508111.0,980804378.22
2021-09-23,56.07,56.89,55.87,56.17,15254870.0,856866047.9
2021-09-24,55.92,56.48,55.75,56.24,11417826.0,642138534.24
2021-09-27,55.85,56.33,55.75,56.29,10188410.0,573505598.9
2021-09-28,55.55,55.83,54.6,54.75,21386663.0,1170919799.25
2021-09-29,54.95,56.19,54.71,55.93,16905763.0,945539324.59
2021-09-30,56.01,56.92,55.92,55.93,19992452.0,1118177840.36
2021-10-01,56.39,57.475,56.075,57.21,15411468.0,881690084.28
2021-10-04,57.2,57.2,56.52,56.78,14261480.0,809766834.4
2021-10-05,56.33,57.31,56.27,56.79,15620500.0,887088195.0
2021-10-06,56.09,56.97,55.91,56.9,22845245.0,1299894440.5
2021-10-07,57.42,57.9599,57.28,57.4,13838681.0,794340289.4
2021-10-08,56.98,56.98,54.57,54.7,24655478.0,1348654646.6
2021-10-11,53.9335,54.1,52.17,52.22,31934922.0,1667641626.84
2021-10-12,52.37,52.63,51.505,52.33,27671429.0,1448045879.57
2021-10-13,53.24,53.3,52.105,52.69,19950664.0,1051200486.16
2021-10-14,52.7701,54.31,52.7701,53.99,20895828.0,1128165753.72
2021-10-15,54.25,54.54,53.69,54.02,18876554.0,1019711447.08
2021-10-18,53.61,53.74,52.89,53.22,20106099.0,1070046588.78
2021-10-19,53.71,54.25,53.49,54.24,15335125.0,831777180.0
2021-10-20,54.515,54.88,53.91,54.71,12658797.0,692562783.87
