timestamps,open,high,low,close,volume,amount
2021-05-28,161.83,162.24,159.22,160.78,3394207.0,545720601.46
2021-06-01,165.27,166.625,163.74,166.25,4308161.0,716231766.25
2021-06-02,167.0,167.4,164.965,165.92,3130952.0,519487555.84
2021-06-03,165.06,167.34,164.31,166.29,2532474.0,421125101.46
2021-06-04,167.07,168.0,165.03,166.26,2912351.0,484207477.26
2021-06-07,163.5,165.31,162.59,163.55,3272813.0,535268566.15
2021-06-08,162.7,163.84,161.04,162.73,3538833.0,575874294.0899999
2021-06-09,162.6,162.615,159.3,160.6,3310473.0,531661963.7999999
2021-06-10,162.99,163.86,158.6,158.74,3736588.0,593145979.12
2021-06-11,159.2,160.69,159.1,160.65,3839023.0,616739044.95
2021-06-14,160.4,160.8,157.17,158.71,3391663.0,538290834.73
2021-06-15,159.38,162.7,158.72,162.11,2816754.0,456623990.94000006
2021-06-16,161.44,163.31,159.79,162.2,3176681.0,515257658.2
2021-06-17,163.47,163.59,151.43,153.55,4334876.0,665620209.8000001
2021-06-18,149.6,150.44,147.52,150.02,8819994.0,1323175499.88
2021-06-21,151.55,154.99,151.22,154.89,2903987.0,449798546.42999995
2021-06-22,154.3,155.91,152.85,154.89,2382223.0,368982520.47
2021-06-23,155.61,157.61,155.04,156.37,2064655.0,322850102.35
2021-06-24,157.59,158.17,155.4,157.57,2111247.0,332669189.78999996
2021-06-25,160.54,162.0,159.79,159.99,4328176.0,692464878.24
2021-06-28,159.41,160.01,155.295,156.0,2748767.0,428807652.0
2021-06-29,157.37,158.32,153.82,154.15,2180007.0,336048079.05
2021-06-30,153.69,155.22,153.6201,154.69,2652660.0,410339975.4
2021-07-01,155.53,158.06,155.13,157.15,3384850.0,531929177.5
2021-07-02,157.7,158.95,157.15,157.4,2270964.0,357449733.6
2021-07-06,156.76,157.38,154.14,155.5,3578504.0,556457372.0
2021-07-07,153.61,156.71,153.14,155.04,3079491.0,477444284.64
2021-07-08,151.9,154.88,149.45,152.46,3345561.0,510064230.06
2021-07-09,155.38,160.915,155.345,160.55,3674568.0,589951892.4000001
2021-07-12,159.18,165.44,158.08,164.85,3317059.0,546817176.15
2021-07-13,164.85,165.3,162.64,162.84,2572908.0,418972338.72
2021-07-14,163.07,165.0,157.63,158.84,4219700.0,670257148.0
2021-07-15,156.66,160.64,156.29,160.35,3106713.0,498161429.55
2021-07-16,161.65,161.65,157.08,157.52,1992870.0,313916882.40000004
2021-07-19,153.45,154.81,150.89,153.61,3785450.0,581482974.5
2021-07-20,152.96,159.24,152.44,157.98,3336573.0,527111802.54
2021-07-21,159.61,164.4,159.395,163.21,2532769.0,413373228.49
2021-07-22,162.2,163.08,158.7,161.43,2988008.0,482354131.44
2021-07-23,157.0,164.25,156.5869,160.08,3563999.0,570524959.9200001
2021-07-26,160.05,163.0,160.0,162.34,2077845.0,337317357.3
2021-07-27,159.95,163.66,159.14,162.54,2197680.0,357210907.2
2021-07-28,163.04,163.54,159.875,161.39,2329037.0,375883281.42999995
2021-07-29,163.5,165.3512,162.91,163.91,2587938.0,424188917.58
2021-07-30,163.16,165.09,160.635,161.7,2661439.0,430354686.2999999
2021-08-02,163.14,165.91,158.92,160.1,3934629.0,629934102.9
2021-08-03,161.05,162.06,155.455,161.43,2868514.0,463064215.02
2021-08-04,160.28,164.17,159.1,161.19,2722818.0,438891033.42
2021-08-05,162.22,163.95,162.22,163.19,2749584.0,448704612.96
2021-08-06,164.85,167.51,164.26,165.95,3394536.0,563323249.1999999
2021-08-09,164.84,167.15,163.13,166.21,2239532.0,372232613.72
2021-08-10,166.21,171.285,166.1,170.67,3442465.0,587525501.55
2021-08-11,171.0,174.94,169.84,174.55,3880548.0,677349653.4000001
2021-08-12,174.5,177.165,173.41,176.93,3274651.0,579384001.4300001
2021-08-13,177.18,177.95,175.791,177.73,2368274.0,420913338.02
2021-08-16,176.0,177.72,175.18,177.32,2115112.0,375051659.84
2021-08-17,175.27,176.5266,171.43,173.28,2791045.0,483632277.6
2021-08-18,172.33,175.62,171.27,172.02,1760009.0,302756748.18
2021-08-19,169.12,171.59,166.95,168.1,2478498.0,416635513.8
2021-08-20,168.18,169.12,165.46,168.22,2595680.0,436645289.6
2021-08-23,169.42,171.2025,168.98,169.35,2019463.0,341996059.05
2021-08-24,169.89,171.71,169.45,170.05,1668372.0,283706658.6
2021-08-25,170.59,174.56,170.23,173.93,2184300.0,379915299.0
2021-08-26,174.4,174.6986,171.31,171.63,1867050.0,320441791.5
2021-08-27,172.31,175.98,171.65,175.8,1747663.0,307239155.40000004
2021-08-30,172.14,173.57,165.11,165.19,4300605.0,710416939.95
2021-08-31,165.03,167.17,163.2609,165.97,3791885.0,629339153.45
2021-09-01,165.96,166.58,161.23,161.68,3343105.0,540513216.4
2021-09-02,162.5,163.38,159.52,160.06,3118489.0,499145349.34
2021-09-03,159.99,160.37,156.4,157.26,3361459.0,528623042.34
2021-09-07,156.95,159.68,156.46,156.93,3469364.0,544447292.52
2021-09-08,156.49,156.49,152.13,154.6,3342574.0,516761940.4
2021-09-09,154.84,159.179,154.48,155.78,2904730.0,452498839.4
2021-09-10,156.91,157.82,155.4,155.56,2855593.0,444216047.08
2021-09-13,157.07,159.43,156.91,158.93,3363252.0,534521640.36
2021-09-14,159.59,160.17,153.95,154.39,4095768.0,632345621.52
2021-09-15,155.22,159.1,154.81,158.91,3233105.0,513772715.55
2021-09-16,159.6,161.24,159.12,160.17,2627478.0,420843151.26
2021-09-17,159.1,161.15,158.45,159.57,4829969.0,770718153.3299999
2021-09-20,154.09,157.01,153.33,156.37,3429999.0,536348943.63
2021-09-21,158.0,158.86,156.32,156.5,2845949.0,445391018.5
2021-09-22,158.68,161.02,158.37,159.62,3001417.0,479086181.54
2021-09-23,161.65,167.15,161.0,166.02,2977186.0,494272419.72
2021-09-24,165.13,168.05,164.96,166.17,2695069.0,447839615.73
2021-09-27,167.69,170.27,167.31,169.76,2611054.0,443252527.04
2021-09-28,169.44,171.5,167.1,167.38,2935878.0,491407259.64
2021-09-29,168.62,168.62,165.92,166.55,2004512.0,333851473.6
2021-09-30,167.88,167.88,161.85,161.97,2727644.0,441796498.68
2021-10-01,162.61,167.84,161.87,166.54,2696409.0,449059954.8599999
2021-10-04,166.54,170.2799,165.69,166.11,2759005.0,458298320.55
2021-10-05,168.08,170.69,166.39,168.72,2089073.0,352468396.56
2021-10-06,166.92,169.03,164.47,167.87,2032043.0,341119058.41
2021-10-07,169.73,171.43,167.7118,167.88,2011107.0,337624643.15999997
2021-10-08,168.44,171.28,167.405,168.8,1733590.0,292629992.0
2021-10-11,169.5,171.78,166.05,166.18,1929438.0,320634006.84000003
2021-10-12,166.23,168.3319,165.16,167.65,1697556.0,284595263.40000004
2021-10-13,167.57,167.74,159.55,162.1,3853679.0,624681365.9
2021-10-14,165.15,166.29,162.7408,166.01,2282149.0,378859555.4899999
2021-10-15,168.0,170.25,167.26,168.38,2762825.0,465204473.5
2021-10-18,167.3,170.66,167.03,169.16,1760796.0,297856251.36
2021-10-19,170.2,170.44,167.785,169.79,1955039.0,331946071.81
2021-10-20,168.92,173.47,168.2599,173.25,2614037.0,452881910.25
2021-10-21,172.48,174.65,165.07,165.69,3420587.0,566757060.03
2021-10-22,167.0,169.43,165.63,167.84,2943392.0,494018913.28
2021-10-25,168.21,169.84,166.22,168.68,2368960.0,399596172.8
2021-10-26,169.3,170.0,164.56,164.85,3204035.0,528185169.75
2021-10-27,160.14,161.49,151.78,152.5,7343041.0,1119813752.5
2021-10-28,152.81,153.93,150.48,152.5,4440305.0,677146512.5
2021-10-29,152.84,154.065,150.22,151.03,3863825.0,583553489.75
2021-11-01,152.27,154.8277,152.2101,153.01,3181737.0,486837578.36999995
2021-11-02,153.22,154.01,150.87,151.91,3788047.0,575442219.77
2021-11-03,151.0,155.35,150.66,153.9,3334122.0,513121375.8
2021-11-04,153.0,155.49,152.3,153.46,2462496.0,377894636.16
2021-11-05,155.59,157.59,154.25,154.87,2389557.0,370070692.59
2021-11-08,156.48,157.76,154.79,155.52,2279153.0,354453874.56
2021-11-09,154.56,156.11,153.2,155.42,2118420.0,329244836.4
2021-11-10,155.48,158.47,155.48,156.28,2274623.0,355478082.44
2021-11-11,156.28,158.66,155.91,157.15,1822710.0,286438876.5
2021-11-12,156.83,157.33,155.025,156.8,2143745.0,336139216.0
2021-11-15,156.8,158.43,155.835,156.36,1772023.0,277073516.28000003
2021-11-16,156.5,156.5,152.75,153.82,2678308.0,411977336.56
2021-11-17,153.7,155.0,151.87,151.95,3107944.0,472252090.7999999
