timestamps,open,high,low,close,volume,amount
2021-05-28,262.75,263.98,261.705,262.61,150409.0,39498907.49
2021-06-01,263.01,265.96,262.66,263.32,228853.0,60261571.96
2021-06-02,263.11,263.395,262.1,262.94,211704.0,55665449.76
2021-06-03,262.47,263.68,261.2,262.23,337041.0,88382261.43
2021-06-04,262.87,264.17,262.87,263.73,454511.0,119868186.03
2021-06-07,263.75,264.55,263.47,263.85,247696.0,65354589.60000001
2021-06-08,264.65,265.22,263.61,264.59,312979.0,82811113.61
2021-06-09,264.64,265.57,263.98,264.05,347417.0,91735458.85
2021-06-10,264.24,265.36,263.34,265.01,329437.0,87304099.36999999
2021-06-11,263.885,266.42,263.885,265.55,362436.0,96244879.8
2021-06-14,265.84,269.3,265.22,269.3,169701.0,45700479.3
2021-06-15,269.18,270.11,266.29,266.29,295116.0,78586439.64
2021-06-16,265.56,266.91,262.82,263.56,304864.0,80349955.84
2021-06-17,263.15,265.71,262.76,263.6,156953.0,41372810.8
2021-06-18,261.86,263.0,260.02,262.13,378981.0,99342289.53
2021-06-21,263.46,264.38,262.03,262.48,295542.0,77573864.16000001
2021-06-22,261.92,263.73,260.59,262.22,157385.0,41269494.7
2021-06-23,261.89,264.93,261.52,264.01,203589.0,53749531.89
2021-06-24,265.28,266.17,262.71,263.94,508342.0,134171787.48
2021-06-25,263.92,265.37,262.99,263.89,265760.0,70131406.39999999
2021-06-28,264.44,266.95,263.8,265.17,106451.0,28227611.67
2021-06-29,265.62,267.21,264.23,266.0,153356.0,40792696.0
2021-06-30,265.55,265.79,263.21,264.34,289520.0,76531716.8
2021-07-01,264.42,265.47,262.38,262.54,207558.0,54492277.32000001
2021-07-02,263.62,264.99,261.25,261.78,187593.0,49108095.53999999
2021-07-06,261.92,263.26,261.07,262.57,203931.0,53546162.67
2021-07-07,263.56,263.56,258.2,259.21,310778.0,80556765.38
2021-07-08,256.43,257.77,254.4,255.16,352980.0,90066376.8
2021-07-09,255.17,259.89,253.95,258.87,232730.0,60246815.1
2021-07-12,258.46,259.0,256.646,257.54,276454.0,71197963.16000001
2021-07-13,257.49,258.35,256.13,256.53,215865.0,55375848.45
2021-07-14,256.26,261.8,256.26,257.07,186450.0,47930701.5
2021-07-15,257.21,257.8,255.21,256.22,184081.0,47165233.82000001
2021-07-16,256.18,257.76,255.7,256.6,105998.0,27199086.8
2021-07-19,254.45,256.25,253.82,255.19,236199.0,60275622.81
2021-07-20,255.33,259.45,255.33,257.78,201190.0,51862758.2
2021-07-21,258.54,260.63,257.26,260.14,156105.0,40609154.7
2021-07-22,260.37,260.62,256.36,256.56,149518.0,38360338.08
2021-07-23,257.56,259.82,256.54,259.79,103253.0,26824096.87
2021-07-26,259.65,259.65,253.815,254.22,103741.0,26373037.02
2021-07-27,253.03,253.51,241.52,244.29,349087.0,85278463.23
2021-07-28,244.41,249.48,244.41,247.42,430942.0,106623669.64
2021-07-29,247.61,247.61,245.37,245.96,174021.0,42802205.16
2021-07-30,245.0,246.6,245.0,245.94,176530.0,43415788.2
2021-08-02,246.39,248.2228,245.37,245.37,208443.0,51145658.91
2021-08-03,244.83,244.83,230.99,239.26,458548.0,109712194.48
2021-08-04,239.0,239.0,222.04,231.17,586397.0,135557394.48999998
2021-08-05,231.93,241.87,231.93,241.34,260113.0,62775671.42
2021-08-06,242.0,244.085,236.95,242.04,252001.0,60994322.04
2021-08-09,242.89,243.125,239.14,240.42,245378.0,58993778.76
2021-08-10,241.58,243.03,237.6,238.45,144908.0,34553312.6
2021-08-11,239.76,239.79,236.0,238.62,156998.0,37462862.76
2021-08-12,236.0,242.29,236.0,240.85,129308.0,31143831.8
2021-08-13,241.6,241.985,238.86,239.4,66903.0,16016578.2
2021-08-16,239.63,241.29,239.62,239.98,161196.0,38683816.08
2021-08-17,238.66,243.09,238.23,240.88,135008.0,32520727.04
2021-08-18,240.78,247.775,240.3,245.83,254564.0,62579468.120000005
2021-08-19,243.075,247.63,243.075,246.36,92438.0,22773025.68
2021-08-20,245.95,249.68,245.35,249.47,99335.0,24781102.45
2021-08-23,251.24,253.68,249.59,250.0,418013.0,104503250.0
2021-08-24,249.8,252.815,249.8,251.63,123143.0,30986473.09
2021-08-25,251.99,254.14,250.44,250.82,147142.0,36906156.44
2021-08-26,250.56,252.47,250.31,250.49,88953.0,22281836.970000003
2021-08-27,250.34,254.85,250.34,253.33,109726.0,27796887.58
2021-08-30,253.67,254.91,250.57,250.89,86863.0,21793058.07
2021-08-31,250.28,254.0,249.76,252.67,82391.0,20817733.97
2021-09-01,253.93,256.85,253.19,253.47,158537.0,40184373.39
2021-09-02,253.44,255.55,252.11,254.26,121368.0,30859027.68
2021-09-03,254.4,254.54,251.7,252.31,134481.0,33930901.11
2021-09-07,252.13,254.215,249.72,250.06,131390.0,32855383.4
2021-09-08,250.53,252.77,249.33,250.53,133314.0,33399156.42
2021-09-09,250.65,252.86,249.62,252.28,95910.0,24196174.8
2021-09-10,253.4,254.87,251.6,251.97,77791.0,19600998.27
2021-09-13,252.93,254.42,250.37,253.76,190459.0,48330875.84
2021-09-14,254.38,254.4,251.95,252.11,103603.0,26119352.33
2021-09-15,252.28,253.44,250.38,253.16,137418.0,34788740.88
2021-09-16,252.26,254.21,252.08,253.27,155542.0,39394122.34
2021-09-17,252.89,253.87,250.77,250.83,341397.0,85632609.51
2021-09-20,248.1,251.35,248.1,250.76,254799.0,63893397.239999995
2021-09-21,250.79,254.3,250.79,252.38,145868.0,36814165.84
2021-09-22,253.78,254.04,251.0,252.53,163981.0,41410121.93
2021-09-23,252.59,254.45,252.59,253.72,128980.0,32724805.6
2021-09-24,253.53,256.26,252.575,255.98,148916.0,38119517.68
2021-09-27,256.29,256.29,253.075,253.53,167118.0,42369426.54
2021-09-28,252.14,253.785,251.89,252.84,95325.0,24101973.0
2021-09-29,253.57,254.32,251.36,251.6,93228.0,23456164.8
2021-09-30,252.35,253.97,249.94,250.09,163745.0,40950987.05
2021-10-01,250.6,254.69,250.5,253.12,156832.0,39697315.84
2021-10-04,252.83,252.83,248.48,249.06,226679.0,56456671.74
2021-10-05,248.68,252.47,248.51,248.93,213000.0,53022090.0
2021-10-06,248.39,250.89,246.05,249.51,77949.0,19449054.99
2021-10-07,249.31,253.59,249.31,252.62,137628.0,34767585.36
2021-10-08,253.11,253.11,251.46,252.04,95405.0,24045876.2
2021-10-11,251.36,252.8,249.27,249.43,71698.0,17883632.14
2021-10-12,249.52,250.26,248.35,249.14,72959.0,18177005.26
2021-10-13,250.02,250.77,248.89,250.01,66239.0,16560412.39
2021-10-14,251.59,252.66,250.21,251.77,175976.0,44305477.52
2021-10-15,252.06,253.75,251.8,252.47,163320.0,41233400.4
2021-10-18,252.3,254.06,251.47,253.24,220029.0,55720143.96
2021-10-19,253.32,255.305,253.21,253.74,67915.0,17232752.1
2021-10-20,254.0,255.04,252.33,252.55,75849.0,19155664.95
2021-10-21,252.75,253.67,252.08,253.01,114380.0,28939283.8
2021-10-22,253.35,255.2,250.12,251.87,102064.0,25706859.68
2021-10-25,251.82,253.8,251.08,252.27,157614.0,39761283.78
2021-10-26,253.0,253.4,250.32,250.33,116149.0,29075579.17
2021-10-27,249.71,252.21,248.31,248.31,128453.0,31896164.43
2021-10-28,247.66,253.65,247.66,253.62,125235.0,31762100.7
2021-10-29,253.6,255.37,251.715,254.4,161193.0,41007499.2
2021-11-01,254.3,259.95,253.195,256.71,222147.0,57027356.37
2021-11-02,257.53,259.4,255.94,256.08,91079.0,23323510.32
2021-11-03,255.51,259.18,255.51,257.91,73127.0,18860184.57
2021-11-04,258.26,259.83,257.2,258.51,62885.0,16256401.35
2021-11-05,259.56,260.16,258.73,258.73,64373.0,16655226.29
2021-11-08,259.22,260.0,257.1,257.83,213185.0,54965488.55
2021-11-09,258.23,261.21,258.23,259.77,275019.0,71441685.63
2021-11-10,255.0,260.42,255.0,259.09,180830.0,46851244.7
2021-11-11,258.81,261.24,258.735,260.43,57387.0,14945296.41
2021-11-12,260.31,261.0,258.785,259.0,55316.0,14326844.0
2021-11-15,258.85,259.9,258.18,258.45,87877.0,22711810.65
2021-11-16,258.13,259.96,256.89,258.8,219412.0,56783825.6
2021-11-17,256.4,259.91,255.82,258.7,144763.0,37450188.1
2021-11-18,257.35,258.46,256.01,257.24,63210.0,16260140.4
2021-11-19,256.45,258.18,256.45,256.92,60458.0,15532869.36
2021-11-22,257.03,259.58,256.73,258.29,91643.0,23670470.470000003
2021-11-23,259.2,259.61,257.44,259.22,131953.0,34204856.660000004
2021-11-24,257.77,261.9,257.62,261.24,179079.0,46782597.96
2021-11-26,258.56,259.9,256.93,258.3,54723.0,14134950.9
2021-11-29,258.6,259.3,257.35,258.51,132191.0,34172695.41
2021-11-30,257.8,260.34,257.8,258.93,186301.0,48238917.93
2021-12-01,260.75,263.46,257.3,257.3,169381.0,43581731.3
2021-12-02,257.3,259.14,255.31,257.99,120419.0,31066897.81
2021-12-03,257.58,259.32,257.21,258.79,182387.0,47199931.73
2021-12-06,260.21,261.31,256.64,260.59,244552.0,63727805.67999999
2021-12-07,262.54,265.33,262.19,264.67,197433.0,52254592.11000001
2021-12-08,266.51,266.83,264.7,265.62,137543.0,36534171.66
2021-12-09,264.56,266.98,264.56,265.79,122734.0,32621469.860000003
2021-12-10,266.81,267.64,264.97,265.83,222782.0,59222139.059999995
2021-12-13,266.12,267.02,263.88,263.92,183761.0,48498203.120000005
2021-12-14,262.88,264.93,262.12,263.44,75861.0,19984821.84
2021-12-15,263.91,266.78,263.13,265.83,124013.0,32966375.79
2021-12-16,264.49,267.23,262.3,263.2,104100.0,27399120.0
2021-12-17,263.06,264.84,261.94,262.52,395696.0,103878113.92
2021-12-20,259.91,261.34,258.34,260.85,158588.0,41367679.8
2021-12-21,261.87,264.04,260.67,263.48,78571.0,20701887.08
2021-12-22,263.88,264.97,258.855,264.62,100464.0,26584783.68
2021-12-23,266.2,266.76,264.3,265.5,109390.0,29043045.0
2021-12-27,265.05,268.3,264.595,268.21,150122.0,40264221.62
2021-12-28,269.03,269.03,266.3,266.72,87924.0,23451089.28
2021-12-29,266.5,268.53,265.68,267.27,126653.0,33850547.309999995
2021-12-30,268.0,268.0,265.48,265.92,52344.0,13919316.48
2021-12-31,265.47,266.955,265.47,266.54,57706.0,15380957.240000002
2022-01-03,266.94,269.18,266.02,267.44,224553.0,60054454.32
2022-01-04,267.36,269.0,265.48,268.57,122762.0,32970190.34
2022-01-05,269.0,269.98,265.63,265.63,157494.0,41835131.22
2022-01-06,265.17,267.75,264.53,265.22,83499.0,22145604.78
