timestamps,open,high,low,close,volume,amount
2021-05-28,55.8,55.95,55.32,55.74,5803100.0,323464794.0
2021-06-01,57.08,58.48,57.05,58.27,10129878.0,590267991.0600001
2021-06-02,58.66,59.41,57.74,58.99,6198102.0,365626036.98
2021-06-03,58.72,60.0,58.56,59.47,8335313.0,495701064.11
2021-06-04,59.82,60.13,58.9,59.85,6572501.0,393364184.85
2021-06-07,59.81,60.53,59.585,59.81,5466040.0,326923852.40000004
2021-06-08,59.43,60.62,58.63,60.47,7449346.0,450461952.62
2021-06-09,60.63,60.88,59.58,59.68,7127699.0,425381076.32
2021-06-10,61.01,61.28,59.28,60.17,9571826.0,575936770.42
2021-06-11,60.5,60.93,59.8,59.97,8166224.0,489728453.28
2021-06-14,60.65,61.07,59.85,60.31,7828529.0,472138583.99
2021-06-15,60.7,61.555,60.47,61.17,7909768.0,483840508.56
2021-06-16,61.09,61.7799,60.56,61.13,9809465.0,599652595.45
2021-06-17,60.9,61.57,58.55,59.01,13729755.0,810192842.55
2021-06-18,57.88,59.21,57.48,57.53,19824874.0,1140525001.22
2021-06-21,58.23,60.529,58.21,60.45,8314288.0,502598709.6
2021-06-22,60.15,61.12,59.64,60.79,6858369.0,416920251.51
2021-06-23,61.1,62.35,60.75,60.76,8288198.0,503590910.48
2021-06-24,60.97,61.51,60.32,61.39,6477953.0,397681534.67
2021-06-25,61.7,61.75,61.015,61.31,8165950.0,500654394.5
2021-06-28,61.12,61.165,59.37,59.59,7705428.0,459166454.52
2021-06-29,60.1,60.2,58.835,59.05,6509883.0,384408591.15
2021-06-30,60.48,60.945,59.8081,60.9,9488605.0,577856044.5
2021-07-01,62.69,63.57,62.35,62.88,11851518.0,745223451.84
2021-07-02,62.46,63.17,61.59,62.75,7750886.0,486368096.5
2021-07-06,62.78,62.89,60.2099,60.28,11818507.0,712419601.96
2021-07-07,60.0,60.78,58.6301,59.01,8322349.0,491101814.49
2021-07-08,58.25,59.64,57.99,59.21,10676724.0,632168828.04
2021-07-09,59.75,60.46,59.34,60.13,7015452.0,421839128.76
2021-07-12,58.91,60.44,58.7325,59.8,6157415.0,368213417.0
2021-07-13,59.49,59.99,58.8,59.46,6582772.0,391411623.12
2021-07-14,59.89,60.61,57.34,57.67,8540214.0,492514141.38
2021-07-15,57.0,58.22,56.79,57.08,8820220.0,503458157.6
2021-07-16,57.7,57.9,55.305,55.5,8956758.0,497100069.0
2021-07-19,53.43,54.3,52.82,53.7,13499049.0,724898931.3000001
2021-07-20,53.5,55.25,53.28,54.47,9461178.0,515350365.66
2021-07-21,55.73,57.415,55.61,57.02,9495873.0,541454678.46
2021-07-22,57.02,57.21,56.18,56.67,6821465.0,386572421.55
2021-07-23,56.0,56.28,54.735,55.34,10741478.0,594433392.52
2021-07-26,55.71,57.35,55.57,56.87,8831353.0,502239045.1099999
2021-07-27,56.16,56.62,55.34,56.33,7461498.0,420306182.34
2021-07-28,56.48,57.15,55.81,56.72,6217529.0,352658244.88
2021-07-29,57.42,57.84,56.86,57.08,6306398.0,359969197.84
2021-07-30,56.76,56.9,55.72,56.06,8660052.0,485482515.12
2021-08-02,56.53,57.76,55.33,55.38,8469537.0,469042959.06
2021-08-03,55.09,56.768,54.51,56.64,9888408.0,560079429.12
2021-08-04,55.33,56.5,54.91,54.93,7629754.0,419102387.22
2021-08-05,55.46,56.62,55.05,55.95,6573080.0,367763826.0
2021-08-06,56.59,57.17,56.1,56.5,5039096.0,284708924.0
2021-08-09,55.67,56.1728,55.23,55.45,5410558.0,300015441.1
2021-08-10,55.85,56.775,55.76,56.48,6781846.0,383038662.08
2021-08-11,56.38,57.355,55.95,57.19,6072133.0,347265286.27
2021-08-12,57.14,57.58,56.53,57.04,4730872.0,269848938.88
2021-08-13,56.95,57.23,55.85,55.97,7399776.0,414165462.72
2021-08-16,55.22,55.58,54.6,54.81,7464883.0,409150237.23
2021-08-17,54.41,55.439,54.25,54.52,6480266.0,353304102.32
2021-08-18,54.38,55.06,53.46,53.53,6647900.0,355862087.0
2021-08-19,52.67,52.975,51.41,52.44,11306389.0,592907039.16
2021-08-20,51.87,52.99,51.59,52.77,7068297.0,372994032.69
2021-08-23,54.15,55.125,54.02,54.79,8022227.0,439537817.33
2021-08-24,55.18,55.69,54.635,55.41,6245456.0,346060716.96
2021-08-25,55.45,56.39,55.05,56.02,6125496.0,343150285.92
2021-08-26,55.75,56.09,54.955,55.13,5208974.0,287170736.62
2021-08-27,55.79,57.12,55.52,56.74,6549362.0,371610799.88
2021-08-30,56.98,57.14,56.18,56.2,4838609.0,271929825.8
2021-08-31,55.75,56.33,55.3,55.53,10500512.0,583093431.36
