timestamps,open,high,low,close,volume,amount
2021-05-28,384.15,385.31,377.03,378.27,4682400.0,1771211448.0
2021-06-01,379.925,380.1985,375.5,378.23,2108770.0,797600077.1
2021-06-02,378.38,381.92,377.71,380.59,1881042.0,715905774.78
2021-06-03,379.64,384.19,378.86,383.87,1780524.0,683489747.88
2021-06-04,384.19,387.76,383.71,387.52,1765934.0,684334743.68
2021-06-07,385.47,386.45,378.57,380.4,2515804.0,957011841.6
2021-06-08,380.41,381.21,377.69,379.7,1554048.0,590072025.6
2021-06-09,380.21,381.78,379.1301,379.96,1399154.0,531622553.84
2021-06-10,380.27,383.36,379.49,383.01,1404154.0,537805023.54
2021-06-11,383.86,383.86,380.53,381.83,1404299.0,536203487.17
2021-06-14,380.79,383.98,379.08,383.76,1652625.0,634211370.0
2021-06-15,383.76,384.4999,381.56,383.91,1252017.0,480661846.47
2021-06-16,384.4,386.4407,377.12,379.41,1801720.0,683590585.2
2021-06-17,380.38,386.47,379.21,384.75,1686533.0,648893571.75
2021-06-18,384.75,384.9056,380.3,380.88,3415714.0,1300977148.32
2021-06-21,382.25,387.645,380.56,386.8,1631569.0,631090889.2
2021-06-22,387.02,392.5,386.56,392.18,1934772.0,758778882.96
2021-06-23,393.0,393.44,390.59,391.97,1538035.0,602863578.95
2021-06-24,393.42,395.5,391.795,392.07,1487380.0,583157076.6
2021-06-25,392.97,394.55,391.25,394.51,2056384.0,811264051.84
2021-06-28,395.0,397.42,393.13,396.54,1645500.0,652506570.0
2021-06-29,396.3,399.4407,395.47,398.79,1523560.0,607580492.4
2021-06-30,397.97,400.47,395.0,395.67,2031670.0,803870868.9
2021-07-01,396.3,397.69,393.88,394.53,1523396.0,601025423.88
2021-07-02,396.21,400.77,396.1136,398.94,1677408.0,669185147.52
2021-07-06,399.84,401.4,397.11,398.86,2113372.0,842939555.9200001
2021-07-07,399.2,406.115,399.2,404.68,2308605.0,934246271.4
2021-07-08,403.5,408.64,403.16,407.15,2235549.0,910203775.35
2021-07-09,408.55,414.0,407.59,412.37,2300423.0,948625432.51
2021-07-12,414.04,414.35,404.53,407.88,2485734.0,1013881183.92
2021-07-13,404.7,409.29,404.7,407.06,1537023.0,625660582.38
2021-07-14,408.58,410.47,407.26,409.95,1265817.0,518921679.15
2021-07-15,410.46,412.2,407.88,411.82,1894087.0,780022908.34
2021-07-16,412.12,413.42,409.765,410.37,1414087.0,580298882.19
2021-07-19,410.0586,415.3171,410.05,414.15,2293142.0,949704759.3
2021-07-20,414.0,418.07,412.85,416.24,2045376.0,851367306.24
2021-07-21,417.11,417.11,412.22,415.01,1480316.0,614345943.16
2021-07-22,416.0,418.6,413.5493,417.54,1339236.0,559184599.44
2021-07-23,418.2885,423.9878,417.05,423.43,1344487.0,569296130.41
2021-07-26,423.4,424.4999,420.3477,423.23,1220157.0,516407047.11
2021-07-27,424.0,424.56,421.6,424.34,1666513.0,707168126.42
2021-07-28,423.27,424.8649,420.54,422.22,1362771.0,575389171.62
2021-07-29,421.68,425.851,420.36,425.28,1181516.0,502475124.48
2021-07-30,425.98,431.5,425.94,429.72,2284040.0,981497668.8
2021-08-02,430.62,430.71,425.48,428.92,1367176.0,586409129.9200001
2021-08-03,429.92,436.8,429.12,435.07,1448146.0,630044880.22
2021-08-04,436.0,437.99,432.89,435.04,1260471.0,548355303.84
2021-08-05,437.75,443.5,436.73,443.19,1742634.0,772317962.46
2021-08-06,442.73,443.46,438.9,439.63,1789843.0,786868678.09
2021-08-09,440.65,442.7779,439.31,440.47,1472778.0,648714525.6600001
