timestamps,open,high,low,close,volume,amount
2025-06-05,69.0,103.75,64.0,83.23,47784339.0,3977090534.97
2025-06-06,96.39,123.515,92.95,107.7,60706262.0,6538064417.400001
2025-06-09,132.72,138.57,108.4,115.25,45521142.0,5246311615.5
2025-06-10,115.0,115.0,101.51,105.91,25517793.0,2702589456.63
2025-06-11,107.0,120.49,106.5,117.2,26481377.0,3103617384.4
2025-06-12,116.79,117.9309,104.26,106.54,13416512.0,1429395188.48
2025-06-13,108.81,134.72,108.8,133.56,34013580.0,4542853744.8
2025-06-16,147.54,165.6,145.88,151.06,43781546.0,6613640338.76
2025-06-17,156.36,164.42,143.53,149.15,31234204.0,4658581526.6
2025-06-18,153.22,200.9,148.0,199.59,63566766.0,12687290825.94
2025-06-20,231.5,248.88,206.17,240.28,92427231.0,22208415064.68
2025-06-23,238.46,298.99,232.48,263.45,99128739.0,26115466289.55
2025-06-24,250.42,265.0,217.579,222.65,68222564.0,15189753874.6
2025-06-25,218.545,227.54,198.0,198.62,49283191.0,9788627396.42
2025-06-26,209.04,226.95,205.68,213.63,45550341.0,9730919347.83
2025-06-27,223.6469,223.6469,175.6,180.43,48112124.0,8680870533.32
2025-06-30,181.77,192.5,178.0,181.29,34461533.0,6247531317.57
2025-07-01,184.67,194.0,171.5,192.53,31252118.0,6016970278.54
2025-07-02,187.21,189.0,176.0,177.97,18546015.0,3300634289.55
2025-07-03,182.17,192.5,181.3901,188.77,17191900.0,3245314963.0
2025-07-07,193.75,208.6,186.6,207.46,31640759.0,6564191862.14
2025-07-08,199.5,209.5,196.0,204.81,22225548.0,4552014485.88
2025-07-09,209.36,215.6,197.25,200.68,17934427.0,3599080810.36
2025-07-10,208.84,209.57,199.0,202.9,12340104.0,2503807101.6
2025-07-11,204.18,206.8,182.5,187.33,18227353.0,3414530037.49
2025-07-14,189.27,204.91,185.54,204.7,15445172.0,3161626708.3999996
2025-07-15,198.0,203.4598,188.1,195.33,14758547.0,2882786985.51
2025-07-16,203.05,239.6984,201.32,233.2,44001740.0,10261205768.0
2025-07-17,225.585,244.36,220.01,235.08,29222485.0,6869621773.8
2025-07-18,244.9,262.97,222.49,223.78,42877368.0,9595097411.04
2025-07-21,226.4,231.88,213.33,216.1,19033133.0,4113060041.3
2025-07-22,207.55,211.99,192.9,198.31,18485876.0,3665934069.56
2025-07-23,198.38,202.5,195.0801,202.41,10319795.0,2088829705.95
2025-07-24,199.75,201.25,189.23,193.08,9085863.0,1754298428.0400002
2025-07-25,192.54,195.7,187.5,192.86,6988469.0,1347796131.3400002
2025-07-28,196.975,197.9,183.91,185.36,9524221.0,1765409604.5600002
2025-07-29,187.875,190.75,180.6815,181.64,9534789.0,1731899073.9599998
2025-07-30,182.62,193.3344,182.1,190.5,9317694.0,1775020707.0
2025-07-31,188.755,189.87,183.0,183.52,5770643.0,1059028403.36
2025-08-01,176.93,181.55,167.3,168.1,12924882.0,2172672664.2
2025-08-04,172.1,172.1,154.5,164.82,11701260.0,1928601673.2
2025-08-05,160.0,164.32,153.91,153.93,7802420.0,1201026510.6
2025-08-06,150.09,162.44,149.0,161.71,8357923.0,1351559728.3300002
2025-08-07,167.68,169.92,151.1,152.93,10166256.0,1554725530.0800002
2025-08-08,155.015,163.2199,154.117,159.03,8920993.0,1418705516.79
2025-08-11,161.005,169.8,155.5268,161.17,11888948.0,1916141749.16
2025-08-12,186.3,189.92,161.5101,163.21,33491022.0,5466069700.62
2025-08-13,156.64,164.64,152.15,153.16,17877933.0,2738184218.2799997
2025-08-14,152.0,156.8,136.4,139.23,17905916.0,2493040684.68
2025-08-15,141.155,151.47,139.25,149.26,23286226.0,3475702092.76
2025-08-18,148.695,149.45,141.35,141.58,8683092.0,1229352165.36
2025-08-19,143.98,144.6499,133.11,135.23,9688108.0,1310122844.84
2025-08-20,136.94,139.5,129.1,137.81,9944132.0,1370400830.92
2025-08-21,135.0,136.99,131.59,131.8,4986592.0,657232825.6
2025-08-22,132.99,144.7,131.05,135.04,13309102.0,1797261134.08
2025-08-25,134.36,135.32,124.7,125.24,10419843.0,1304981137.32
2025-08-26,125.6,130.25,124.16,129.05,6923318.0,893454187.9000001
2025-08-27,129.05,130.2628,126.01,127.4,5567692.0,709323960.8000001
2025-08-28,129.0,132.78,127.6633,130.94,5588733.0,731788699.02
2025-08-29,131.07,135.97,129.0,131.98,8140607.0,1074397311.86
2025-09-02,128.56,131.69,119.6,120.14,10272446.0,1234131662.44
2025-09-03,122.09,122.2709,116.6,118.46,9473335.0,1122211264.1
2025-09-04,117.64,120.32,115.08,117.49,6393633.0,751187941.17
2025-09-05,117.78,118.8,108.02,114.56,11544511.0,1322539180.16
2025-09-08,114.0,117.78,110.05,112.46,8410356.0,945828635.76
2025-09-09,113.63,120.75,112.62,117.99,9098732.0,1073559388.68
2025-09-10,119.965,124.98,113.17,113.69,9925542.0,1128434869.98
2025-09-11,114.22,136.49,113.3,133.7,23638338.0,3160445790.6
2025-09-12,134.85,134.9,124.5,125.32,15291468.0,1916326769.76
2025-09-15,129.9,135.78,125.0801,134.05,12573831.0,1685522045.5500002
2025-09-16,139.6,142.5499,133.92,134.81,12723033.0,1715192078.73
2025-09-17,135.0,146.5,128.2601,131.04,19405347.0,2542876670.8799996
2025-09-18,134.74,143.58,134.07,140.42,15938994.0,2238153537.48
2025-09-19,145.05,147.7,139.53,144.14,16115641.0,2322908493.74
2025-09-22,139.88,140.71,134.56,137.64,9117355.0,1254912742.1999998
2025-09-23,138.67,141.6,130.7,130.97,8952068.0,1172452345.96
2025-09-24,133.73,136.34,130.04,131.58,9155776.0,1204717006.0800002
2025-09-25,128.99,130.2599,124.3,124.66,7729925.0,963612450.5
2025-09-26,125.42,128.49,122.83,126.99,5467764.0,694351350.36
2025-09-29,129.5,137.8,128.5001,133.66,10474568.0,1400030758.88
2025-09-30,136.2,137.9899,132.37,132.58,7965475.0,1056062675.5
2025-10-01,133.62,137.2666,127.6,129.03,9067306.0,1169954493.18
2025-10-02,133.45,152.05,132.75,149.72,19216175.0,2877045721.0
2025-10-03,148.4,156.47,144.14,145.78,19333255.0,2818401913.9
2025-10-06,154.01,154.1718,145.56,148.51,10810044.0,1605399634.4399998
2025-10-07,152.0,157.56,144.1842,148.72,12330816.0,1833838955.52
2025-10-08,150.3,152.16,143.55,150.46,11706255.0,1761323127.3000002
2025-10-09,150.8,153.88,145.8,150.48,10237537.0,1540544567.76
2025-10-10,150.89,159.47,132.605,132.94,22403097.0,2978267715.18
2025-10-13,138.06,141.38,135.11,137.47,10350997.0,1422951557.59
2025-10-14,133.25,138.62,129.33,134.46,7650365.0,1028668077.9
2025-10-15,137.32,141.1,132.58,134.48,9018719.0,1212837331.12
2025-10-16,135.92,136.8699,127.88,128.46,7387791.0,949035631.86
2025-10-17,125.25,127.7575,123.09,126.49,7837369.0,991348804.81
2025-10-20,129.79,135.7285,128.25,130.81,9339359.0,1221681550.79
2025-10-21,130.45,133.0,125.65,129.85,9602998.0,1246949290.3
2025-10-22,128.57,131.0,122.5,124.79,8810156.0,1099419367.24
2025-10-23,124.98,130.01,124.3101,129.86,6896145.0,895533389.7
2025-10-24,132.96,144.03,131.02,142.05,15678694.0,2227158482.7000003
2025-10-27,146.93,147.44,138.1,143.29,9715561.0,1392142735.6899998
2025-10-28,143.25,143.38,135.85,136.11,7857507.0,1069485277.77
2025-10-29,136.0,136.05,129.68,131.74,7593572.0,1000377175.28
2025-10-30,129.97,130.0,122.49,122.71,10751272.0,1319288587.12
2025-10-31,126.31,129.4,124.88,126.98,6616949.0,840220184.02
2025-11-03,125.75,125.75,117.8257,117.86,9050524.0,1066694758.64
2025-11-04,113.79,117.2,108.9,111.25,10279116.0,1143551655.0
2025-11-05,113.1,114.85,111.94,113.03,6050017.0,683833421.51
2025-11-06,113.05,113.36,100.0,100.01,11702616.0,1170378626.16
2025-11-07,99.0,103.33,96.1,103.14,9524280.0,982334239.2
2025-11-10,107.8,110.535,102.58,104.1,8567978.0,891926509.8
2025-11-11,102.05,102.49,97.95,98.3,8745289.0,859661908.6999999
2025-11-12,93.85,95.52,85.86,86.3,39011267.0,3366672342.1
2025-11-13,86.02,88.42,81.38,82.34,52219244.0,4299732550.96
2025-11-14,83.5,85.05,81.5,81.89,37549568.0,3074934123.52
2025-11-17,81.79,81.9,75.1,76.59,23753303.0,1819265476.77
2025-11-18,75.62,78.15,75.0429,76.6,16437561.0,1259117172.6
2025-11-19,76.49,76.6,67.55,69.72,28886491.0,2013966152.52
2025-11-20,71.29,71.405,64.92,66.93,20369396.0,1363323674.2800002
2025-11-21,66.925,72.33,66.14,71.33,19455999.0,1387796408.67
2025-11-24,72.0,73.43,69.61,72.74,15679722.0,1140542978.28
2025-11-25,69.14,70.11,68.0519,70.11,12630919.0,885553731.09
2025-11-26,71.15,73.29,68.86,72.64,15840755.0,1150672443.2
2025-11-28,75.31,81.48,74.02,79.93,22254895.0,1778833757.35
2025-12-01,77.49,79.8399,75.23,75.94,18852718.0,1431675404.92
2025-12-02,78.4,80.7299,77.18,77.44,16633721.0,1288115354.24
2025-12-03,78.39,86.59,75.97,86.29,21053740.0,1816727224.6
2025-12-04,83.98,88.27,83.2,87.46,14235286.0,1245018113.56
2025-12-05,86.09,86.66,83.14,85.62,10474074.0,896790215.88
2025-12-08,86.945,87.41,81.34,83.96,10024649.0,841669530.04
2025-12-09,83.23,89.98,81.7601,88.88,14569861.0,1294969245.6799998
2025-12-10,87.34,89.55,85.0501,88.41,9329303.0,824803678.23
2025-12-11,85.85,89.26,83.3301,88.57,11154542.0,987957784.94
2025-12-12,89.53,91.3,82.03,83.47,13857950.0,1156723086.5
2025-12-15,83.85,84.18,74.7335,75.46,15025001.0,1133786575.4599998
2025-12-16,77.86,83.5,77.3302,83.0,15029149.0,1247419367.0
