timestamps,open,high,low,close,volume,amount
2022-01-27,12.1,12.5,10.8,11.65,5372774.0,62592817.1
2022-01-28,11.64,12.325,11.05,11.19,1316998.0,14737207.62
2022-01-31,11.44,12.4899,11.2,12.12,838365.0,10160983.8
2022-02-01,12.12,13.7,11.8201,12.8,832985.0,10662208.0
2022-02-02,13.09,13.415,12.8,13.4,2621678.0,35130485.2
2022-02-03,13.22,13.29,12.4,12.82,710797.0,9112417.54
2022-02-04,12.87,13.75,12.87,13.07,345848.0,4520233.36
2022-02-07,13.39,13.75,13.13,13.52,504562.0,6821678.24
2022-02-08,13.57,14.1199,13.52,13.94,463247.0,6457663.18
2022-02-09,14.12,15.37,14.12,14.64,591869.0,8664962.16
2022-02-10,14.74,15.6285,14.7,15.19,584594.0,8879982.86
2022-02-11,15.3,16.39,15.011,15.3,656081.0,10038039.3
2022-02-14,14.1787,15.67,14.1787,14.86,382541.0,5684559.26
2022-02-15,14.79,15.39,14.79,14.99,327179.0,4904413.21
2022-02-16,15.0,15.39,14.31,15.07,503205.0,7583299.350000001
2022-02-17,14.99,15.4,14.88,15.12,236813.0,3580612.5599999996
2022-02-18,15.0,15.45,14.521,15.2,266647.0,4053034.4
2022-02-22,15.73,16.0,15.25,15.62,464137.0,7249819.94
2022-02-23,15.85,16.27,15.08,15.12,469790.0,7103224.8
2022-02-24,14.58,15.01,13.9632,14.93,431617.0,6444041.81
2022-02-25,15.03,15.53,15.0,15.33,278631.0,4271413.23
2022-02-28,15.23,16.96,15.01,16.9,649965.0,10984408.5
2022-03-01,16.8,16.8,15.06,15.22,641880.0,9769413.6
2022-03-02,16.0,16.6,16.0,16.36,315065.0,5154463.399999999
2022-03-03,17.1,18.0,16.04,16.1,665023.0,10706870.3
2022-03-04,15.96,16.54,15.085,15.66,398808.0,6245333.28
2022-03-07,15.6,16.28,15.4401,15.86,467004.0,7406683.44
2022-03-08,15.84,16.26,14.81,15.73,607546.0,9556698.58
2022-03-09,16.04,16.58,15.38,16.44,747573.0,12290100.12
2022-03-10,16.91,16.95,15.82,16.16,996791.0,16108142.56
2022-03-11,16.2,16.2,14.9,15.51,747681.0,11596532.31
2022-03-14,15.55,15.715,12.83,13.67,1049376.0,14344969.92
2022-03-15,13.74,14.455,13.33,14.3,338216.0,4836488.8
2022-03-16,14.42,15.11,14.22,14.63,681295.0,9967345.85
2022-03-17,14.54,15.06,13.53,14.12,1239710.0,17504705.2
2022-03-18,13.56,14.56,13.51,13.69,4773704.0,65352007.76
2022-03-21,13.67,14.17,12.53,12.76,1292531.0,16492695.56
2022-03-22,13.41,13.64,12.645,13.31,1262916.0,16809411.96
2022-03-23,13.18,13.48,12.81,13.42,916763.0,12302959.46
2022-03-24,13.41,14.61,13.15,14.49,1209380.0,17523916.2
2022-03-25,14.43,14.6,14.03,14.47,1165526.0,16865161.220000003
2022-03-28,14.3,14.46,14.19,14.3,804198.0,11500031.4
2022-03-29,14.45,15.54,14.45,15.33,915667.0,14037175.11
2022-03-30,15.18,15.535,14.945,15.3,971798.0,14868509.4
2022-03-31,15.25,15.88,14.87,15.23,1573246.0,23960536.58
2022-04-01,15.23,15.67,13.76,14.42,1228194.0,17710557.48
2022-04-04,14.39,15.03,14.1,14.62,310966.0,4546322.92
2022-04-05,14.53,14.95,13.905,14.1,404732.0,5706721.2
2022-04-06,13.93,14.25,13.52,14.05,332687.0,4674252.350000001
2022-04-07,13.92,14.05,13.33,13.56,293692.0,3982463.52
2022-04-08,13.43,13.65,12.95,13.44,282629.0,3798533.76
2022-04-11,13.2,13.43,12.77,12.93,720192.0,9312082.56
2022-04-12,13.18,13.45,12.68,12.77,707920.0,9040138.4
2022-04-13,12.78,12.78,11.52,12.09,1164275.0,14076084.75
2022-04-14,12.09,12.28,11.215,11.41,1023786.0,11681398.26
2022-04-18,11.27,11.56,11.12,11.38,727187.0,8275388.06
2022-04-19,11.31,11.74,11.04,11.72,671832.0,7873871.04
2022-04-20,11.8,11.92,11.38,11.41,463589.0,5289550.49
2022-04-21,11.31,11.65,10.945,11.16,485114.0,5413872.24
2022-04-22,11.1,11.44,10.98,11.18,343544.0,3840821.92
2022-04-25,10.925,11.61,10.78,11.57,790850.0,9150134.5
2022-04-26,11.47,11.5,11.14,11.18,420644.0,4702799.92
2022-04-27,11.05,11.31,10.8,10.81,354835.0,3835766.35
2022-04-28,10.9,11.4,10.43,11.19,498007.0,5572698.33
2022-04-29,11.16,11.51,10.81,11.04,586053.0,6470025.119999999
2022-05-02,10.97,11.3,10.82,11.22,329813.0,3700501.86
2022-05-03,11.26,11.53,11.0,11.42,239481.0,2734873.02
2022-05-04,11.5,11.61,10.88,11.58,312007.0,3613041.06
2022-05-05,11.49,11.57,10.85,11.1,330767.0,3671513.7
2022-05-06,11.01,11.12,10.44,10.71,282004.0,3020262.8400000003
2022-05-09,10.54,10.59,9.64,9.74,346400.0,3373936.0
2022-05-10,9.88,10.0293,9.08,9.42,475386.0,4478136.12
2022-05-11,9.37,9.49,8.78,8.8,278796.0,2453404.8000000003
2022-05-12,8.68,9.47,8.61,9.46,404192.0,3823656.32
2022-05-13,9.66,10.43,9.63,10.13,383597.0,3885837.61
2022-05-16,10.04,10.14,9.77,9.8,205721.0,2016065.8
2022-05-17,10.05,10.105,9.81,10.06,254517.0,2560441.02
2022-05-18,9.86,10.14,9.72,9.82,246107.0,2416770.74
2022-05-19,9.83,10.165,9.7,9.86,418618.0,4127573.48
2022-05-20,10.06,10.15,9.51,9.7,273050.0,2648585.0
2022-05-23,9.82,10.0,9.65,10.0,253223.0,2532230.0
2022-05-24,9.98,10.06,9.54,9.93,362066.0,3595315.38
2022-05-25,9.82,10.1,9.8,10.01,253524.0,2537775.24
2022-05-26,9.92,10.24,9.6,10.16,222868.0,2264338.88
2022-05-27,10.3,10.55,10.23,10.51,328659.0,3454206.09
2022-05-31,10.58,10.99,10.01,10.23,906247.0,9270906.81
2022-06-01,10.23,10.34,9.93,10.25,448742.0,4599605.5
2022-06-02,11.5,13.4,11.5,12.94,1828311.0,23658344.34
2022-06-03,13.04,13.09,12.39,12.91,719459.0,9288215.69
2022-06-06,13.0,13.49,12.68,12.74,468162.0,5964383.88
2022-06-07,12.53,13.69,12.45,13.65,365010.0,4982386.5
2022-06-08,13.61,13.92,13.32,13.42,270422.0,3629063.24
2022-06-09,13.24,13.36,12.54,12.67,264615.0,3352672.05
2022-06-10,12.55,12.6,12.23,12.43,219677.0,2730585.11
2022-06-13,11.99,12.085,11.63,11.96,452324.0,5409795.04
2022-06-14,12.1,12.66,11.9,12.6,443341.0,5586096.6
2022-06-15,12.8,13.05,12.39,12.7,399689.0,5076050.3
2022-06-16,12.42,12.49,11.73,11.8,341660.0,4031588.000000001
2022-06-17,11.94,12.7,11.74,12.52,995435.0,12462846.2
2022-06-21,12.67,13.62,12.67,13.29,419081.0,5569586.489999999
2022-06-22,13.02,13.41,12.75,12.88,217843.0,2805817.8400000003
2022-06-23,12.86,13.0399,12.215,12.36,447495.0,5531038.2
2022-06-24,12.47,12.9499,12.47,12.74,478832.0,6100319.68
2022-06-27,12.69,13.9,11.6,11.84,1008376.0,11939171.84
2022-06-28,11.68,12.16,11.21,11.89,665259.0,7909929.510000001
2022-06-29,11.76,11.95,11.14,11.57,501704.0,5804715.28
2022-06-30,11.36,11.69,11.02,11.68,233055.0,2722082.4
2022-07-01,11.6,11.9,11.055,11.29,270098.0,3049406.42
2022-07-05,11.11,11.52,10.75,11.48,320061.0,3674300.28
2022-07-06,11.49,11.49,10.76,10.96,344386.0,3774470.560000001
2022-07-07,11.1,12.06,11.08,11.96,415611.0,4970707.5600000005
2022-07-08,11.91,12.04,11.59,11.9,194645.0,2316275.5
2022-07-11,11.83,11.86,11.12,11.17,407783.0,4554936.11
2022-07-12,11.19,11.615,11.09,11.21,319137.0,3577525.7700000005
2022-07-13,11.01,11.15,10.7108,10.77,363981.0,3920075.37
2022-07-14,10.69,10.9,10.3404,10.81,443228.0,4791294.680000001
2022-07-15,11.04,11.21,10.73,11.05,461147.0,5095674.350000001
2022-07-18,11.21,11.54,10.87,11.04,514577.0,5680930.079999999
2022-07-19,11.11,11.88,10.84,11.86,441770.0,5239392.2
2022-07-20,11.83,12.33,11.45,12.01,359547.0,4318159.47
2022-07-21,12.09,12.11,11.68,11.95,217953.0,2604538.3499999996
2022-07-22,11.93,11.93,11.17,11.27,305385.0,3441688.9499999997
2022-07-25,11.35,11.775,10.95,11.66,588472.0,6861583.5200000005
2022-07-26,11.66,12.73,11.585,12.6,812538.0,10237978.8
2022-07-27,12.67,14.39,12.51,13.89,1170728.0,16261411.92
2022-07-28,13.96,15.25,13.66,15.21,1659484.0,25240751.64
2022-07-29,15.31,16.17,15.07,16.05,1561020.0,25054371.0
2022-08-01,15.01,15.6,14.08,14.84,3241632.0,48105818.88
2022-08-02,14.66,15.88,14.34,15.25,1215714.0,18539638.5
2022-08-03,15.51,16.2,15.51,16.0,1695741.0,27131856.0
2022-08-04,16.0,17.32,15.7501,16.29,1466505.0,23889366.45
2022-08-05,16.02,16.34,15.9,16.01,899304.0,14397857.04
2022-08-08,16.05,16.1,15.63,15.79,1179598.0,18625852.42
2022-08-09,15.655,15.78,14.99,15.65,1035740.0,16209331.0
2022-08-10,15.9,16.3,15.43,16.16,2236104.0,36135440.64
2022-08-11,16.28,16.31,14.61,14.84,2779923.0,41254057.32
2022-08-12,14.82,15.47,14.7706,15.46,1022809.0,15812627.14
2022-08-15,15.41,15.45,14.84,14.92,863632.0,12885389.44
2022-08-16,14.78,15.085,14.3,14.89,1430168.0,21295201.52
2022-08-17,14.81,15.32,14.52,15.3,1185300.0,18135090.0
2022-08-18,15.3,15.66,14.9201,15.66,1682448.0,26347135.68
2022-08-19,15.45,15.575,14.44,14.6,1623821.0,23707786.6
2022-08-22,14.39,14.9,13.81,14.84,1261739.0,18724206.76
2022-08-23,14.81,14.97,14.34,14.5,1242136.0,18010972.0
2022-08-24,14.48,14.96,14.29,14.86,1257157.0,18681353.02
2022-08-25,14.87,15.4,14.68,15.4,2078944.0,32015737.6
2022-08-26,15.4,15.48,13.38,13.85,3215335.0,44532389.75
2022-08-29,13.51,14.27,13.51,14.06,1046855.0,14718781.3
2022-08-30,14.25,14.25,13.84,14.18,1593816.0,22600310.88
2022-08-31,14.19,14.28,13.73,13.79,1703826.0,23495760.54
2022-09-01,13.87,14.29,12.61,12.98,2119654.0,27513108.92
2022-09-02,13.11,13.16,12.68,12.9,1413952.0,18239980.8
2022-09-06,12.9,13.68,12.755,12.96,2122362.0,27505811.520000003
2022-09-07,12.91,13.08,12.68,12.81,2655363.0,34015200.03
2022-09-08,12.79,13.05,12.62,12.76,1353605.0,17271999.8
2022-09-09,12.96,12.96,12.48,12.64,1931425.0,24413212.0
2022-09-12,12.9,13.095,12.62,12.87,2398150.0,30864190.499999996
2022-09-13,12.52,13.91,12.505,13.03,3830103.0,49906242.09
2022-09-14,13.15,13.54,12.81,12.96,3126172.0,40515189.120000005
2022-09-15,12.88,13.038,12.03,12.14,2935152.0,35632745.28
2022-09-16,11.92,12.0,11.42,11.74,15911513.0,186801162.62
2022-09-19,11.58,11.99,11.3735,11.84,1934166.0,22900525.44
2022-09-20,11.64,11.975,11.55,11.89,1898906.0,22577992.34
2022-09-21,11.9,12.25,11.63,11.84,1033353.0,12234899.52
2022-09-22,11.71,11.71,11.3,11.47,1133315.0,12999123.05
2022-09-23,11.3,11.75,11.2,11.65,1064305.0,12399153.25
2022-09-26,11.54,11.92,11.405,11.61,911387.0,10581203.07
2022-09-27,11.7,11.99,11.32,11.58,1224079.0,14174834.82
2022-09-28,11.58,12.18,11.5,12.03,1133776.0,13639325.28
2022-09-29,11.86,12.0,11.52,11.69,702783.0,8215533.27
2022-09-30,11.63,11.69,10.98,11.0,1603243.0,17635673.0
2022-10-03,11.08,11.49,11.0,11.31,1433455.0,16212376.05
2022-10-04,11.59,11.98,11.57,11.68,2000797.0,23369308.96
2022-10-05,11.34,11.62,10.92,11.61,1658552.0,19255788.72
2022-10-06,11.59,11.97,11.5,11.57,1125518.0,13022243.26
2022-10-07,11.27,11.35,10.85,10.99,1001642.0,11008045.58
2022-10-10,10.91,10.91,10.245,10.34,958236.0,9908160.24
2022-10-11,10.25,10.28,9.79,9.88,1004341.0,9922889.08
2022-10-12,9.85,10.4,9.35,10.39,816338.0,8481751.82
2022-10-13,10.08,11.23,10.08,11.1,1523713.0,16913214.3
