timestamps,open,high,low,close,volume,amount
2025-03-28,39.0,41.94,37.46,40.0,41091102.0,1643644080.0
2025-03-31,38.49,38.49,36.0,37.08,15194799.0,563423146.92
2025-04-01,38.5,53.27,37.2,52.57,38327830.0,2014894023.1
2025-04-02,55.91,64.62,51.4,61.36,52666836.0,3231637056.96
2025-04-03,55.39,57.6462,48.26,53.8,27120591.0,1459087795.8
2025-04-04,49.6,51.0,43.5101,47.82,14469569.0,691934789.58
2025-04-07,43.885,52.0,42.16,49.85,11414735.0,569024539.75
2025-04-08,54.145,54.8,42.36,43.61,13657228.0,595591713.08
2025-04-09,43.725,49.88,39.121148,48.77,17229733.0,840294078.4100001
2025-04-10,46.9,46.9999,41.8443,42.2,9404305.0,396861671.0
2025-04-11,42.5,44.88,41.02,43.75,5579529.0,244104393.75
2025-04-14,46.795,46.85,42.4,43.61,4826992.0,210505121.12
2025-04-15,43.56,44.7399,40.0003,40.78,6841326.0,278989274.28000003
2025-04-16,40.165,40.84,38.2641,40.73,7206790.0,293532556.7
2025-04-17,41.05,41.63,38.35,39.09,4844587.0,189374905.83
2025-04-21,38.62,38.6388,33.515,35.415,8116221.0,287435966.715
2025-04-22,36.98,39.61,36.0,38.51,9589264.0,369282556.64
2025-04-23,42.075,43.948,40.16,41.62,7651467.0,318454056.53999996
2025-04-24,42.55,43.5,38.8,41.77,9376662.0,391663171.74
2025-04-25,41.95,44.36,40.9,41.54,8765611.0,364123480.94
2025-04-28,42.01,43.33,39.78,42.02,5194556.0,218275243.12
2025-04-29,42.205,46.45,41.0101,42.82,10493581.0,449335138.42
2025-04-30,41.0,41.5099,39.5,41.3,6100187.0,251937723.1
2025-05-01,47.025,48.35,44.03,44.32,13001613.0,576231488.16
2025-05-02,46.939,51.82,45.8,51.57,9199617.0,474424248.69
2025-05-05,50.429,52.78,49.7,51.01,6432301.0,328111674.01
2025-05-06,49.36,54.832,49.0608,54.295,9644380.0,523641612.1
2025-05-07,54.91,54.91,51.4,53.6,5979160.0,320482976.0
2025-05-08,54.71,55.7,52.77,55.0,6263988.0,344519340.0
2025-05-09,55.96,56.82,50.18,51.37,7948875.0,408333708.75
2025-05-12,54.3,59.44,52.9,58.49,10619005.0,621105602.45
2025-05-13,57.6,64.87,57.32,63.26,10125907.0,640564876.8199999
2025-05-14,66.0,68.5,64.0,67.46,25124594.0,1694905111.2399998
2025-05-15,68.87,72.97,61.33,65.77,36202103.0,2381012314.31
2025-05-16,68.075,84.0,67.55,80.3,42983957.0,3451611747.1
2025-05-19,76.9,88.9,76.08,86.59,33360504.0,2888686041.36
2025-05-20,89.67,96.3499,83.305,90.24,34969197.0,3155620337.2799997
2025-05-21,89.46,109.49,89.3,107.39,61681570.0,6623983802.3
2025-05-22,112.14,116.5388,99.51,100.16,61046931.0,6114460608.96
2025-05-23,98.0,106.79,97.1,102.74,31097562.0,3194963519.8799996
2025-05-27,109.268,125.02,107.975,123.97,38031965.0,4714822701.05
2025-05-28,123.75,123.75,113.0,116.15,27833909.0,3232908530.3500004
2025-05-29,123.5,130.76,105.53,105.55,38642738.0,4078740995.9
2025-05-30,109.0,111.95,104.9,111.31,23532827.0,2619438973.37
2025-06-02,116.295,123.66,114.0,120.2,26269135.0,3157550027.0
2025-06-03,125.3,150.88,124.7,150.48,53920713.0,8113988892.24
2025-06-04,155.875,166.63,144.3,163.1,55448739.0,9043689330.9
2025-06-05,156.0,157.46,132.8,135.05,50952812.0,6881177260.6
2025-06-06,144.93,148.79,138.59,140.16,23229931.0,3255907128.96
2025-06-09,147.8,163.29,144.1367,162.1,29451693.0,4774119435.3
2025-06-10,156.5,158.3,149.0,154.9,24264349.0,3758547660.1
2025-06-11,160.01,166.03,145.5,149.7,25772813.0,3858190106.1
2025-06-12,153.7,154.8,142.5,148.97,15249046.0,2271650382.62
2025-06-13,143.24,154.4999,142.5,147.19,16515242.0,2430878469.98
2025-06-16,148.6,158.5,143.48,158.5,19757072.0,3131495912.0
2025-06-17,156.98,175.38,155.8,171.93,32381794.0,5567401842.42
2025-06-18,173.33,176.75,165.55,170.0,19866363.0,3377281710.0
2025-06-20,171.82,187.0,168.85,183.58,31258711.0,5738474165.38
2025-06-23,183.32,183.53,159.0,173.68,26820738.0,4658225775.84
2025-06-24,176.37,183.98,171.2301,172.62,18343573.0,3166467571.26
2025-06-25,178.02,180.25,157.9,159.5,17830203.0,2843917378.5
2025-06-26,164.15,165.99,152.8892,158.08,17009603.0,2688878042.24
2025-06-27,160.13,167.88,158.2,159.99,17437622.0,2789845143.78
2025-06-30,163.31,173.349,160.46,163.06,13731846.0,2239114808.76
2025-07-01,162.78,162.78,154.9,155.94,10913502.0,1701851501.88
2025-07-02,152.81,158.72,151.26,151.77,8458199.0,1283700862.23
2025-07-03,155.0,166.22,153.55,165.2,10442274.0,1725063664.8
2025-07-07,161.18,163.66,155.26,159.7,12665695.0,2022711491.5
2025-07-08,159.345,160.42,148.75,151.45,12024644.0,1821132333.8
2025-07-09,155.2,156.47,149.7,153.05,9572204.0,1465025822.2
2025-07-10,152.8,153.5,136.01,138.29,16519457.0,2284475708.5299997
2025-07-11,132.925,136.3599,125.67,125.84,15721936.0,1978448426.24
2025-07-14,130.38,135.67,129.99,132.375,11432878.0,1513427225.25
2025-07-15,144.24,146.75,140.05,140.59,17316206.0,2434485401.54
2025-07-16,143.15,146.99,139.02,143.04,10875592.0,1555644679.6799998
2025-07-17,141.37,141.37,131.34,132.21,12204698.0,1613583122.5800002
2025-07-18,132.52,132.52,122.19,123.02,12863607.0,1582480933.14
2025-07-21,126.53,134.3,124.11,124.91,11231230.0,1402892939.3
2025-07-22,125.925,132.4,122.7001,129.77,9407275.0,1220782076.75
2025-07-23,132.0,132.12,125.3831,126.05,6691174.0,843422482.6999999
2025-07-24,125.75,126.32,120.0,120.0,7629928.0,915591360.0
2025-07-25,119.93,119.93,114.23,115.62,10297510.0,1190598106.2
2025-07-28,115.0,116.8,109.6,110.28,9628063.0,1061782787.64
2025-07-29,108.84,113.44,106.3,108.74,10513259.0,1143211783.6599998
2025-07-30,108.755,109.5,100.8,102.89,11052032.0,1137143572.48
2025-07-31,112.63,119.59,111.5,114.13,24987827.0,2851860695.51
2025-08-01,104.9,109.3,103.105,104.14,13055033.0,1359551136.62
2025-08-04,106.675,107.58,101.6,106.01,9034851.0,957784554.51
2025-08-05,105.225,114.25,104.503,111.84,11902823.0,1331211724.32
2025-08-06,110.5,111.9999,105.56,110.24,7794309.0,859244624.16
2025-08-07,115.48,122.2,115.02,121.08,17715871.0,2145037660.68
2025-08-08,128.05,130.9799,121.7,129.55,17159705.0,2223039782.75
2025-08-11,134.8,141.5,130.18,139.78,19430289.0,2715965796.42
2025-08-12,135.825,148.8,130.43,148.75,28929798.0,4303307452.5
2025-08-13,132.975,134.5,117.6,117.76,37157592.0,4375678033.92
2025-08-14,115.26,116.8799,98.8101,99.505,51195165.0,5094174893.325
2025-08-15,95.9,102.0,94.7,99.97,52661059.0,5264526068.23
2025-08-18,102.21,103.91,96.7,96.8,33761102.0,3268074673.6
2025-08-19,96.44,96.5,88.65,92.89,32158872.0,2987237620.08
2025-08-20,90.155,91.65,85.26,91.52,32919787.0,3012818906.24
2025-08-21,94.015,95.84,90.65,90.79,27261778.0,2475096824.6200004
2025-08-22,91.09,98.6,88.58,93.99,34000406.0,3195698159.94
2025-08-25,94.0,94.0,90.0,92.38,14803443.0,1367542064.34
2025-08-26,91.82,94.77,90.32,91.39,16042721.0,1466144272.19
2025-08-27,93.95,97.5,92.65,96.93,32747405.0,3174205966.65
2025-08-28,100.64,105.5,99.9,102.79,45313150.0,4657738688.5
2025-08-29,100.9,103.08,96.3193,103.04,24208320.0,2494425292.8
2025-09-02,96.63,97.13,90.7001,93.34,33402460.0,3117785616.4
2025-09-03,93.745,93.79,88.76,89.88,18944025.0,1702688967.0
2025-09-04,88.48,89.72,85.21,87.48,17805121.0,1557591985.0800002
2025-09-05,90.02,90.44,84.4,89.09,18448517.0,1643578379.53
2025-09-08,88.92,96.17,88.6427,93.55,24705188.0,2311170337.4
2025-09-09,99.885,103.89,97.05,100.22,40286652.0,4037528263.44
2025-09-10,110.025,124.9,109.01,117.14,70126969.0,8214673148.66
2025-09-11,117.9,118.643,112.13,112.69,25179328.0,2837458472.32
2025-09-12,113.925,115.31,104.07,111.96,32550357.0,3644337969.72
2025-09-15,120.85,121.88,116.11,120.47,37532703.0,4521564730.41
2025-09-16,121.47,125.76,115.12,118.75,29506841.0,3503937368.75
2025-09-17,119.48,121.84,114.57,120.86,24420736.0,2951490152.96
2025-09-18,122.375,122.88,118.2,121.39,21873392.0,2655211054.88
2025-09-19,122.05,129.39,122.0,124.86,47567714.0,5939304770.04
2025-09-22,124.69,136.4799,119.5,133.23,40323417.0,5372288846.91
2025-09-23,135.71,136.0,127.04,130.89,29126438.0,3812359469.82
2025-09-24,132.82,133.8,124.0601,133.4,26409243.0,3522993016.2000003
2025-09-25,130.075,138.95,125.8,126.66,48895644.0,6193122269.04
2025-09-26,127.915,129.38,119.5,120.34,29939282.0,3602893195.88
2025-09-29,120.71,126.5,120.5,122.52,22532248.0,2760651024.96
2025-09-30,136.21,142.67,133.22,136.85,71176750.0,9740538237.5
2025-10-01,135.93,137.61,132.27,137.05,22675047.0,3107615191.3500004
2025-10-02,140.5,140.6499,134.5251,138.0,21567601.0,2976328938.0
2025-10-03,139.0,140.55,130.8,134.79,23405642.0,3154846485.18
2025-10-06,137.35,144.3292,133.78,133.85,26763610.0,3582309198.5
2025-10-07,136.155,138.51,126.36,128.83,26822542.0,3455548085.86
2025-10-08,131.98,140.8,131.23,139.98,34398798.0,4815143744.04
2025-10-09,139.77,143.69,136.49,143.08,24633297.0,3524532134.76
2025-10-10,146.06,153.1999,137.04,138.43,44473972.0,6156531943.96
2025-10-13,141.855,144.0,136.01,141.62,20760620.0,2940119004.4
2025-10-14,138.17,139.4,130.3,134.06,25696077.0,3444816082.62
2025-10-15,139.53,141.48,134.42,139.24,20652941.0,2875715504.84
2025-10-16,141.44,150.4,137.81,141.74,36104180.0,5117406473.200001
2025-10-17,137.365,137.5999,129.04,136.87,30264649.0,4142322508.63
2025-10-20,137.9,138.305,126.71,127.06,25428477.0,3230942287.62
2025-10-21,123.905,126.25,119.31,125.06,24392793.0,3050562692.58
2025-10-22,123.455,124.57,114.17,121.53,26660116.0,3240003897.48
2025-10-23,120.09,124.9,118.26,123.34,14707064.0,1813969273.76
2025-10-24,127.1,133.055,125.99,132.55,21222998.0,2813108384.9
2025-10-27,135.57,136.93,132.6,136.06,13680470.0,1861364748.2
2025-10-28,136.81,141.79,134.55,134.8,23205397.0,3128087515.6000004
2025-10-29,137.75,140.33,134.12,139.93,19836793.0,2775762444.49
2025-10-30,135.45,137.18,130.41,131.06,19141720.0,2508713823.2
2025-10-31,133.875,138.36,132.3,133.71,16050198.0,2146071974.58
2025-11-03,133.835,133.835,125.88,126.32,14294406.0,1805669365.92
2025-11-04,119.96,123.24,115.14,115.75,18552015.0,2147395736.25
2025-11-05,118.42,118.49,112.1701,114.42,17381030.0,1988737452.6
2025-11-06,115.94,116.44,104.1,106.93,26204558.0,2802053386.94
2025-11-07,103.12,105.3498,100.02,104.01,24982631.0,2598443450.31
2025-11-10,110.3,110.3,102.78,105.61,43561285.0,4600507308.85
2025-11-11,96.1,98.0,88.0,88.39,76900369.0,6797223615.91
2025-11-12,91.77,92.5,85.32,85.43,41721923.0,3564303881.8900003
2025-11-13,84.385,85.0,77.25,78.34,42804793.0,3353327483.6200004
2025-11-14,75.845,80.2,73.47,77.36,52465230.0,4058710192.8
2025-11-17,75.51,78.48,72.55,75.33,29176435.0,2197860848.5499997
2025-11-18,74.445,77.8799,70.471,74.9,33464125.0,2506462962.5
2025-11-19,75.0,77.37,72.88,74.92,26795845.0,2007544707.4
2025-11-20,82.62,83.49,68.9501,69.21,40999639.0,2837585015.1899996
2025-11-21,70.78,72.85,65.22,71.65,38888953.0,2786393482.4500003
2025-11-24,72.95,74.2099,70.84,73.6,29927535.0,2202666576.0
2025-11-25,70.835,72.24,66.0,71.29,27805414.0,1982247964.06
2025-11-26,74.76,76.5999,72.85,74.29,28792926.0,2139026472.54
2025-11-28,75.625,75.63,72.125,73.12,14114676.0,1032065109.12
2025-12-01,71.25,77.39,69.3201,77.06,25412569.0,1958292567.14
2025-12-02,77.5,82.84,75.95,76.03,25651306.0,1950268795.18
2025-12-03,75.54,79.63,73.3794,79.36,19858752.0,1575990558.72
2025-12-04,79.185,88.375,77.86,85.75,29382748.0,2519570641.0
2025-12-05,87.3,88.76,84.62,88.3,20076811.0,1772782411.3
2025-12-08,83.65,87.0,80.145,86.24,39915674.0,3442327725.76
2025-12-09,84.52,91.22,83.77,90.66,34344535.0,3113675543.1
2025-12-10,88.435,89.7899,85.35,88.16,26538858.0,2339665721.2799997
2025-12-11,83.01,88.53,81.1,87.38,26907443.0,2351172369.3399997
2025-12-12,86.19,87.6999,77.66,78.59,35221254.0,2768038351.86
2025-12-15,79.33,79.74,72.02,72.35,31357588.0,2268721491.7999997
2025-12-16,70.7,71.5,67.75,69.5,36003523.0,2502244848.5
2025-12-17,69.55,69.9897,63.8,64.55,48189820.0,3110652881.0
2025-12-18,67.445,68.94,65.8661,67.68,34126318.0,2309669202.24
2025-12-19,70.86,84.29,70.73,83.0,70469420.0,5848961860.0
2025-12-22,84.99,87.31,84.18,84.83,23983945.0,2034558054.35
2025-12-23,82.28,83.71,78.7,80.26,22239750.0,1784962335.0
2025-12-24,80.07,80.94,78.55,78.87,11922524.0,940329467.88
2025-12-26,79.0,79.29,75.73,76.42,14073499.0,1075496793.58
2025-12-29,73.54,77.75,73.4,74.92,14033053.0,1051356330.76
2025-12-30,74.755,75.8616,73.65,73.9,13291778.0,982262394.2
2025-12-31,73.49,73.675,70.43,71.61,18122831.0,1297775927.91
2026-01-02,73.93,81.17,73.16,79.32,30050016.0,2383567269.12
2026-01-05,82.9,84.54,76.77,76.86,27206462.0,2091088669.32
2026-01-06,78.65,78.84,73.75,77.94,25473266.0,1985386352.04
2026-01-07,77.14,79.94,75.75,77.18,14413401.0,1112426289.18
2026-01-08,77.575,79.9299,75.91,77.09,20472247.0,1578205521.23
2026-01-09,78.32,81.5,75.51,80.14,26303232.0,2107941012.48
2026-01-12,78.75,91.94,77.81,89.93,43610479.0,3921890376.47
2026-01-13,89.05,91.5,86.86,87.48,20414056.0,1785821618.88
2026-01-14,89.2,93.18,86.5,89.8,28378258.0,2548367568.4
2026-01-15,94.73,99.73,94.25,95.01,40670384.0,3864093183.84
2026-01-16,97.32,102.9793,95.75,101.23,34781378.0,3520918894.94
2026-01-20,95.3,97.37,93.13,95.22,26822540.0,2554042258.8
2026-01-21,95.395,95.92,87.25,94.05,29676614.0,2791085546.7
2026-01-22,97.52,99.47,91.57,91.79,19946388.0,1830878954.52
2026-01-23,90.45,95.98,87.07,92.98,20374955.0,1894463315.9
2026-01-26,102.0,108.65,98.05,98.31,49348962.0,4851496454.22
2026-01-27,103.7,111.79,101.86,108.86,49218762.0,5357954431.32
2026-01-28,114.155,114.45,102.64,106.02,36455558.0,3865018259.16
2026-01-29,103.86,106.4399,96.1,99.53,30885933.0,3074076911.49
2026-01-30,99.0,99.5,92.5001,93.19,25314890.0,2359094599.1
2026-02-02,92.835,94.7699,88.52,88.94,19489110.0,1733361443.4
2026-02-03,91.02,92.1199,83.93,90.06,25101357.0,2260628211.42
2026-02-04,89.55,91.95,81.01,82.46,26247809.0,2164394330.14
2026-02-05,79.65,81.97,74.0,74.65,23637671.0,1764552140.15
2026-02-06,77.9,90.6,77.1,89.95,36852754.0,3314905222.3
2026-02-09,90.07,97.94,88.7,96.79,25424406.0,2460828256.74
2026-02-10,95.0,97.29,93.8,95.11,14088159.0,1339924802.49
2026-02-11,95.82,97.77,88.53,95.15,21192299.0,2016447249.85
2026-02-12,94.265,97.5,90.33,95.7,20441449.0,1956246669.3
