timestamps,open,high,low,close,volume,amount
2021-05-28,53.18,53.22,52.835,52.9,14864346.0,786323903.4
2021-06-01,52.96,53.315,52.43,52.62,15741984.0,828343198.0799999
2021-06-02,52.65,52.99,52.4,52.96,14529315.0,769472522.4
2021-06-03,52.8,53.555,52.62,53.33,17368103.0,926240932.99
2021-06-04,53.435,54.17,53.435,54.07,11676702.0,631359277.14
2021-06-07,54.32,54.44,53.79,53.92,14899750.0,803394520.0
2021-06-08,53.97,54.39,53.89,54.13,15329693.0,829796282.09
2021-06-09,54.18,54.42,53.935,54.02,14861230.0,802803644.6
2021-06-10,54.43,55.08,54.27,55.03,22183543.0,1220760371.29
2021-06-11,55.19,55.35,54.54,54.77,17134047.0,938431754.19
2021-06-14,54.39,54.5278,53.525,54.17,15131359.0,819665717.03
2021-06-15,54.23,54.32,53.73,53.79,12542570.0,674664840.3
2021-06-16,53.85,53.92,53.13,53.47,15477901.0,827603366.47
2021-06-17,53.41,53.545,53.01,53.13,18288396.0,971662479.48
2021-06-18,52.805,52.84,51.88,52.07,35758257.0,1861932441.99
2021-06-21,52.365,53.41,52.29,53.18,17682231.0,940341044.58
2021-06-22,53.3,53.36,52.81,53.26,16427678.0,874938130.28
2021-06-23,53.27,53.29,52.59,52.76,14749810.0,778199975.6
2021-06-24,52.94,53.05,52.61,52.78,13891785.0,733208412.3000001
2021-06-25,52.77,53.195,52.6466,53.06,16682662.0,885182045.72
2021-06-28,53.16,53.29,52.92,52.96,14008655.0,741898368.8000001
2021-06-29,52.89,53.1877,52.77,52.91,10776112.0,570164085.92
2021-06-30,52.95,53.07,52.62,53.0,15826635.0,838811655.0
2021-07-01,53.05,53.6,53.0,53.44,15074802.0,805597418.88
2021-07-02,53.19,53.62,52.835,53.54,14923513.0,799004886.02
2021-07-06,53.2159,53.36,52.34,52.98,19394469.0,1027518967.62
2021-07-07,53.07,53.3,52.67,53.26,14411561.0,767559738.86
2021-07-08,53.16,53.72,52.91,53.26,15691808.0,835745694.0799999
2021-07-09,53.36,53.93,53.29,53.74,14655098.0,787564966.52
2021-07-12,54.04,54.04,53.13,53.23,14000837.0,745264553.51
2021-07-13,53.34,53.58,53.2,53.32,9927531.0,529335952.92
2021-07-14,53.5,54.2,53.34,54.09,17113677.0,925678788.93
2021-07-15,53.84,53.87,53.24,53.65,14952369.0,802194596.85
2021-07-16,53.88,54.4092,53.65,53.7,14144924.0,759582418.8000001
2021-07-19,53.67,53.695,52.73,53.06,19925276.0,1057235144.56
2021-07-20,53.28,53.93,53.19,53.58,17250163.0,924263733.54
2021-07-21,53.82,53.9,53.42,53.88,14068607.0,758016545.1600001
2021-07-22,53.905,54.55,53.78,54.54,15729796.0,857903073.84
2021-07-23,54.89,55.34,54.51,55.23,13042474.0,720335839.02
2021-07-26,55.1315,55.65,55.1315,55.47,10097443.0,560105163.21
2021-07-27,55.38,55.41,54.79,55.28,14725182.0,814008060.96
2021-07-28,55.46,55.52,54.41,54.77,18835703.0,1031631453.31
2021-07-29,55.0,55.35,54.9,55.07,10680230.0,588160266.1
2021-07-30,55.08,55.49,55.01,55.37,13438791.0,744105857.67
2021-08-02,55.5972,55.94,55.26,55.45,12468820.0,691396069.0
2021-08-03,55.535,56.415,55.27,56.25,17357425.0,976355156.25
2021-08-04,56.37,56.37,55.47,55.69,11662395.0,649478777.55
2021-08-05,55.52,55.98,55.5,55.76,10785166.0,601380856.16
2021-08-06,55.47,55.95,55.15,55.59,18386118.0,1022084299.62
2021-08-09,55.82,56.07,55.4,55.47,8707363.0,482997425.61
2021-08-10,55.5003,55.67,55.25,55.61,10441902.0,580674170.22
2021-08-11,55.89,56.01,55.6,55.86,12604661.0,704096363.46
2021-08-12,55.85,56.45,55.66,56.39,11214978.0,632412609.42
2021-08-13,56.39,56.62,56.26,56.47,10641712.0,600937476.64
2021-08-16,56.3,56.43,55.93,56.28,14408717.0,810922592.76
2021-08-17,55.87,56.02,55.625,56.01,11897541.0,666381271.41
2021-08-18,55.79,56.135,55.025,55.15,17111660.0,943708049.0
2021-08-19,54.76,57.49,54.59,57.27,39881554.0,2284016597.58
2021-08-20,57.2537,58.335,56.85,58.22,21876451.0,1273646977.22
2021-08-23,57.85,58.7,57.7435,58.54,16225367.0,949832984.18
2021-08-24,58.49,59.43,58.43,59.32,17658268.0,1047488457.76
2021-08-25,59.54,60.27,59.17,59.35,18069603.0,1072430938.05
2021-08-26,59.42,59.63,58.985,59.2,13729432.0,812782374.4000001
2021-08-27,59.265,59.35,58.86,59.02,14795234.0,873214710.6800001
2021-08-30,58.98,59.22,58.8,59.13,11690606.0,691265532.78
2021-08-31,59.11,59.175,58.58,59.02,19873915.0,1172958463.3
2021-09-01,59.02,59.14,58.66,59.04,11629950.0,686632248.0
2021-09-02,59.35,59.72,59.06,59.53,12857568.0,765411023.04
2021-09-03,59.33,59.6592,59.28,59.42,9735954.0,578510386.6800001
2021-09-07,59.235,59.365,58.75,58.88,15733888.0,926411325.44
2021-09-08,58.55,58.93,58.49,58.68,13124542.0,770148124.56
2021-09-09,58.45,58.94,58.25,58.6,14958801.0,876585738.6
2021-09-10,58.75,58.95,57.82,57.89,13622076.0,788581979.64
2021-09-13,58.16,58.53,57.725,58.1,13957442.0,810927380.2
2021-09-14,58.24,58.47,57.66,57.87,13188275.0,763205474.25
2021-09-15,57.78,59.6,57.06,57.56,38494174.0,2215724655.44
2021-09-16,58.3093,58.82,57.125,57.33,24029589.0,1377616337.37
2021-09-17,57.39,57.45,56.47,56.85,40262681.0,2288933414.85
2021-09-20,56.38,56.4,55.29,55.89,21896975.0,1223821932.75
2021-09-21,55.96,56.37,55.23,55.26,18655634.0,1030910334.84
2021-09-22,55.7621,56.13,55.37,55.52,17940644.0,996064554.88
2021-09-23,55.6992,56.895,55.6,56.69,16262483.0,921920161.27
2021-09-24,56.4468,56.81,56.22,56.73,13113449.0,743925961.77
2021-09-27,56.46,56.67,56.05,56.22,13859542.0,779183451.24
2021-09-28,55.7841,55.985,55.41,55.52,17803201.0,988433719.52
2021-09-29,55.615,55.98,55.34,55.48,14051718.0,779589314.64
2021-09-30,55.8,55.9,54.41,54.43,19111516.0,1040239815.88
2021-10-01,54.6,55.41,54.04,55.14,18338041.0,1011159580.74
2021-10-04,54.5,54.68,53.95,54.23,16939070.0,918605766.1
2021-10-05,54.13,55.025,54.13,54.69,14135038.0,773045228.2199999
2021-10-06,54.345,54.38,52.98,53.94,26339162.0,1420734398.28
2021-10-07,54.493,55.41,54.35,55.02,14725494.0,810196679.88
2021-10-08,55.2,55.3,54.75,55.08,9495790.0,523028113.2
2021-10-11,55.25,55.3801,54.9,54.93,8117578.0,445898559.54
2021-10-12,54.99,55.06,54.07,54.28,14241870.0,773048703.6
2021-10-13,54.32,54.75,54.08,54.62,13739168.0,750433356.16
2021-10-14,55.09,55.85,54.98,55.65,14456308.0,804493540.1999999
2021-10-15,55.8876,55.8876,54.96,55.25,15202187.0,839920831.75
2021-10-18,55.04,55.49,54.57,55.19,10989551.0,606513319.6899999
2021-10-19,55.29,55.78,55.03,55.74,13258367.0,739021376.58
2021-10-20,55.8,56.23,55.8,56.2,11613612.0,652684994.4
2021-10-21,56.04,56.12,55.525,55.69,12619885.0,702801395.65
2021-10-22,55.55,55.86,54.94,55.11,15026632.0,828117689.52
2021-10-25,55.11,55.415,54.81,55.14,10218874.0,563468712.36
2021-10-26,55.56,56.3494,55.4,55.81,15249972.0,851100937.32
2021-10-27,56.13,56.72,55.925,56.18,16278988.0,914553545.84
2021-10-28,56.23,56.685,55.89,56.24,11209173.0,630403889.52
2021-10-29,56.315,56.58,55.86,55.97,13550598.0,758426970.06
2021-11-01,55.8691,56.25,55.5,56.1,14341376.0,804551193.6
2021-11-02,56.37,57.87,56.28,57.62,22097851.0,1273278174.62
2021-11-03,57.58,57.93,57.12,57.65,13219383.0,762097429.9499999
2021-11-04,57.6,57.69,56.555,57.12,18070422.0,1032182504.64
2021-11-05,57.3762,57.8,56.93,57.07,15637915.0,892455809.05
2021-11-08,57.1,57.52,56.59,57.0,15045275.0,857580675.0
2021-11-09,57.07,57.6299,56.9,57.44,14459822.0,830572175.68
2021-11-10,57.9,58.625,57.685,57.77,17868614.0,1032269830.78
2021-11-11,57.57,57.77,56.69,56.76,17434744.0,989596069.44
2021-11-12,56.97,57.15,56.31,56.82,16663563.0,946823649.66
2021-11-15,56.9287,57.7,56.83,57.27,19041763.0,1090521767.01
2021-11-16,57.24,58.08,56.925,57.0,21136858.0,1204800906.0
2021-11-17,56.61,57.14,56.27,56.76,31496259.0,1787727660.84
2021-11-18,52.73,53.93,51.08,53.63,70843010.0,3799310626.3
2021-11-19,53.545,53.69,52.78,53.25,30030780.0,1599139035.0
2021-11-22,53.35,55.53,53.3,54.6,39952475.0,2181405135.0
2021-11-23,54.61,55.58,54.47,55.3,25653544.0,1418640983.1999998
2021-11-24,55.15,55.7468,55.15,55.54,19328705.0,1073516275.7
2021-11-26,54.46,55.19,54.46,54.67,16730277.0,914644243.59
2021-11-29,55.14,56.19,54.83,55.76,25724505.0,1434398398.8
2021-11-30,55.58,55.6,54.15,54.84,45141286.0,2475548124.24
2021-12-01,55.53,56.38,54.93,55.03,24126176.0,1327663465.28
2021-12-02,55.15,56.6099,55.08,56.15,22384721.0,1256902084.15
2021-12-03,56.2965,56.82,55.665,56.23,26235369.0,1475214798.87
2021-12-06,56.7,57.17,56.465,56.96,23172844.0,1319925194.24
2021-12-07,57.1,58.215,57.01,58.08,24254772.0,1408717157.76
2021-12-08,58.075,58.13,56.63,57.02,23631258.0,1347454331.16
2021-12-09,57.195,57.8301,56.93,57.55,16480245.0,948438099.75
2021-12-10,57.91,59.34,57.908,59.25,19901484.0,1179162927.0
2021-12-13,59.1,59.51,58.54,58.61,18496305.0,1084068436.05
2021-12-14,58.34,58.525,57.37,57.77,19114189.0,1104226698.53
2021-12-15,57.9213,60.03,57.9,59.93,27953908.0,1675277706.44
2021-12-16,60.05,60.76,59.87,60.31,24599323.0,1483585170.13
2021-12-17,60.27,60.795,59.785,60.46,62333271.0,3768669564.66
