timestamps,open,high,low,close,volume,amount
2021-05-28,53.064,53.906,52.902,53.018,4680815.0,248167449.67
2021-06-01,53.452,55.17,51.968,54.628,7049405.0,385094896.34
2021-06-02,54.9,56.344,54.262,55.73,6513580.0,363001813.4
2021-06-03,54.908,55.628,53.781,54.78,4580760.0,250934032.8
2021-06-04,55.0,56.002,54.532,55.974,3909780.0,218846025.72
2021-06-07,55.688,56.236,54.792,55.97,5801550.0,324712753.5
2021-06-08,56.0,56.118,54.55,55.266,5645575.0,312008347.95
2021-06-09,55.13,55.356,52.814,52.902,5766045.0,305035312.59000003
2021-06-10,52.962,53.678,52.749,53.334,6826845.0,364102951.23
2021-06-11,53.73,55.0,53.4121,54.932,4336490.0,238212068.68
2021-06-14,54.95,55.978,54.948,55.738,4299155.0,239626301.39
2021-06-15,55.4,55.533,53.8,54.64,4558670.0,249085728.8
2021-06-16,54.612,56.316,54.4,55.892,7875820.0,440195331.44
2021-06-17,56.348,58.4,56.06,58.232,11345725.0,660684258.2
2021-06-18,58.342,59.324,57.634,58.864,10184195.0,599482454.48
2021-06-21,59.478,59.852,57.276,59.146,8272580.0,489290016.68
2021-06-22,59.632,62.9,59.374,62.62,13976890.0,875232851.8
2021-06-23,61.3,63.234,61.13,62.946,6800535.0,428066476.11
2021-06-24,63.762,63.9,60.602,60.902,8672385.0,528165591.27
2021-06-25,61.266,61.3,59.618,60.032,11773635.0,706794856.3199999
2021-06-28,59.988,62.012,59.866,61.094,9718500.0,593742039.0
2021-06-29,60.326,60.681,59.322,60.344,9081600.0,548020070.4
2021-06-30,60.334,61.49,59.85,60.364,4247315.0,256384922.66
2021-07-01,60.0,61.7,59.4565,61.602,3633400.0,223824706.8
2021-07-02,62.0,62.71,61.4225,62.416,4279410.0,267103654.55999997
2021-07-06,62.478,64.426,62.107,63.248,5122085.0,323961632.08
2021-07-07,63.4,64.004,62.411,63.376,4520005.0,286459836.88
2021-07-08,61.788,64.524,61.754,64.502,8689805.0,560509802.11
2021-07-09,64.662,65.556,63.93,64.684,6288630.0,406773742.92
2021-07-12,64.666,65.362,64.365,64.824,3302860.0,214104596.64
2021-07-13,65.026,65.82,64.176,64.614,6678725.0,431539137.15
2021-07-14,64.698,64.888,62.483,62.886,9309780.0,585454825.08
2021-07-15,62.886,63.964,61.348,62.24,7448035.0,463565698.4
2021-07-16,62.876,63.77,62.4,62.654,6435040.0,403180996.16
2021-07-19,61.594,62.242,60.588,62.208,7309970.0,454738613.76
2021-07-20,62.934,65.652,62.5,65.068,8828235.0,574435594.98
2021-07-21,64.734,66.5,64.2,66.34,5707590.0,378641520.6
2021-07-22,66.088,67.775,66.088,67.046,5359765.0,359350804.19000006
2021-07-23,66.954,68.28,65.592,67.784,5483135.0,371668822.84
2021-07-26,67.76,67.819,66.892,67.328,3647470.0,245576860.16
2021-07-27,67.404,67.784,65.45,67.398,6921505.0,466495593.9899999
2021-07-28,67.816,68.864,66.684,67.864,4843030.0,328667387.92
2021-07-29,67.548,68.146,67.08,67.838,5236260.0,355217405.88
2021-07-30,67.28,68.37,66.86,67.512,4259320.0,287555211.84
2021-08-02,67.6,67.61,66.672,66.79,3707215.0,247604889.85
2021-08-03,66.79,67.0043,65.6,66.474,3747945.0,249140895.93
2021-08-04,66.28,66.998,65.294,66.182,3333365.0,220608762.43
2021-08-05,65.69,67.582,65.652,67.4,5610905.0,378174997.00000006
2021-08-06,73.09,74.402,67.7,69.13,16992200.0,1174670786.0
2021-08-09,68.75,71.572,67.822,71.268,8410390.0,599391674.52
2021-08-10,71.908,75.366,71.792,74.02,9189310.0,680192726.1999999
2021-08-11,73.476,75.06,71.32,72.14,7094485.0,511796147.9
2021-08-12,72.108,73.008,71.362,71.63,3367010.0,241178926.3
2021-08-13,71.67,72.39,71.577,72.196,2999755.0,216570311.98
2021-08-16,71.822,72.826,70.8255,72.3,4612220.0,333463506.0
2021-08-17,70.976,71.386,69.639,70.458,6378030.0,449383237.74
2021-08-18,70.84,71.006,68.29,70.132,5047830.0,354014413.56
2021-08-19,69.998,70.904,69.5,69.99,2940740.0,205822392.6
2021-08-20,70.016,70.6021,69.072,69.952,2947705.0,206197860.16
2021-08-23,69.952,72.056,69.952,71.516,3373785.0,241279608.06000003
2021-08-24,72.224,72.618,70.498,70.678,2291695.0,161972419.21
2021-08-25,71.01,71.64,70.5,70.878,2308825.0,163644898.35
2021-08-26,70.45,71.42,69.856,70.348,2036535.0,143266164.18
2021-08-27,69.172,69.792,67.3,67.504,8191390.0,552951590.5600001
2021-08-30,67.818,68.338,66.54,67.552,4167740.0,281539172.48
2021-08-31,68.0,68.0,64.626,65.612,5706285.0,374400771.42
2021-09-01,65.768,66.656,65.188,66.096,4294310.0,283836713.76
2021-09-02,66.552,66.838,63.932,64.004,4399920.0,281612479.68
2021-09-03,63.8,65.864,63.272,65.732,3247245.0,213447908.34
2021-09-07,66.004,66.6906,65.36,66.036,2950860.0,194862990.96
2021-09-08,66.096,66.384,65.018,65.78,1979915.0,130238808.7
2021-09-09,65.492,66.982,65.456,65.762,2416730.0,158928998.26
2021-09-10,66.372,66.68,64.882,65.944,2854375.0,188228905.0
2021-09-13,66.052,66.39,63.358,65.212,3260900.0,212649810.8
2021-09-14,65.516,67.717,65.348,65.814,3502490.0,230512876.86
2021-09-15,66.514,66.514,65.09,65.972,2755220.0,181767373.83999997
2021-09-16,65.066,69.196,64.7226,68.448,5791295.0,396402560.16
2021-09-17,68.042,68.636,65.896,66.02,10604385.0,700101497.6999999
2021-09-20,64.442,65.424,62.944,65.3,5447145.0,355698568.5
2021-09-21,66.096,66.552,63.6,63.644,4074570.0,259321933.08
2021-09-22,63.96,65.044,63.634,64.212,4925340.0,316265932.08000004
2021-09-23,64.676,65.794,63.256,63.85,4040415.0,257980497.75
2021-09-24,63.818,64.876,63.112,64.398,2979415.0,191868367.17
2021-09-27,64.078,64.479,63.22,63.824,6128085.0,391118897.04
2021-09-28,63.152,63.382,60.392,61.156,13213445.0,808081442.42
2021-09-29,61.8,61.996,60.834,61.162,2840225.0,173713841.45
2021-09-30,59.572,61.508,58.998,60.308,5845920.0,352555743.36
2021-10-01,61.028,61.028,58.59,60.566,4852350.0,293887430.1
2021-10-04,59.652,59.996,57.364,58.814,5099445.0,299918758.23
2021-10-05,59.004,59.062,56.561,57.356,5925435.0,339859249.86
2021-10-06,56.216,58.138,56.0,57.152,3168585.0,181090969.92
2021-10-07,58.198,58.622,56.868,57.062,4373095.0,249537546.89
2021-10-08,57.226,57.622,56.438,56.486,3770470.0,212978768.42
