timestamps,open,high,low,close,volume,amount
2021-05-28,103.62,104.12,102.95,103.79,7407888.0,768864695.5200001
2021-06-01,105.3,107.43,105.3,106.65,10441694.0,1113606665.1
2021-06-02,107.21,108.56,106.21,108.08,9248835.0,999614086.8
2021-06-03,107.56,108.09,106.56,107.59,8920443.0,959750462.37
2021-06-04,108.24,108.67,107.21,108.45,6795883.0,737013511.35
2021-06-07,108.37,108.7,107.57,107.75,6856340.0,738770635.0
2021-06-08,107.65,108.98,106.3,108.73,10626222.0,1155389118.06
2021-06-09,109.06,109.53,107.65,107.78,10280268.0,1108007285.04
2021-06-10,109.06,110.25,107.25,108.41,13771208.0,1492936659.28
2021-06-11,108.84,108.97,107.86,107.91,7894722.0,851919451.02
2021-06-14,108.18,108.96,106.83,107.97,9195125.0,992797646.25
2021-06-15,108.41,110.48,108.39,110.3,10633988.0,1172928876.4
2021-06-16,110.03,110.51,108.9,109.67,9444179.0,1035743110.93
2021-06-17,109.24,109.9836,105.6225,107.07,14437904.0,1545866381.28
2021-06-18,105.25,106.27,102.91,103.03,25023766.0,2578198610.98
2021-06-21,104.1,106.435,103.93,106.05,13750865.0,1458279233.25
2021-06-22,105.33,106.96,104.31,106.4,10387191.0,1105197122.4
2021-06-23,107.36,108.13,106.23,106.27,7906117.0,840183053.5899999
2021-06-24,107.14,107.7766,106.36,107.14,8833005.0,946368155.7
2021-06-25,107.59,108.06,106.78,107.3,8197472.0,879588745.6
2021-06-28,106.95,107.0,103.66,103.99,11458564.0,1191576070.36
2021-06-29,104.59,104.97,103.61,103.76,7354555.0,763108626.8000001
2021-06-30,103.84,104.88,103.72,104.74,8018761.0,839885027.14
2021-07-01,106.95,107.1,105.74,106.21,11021137.0,1170554960.77
2021-07-02,105.7,106.4,105.04,106.07,7236941.0,767622331.87
2021-07-06,105.97,105.97,103.39,103.99,10308835.0,1072015751.65
2021-07-07,103.96,104.9,102.12,102.93,8347095.0,859166488.35
2021-07-08,101.5,103.09,101.22,102.6,8881632.0,911255443.2
2021-07-09,103.46,104.23,102.36,104.07,8662067.0,901461312.69
2021-07-12,103.56,105.02,103.235,104.28,10059950.0,1049051586.0
2021-07-13,104.0,104.58,103.22,103.93,6857519.0,712701949.6700001
2021-07-14,104.48,105.32,101.72,101.97,9309914.0,949331930.58
2021-07-15,101.05,102.25,100.85,101.3,9802421.0,992985247.3
2021-07-16,101.63,101.69,98.33,98.62,12406962.0,1223574592.44
2021-07-19,95.82,96.95,94.52,95.96,17638747.0,1692614162.12
2021-07-20,95.89,98.04,95.05,96.53,12269878.0,1184411323.34
2021-07-21,97.98,100.4698,97.7,99.82,11620834.0,1159991649.88
2021-07-22,99.4,99.41,97.89,98.82,7803399.0,771131889.18
2021-07-23,98.8,99.12,97.94,98.86,7754387.0,766598698.82
2021-07-26,99.46,101.26,99.44,100.95,10415567.0,1051451488.65
2021-07-27,100.05,100.72,98.94,100.61,8507014.0,855890678.54
2021-07-28,100.9,101.81,100.28,101.18,8629747.0,873157801.46
2021-07-29,102.38,102.88,101.94,102.57,8681341.0,890445146.3699999
2021-07-30,103.06,104.05,100.765,101.81,12295292.0,1251783678.52
2021-08-02,102.08,103.98,101.56,101.63,8911806.0,905706843.78
2021-08-03,101.59,102.91,100.67,102.6,8437326.0,865669647.5999999
2021-08-04,100.44,101.9,100.1,100.3,10389809.0,1042097842.7
2021-08-05,100.94,102.43,100.67,101.23,7986071.0,808429967.33
2021-08-06,102.02,102.58,101.6,101.95,6475592.0,660186604.4
2021-08-09,100.91,101.38,99.93,100.25,9243086.0,926619371.5
2021-08-10,100.74,102.32,100.58,102.08,9762631.0,996569372.48
2021-08-11,102.04,102.97,101.6,102.85,7079767.0,728154035.9499999
2021-08-12,102.86,103.25,101.78,102.64,7378419.0,757320926.16
2021-08-13,102.23,102.54,101.64,101.96,6572623.0,670144641.0799999
2021-08-16,100.83,101.2,99.91,100.92,9479436.0,956664681.12
2021-08-17,100.2,101.68,99.63,100.73,10927274.0,1100704310.02
2021-08-18,98.69,99.42,96.55,96.7,12893614.0,1246812473.8
2021-08-19,94.81,95.31,92.86,94.29,17423358.0,1642848425.8200002
2021-08-20,93.52,94.875,93.21,94.3,9707644.0,915430829.2
2021-08-23,96.09,97.0,96.06,96.73,10277755.0,994167241.15
2021-08-24,97.5,98.614,97.385,97.84,8924936.0,873215738.24
2021-08-25,97.22,98.72,96.72,98.51,9228304.0,909080227.04
2021-08-26,98.11,98.73,97.2,97.22,8103568.0,787828880.96
2021-08-27,98.14,99.46,98.05,98.64,10281177.0,1014135299.28
2021-08-30,99.09,99.308,97.97,98.39,8127183.0,799633535.37
2021-08-31,98.14,98.41,96.64,96.77,15676853.0,1517049064.81
2021-09-01,96.86,97.07,95.47,95.71,10557264.0,1010435737.44
2021-09-02,96.64,98.385,96.55,97.71,12341253.0,1205863830.63
2021-09-03,97.4,98.43,97.38,97.49,9099427.0,887103138.2299999
2021-09-07,97.02,97.975,96.74,97.06,9361365.0,908614086.9
2021-09-08,97.5,98.47,96.35,96.39,10739871.0,1035216165.69
2021-09-09,95.89,97.62,95.35,96.0,10219375.0,981060000.0
2021-09-10,97.6,97.7,95.89,96.07,11005955.0,1057342096.85
2021-09-13,97.21,98.7099,97.06,97.97,11650322.0,1141382046.34
2021-09-14,98.38,98.74,95.98,96.2,15445527.0,1485859697.4
2021-09-15,96.99,98.53,96.99,98.24,11771743.0,1156456032.32
2021-09-16,98.32,98.59,96.91,97.32,10617017.0,1033248094.44
2021-09-17,97.11,98.38,96.37,96.76,16008919.0,1549023002.44
2021-09-20,94.64,95.25,93.31,94.78,15796135.0,1497157675.3
2021-09-21,95.57,95.89,94.03,94.85,10958440.0,1039408034.0
2021-09-22,96.24,98.78,96.24,97.64,13292796.0,1297908601.44
2021-09-23,98.24,100.2662,97.75,100.06,10094866.0,1010092291.96
2021-09-24,99.65,100.97,99.65,100.6,8225292.0,827464375.1999999
2021-09-27,102.59,103.78,102.59,102.97,12697522.0,1307463840.34
2021-09-28,103.91,104.89,102.88,103.36,15560821.0,1608366458.56
2021-09-29,103.21,104.24,102.34,103.33,10168052.0,1050664813.16
2021-09-30,103.42,103.45,101.45,101.45,15437904.0,1566175360.8
2021-10-01,102.215,104.54,101.88,104.33,10854909.0,1132492655.97
2021-10-04,105.0,105.86,104.11,104.72,13305353.0,1393336566.16
2021-10-05,106.04,107.77,105.42,105.86,13017313.0,1378012754.18
2021-10-06,104.18,105.345,103.58,104.93,10630108.0,1115417232.44
2021-10-07,105.61,106.3,105.215,105.68,8830858.0,933245073.44
2021-10-08,106.81,108.43,106.6,108.05,10711375.0,1157364068.75
2021-10-11,109.56,109.63,106.9231,107.13,9794816.0,1049318638.08
2021-10-12,106.99,107.58,106.17,107.15,9085018.0,973459678.7
2021-10-13,106.77,108.34,106.48,107.79,9221384.0,993972981.36
2021-10-14,108.88,109.16,108.11,108.81,7650588.0,832460480.28
2021-10-15,109.77,110.025,109.43,109.61,9968079.0,1092601139.19
2021-10-18,110.22,110.41,108.955,109.56,10477443.0,1147908655.08
2021-10-19,110.16,111.7,109.795,111.7,10362811.0,1157525988.7
2021-10-20,111.09,113.17,110.78,113.16,10811367.0,1223414289.72
2021-10-21,112.71,112.805,110.87,111.74,9372562.0,1047290077.88
2021-10-22,112.22,112.88,111.45,112.8,8673794.0,978403963.2
2021-10-25,113.53,114.35,113.3011,113.85,9579769.0,1090656700.65
2021-10-26,113.98,114.6,113.51,114.1,7463012.0,851529669.1999999
2021-10-27,113.22,113.58,111.65,112.07,9096093.0,1019399142.51
2021-10-28,111.58,113.27,111.58,113.12,7538156.0,852716206.72
2021-10-29,114.83,115.29,113.15,114.49,15294239.0,1751037423.11
2021-11-01,115.03,115.09,114.05,114.53,11213772.0,1284313307.16
2021-11-02,114.18,114.19,113.21,113.83,9152527.0,1041832148.41
2021-11-03,112.27,113.27,111.97,113.01,10415962.0,1177107865.62
2021-11-04,114.22,114.26,112.91,113.51,9672950.0,1097976554.5
2021-11-05,114.27,115.05,113.93,114.74,8102077.0,929632314.98
2021-11-08,115.09,115.99,114.69,115.15,7695949.0,886188527.35
2021-11-09,115.27,116.12,114.46,116.0,10945910.0,1269725560.0
2021-11-10,115.76,116.21,113.66,114.15,10305098.0,1176326936.7
2021-11-11,113.6,114.67,113.57,114.16,7317533.0,835369567.28
2021-11-12,113.8,114.305,113.59,114.23,8682840.0,991840813.2
2021-11-15,114.95,116.95,114.27,116.82,11050416.0,1290909597.12
2021-11-16,117.11,118.08,116.86,117.28,10566262.0,1239211207.36
2021-11-17,114.87,116.53,114.66,115.42,11108044.0,1282090438.48
2021-11-18,114.85,115.38,113.41,114.45,8371422.0,958109247.9
2021-11-19,112.51,113.15,111.1,111.91,13538019.0,1515039706.29
2021-11-22,112.02,115.1901,111.85,113.91,9947752.0,1133148430.32
2021-11-23,115.19,116.84,115.06,116.3,10375088.0,1206622734.4
2021-11-24,116.81,118.0,116.68,117.19,8500870.0,996216955.3
2021-11-26,113.35,114.83,112.63,114.51,11861780.0,1358292427.8
2021-11-29,116.34,117.17,114.71,114.85,12003848.0,1378641942.8
2021-11-30,113.45,115.86,112.44,112.87,24451185.0,2759805250.9500003
2021-12-01,114.95,116.055,112.09,112.1,12308070.0,1379734647.0
