timestamps,open,high,low,close,volume,amount
2021-05-28,93.27,94.39,91.04,91.05,1654488.0,150641132.4
2021-06-01,91.35,92.45,89.9,91.88,2017764.0,185392156.32
2021-06-02,91.5,92.29,90.66,91.6,1448119.0,132647700.4
2021-06-03,91.19,91.45,88.02,88.69,2284440.0,202606983.6
2021-06-04,88.98,90.99,87.75,88.45,1684243.0,148971293.35
2021-06-07,87.82,91.46,87.1,90.62,1735266.0,157249804.92000002
2021-06-08,91.49,93.155,91.24,92.48,1692312.0,156505013.76000002
2021-06-09,92.44,93.4763,91.17,91.72,1606205.0,147321122.6
2021-06-10,91.56,95.5,91.28,94.5,4187109.0,395681800.5
2021-06-11,94.91,95.8,93.54,95.48,2650008.0,253022763.84
2021-06-14,96.0,97.89,95.6,97.25,2577920.0,250702720.0
2021-06-15,96.92,97.44,95.7,96.59,1887955.0,182357573.45
2021-06-16,96.6,99.88,96.06,98.38,3614349.0,355579654.62
2021-06-17,97.26,102.56,97.1,101.75,4231248.0,430529484.0
2021-06-18,102.52,104.2099,101.5,103.26,4717433.0,487122131.58
2021-06-21,101.75,103.34,99.55,102.35,2691856.0,275511461.59999996
2021-06-22,102.63,105.25,102.27,104.54,2355296.0,246222643.84
2021-06-23,104.74,106.54,104.44,106.53,2399464.0,255614899.92
2021-06-24,106.91,107.25,105.28,106.44,2862188.0,304651290.71999997
2021-06-25,106.7,107.14,104.4,106.06,5536340.0,587184220.4
2021-06-28,106.0,107.19,105.46,106.44,1452707.0,154626133.07999998
2021-06-29,106.5,107.4,105.3,107.2,1487391.0,159448315.20000002
2021-06-30,106.58,106.74,103.74,104.08,1769830.0,184203906.4
2021-07-01,103.51,105.52,102.51,104.57,1798345.0,188052936.65
2021-07-02,105.32,107.2,104.98,106.47,1423913.0,151604017.10999998
2021-07-06,106.66,109.8,106.58,108.68,2186014.0,237576001.52
2021-07-07,109.52,110.24,106.09,107.31,1423221.0,152725845.51
2021-07-08,105.87,107.7199,103.96,107.1,1718388.0,184039354.8
2021-07-09,107.0,108.29,105.9,108.12,1330139.0,143814628.68
2021-07-12,109.23,109.8999,106.54,107.76,1533148.0,165212028.48000002
2021-07-13,107.64,108.78,105.69,106.59,1084527.0,115599732.93
2021-07-14,107.16,107.67,104.36,104.67,1262110.0,132105053.7
2021-07-15,104.55,105.92,102.35,103.48,1553002.0,160704646.96
2021-07-16,104.62,105.559,103.36,104.64,890882.0,93221892.48
2021-07-19,102.51,105.28,101.38,104.83,1687459.0,176896326.97
2021-07-20,105.67,108.89,103.43,107.52,1371458.0,147459164.16
2021-07-21,107.58,108.77,106.0,108.39,1088470.0,117979263.3
2021-07-22,109.24,112.38,109.02,110.2,1951356.0,215039431.2
2021-07-23,110.35,112.53,109.91,111.23,2525635.0,280926381.05
2021-07-26,110.65,110.7828,108.3,109.79,1343244.0,147474758.76000002
2021-07-27,109.99,110.9099,106.57,109.62,1356871.0,148740199.02
2021-07-28,110.09,112.69,109.5,111.45,1717085.0,191369123.25
2021-07-29,111.06,112.92,111.0,111.23,789771.0,87846228.33
2021-07-30,110.52,114.2,110.3682,110.7,1808444.0,200194750.8
2021-08-02,110.85,113.2,109.11,111.63,1820114.0,203179325.82
2021-08-03,111.63,114.92,111.18,114.68,2383614.0,273352853.52000004
2021-08-04,114.86,116.39,113.1,114.93,2672659.0,307168698.87
2021-08-05,131.64,135.38,126.33,132.47,11690337.0,1548618942.39
2021-08-06,129.8198,133.0,128.12,131.92,4016840.0,529901532.7999999
2021-08-09,128.68,130.56,124.4935,130.0,4707312.0,611950560.0
2021-08-10,130.21,130.21,124.9,125.3,4207736.0,527229320.8
2021-08-11,125.105,128.74,122.23,128.21,3538669.0,453692752.49
2021-08-12,127.4,131.13,126.91,130.28,4325106.0,563474809.68
2021-08-13,131.05,137.5,130.61,135.49,5583580.0,756519254.2
2021-08-16,135.51,136.22,129.29,133.52,2894305.0,386447603.6
2021-08-17,132.625,134.19,131.035,133.0,1622837.0,215837321.0
2021-08-18,133.0,134.5199,131.13,132.68,1844923.0,244784383.64
2021-08-19,131.3,137.11,129.6844,132.42,3016374.0,399428245.08
2021-08-20,131.71,132.87,129.04,131.15,2779528.0,364535097.2
2021-08-23,131.07,132.8,129.84,132.5,2593215.0,343600987.5
2021-08-24,133.7,137.66,133.23,135.48,2445524.0,331319591.52
2021-08-25,135.45,136.78,134.2948,135.63,2118281.0,287302452.03
2021-08-26,135.09,139.1734,131.23,131.3,4116623.0,540512599.9000001
2021-08-27,131.865,136.65,131.6,134.84,2071653.0,279341690.52
2021-08-30,135.61,138.47,134.2101,136.63,2020147.0,276012684.61
2021-08-31,136.99,138.12,134.73,137.8,2120017.0,292138342.6
2021-09-01,138.08,139.68,135.71,135.77,2945001.0,399842785.77
2021-09-02,136.63,137.355,135.181,137.09,2009965.0,275546101.85
2021-09-03,137.22,139.53,136.42,138.06,1937202.0,267450108.12
2021-09-07,138.18,138.8339,135.76,137.36,2553426.0,350738595.36
2021-09-08,136.03,141.14,133.03,139.57,4792394.0,668874430.5799999
2021-09-09,140.0,143.12,139.15,140.9,3502542.0,493508167.8
