timestamps,open,high,low,close,volume,amount
2021-05-28,362.6,363.54,357.58,361.1,1375893.0,496834962.3
2021-06-01,364.41,369.25,362.0,364.61,1541524.0,562055065.64
2021-06-02,364.51,365.31,355.76,356.71,1903113.0,678859438.23
2021-06-03,355.23,363.43,354.56,358.91,1356356.0,486809731.96
2021-06-04,360.27,361.4437,355.31,356.64,1293872.0,461446510.08
2021-06-07,357.07,359.7,352.95,355.43,1552400.0,551769532.0
2021-06-08,356.92,359.47,352.425,356.58,1548672.0,552225461.76
2021-06-09,355.77,355.91,349.21,349.53,2015695.0,704545873.3499999
2021-06-10,351.88,354.4,340.77,341.44,2247147.0,767265871.68
2021-06-11,345.38,346.5,338.62,341.57,2051229.0,700638289.53
2021-06-14,341.04,342.43,331.825,335.54,2793607.0,937366892.78
2021-06-15,336.89,339.029,335.76,338.1,1746986.0,590655966.6
2021-06-16,338.1,340.0,335.1273,336.56,2288651.0,770268380.5600001
2021-06-17,335.74,336.91,321.9018,328.38,3402763.0,1117399313.94
2021-06-18,324.11,331.85,323.45,328.97,3126389.0,1028488189.33
2021-06-21,332.97,338.76,332.54,337.88,2034690.0,687481057.2
2021-06-22,338.79,342.65,335.66,342.1,1698578.0,581083533.8000001
2021-06-23,342.68,349.17,341.49,347.75,3386988.0,1177825077.0
2021-06-24,349.56,354.74,346.53,350.62,2163309.0,758499401.58
2021-06-25,354.09,355.89,347.14,349.99,6648458.0,2326893815.42
2021-06-28,350.38,350.95,345.1,349.89,1326294.0,464057007.66
2021-06-29,350.8,352.7,348.09,348.93,1232472.0,430046454.96
2021-06-30,348.17,353.39,348.17,352.71,1663394.0,586695697.74
2021-07-01,355.66,356.1875,351.92,354.29,1488837.0,527480060.73
2021-07-02,354.57,355.91,351.21,352.5,1144544.0,403451760.0
2021-07-06,352.5,353.0,344.26,349.45,1953033.0,682487381.85
2021-07-07,348.38,352.56,348.22,351.88,1325482.0,466410606.16
2021-07-08,345.0,347.35,339.5001,343.58,1642413.0,564300258.54
2021-07-09,349.2,350.72,347.55,349.48,1341155.0,468706849.4
2021-07-12,347.73,354.745,345.8101,354.28,1634654.0,579125219.12
2021-07-13,356.0,356.0,350.58,350.77,972210.0,341022101.7
2021-07-14,353.39,353.45,344.53,345.57,1425825.0,492722345.25
2021-07-15,342.9,347.715,342.31,346.1,1536064.0,531631750.4
2021-07-16,347.62,348.4647,342.0,342.49,1184650.0,405730778.5
2021-07-19,335.0,337.34,328.93,334.95,1878281.0,629130220.9499999
2021-07-20,337.44,349.29,335.0,348.03,2072987.0,721461665.6099999
2021-07-21,352.0,354.595,350.905,353.0,1503295.0,530663135.0
2021-07-22,352.59,354.25,351.09,351.33,827460.0,290711521.8
2021-07-23,352.3,355.6682,351.55,354.7,812393.0,288155797.09999996
2021-07-26,355.64,356.89,351.06,355.46,878623.0,312315331.58
2021-07-27,352.4,357.65,350.54,353.52,999025.0,353175318.0
2021-07-28,354.31,356.8799,351.11,353.56,1263452.0,446706089.12
2021-07-29,358.53,362.11,356.14,359.8,1392583.0,501051363.4
2021-07-30,359.71,361.81,357.125,361.59,1054019.0,381122730.21
2021-08-02,363.9,367.41,355.25,355.95,1148281.0,408730621.95
2021-08-03,357.58,366.85,354.36,365.86,991718.0,362829947.48
2021-08-04,364.33,366.6,360.55,360.67,825670.0,297794398.90000004
2021-08-05,363.85,365.0,361.33,364.32,794662.0,289511259.84
2021-08-06,367.0,368.69,365.57,366.88,665436.0,244135159.68
2021-08-09,364.91,370.92,363.27,369.32,923456.0,341050769.92
2021-08-10,371.0,377.4155,369.52,376.62,1183977.0,445909417.74
2021-08-11,377.4,386.31,375.46,386.08,1651787.0,637721924.9599999
2021-08-12,386.07,388.52,383.675,385.62,1314260.0,506804941.2
2021-08-13,386.15,387.24,382.64,384.0,814615.0,312812160.0
2021-08-16,381.0,383.35,378.61,383.03,913515.0,349903650.45
2021-08-17,381.5,382.6112,374.11,376.33,1206549.0,454060585.17
2021-08-18,374.25,376.01,371.42,371.61,1374601.0,510815477.61
2021-08-19,368.56,368.56,354.88,358.98,2281004.0,818834815.9200001
2021-08-20,363.0,367.17,344.76,351.43,3498338.0,1229420923.34
2021-08-23,354.15,363.24,352.25,362.8,1946766.0,706286704.8000001
2021-08-24,365.0,373.0,364.985,367.98,1638669.0,602997418.62
2021-08-25,369.0,379.31,367.77,376.37,1657530.0,623844566.1
2021-08-26,375.29,382.965,375.065,379.81,1490486.0,566101487.66
2021-08-27,380.08,382.8899,378.1101,379.49,1115823.0,423443670.27
2021-08-30,381.0,383.64,376.75,381.0,1378473.0,525198213.0
2021-08-31,381.0,381.5,373.8,378.03,1584563.0,599012350.89
2021-09-01,378.2,379.67,369.19,376.71,1895532.0,714065859.7199999
2021-09-02,379.09,384.99,377.8,384.95,1334298.0,513638015.1
2021-09-03,384.73,393.0,384.0,389.34,1904906.0,741656102.04
2021-09-07,385.46,387.19,370.26,371.74,3690403.0,1371870411.22
2021-09-08,371.49,372.41,362.1,370.23,2422315.0,896813682.45
2021-09-09,368.82,371.2363,363.03,364.84,1725328.0,629468667.52
2021-09-10,367.525,368.46,362.8,363.07,1235453.0,448555920.71
2021-09-13,366.0,366.71,356.99,361.52,1849358.0,668579904.16
2021-09-14,362.52,362.53,355.02,355.98,1427975.0,508330540.5
2021-09-15,355.08,360.83,354.02,359.77,1415510.0,509258032.7
2021-09-16,360.58,361.31,353.193,355.33,1681828.0,597603943.24
2021-09-17,351.51,354.33,347.97,349.09,7678762.0,2680579026.58
2021-09-20,340.64,342.5,334.67,339.73,2409982.0,818743184.86
2021-09-21,342.75,344.9221,333.73,336.95,1503816.0,506710801.2
2021-09-22,341.65,345.53,339.91,340.84,1336846.0,455650590.64
2021-09-23,345.0,352.31,344.96,351.5,1497552.0,526389528.0
2021-09-24,349.86,353.37,348.52,349.25,1193306.0,416762120.5
2021-09-27,348.78,355.8,348.78,352.42,1291491.0,455147258.22
2021-09-28,350.73,356.56,350.47,353.94,2018719.0,714505402.86
2021-09-29,354.81,355.65,350.8,350.87,1320778.0,463421376.86
2021-09-30,352.45,352.45,334.94,335.07,2095219.0,702045030.33
2021-10-01,338.1,344.66,333.65,342.2,1740758.0,595687387.6
2021-10-04,340.74,342.56,336.82,338.44,1464683.0,495707314.52
2021-10-05,336.8,341.14,332.76,338.29,1401705.0,474182784.4500001
2021-10-06,333.5,338.6,329.67,338.4,1534662.0,519329620.7999999
