timestamps,open,high,low,close,volume,amount
2021-05-28,50.0127,50.5474,48.2717,49.9949,6585666.835,329249754.8491415
2021-06-01,50.4764,52.1946,50.3953,52.1287,8293412.769,432324826.21137035
2021-06-02,52.1794,52.372,51.0846,51.0846,4825368.073,246501997.8619758
2021-06-03,50.8262,51.6776,50.3193,51.5256,5123486.4,263990710.85184
2021-06-04,51.7283,52.4937,51.5864,52.4734,4356900.926,228621405.0503684
2021-06-07,52.8028,52.9143,51.9057,52.1237,2482904.093,129418148.07230408
2021-06-08,52.1693,52.7978,52.1186,52.666,2754171.863,145051215.336758
2021-06-09,52.818,52.8967,52.3416,52.6913,2284619.566,120379574.9379758
2021-06-10,52.6609,53.0258,52.448,52.6052,3457114.276,181862187.9118352
2021-06-11,52.4582,52.7674,51.6016,52.7015,3878497.751,204402649.22432652
2021-06-14,52.7116,52.8231,51.8221,52.073,3708332.42,193103994.10666
2021-06-15,52.1439,52.3619,51.888,52.1338,2101452.165,109556686.879677
2021-06-16,52.0578,52.4126,51.6979,52.0781,3340377.785,173960528.3250085
2021-06-17,52.0781,52.0781,50.4105,50.5068,5086573.543,256906552.62159237
2021-06-18,49.7922,50.1014,49.336,49.9595,5620218.745,280783318.3908275
2021-06-21,50.299,50.7653,50.2129,50.6842,3676815.718,186356463.21425557
2021-06-22,50.6842,50.6842,50.1774,50.5626,2231605.056,112835753.8045056
2021-06-23,50.5322,50.6031,50.1774,50.2889,2413882.634,121391502.3929626
2021-06-24,50.6842,50.6842,49.9747,50.2179,7370851.78,370148697.602862
2021-06-25,50.4308,50.5829,50.3092,50.4308,9307270.387,469373091.4327196
2021-06-28,50.4308,50.7856,50.3447,50.5575,8010973.873,405014811.58419746
2021-06-29,50.5829,51.85,50.3649,51.7993,8245230.136,427097149.3837048
2021-06-30,51.3431,51.5307,50.4815,50.517,5828105.863,294418423.881171
2021-07-01,50.2281,50.3903,49.6199,50.0203,5653317.793,282780652.0011979
2021-07-02,50.2534,50.5322,49.6199,50.3649,4083281.34,205654056.360966
2021-07-06,50.3345,50.7856,49.7263,49.8581,3641556.235,181561074.9202535
2021-07-07,50.1571,50.7197,49.8429,50.4257,3094678.122,156051310.5765354
2021-07-08,49.6807,50.5271,49.4856,50.1774,3570579.533,179162397.4591542
2021-07-09,50.3294,51.1201,50.2889,50.8109,5172345.772,262811543.7865148
2021-07-12,50.74,50.74,49.2195,49.2296,4125947.465,203118743.322964
2021-07-13,49.037,49.0522,47.5063,47.5215,7033756.838,334254675.57701707
2021-07-14,47.9473,48.5682,47.2073,47.3391,5213585.418,246806441.46124375
2021-07-15,47.1059,47.4987,46.7461,47.4607,5235235.147,248467924.74122292
2021-07-16,47.7496,47.7952,46.741,46.7765,3919713.721,183350488.8703565
2021-07-19,46.0365,47.2732,45.9098,47.0755,4398661.444,207069186.807022
2021-07-20,47.3441,48.6265,47.3137,48.3376,4961325.53,239818568.938928
2021-07-21,48.5048,49.0117,48.2108,48.7633,3330208.943,162391977.7501919
2021-07-22,48.9002,48.9711,48.2539,48.6265,2773130.42,134847626.36813
2021-07-23,48.6569,49.0117,48.4491,48.9356,2079693.921,101771069.8404876
2021-07-26,49.0218,49.2093,48.7937,48.89,2497660.16,122110605.2224
2021-07-27,48.4643,48.8495,48.1247,48.7076,1771317.967,86276647.0094492
2021-07-28,48.7836,48.961,48.5606,48.6011,1180185.464,57358311.7544104
2021-07-29,48.8292,49.1181,48.4339,49.0573,1576916.304,77359256.2002192
2021-07-30,48.8444,49.2999,48.6771,48.9711,1586885.873,77711546.7752703
2021-08-02,49.2043,49.2296,48.6493,48.8039,2405840.686,117414408.2554754
2021-08-03,49.0421,50.0811,48.7177,49.8885,3140491.182,156674394.333207
2021-08-04,49.6655,49.7212,49.2397,49.3614,1653512.11,81619672.666554
2021-08-05,49.6706,49.9747,49.4577,49.8429,1729225.985,86189637.8477565
2021-08-06,49.8632,50.0836,49.706,49.9442,1464475.034,73142033.9931028
2021-08-09,49.5997,50.0558,49.4729,49.924,2086281.768,104155530.985632
2021-08-10,50.1521,50.261,49.7415,49.8834,1717305.119,85665018.1731246
2021-08-11,49.8834,50.9275,49.8834,50.8718,2433079.924,123775155.2777432
2021-08-12,50.9022,51.0897,50.4815,50.9427,2042544.304,104052721.7153808
2021-08-13,50.9427,51.1049,50.5068,50.6994,2551984.742,129384095.2285548
2021-08-16,50.441,50.6133,49.9442,50.5068,1773819.731,89589958.38967079
2021-08-17,50.2585,50.3092,49.2144,49.5793,2405015.972,119239008.3805796
2021-08-18,49.3664,49.7214,49.1333,49.1434,1566070.723,76962039.9686782
2021-08-19,48.6569,49.1384,48.4085,48.7684,2248562.991,109658819.3702844
2021-08-20,49.3512,50.147,49.1738,49.924,3037786.667,151658461.563308
2021-08-23,50.1571,50.9174,49.8834,50.7451,3252839.721,165065676.9261171
2021-08-24,51.1911,51.3381,50.6285,51.0593,4844206.277,247341781.5592261
2021-08-25,50.9022,51.9159,50.7603,51.7283,3476497.028,179833281.2134924
2021-08-26,51.9513,52.0445,51.2468,51.4698,4156250.772,213921395.9846856
2021-08-27,50.0051,51.4242,48.1551,49.1384,10633978.723,522536700.0822631
2021-08-30,49.4475,50.2078,48.8596,49.7466,5722645.067,284682135.0900222
2021-08-31,49.7314,49.8986,49.2651,49.3969,4847968.788,239474629.4239572
2021-09-01,49.4323,49.6553,49.0218,49.037,3568206.014,174974118.308518
2021-09-02,49.1789,49.5844,48.9103,49.1992,4295574.167,211338812.5570664
2021-09-03,49.1992,49.6637,49.113,49.2347,5029964.227,247648779.7270769
2021-09-07,49.0623,49.2653,48.5808,48.6619,5140515.363,250147244.5427697
2021-09-08,48.5808,48.7734,47.7268,48.0943,3881115.922,186659553.48744455
2021-09-09,47.9118,49.0621,47.9118,48.8495,3654868.066,178538477.590067
2021-09-10,49.1282,49.2549,48.1602,48.2717,4062872.628,196121768.6370276
2021-09-13,49.8682,50.3801,49.4479,50.1216,11840918.067,593485758.9869472
2021-09-14,50.0912,50.1267,49.2499,49.3867,5586034.547,275875812.3623249
2021-09-15,49.4729,51.0593,49.2955,50.9072,5840389.761,297317889.6411792
2021-09-16,50.7907,51.4901,50.6234,51.3938,5478079.879,281539341.6853502
2021-09-17,51.3989,51.7689,49.9544,50.9529,9065524.616,461914769.2065864
2021-09-20,50.1014,51.7435,50.076,51.1252,8217162.238,420104062.8501976
2021-09-21,51.6979,51.7993,50.0912,50.3497,5475712.279,275700470.5339663
2021-09-22,50.5474,50.6336,49.6351,50.3142,5757004.862,289659094.0276404
2021-09-23,51.0796,53.335,50.1774,52.0476,11649205.603,606313193.5427028
2021-09-24,52.0172,52.7623,52.002,52.6508,6316186.603,332552277.5972324
2021-09-27,52.4227,53.2641,52.3974,53.1526,4292847.481,228176005.01860055
2021-09-28,52.813,53.5631,52.7268,53.3654,4103579.564,218989164.8646856
2021-09-29,53.5226,53.8545,52.666,53.411,4778154.183,255205993.06821305
2021-09-30,53.5479,53.6493,52.0578,52.7319,4887472.194,257725694.98678863
2021-10-01,53.0106,53.852,52.7775,53.6138,3768935.088,202066932.0210144
2021-10-04,53.7506,54.0142,52.9245,53.3401,4092053.298,218270532.12064976
2021-10-05,53.6797,53.9534,53.0816,53.6898,3353152.96,180030111.79180798
2021-10-06,53.0056,53.5738,52.6812,53.4719,3064209.083,163849081.6652677
2021-10-07,53.8013,54.4754,53.5124,54.2575,4105284.236,222742459.43477
2021-10-08,54.4754,54.6883,52.8434,53.2489,5316141.958,283078711.50734615
2021-10-11,53.2793,53.8621,53.0512,53.3198,2772358.977,147821626.1818446
2021-10-12,53.2843,53.4871,52.3974,52.5849,3830650.528,201434374.9498272
2021-10-13,52.7167,53.0411,52.1794,52.5494,5377030.711,282559737.6446234
2021-10-14,52.8332,53.9478,52.7978,53.7253,3618614.191,194411132.9957323
2021-10-15,54.1004,54.7238,53.8571,54.592,3345091.282,182615223.266944
2021-10-18,54.9671,55.5955,54.8403,55.0684,5005076.805,275621571.528462
2021-10-19,55.3472,56.2342,55.0684,56.1632,7436888.09,417679433.176288
