timestamps,open,high,low,close,volume,amount
2021-05-28,257.0,260.51,256.01,256.14,2106781.0,539630885.3399999
2021-06-01,254.0,254.0,243.34,245.21,6489866.0,1591380041.86
2021-06-02,244.95,245.74,241.71,242.01,3375318.0,816860709.18
2021-06-03,241.15,242.735,238.32,241.01,3295243.0,794186515.43
2021-06-04,243.51,244.53,241.37,242.27,2016254.0,488477856.58
2021-06-07,242.21,243.17,239.87,240.24,2309818.0,554910676.32
2021-06-08,241.64,241.83,239.05,240.2,2355688.0,565836257.6
2021-06-09,240.92,241.5,239.88,240.7,1925786.0,463536690.2
2021-06-10,241.19,246.75,241.19,246.26,2575701.0,634292128.26
2021-06-11,246.79,247.72,245.961,247.02,3003371.0,741892704.4200001
2021-06-14,247.93,247.93,243.81,247.41,1925692.0,476435457.72
2021-06-15,247.18,247.89,244.66,245.1,2176376.0,533429757.6
2021-06-16,245.57,246.375,243.0,244.74,1941419.0,475142886.06
2021-06-17,243.47,258.98,243.47,257.08,5031121.0,1293400586.6799998
2021-06-18,257.06,259.93,255.81,256.97,4638804.0,1192033463.88
2021-06-21,258.87,262.73,255.66,262.59,2827782.0,742547275.3799999
2021-06-22,263.17,267.72,262.36,267.04,3766861.0,1005902561.44
2021-06-23,266.61,270.62,265.7,268.65,3613294.0,970711433.1
2021-06-24,269.65,270.63,265.13,267.35,3163219.0,845686599.6500001
2021-06-25,267.41,270.13,265.61,266.56,4042140.0,1077472838.4
2021-06-28,266.55,272.34,266.55,271.69,2270990.0,617005273.1
2021-06-29,273.08,273.08,268.13,270.87,3033698.0,821737777.26
2021-06-30,270.49,270.61,266.96,268.36,1895146.0,508581380.56
2021-07-01,268.0,272.29,267.11,272.21,1808678.0,492340238.37999994
2021-07-02,273.36,274.1,272.13,274.03,1465773.0,401665775.18999994
2021-07-06,274.6,278.87,274.21,278.72,2573970.0,717416918.4000001
2021-07-07,279.73,280.5,275.36,278.55,1866890.0,520022209.5
2021-07-08,275.0,277.83,274.565,276.98,1963642.0,543889561.1600001
2021-07-09,277.1,278.25,275.87,277.47,1684580.0,467420412.6
2021-07-12,278.63,279.94,277.27,278.01,1820133.0,506015175.33
2021-07-13,278.65,279.96,276.44,276.75,1554588.0,430232229.0
2021-07-14,277.41,277.86,275.89,276.12,1473814.0,406949521.68
2021-07-15,275.31,281.59,275.03,280.95,2297972.0,645615233.4
2021-07-16,282.42,286.16,281.158,284.79,2641041.0,752142066.3900001
2021-07-19,282.65,285.18,281.39,283.75,2554857.0,724940673.75
2021-07-20,283.67,287.0,281.78,283.6,2451471.0,695237175.6
2021-07-21,283.03,283.535,273.06,279.8,2777510.0,777147298.0
2021-07-22,283.65,290.24,282.13,288.96,2482843.0,717442313.28
2021-07-23,290.09,292.37,288.19,291.27,2106319.0,613507535.13
2021-07-26,291.0,293.13,287.2826,290.18,2051477.0,595297595.86
2021-07-27,291.0,292.25,289.065,290.6,1754771.0,509936452.6
2021-07-28,289.28,293.94,289.28,292.88,2179285.0,638268990.8
2021-07-29,293.37,298.69,293.01,297.63,1779955.0,529768006.65
2021-07-30,297.16,299.73,296.04,297.49,2229985.0,663398237.65
2021-08-02,299.17,300.0,295.01,297.04,1195253.0,355037951.12
2021-08-03,297.8,302.69,297.21,302.33,1953405.0,590572933.65
2021-08-04,302.51,307.1,302.51,305.62,1585331.0,484508860.22
2021-08-05,306.06,308.39,304.645,307.14,1371848.0,421349394.72
2021-08-06,307.41,307.935,303.74,307.28,1661411.0,510518372.08
2021-08-09,307.62,309.14,305.8,307.97,1540522.0,474434560.34
2021-08-10,308.52,312.7,307.87,308.88,1553861.0,479956585.68
2021-08-11,309.29,312.68,307.8,310.57,2123690.0,659554403.3
2021-08-12,309.85,314.59,309.38,313.77,1937844.0,608037311.88
2021-08-13,315.84,315.84,312.73,315.26,1373468.0,432999521.68
2021-08-16,315.0,319.11,314.1,318.8,1621047.0,516789783.6
2021-08-17,319.26,321.31,318.03,320.95,1734354.0,556640916.3
2021-08-18,321.15,323.42,314.72,314.97,3323483.0,1046797440.51
2021-08-19,313.05,320.76,312.5351,319.79,3226428.0,1031779410.12
2021-08-20,321.32,323.2,319.45,321.54,3295809.0,1059734425.86
2021-08-23,321.68,322.66,318.49,318.62,2740674.0,873233549.88
2021-08-24,318.92,322.285,318.17,320.65,1706151.0,547077318.15
2021-08-25,319.765,321.58,318.57,319.48,1342816.0,429002855.68
2021-08-26,320.0,320.98,316.55,318.34,1286246.0,409463551.64
2021-08-27,319.06,321.79,317.58,319.1,1316351.0,420047604.1
2021-08-30,320.88,327.44,320.53,327.01,1711260.0,559599132.6
2021-08-31,328.27,329.47,322.11,324.16,2410243.0,781304370.8800001
2021-09-01,323.59,328.115,321.04,327.6,2187470.0,716615172.0
2021-09-02,329.5,332.99,328.36,331.43,2274229.0,753747717.47
2021-09-03,330.27,333.29,328.6147,332.43,1333823.0,443402779.89
2021-09-07,330.65,331.9,327.21,330.0,1976349.0,652195170.0
2021-09-08,329.29,331.98,327.65,330.51,1811788.0,598814051.88
2021-09-09,330.5,332.25,327.61,328.38,1483068.0,487009869.84
2021-09-10,330.78,333.96,329.87,329.99,2444061.0,806515689.39
2021-09-13,331.0,331.505,316.35,321.45,2062609.0,663025663.05
2021-09-14,323.87,326.94,322.14,324.09,1926922.0,624496150.9799999
2021-09-15,322.8,328.49,317.3597,325.26,2388188.0,776782028.88
2021-09-16,325.86,326.71,321.61,324.0,1794074.0,581279976.0
2021-09-17,324.84,329.18,321.82,324.53,3459801.0,1122809218.53
2021-09-20,320.01,325.69,320.01,324.11,3170763.0,1027675995.93
2021-09-21,325.0,327.4299,323.95,324.7,1874881.0,608773860.6999999
2021-09-22,325.9,326.22,323.18,324.13,1796941.0,582442486.33
2021-09-23,325.15,327.085,323.22,325.03,2262677.0,735437905.31
2021-09-24,324.94,326.12,322.23,324.5,1411726.0,458105087.0
2021-09-27,321.55,322.535,313.56,316.0,1781748.0,563032368.0
2021-09-28,308.92,311.55,300.97,303.95,3721564.0,1131169377.8
2021-09-29,305.72,309.21,305.22,306.61,2053965.0,629766208.65
2021-09-30,308.67,311.18,304.18,304.44,2865149.0,872265961.56
2021-10-01,306.98,306.98,290.06,302.32,2668713.0,806805314.16
