timestamps,open,high,low,close,volume,amount
2021-05-28,346.38,346.48,345.35,345.64,2684375.0,927827375.0
2021-06-01,348.5401,348.65,345.6,345.87,2624394.0,907699152.78
2021-06-02,346.75,347.35,345.75,346.36,2576525.0,892405199.0
2021-06-03,344.6079,346.96,343.56,346.02,4538597.0,1570445333.9399998
2021-06-04,347.07,347.99,346.54,347.9,2611102.0,908402385.8
2021-06-07,348.5,348.54,346.02,346.59,2248230.0,779214035.6999999
2021-06-08,346.69,346.91,344.75,346.34,2760692.0,956138067.28
2021-06-09,346.5375,346.88,344.69,344.79,2600325.0,896566056.75
2021-06-10,346.54,347.73,344.8,344.98,3107046.0,1071868729.08
2021-06-11,346.03,346.5485,343.57,345.12,3014082.0,1040219979.84
2021-06-14,344.83,344.87,342.47,344.3,2544014.0,875904020.2
2021-06-15,344.51,344.53,342.3701,343.41,2158642.0,741299249.22
2021-06-16,343.41,343.64,339.49,340.76,4043079.0,1377719600.04
2021-06-17,340.5599,341.28,336.62,338.65,5179330.0,1753980104.5
2021-06-18,334.35,335.25,332.68,332.96,7153730.0,2381905940.7999997
2021-06-21,335.26,339.0899,334.41,338.78,5470814.0,1853402366.92
2021-06-22,338.73,340.41,337.45,339.45,4043296.0,1372496827.2
2021-06-23,339.59,340.16,338.68,338.78,3080801.0,1043713762.78
2021-06-24,340.67,342.3161,340.37,341.98,3730764.0,1275846672.72
2021-06-25,343.69,344.98,343.0901,344.45,3657806.0,1259931276.7
2021-06-28,344.33,344.42,341.82,342.8,3604557.0,1235642139.6
2021-06-29,343.98,344.73,342.611,342.86,2389001.0,819092882.86
2021-06-30,342.38,345.51,342.35,344.95,3786955.0,1306310127.25
2021-07-01,345.78,346.4,344.92,346.36,3637762.0,1259975246.32
2021-07-02,347.04,348.29,346.18,347.94,3036797.0,1056623148.18
2021-07-06,347.75,348.11,343.6,345.82,3920130.0,1355659356.6
2021-07-07,345.65,347.14,344.4299,346.92,3358278.0,1165053803.76
2021-07-08,342.56,345.0,341.53,344.38,6493334.0,2236174362.92
2021-07-09,346.57,349.07,345.844,348.73,5128932.0,1788612456.36
2021-07-12,348.01,350.29,347.37,350.03,4025716.0,1409121371.4799998
2021-07-13,349.53,350.25,348.85,349.0,3323808.0,1160008992.0
2021-07-14,350.19,350.69,348.36,349.41,3945258.0,1378512597.7800002
2021-07-15,347.9,350.0,347.64,349.94,5097113.0,1783683723.22
2021-07-16,350.72,350.74,346.34,346.74,5723348.0,1984513685.52
2021-07-19,341.79,350.03,337.38,339.88,9762487.0,3318074081.56
2021-07-20,340.29,346.12,339.75,345.08,5828353.0,2011248053.24
2021-07-21,346.97,348.15,346.37,347.99,3078951.0,1071444158.49
2021-07-22,347.77,348.81,346.68,348.26,2438420.0,849204149.1999999
2021-07-23,349.9999,350.99,349.205,350.57,4170983.0,1462221510.31
2021-07-26,350.0,351.45,349.49,351.41,2500418.0,878671889.3800001
2021-07-27,350.02,350.68,348.725,350.62,3900264.0,1367510563.68
2021-07-28,351.02,351.23,348.71,349.36,3711995.0,1296822573.2
2021-07-29,350.95,351.7086,350.38,350.82,2425671.0,850973900.22
2021-07-30,349.88,351.01,348.67,349.48,3576715.0,1249990358.2
2021-08-02,350.45,351.91,348.06,348.35,2827133.0,984831780.55
2021-08-03,349.09,351.19,347.11,351.09,3819338.0,1340931378.4199998
2021-08-04,349.59,350.08,347.88,347.99,3118464.0,1085194287.36
2021-08-05,348.85,350.65,348.67,350.61,2261380.0,792862441.8000001
2021-08-06,351.62,352.49,351.46,352.09,2123737.0,747746560.3299999
2021-08-09,351.6,352.06,350.55,351.15,2322494.0,815543768.0999999
2021-08-10,351.41,352.94,351.01,352.73,2841009.0,1002109104.57
2021-08-11,353.94,355.12,353.7,354.94,3422522.0,1214789958.68
2021-08-12,355.19,355.25,353.735,355.23,3126880.0,1110761582.4
2021-08-13,355.85,356.37,355.0,355.39,2414944.0,858246948.16
2021-08-16,354.41,356.6,352.66,356.57,3637866.0,1297153879.62
2021-08-17,353.91,354.67,351.51,353.83,5019577.0,1776076929.9099998
2021-08-18,352.62,354.04,349.89,350.12,4038003.0,1413785610.36
2021-08-19,347.33,350.48,347.31,349.48,5442184.0,1901934464.32
2021-08-20,348.98,351.75,348.53,351.16,3394759.0,1192103570.44
2021-08-23,352.96,354.31,352.92,353.45,3569246.0,1261549998.7
2021-08-24,354.08,354.49,353.62,353.74,1981376.0,700891946.24
2021-08-25,353.78,355.04,352.92,354.18,2434699.0,862321691.82
2021-08-26,354.47,355.0,352.07,352.16,3008937.0,1059627253.92
2021-08-27,352.65,354.8496,352.65,354.57,3163666.0,1121741053.62
2021-08-30,354.96,355.22,353.88,354.08,2481998.0,878825851.8399999
2021-08-31,353.8,354.802,353.18,353.92,2913829.0,1031262359.68
2021-09-01,354.29,354.35,353.29,353.55,2739235.0,968456534.25
2021-09-02,354.78,355.18,353.92,354.87,2392219.0,848926756.53
2021-09-03,353.68,354.6517,353.09,354.14,2469109.0,874410261.26
2021-09-07,353.64,353.69,350.99,351.44,3194687.0,1122740799.28
2021-09-08,350.82,352.17,349.64,350.73,3075726.0,1078749379.98
2021-09-09,350.56,352.5084,348.9223,349.31,3484688.0,1217236365.28
2021-09-10,351.25,351.66,346.57,346.7,4516038.0,1565710374.6
2021-09-13,348.91,349.94,347.47,349.3,5465731.0,1909179838.3
2021-09-14,350.4,350.57,345.705,346.47,3916600.0,1356984402.0
2021-09-15,346.41,349.46,345.78,348.82,3290423.0,1147765350.86
2021-09-16,348.91,350.08,346.0,348.18,3646002.0,1269464976.36
2021-09-17,346.85,347.7,345.06,345.64,5380943.0,1859869138.52
2021-09-20,340.22,342.16,335.99,339.4,10010551.0,3397581009.3999996
2021-09-21,341.41,343.07,339.01,339.11,6071105.0,2058772416.55
2021-09-22,341.16,344.329,340.44,342.5,6862699.0,2350474407.5
2021-09-23,344.81,348.67,344.53,347.56,5592151.0,1943608001.56
2021-09-24,346.5,348.43,346.31,347.87,3121582.0,1085904730.34
2021-09-27,348.29,350.5,348.17,348.61,3410678.0,1188996457.5800002
2021-09-28,347.31,347.82,342.41,342.92,7480842.0,2565330338.6400003
2021-09-29,343.87,345.67,342.88,343.77,4116581.0,1415157050.37
2021-09-30,345.08,345.44,338.11,338.29,7939747.0,2685937012.63
