timestamps,open,high,low,close,volume,amount
2021-05-28,42.66,42.9699,41.63,42.04,131845.0,5542763.8
2021-06-01,41.86,41.86,40.26,41.18,112252.0,4622537.36
2021-06-02,41.29,41.56,40.66,41.12,76734.0,3155302.0799999996
2021-06-03,41.12,41.18,39.83,40.02,92168.0,3688563.36
2021-06-04,40.11,41.0,39.95,40.07,118389.0,4743847.23
2021-06-07,39.97,39.97,38.65,38.92,151496.0,5896224.32
2021-06-08,39.42,40.77,39.25,40.21,262756.0,10565418.76
2021-06-09,40.5,41.48,40.02,40.64,180944.0,7353564.16
2021-06-10,40.94,41.465,40.01,41.24,133463.0,5504014.12
2021-06-11,41.5,41.5,40.49,41.37,130885.0,5414712.449999999
2021-06-14,42.0,44.0,41.755,43.66,275964.0,12048588.239999998
2021-06-15,43.24,44.37,42.25,43.96,293140.0,12886434.4
2021-06-16,44.15,46.8396,43.99,46.53,457207.0,21273841.71
2021-06-17,46.23,48.4,45.57,46.28,341544.0,15806656.32
2021-06-18,46.44,47.92,46.02,47.0,1146234.0,53872998.0
2021-06-21,47.4,47.74,45.72,46.16,276337.0,12755715.92
2021-06-22,46.16,53.6015,46.0,51.49,1345925.0,69301678.25
2021-06-23,52.34,55.8747,51.5201,52.04,953778.0,49634607.12
2021-06-24,52.46,53.49,49.27,49.73,652826.0,32465036.979999997
2021-06-25,50.33,52.72,49.76,51.22,2245428.0,115010822.16
2021-06-28,52.59,57.885,51.22,55.44,867068.0,48070249.919999994
2021-06-29,55.65,56.08,53.68,54.82,583922.0,32010604.04
2021-06-30,54.23,55.83,52.63,55.59,439266.0,24418796.94
2021-07-01,55.05,55.61,53.34,53.81,643936.0,34650196.160000004
2021-07-02,55.0,56.91,54.11,56.09,405094.0,22721722.46
2021-07-06,55.97,56.079,53.5,54.44,322557.0,17560003.08
2021-07-07,55.09,55.48,53.95,54.51,387776.0,21137669.76
2021-07-08,53.41,54.8873,51.7701,54.82,289635.0,15877790.7
2021-07-09,55.12,58.0,55.12,57.44,567480.0,32596051.2
2021-07-12,58.51,58.65,54.8,55.77,468536.0,26130252.720000003
2021-07-13,55.83,57.1544,54.09,54.26,296365.0,16080764.9
2021-07-14,55.05,55.05,50.3,50.93,470459.0,23960476.87
2021-07-15,50.54,50.54,45.8,47.45,800815.0,37998671.75
2021-07-16,48.71,49.35,47.82,48.52,573647.0,27833352.44
2021-07-19,48.55,51.82,47.09,51.29,831009.0,42622451.61
2021-07-20,51.3,51.76,49.15,51.58,434658.0,22419659.64
2021-07-21,51.19,53.97,50.96,52.67,544949.0,28702463.83
2021-07-22,53.38,55.39,52.07,52.97,512514.0,27147866.58
2021-07-23,54.46,56.31,53.14,54.62,624586.0,34114887.32
2021-07-26,55.0,55.97,53.75,54.52,405266.0,22095102.32
2021-07-27,55.0,55.05,50.6,52.79,466957.0,24650660.03
2021-07-28,53.21,55.52,52.2,53.27,968930.0,51614901.1
2021-07-29,53.89,54.39,51.55,51.66,794274.0,41032194.84
2021-07-30,51.0,53.8,50.75,51.5,816792.0,42064788.0
2021-08-02,52.43,59.37,51.6406,56.65,6611530.0,374543174.5
2021-08-03,55.76,63.48,55.338,60.71,4254045.0,258263071.95
2021-08-04,59.6,63.099,57.91,58.8,2857948.0,168047342.4
2021-08-05,57.5,58.29,52.73,57.44,4738993.0,272207757.92
2021-08-06,59.41,59.44,53.7,54.0,3094933.0,167126382.0
2021-08-09,53.0,54.005,51.54,53.34,5551172.0,296099514.48
2021-08-10,53.51,57.79,52.53,57.63,3271534.0,188538504.42
2021-08-11,56.77,57.97,55.7422,55.85,1245057.0,69536433.45
2021-08-12,55.62,56.52,54.27,54.98,1106656.0,60843946.879999995
2021-08-13,54.46,54.97,52.53,53.47,1835689.0,98154290.83
2021-08-16,53.66,53.66,51.2,51.4,1054788.0,54216103.2
2021-08-17,51.12,51.4,48.8,51.14,1566705.0,80121293.7
2021-08-18,52.0,53.76,50.52,53.06,3003620.0,159372077.20000002
2021-08-19,51.51,53.07,50.55,51.37,1514835.0,77817073.95
2021-08-20,51.43,53.19,51.25,53.17,1222034.0,64975547.78
2021-08-23,54.01,56.0,53.1,55.23,2257234.0,124667033.82
2021-08-24,55.75,56.109,54.02,55.51,1538434.0,85398471.34
2021-08-25,54.88,55.88,53.13,55.82,1422872.0,79424715.04
2021-08-26,56.08,58.65,56.0,56.8,1528809.0,86836351.2
2021-08-27,56.98,60.0,56.63,59.99,1371559.0,82279824.41
2021-08-30,61.2,62.72,59.57,62.23,1575607.0,98050023.61
2021-08-31,62.3,63.67,61.16,61.68,1998846.0,123288821.28
2021-09-01,61.85,64.4299,61.62,63.11,1453755.0,91746478.05
2021-09-02,63.46,65.96,63.46,64.15,1858959.0,119252219.85
2021-09-03,64.51,73.5,64.15,73.46,3172903.0,233081454.37999997
2021-09-07,72.99,73.39,69.62,70.27,3590930.0,252334651.1
2021-09-08,69.33,69.99,65.18,67.71,2977599.0,201613228.29
2021-09-09,66.91,70.46,66.76,69.08,1432307.0,98943767.56
2021-09-10,70.29,74.36,69.391,70.03,4119996.0,288523319.88
2021-09-13,71.93,77.24,71.43,75.69,4896179.0,370591788.51
2021-09-14,77.625,77.625,73.66,76.77,2697814.0,207111180.78
2021-09-15,77.0,81.64,75.1,81.56,2805932.0,228851813.92
2021-09-16,81.325,87.49,80.97,86.6,3586126.0,310558511.59999996
2021-09-17,85.84,87.99,81.5,82.21,11899238.0,978236355.98
2021-09-20,78.6,83.8699,77.78,79.62,2674757.0,212964152.34
2021-09-21,81.76,81.9,78.99,79.35,1472668.0,116856205.8
2021-09-22,80.57,86.65,80.2309,85.08,2069609.0,176082333.72
2021-09-23,87.95,88.48,84.0255,87.67,1495379.0,131099876.93
2021-09-24,83.75,85.0,79.09,82.54,5144352.0,424614814.08
2021-09-27,82.25,83.52,79.6277,81.73,2101036.0,171717672.28
2021-09-28,80.0,80.52,77.03,78.56,2278026.0,178961722.56
2021-09-29,79.0,81.36,75.48,77.85,1900453.0,147950266.04999998
2021-09-30,78.17,79.42,76.16,77.63,1419227.0,110174592.01
2021-10-01,78.47,81.81,74.6491,81.07,2310741.0,187331772.86999995
2021-10-04,81.07,81.25,75.31,78.01,1424552.0,111129301.52
2021-10-05,79.46,81.7,78.63,79.19,936748.0,74181074.12
2021-10-06,77.0,82.7789,76.63,82.39,1883898.0,155214356.22
2021-10-07,83.63,85.4157,82.53,85.19,2112864.0,179994884.16
2021-10-08,84.51,87.72,83.0,83.84,1656954.0,138919023.36
2021-10-11,82.25,85.17,82.11,83.9,1221575.0,102490142.5
2021-10-12,84.93,86.68,84.16,85.86,1191276.0,102282957.36
2021-10-13,87.82,92.48,87.02,91.09,2592997.0,236196096.73
2021-10-14,93.48,94.63,89.62,90.36,2103066.0,190033043.76
2021-10-15,92.0,92.01,87.4,89.11,1346498.0,119986436.78
2021-10-18,89.0,92.46,88.89,91.66,934593.0,85664794.38
2021-10-19,92.32,94.78,90.71,91.66,1292599.0,118479624.34
2021-10-20,92.15,92.497,88.62,90.35,905968.0,81854208.8
2021-10-21,90.4,96.3,89.5,95.41,1629312.0,155452657.92
2021-10-22,94.7,96.5,93.01,93.94,899800.0,84527212.0
2021-10-25,94.93,98.5,94.39,95.55,2729383.0,260792545.65
2021-10-26,96.28,99.32,93.04,96.1,1385660.0,133161926.0
2021-10-27,96.9,98.51,94.8416,95.61,801697.0,76650250.17
2021-10-28,96.51,97.82,94.5517,95.53,865877.0,82717229.81
2021-10-29,94.73,98.84,94.73,97.59,1155434.0,112758804.06
2021-11-01,97.96,98.78,94.5,94.77,996557.0,94443706.89
2021-11-02,95.0,95.8184,89.5633,92.21,1572772.0,145025306.12
2021-11-03,92.61,96.48,91.51,94.54,1542863.0,145862268.02
2021-11-04,91.67,105.99,91.51,105.32,3722802.0,392085506.64
2021-11-05,108.05,108.28,101.3255,102.61,1664289.0,170772694.29
2021-11-08,107.0,113.73,106.0,112.54,2628337.0,295793045.98
2021-11-09,114.3,117.7799,111.03,116.63,1997486.0,232966792.18
2021-11-10,114.3,115.0824,105.42,107.69,1632437.0,175797140.53
2021-11-11,111.1,117.39,110.0,114.29,1306885.0,149363886.65
2021-11-12,118.53,124.71,118.53,124.03,1850578.0,229527189.34
2021-11-15,122.13,124.11,118.88,119.01,1976073.0,235172447.73
2021-11-16,120.0,131.3,119.5,130.26,8555235.0,1114404911.1
2021-11-17,128.07,132.74,126.4,129.0,1873856.0,241727424.0
2021-11-18,130.83,131.99,126.0,128.01,1949303.0,249530277.02999997
2021-11-19,130.0,133.4,127.7328,128.53,1091021.0,140228929.13
2021-11-22,124.84,124.84,101.57,102.82,6542491.0,672698924.62
2021-11-23,99.24,104.86,94.74,98.96,4374491.0,432899629.3599999
2021-11-24,97.0,102.65,94.1,101.53,2074622.0,210636371.66
2021-11-26,100.18,103.42,98.0,100.21,1197979.0,120049475.59
2021-11-29,104.0,106.25,100.75,104.44,2024531.0,211442017.64
2021-11-30,104.51,105.32,96.6,100.81,3984937.0,401721498.97
2021-12-01,103.43,106.4,86.5,87.46,5487940.0,479975232.4
2021-12-02,89.03,91.8502,82.67,90.47,7276002.0,658259900.9399999
2021-12-03,90.33,90.75,79.58,84.04,4336043.0,364401053.72
2021-12-06,83.76,87.245,78.66,85.94,2809537.0,241451609.78
2021-12-07,91.615,94.22,90.51,93.91,2807483.0,263650728.53
2021-12-08,93.79,96.45,90.0,95.14,1741493.0,165685644.02
2021-12-09,96.65,98.4999,86.81,87.31,2615052.0,228320190.12
2021-12-10,88.39,91.33,82.765,84.22,3215716.0,270827601.52
2021-12-13,82.9,84.4,78.1581,80.55,3415755.0,275139065.25
2021-12-14,77.76,78.5,71.69,74.49,4464897.0,332590177.53
2021-12-15,74.84,79.4345,73.06,78.37,3977128.0,311687521.36
2021-12-16,80.85,80.85,71.01,71.01,4110974.0,291920263.74
2021-12-17,69.49,74.61,68.66,73.74,5264658.0,388215880.92
2021-12-20,71.55,75.24,70.6,73.0,2404391.0,175520543.0
2021-12-21,75.0,82.34,73.36,81.47,3692922.0,300862355.34
2021-12-22,80.75,83.135,78.71,79.24,2136431.0,169290792.44
2021-12-23,79.93,81.931,77.78,81.26,1249842.0,101562160.92
2021-12-27,82.8,85.72,82.61,83.96,2087752.0,175287657.92
2021-12-28,84.0,84.39,79.6,80.47,1121169.0,90220469.43
2021-12-29,80.97,81.4,78.08,80.77,942125.0,76095436.25
2021-12-30,81.0,84.0,81.0,82.38,1079799.0,88953841.61999999
2021-12-31,82.01,82.9899,80.16,80.33,879216.0,70627421.28
2022-01-03,81.3,81.375,74.48,75.29,2694839.0,202894428.31
2022-01-04,75.01,75.76,69.6,72.78,3401217.0,247540573.26
2022-01-05,71.96,72.7289,67.5,69.37,2791723.0,193661824.51
2022-01-06,67.0,73.95,67.0,70.82,2682345.0,189963672.9
2022-01-07,70.11,72.9823,69.02,70.73,1493416.0,105629313.68
2022-01-10,68.89,70.7,65.26,70.67,2099893.0,148399438.31
2022-01-11,70.72,74.48,69.4612,73.4,1549509.0,113733960.6
2022-01-12,75.62,78.79,69.81,71.54,1802608.0,128958576.32
2022-01-13,71.3,72.81,65.3,65.42,2603455.0,170318026.1
2022-01-14,60.3,63.06,58.41,59.49,7087646.0,421644060.54
2022-01-18,58.91,61.21,57.17,57.38,2686033.0,154124573.54000002
2022-01-19,57.76,60.13,56.26,56.61,2128011.0,120466702.71
2022-01-20,57.57,60.2,55.39,55.5,1885085.0,104622217.5
