timestamps,open,high,low,close,volume,amount
2026-04-02,27.0,28.0,26.14,27.76,2530245.829321,70239624.22195096
2026-04-06,29.28,29.9499,28.79,29.16,6320106.947346,184294318.58460936
2026-04-07,29.07,29.46,28.38,29.44,4869630.858208,143361932.46564353
2026-04-08,33.39,33.39,31.6934,32.47,9442621.777096,306601929.1023071
2026-04-09,31.5,32.45,30.825,32.38,10282439.822736,332945401.4601917
2026-04-10,32.58,32.7,32.1081,32.43,4864691.639709,157761949.87576285
2026-04-13,32.35,33.58,32.06,33.55,5547515.85752,186119157.019796
2026-04-14,34.31,35.57,33.7,35.57,8770406.457624,311963357.69768566
2026-04-15,34.625,34.68,33.6948,34.47,7354163.871626,253498028.6549482
2026-04-16,34.815,35.34,34.53,35.04,6114412.902891,214249028.11730063
2026-04-17,35.7,35.97,35.2601,35.59,5743805.365341,204422032.95248625
2026-04-20,35.44,35.68,34.55,35.07,6580762.353364,230787335.7324755
2026-04-21,35.795,36.0,34.8939,34.93,6935953.131091,242272842.8690086
2026-04-22,36.13,37.5,35.8,37.3,9861410.43055,367830609.05951494
2026-04-23,36.735,37.35,35.81,36.36,11883727.247078,432092322.703756
2026-04-24,36.985,37.55,36.63,37.2,11151423.108501,414832939.63623726
2026-04-27,38.32,39.34,38.01,38.57,11873833.591859,457973761.6380016
2026-04-28,37.35,37.97,36.51,37.33,14534936.479715,542589178.787761
2026-04-29,38.69,39.0,37.87,38.23,11286881.643647,431497485.2366248
2026-04-30,39.21,39.43,38.2,39.33,9381542.450404,368976064.5743893
2026-05-01,38.9,40.8,38.75,40.41,11751030.621464,474859147.4133602
2026-05-04,42.15,43.43,41.91,42.47,29750203.056287,1263491123.800509
2026-05-05,44.4,46.98,44.29,46.29,36056184.679181,1669040788.7992885
2026-05-06,48.645,48.99,46.34,48.68,47140499.499161,2294799515.6191573
2026-05-07,47.95,48.78,46.08,46.55,27480494.77287,1279217031.6770985
2026-05-08,49.0,52.8,48.9,52.8,41325404.383862,2181981351.4679136
2026-05-11,54.91,56.38,53.7,55.08,79681428.359697,4388853074.052111
2026-05-12,52.03,52.965,48.32,51.3,69775943.318937,3579505892.261468
2026-05-13,54.67,54.87,52.87,54.54,42539351.691068,2320096241.230849
2026-05-14,53.47,55.09,53.15,53.79,28665253.736801,1541903998.5025256
2026-05-15,50.69,51.93,49.82,51.1,35031288.804404,1790098857.9050443
2026-05-18,53.14,53.15,48.01,49.32,39079860.012145,1927418695.7989912
2026-05-19,47.4,51.0494,46.43,49.77,37482378.129592,1865497959.509794
2026-05-20,51.0,51.63,49.73,51.51,24755635.807711,1275162800.4551935
2026-05-21,52.18,54.45,51.9001,54.34,26926834.760392,1463204200.8797014
2026-05-22,53.67,54.29,52.72,52.82,21170427.717138,1118221992.0192292
2026-05-26,57.16,61.32,57.05,60.51,45469747.7855,2751374438.5006046
2026-05-27,62.44,62.68,59.05,60.73,42338271.426154,2571203223.7103324
