timestamps,open,high,low,close,volume,amount
2021-05-28,26.83,26.91,26.28,26.56,6235897.0,165625424.32
2021-06-01,28.84,30.34,28.58,30.2,38525172.0,1163460194.4
2021-06-02,30.34,31.3851,29.72,30.8,16587939.0,510908521.2
2021-06-03,30.43,31.3,30.23,31.17,10458082.0,325978415.94
2021-06-04,31.47,31.81,30.7,31.66,10067132.0,318725399.12
2021-06-07,31.51,31.99,30.66,30.92,10025135.0,309977174.2
2021-06-08,30.49,31.115,30.11,30.85,9868437.0,304441281.45
2021-06-09,30.93,31.18,29.79,29.93,9801448.0,293357338.64
2021-06-10,30.56,30.63,29.05,29.39,11395524.0,334914450.36
2021-06-11,29.27,29.56,29.11,29.29,6464865.0,189355895.85
2021-06-14,29.62,29.945,28.76,28.98,8128161.0,235554105.78
2021-06-15,29.07,29.74,29.01,29.6,7282657.0,215566647.2
2021-06-16,29.27,29.56,28.525,29.06,9526249.0,276832795.94
2021-06-17,28.97,29.33,27.15,27.59,15046172.0,415123885.48
2021-06-18,26.85,27.44,26.67,26.75,17780223.0,475620965.25
2021-06-21,27.2,28.6275,27.18,28.6,10673126.0,305251403.6
2021-06-22,28.4,28.7,27.86,28.54,8098676.0,231136213.04
2021-06-23,28.87,29.91,28.845,29.1,9604362.0,279486934.2
2021-06-24,29.11,29.76,28.64,29.74,9180807.0,273037200.18
2021-06-25,29.74,29.99,29.28,29.76,11100515.0,330351326.40000004
2021-06-28,29.6,29.68,28.07,28.41,12387825.0,351938108.25
2021-06-29,28.57,28.88,27.85,28.02,8943650.0,250601073.0
2021-06-30,28.43,29.28,28.39,29.19,10960327.0,319931945.13
2021-07-01,30.3,30.55,29.4,29.96,11610352.0,347846145.92
2021-07-02,29.86,29.97,29.19,29.23,9294555.0,271679842.65
2021-07-06,29.295,29.295,27.66,27.84,15236996.0,424197968.64
2021-07-07,28.19,28.61,27.0233,27.53,13985568.0,385022687.04
2021-07-08,26.75,28.18,26.55,27.76,10450653.0,290110127.28000003
2021-07-09,28.1,28.74,27.6,28.65,8943148.0,256221190.2
2021-07-12,28.09,28.9,27.86,28.7,8574552.0,246089642.4
2021-07-13,28.49,29.18,28.32,28.97,9972735.0,288910132.95
2021-07-14,29.09,29.705,26.97,27.3,16615748.0,453609920.4
2021-07-15,26.9,27.59,26.52,26.65,13603037.0,362520936.0499999
2021-07-16,27.03,27.1,25.63,25.78,13677538.0,352606929.64000005
2021-07-19,24.59,25.23,24.05,24.93,17059720.0,425298819.6
2021-07-20,24.95,25.83,24.54,25.33,13450751.0,340707522.83
2021-07-21,25.84,26.71,25.705,26.34,9197042.0,242250086.28
2021-07-22,26.43,26.58,25.89,25.99,7095226.0,184404923.74
2021-07-23,26.05,26.0745,25.18,25.62,8081327.0,207043597.74
2021-07-26,25.79,26.76,25.68,26.65,8447024.0,225113189.6
2021-07-27,26.27,26.52,25.7199,25.94,8605678.0,223231287.32
2021-07-28,26.28,26.79,25.8,26.46,6961696.0,184206476.16
2021-07-29,26.95,27.04,26.41,26.63,6009792.0,160040760.96
2021-07-30,26.55,26.55,25.54,25.84,9261991.0,239329847.44
2021-08-02,25.91,26.76,25.28,25.49,8739178.0,222761647.22
2021-08-03,25.26,26.26,24.85,26.21,10435596.0,273516971.16
2021-08-04,25.35,26.005,24.82,25.29,12758755.0,322668913.95
2021-08-05,25.65,27.045,25.65,26.63,10407648.0,277155666.24
2021-08-06,27.04,27.46,26.67,27.01,7952535.0,214797970.35
2021-08-09,26.33,26.8,25.97,26.64,7787349.0,207454977.36
2021-08-10,26.86,27.73,26.81,27.65,8156392.0,225524238.8
2021-08-11,27.35,28.0991,27.05,28.0,6996196.0,195893488.0
2021-08-12,28.045,28.53,27.655,28.47,7315477.0,208271630.19
2021-08-13,28.38,28.72,27.94,28.01,5643515.0,158074855.15
2021-08-16,27.49,27.55,26.87,27.17,8977455.0,243917452.35
2021-08-17,26.9,27.58,26.7,26.91,8292499.0,223151148.09
2021-08-18,27.02,27.41,26.09,26.14,7773713.0,203204857.82
2021-08-19,25.43,25.83,24.46,25.34,15530429.0,393541070.86
2021-08-20,24.96,25.78,24.79,25.7,8944399.0,229871054.3
2021-08-23,26.72,27.37,26.64,27.26,7807098.0,212821491.48
2021-08-24,27.73,28.61,27.55,28.53,10505502.0,299721972.06
2021-08-25,28.65,29.505,28.2,29.24,10566960.0,308977910.4
2021-08-26,29.0,29.59,28.69,29.09,11960295.0,347924981.55
2021-08-27,29.46,30.41,29.46,30.36,13653801.0,414529398.36
2021-08-30,30.39,30.55,29.57,29.78,7964381.0,237179266.18
2021-08-31,29.66,30.315,29.415,29.55,11534773.0,340852542.15000004
2021-09-01,29.4,29.59,27.67,28.24,20558964.0,580585143.36
2021-09-02,28.6,29.97,28.6,29.32,11714663.0,343473919.16
2021-09-03,29.21,29.8,28.995,29.17,7306165.0,213120833.05
2021-09-07,28.9,29.33,28.73,29.06,6003972.0,174475426.32
2021-09-08,29.25,29.615,28.03,28.23,8874027.0,250513782.21
2021-09-09,28.01,29.075,27.73,28.45,9205681.0,261901624.45
2021-09-10,28.7,29.03,28.02,28.07,6582658.0,184775210.06
2021-09-13,28.69,29.475,28.57,28.92,9877730.0,285663951.6
2021-09-14,29.13,29.287,27.87,28.27,9151350.0,258708664.5
2021-09-15,28.91,30.43,28.88,30.33,20616720.0,625305117.6
2021-09-16,30.2,30.5799,29.7098,30.31,10065441.0,305083516.71
2021-09-17,30.205,30.69,29.72,29.79,24722901.0,736495220.79
2021-09-20,28.43,28.83,27.4,28.18,14190300.0,399882654.0
2021-09-21,28.82,28.91,27.812,28.49,11105200.0,316387148.0
2021-09-22,29.23,30.84,29.21,30.44,15922237.0,484672894.28
2021-09-23,30.58,32.925,30.49,32.8,15590381.0,511364496.7999999
2021-09-24,32.4,33.34,32.26,33.09,10329366.0,341798720.94000006
2021-09-27,34.0,35.09,33.92,35.0,17222081.0,602772835.0
2021-09-28,35.53,35.97,34.86,35.13,15516927.0,545109645.51
2021-09-29,34.99,36.04,34.54,35.75,13299069.0,475441716.75
2021-09-30,35.5,35.91,34.905,35.51,15640522.0,555394936.2199999
2021-10-01,35.86,37.17,35.81,36.81,14253510.0,524671703.1
2021-10-04,37.5,39.4,37.44,38.76,19176257.0,743271721.3199999
2021-10-05,39.32,40.245,38.825,40.08,18715755.0,750127460.4
2021-10-06,39.02,39.78,38.04,38.68,16983627.0,656926692.36
2021-10-07,38.81,38.98,37.515,38.4,14063235.0,540028224.0
2021-10-08,39.0,39.97,38.82,39.86,11040599.0,440078276.14
2021-10-11,40.66,40.8628,39.25,39.45,10102066.0,398526503.7000001
2021-10-12,39.46,40.23,38.7607,39.25,9319268.0,365781269.0
2021-10-13,38.58,39.37,38.05,38.99,7696779.0,300097413.21000004
2021-10-14,39.77,39.94,39.015,39.78,7630875.0,303556207.5
2021-10-15,40.25,40.98,40.03,40.1,7737475.0,310272747.5
2021-10-18,40.67,41.98,39.88,40.52,11777255.0,477214372.6
2021-10-19,40.64,41.805,40.11,40.3,16074348.0,647796224.4
