timestamps,open,high,low,close,volume,amount
2021-05-28,59.955,61.42,59.66,60.88,10887624.0,662838549.12
2021-06-01,61.52,62.09,60.73,61.37,5640861.0,346179639.57
2021-06-02,61.39,63.57,61.02,63.41,10598268.0,672036173.88
2021-06-03,62.975,64.27,62.5901,64.07,7219237.0,462536514.59
2021-06-04,64.38,65.89,64.14,65.23,8978003.0,585635135.69
2021-06-07,65.305,65.725,64.785,65.45,6123599.0,400789554.55
2021-06-08,65.52,65.945,65.26,65.8,5712310.0,375869998.0
2021-06-09,66.225,66.345,65.4,65.96,6124375.0,403963774.99999994
2021-06-10,66.32,66.98,65.77,66.75,5789039.0,386418353.25
2021-06-11,66.9,67.415,66.83,67.13,5849463.0,392674451.19
2021-06-14,67.25,67.26,65.17,65.89,6944349.0,457563155.61
2021-06-15,66.0,66.35,65.47,65.96,5011353.0,330548843.88
2021-06-16,65.44,66.345,65.3,66.09,5626187.0,371834698.83
2021-06-17,65.67,66.3,65.25,65.33,6398546.0,418017010.18
2021-06-18,64.84,64.925,63.14,63.26,11438726.0,723613806.76
2021-06-21,63.38,64.97,63.3579,64.4,6483904.0,417563417.6
2021-06-22,64.275,65.125,63.41,64.89,5311268.0,344648180.52
2021-06-23,65.0204,65.93,64.89,65.3,4446558.0,290360237.4
2021-06-24,65.41,66.75,65.14,66.57,5522496.0,367632558.72
2021-06-25,66.75,68.19,66.75,67.9,8999367.0,611057019.3000001
2021-06-28,68.26,68.975,67.57,68.82,5413575.0,372562231.49999994
2021-06-29,69.0,70.64,68.85,70.49,6512970.0,459099255.2999999
2021-06-30,70.23,70.655,69.695,70.21,7299786.0,512517975.05999994
2021-07-01,70.21,70.765,69.03,69.8,8519809.0,594682668.1999999
2021-07-02,69.99,70.31,69.36,70.08,4910250.0,344110320.0
2021-07-06,70.15,70.15,68.89,69.02,6112146.0,421860316.92
2021-07-07,69.155,70.52,68.99,70.07,6019524.0,421788046.67999995
2021-07-08,68.66,69.29,68.38,68.65,5581827.0,383192423.55
2021-07-09,68.83,69.95,68.585,69.46,5263641.0,365612503.8599999
2021-07-12,69.82,70.25,68.845,68.97,5629012.0,388232957.64
2021-07-13,68.82,69.465,68.5,68.74,4491765.0,308763926.09999996
2021-07-14,69.67,70.31,67.96,68.03,6484165.0,441117744.95
2021-07-15,68.06,68.63,67.64,68.14,4577980.0,311943557.2
2021-07-16,68.41,68.8,68.135,68.18,4279106.0,291749447.08000004
2021-07-19,67.605,68.88,67.28,68.53,6464350.0,443001905.5
2021-07-20,68.7,69.61,68.58,69.57,6223929.0,432998740.53
2021-07-21,69.41,70.07,69.23,69.86,6082554.0,424927222.44
2021-07-22,69.85,72.1,69.61,72.06,8802193.0,634286027.58
2021-07-23,72.12,73.77,71.66,73.54,6700455.0,492751460.7000001
2021-07-26,72.89,73.9715,72.89,73.26,7578900.0,555230214.0
2021-07-27,73.09,73.24,71.07,72.29,8159373.0,589841074.1700001
2021-07-28,72.5765,73.57,72.22,72.89,5141052.0,374731280.28
2021-07-29,73.14,74.13,73.05,73.41,4963149.0,364344768.09
2021-07-30,72.055,72.07,68.075,68.21,11995258.0,818196548.18
2021-08-02,68.81,69.36,67.58,68.63,6785149.0,465664775.86999995
2021-08-03,68.75,68.78,67.64,68.01,5997944.0,407920171.44000006
2021-08-04,67.92,68.7,67.72,68.0,6715916.0,456682288.0
2021-08-05,67.7,67.88,65.58,67.28,9926204.0,667835005.12
2021-08-06,67.26,67.28,65.27,65.49,8888335.0,582097059.15
2021-08-09,65.74,66.32,65.07,65.35,7186357.0,469628429.95
2021-08-10,65.36,67.58,65.35,67.31,7358923.0,495329107.13
2021-08-11,67.22,68.22,66.95,68.02,10104412.0,687302104.24
2021-08-12,67.17,69.04,66.36,68.89,10680438.0,735775373.82
2021-08-13,68.64,74.15,68.59,74.02,17907608.0,1325521144.1599998
2021-08-16,73.72,76.55,73.51,75.25,12694015.0,955224628.75
2021-08-17,74.04,74.74,72.66,72.84,9422840.0,686359665.6
2021-08-18,72.98,74.14,72.36,72.83,6386394.0,465121075.02
2021-08-19,72.36,73.55,72.06,72.83,5607281.0,408378275.23
2021-08-20,72.9,73.84,72.81,73.36,5398789.0,396055161.04
2021-08-23,73.41,73.47,71.78,73.2,5044717.0,369273284.4
2021-08-24,73.53,73.9999,72.62,72.84,6132265.0,446674182.6
2021-08-25,72.85,74.49,72.705,74.16,5052561.0,374697923.76
