timestamps,open,high,low,close,volume,amount
2021-05-28,54.66,55.0,54.64,54.87,43702678.0,2397965941.8599997
2021-06-01,56.14,56.175,55.82,56.0,41988723.0,2351368488.0
2021-06-02,55.92,56.13,55.77,56.09,24317423.0,1363964256.0700002
2021-06-03,55.51,55.6575,55.34,55.49,40461271.0,2245195927.79
2021-06-04,55.88,56.03,55.8,55.99,28748747.0,1609642344.53
2021-06-07,55.71,55.74,55.46,55.71,24899272.0,1387138443.12
2021-06-08,55.52,55.5466,55.26,55.44,38043787.0,2109147551.28
2021-06-09,55.38,55.53,55.23,55.28,30986444.0,1712930624.32
2021-06-10,55.24,55.5574,55.19,55.48,26767086.0,1485037931.28
2021-06-11,55.34,55.385,55.1122,55.29,28315705.0,1565575329.45
2021-06-14,55.33,55.56,55.27,55.44,26148466.0,1449670955.04
2021-06-15,55.3,55.31,54.94,55.06,33961856.0,1869939791.36
2021-06-16,54.95,55.095,54.09,54.31,44176883.0,2399246515.73
2021-06-17,54.54,54.8199,54.45,54.61,27733009.0,1514499621.49
2021-06-18,54.38,54.48,54.125,54.23,42469597.0,2303126245.31
2021-06-21,54.17,54.46,53.92,54.46,27023179.0,1471682328.34
2021-06-22,54.0,54.26,53.85,54.21,35840758.0,1942927491.18
2021-06-23,54.6,54.9,54.51,54.54,25843979.0,1409530614.66
2021-06-24,54.86,55.09,54.81,55.04,20074156.0,1104881546.24
2021-06-25,55.52,55.59,55.29,55.5,24963890.0,1385495895.0
2021-06-28,55.48,55.62,55.4,55.55,22702529.0,1261125485.95
2021-06-29,55.16,55.53,55.04,55.51,18397629.0,1021252385.79
2021-06-30,55.12,55.308,55.045,55.15,33267644.0,1834710566.6
2021-07-01,55.18,55.245,54.565,54.84,27531712.0,1509839086.0800002
2021-07-02,54.62,54.785,54.45,54.78,24358414.0,1334353918.92
2021-07-06,54.12,54.21,53.62,53.82,38283639.0,2060425450.98
2021-07-07,54.13,54.14,53.555,53.76,25385245.0,1364710771.2
2021-07-08,52.59,52.84,52.46,52.64,45289502.0,2384039385.28
2021-07-09,53.23,53.57,53.09,53.55,28906258.0,1547930115.9
2021-07-12,53.38,53.63,53.28,53.6,22018259.0,1180178682.4
2021-07-13,53.69,53.99,53.64,53.65,29053256.0,1558707184.4
2021-07-14,54.13,54.19,53.775,53.88,19774449.0,1065447312.12
2021-07-15,54.095,54.285,53.885,54.01,33304243.0,1798762164.4299998
2021-07-16,54.08,54.12,53.48,53.59,23206928.0,1243659271.52
2021-07-19,52.75,52.79,52.41,52.69,33730693.0,1777270214.1699998
2021-07-20,52.445,52.9899,52.33,52.86,37996984.0,2008520574.24
2021-07-21,52.58,53.21,52.53,53.2,24133586.0,1283906775.2
2021-07-22,53.35,53.37,53.07,53.3,27151682.0,1447184650.6
2021-07-23,52.69,52.7,52.23,52.51,31285377.0,1642795146.27
2021-07-26,51.41,51.75,51.3026,51.51,43529699.0,2242214795.49
2021-07-27,50.41,50.565,49.83,50.47,73853738.0,3727398156.86
2021-07-28,51.08,51.935,50.96,51.84,56286902.0,2917912999.6800003
2021-07-29,52.25,52.28,51.89,52.1,43339411.0,2257983313.1
2021-07-30,51.45,51.855,51.43,51.6,59733099.0,3082227908.4
2021-08-02,52.05,52.25,51.91,51.97,40114753.0,2084763713.41
2021-08-03,51.9,52.22,51.6899,52.19,30531882.0,1593458921.58
2021-08-04,52.58,52.79,52.345,52.46,32580558.0,1709176072.68
2021-08-05,52.38,52.56,52.34,52.38,15941746.0,835028655.48
2021-08-06,52.17,52.19,51.79,51.94,35286965.0,1832804962.1
2021-08-09,52.165,52.3,52.05,52.11,24062256.0,1253884160.16
2021-08-10,52.33,52.36,52.105,52.18,15184502.0,792327314.36
2021-08-11,52.49,52.5,52.085,52.32,22374794.0,1170649222.08
2021-08-12,51.88,51.9,51.65,51.86,25556315.0,1325350495.9
2021-08-13,51.64,51.73,51.39,51.73,28396159.0,1468933305.07
2021-08-16,51.29,51.31,51.04,51.26,46150142.0,2365656278.92
2021-08-17,50.33,50.62,50.115,50.32,78463005.0,3948258411.6
2021-08-18,50.69,50.89,50.38,50.4,42994827.0,2166939280.7999997
2021-08-19,49.41,49.735,49.37,49.54,63275201.0,3134653457.54
2021-08-20,49.13,49.59,49.11,49.5,44682069.0,2211762415.5
2021-08-23,49.97,50.32,49.855,50.25,45136397.0,2268103949.25
2021-08-24,51.0,51.465,51.0,51.39,51292040.0,2635897935.6
2021-08-25,51.33,51.5,51.205,51.45,25272823.0,1300286743.35
2021-08-26,51.13,51.19,50.91,50.96,29030575.0,1479398102.0
2021-08-27,51.26,51.59,51.1,51.59,32971360.0,1700992462.4
2021-08-30,51.66,51.77,51.43,51.7,18508522.0,956890587.4
2021-08-31,52.47,52.52,52.33,52.41,43196797.0,2263944130.77
2021-09-01,52.73,53.28,52.73,53.08,35980480.0,1909843878.4
2021-09-02,53.02,53.125,52.76,52.84,24988569.0,1320395985.96
2021-09-03,52.95,53.19,52.93,53.12,21313234.0,1132158990.08
2021-09-07,53.29,53.58,53.25,53.43,33601405.0,1795323069.15
2021-09-08,53.11,53.12,52.53,52.65,53345450.0,2808637942.5
2021-09-09,52.39,52.645,52.295,52.55,34707135.0,1823859944.25
2021-09-10,52.95,53.01,52.48,52.49,40157827.0,2107884339.23
2021-09-13,52.56,52.77,52.36,52.63,35344140.0,1860162088.2
2021-09-14,52.49,52.52,52.09,52.19,36013350.0,1879536736.5
2021-09-15,52.01,52.18,51.8,52.18,38834458.0,2026382018.44
2021-09-16,51.43,51.625,51.25,51.59,43721342.0,2255584033.78
2021-09-17,51.61,51.67,51.265,51.37,45421415.0,2333298088.5499997
2021-09-20,50.15,50.42,49.57,49.99,51800161.0,2589490048.39
2021-09-21,50.36,50.495,50.14,50.36,39347377.0,1981533905.72
2021-09-22,50.83,51.34,50.82,50.99,46189176.0,2355186084.24
2021-09-23,51.23,51.44,51.12,51.39,27106382.0,1392996970.98
2021-09-24,50.85,50.95,50.725,50.78,29593499.0,1502757879.22
2021-09-27,50.83,51.23,50.67,51.11,31181730.0,1593698220.3
2021-09-28,50.86,50.92,50.285,50.45,44156315.0,2227686091.75
2021-09-29,50.32,50.455,49.96,49.98,43140608.0,2156167587.8399997
2021-09-30,50.555,50.735,50.28,50.38,70127815.0,3533039319.7000003
2021-10-01,50.37,50.5099,49.88,50.33,45196227.0,2274726104.91
2021-10-04,49.91,49.95,49.28,49.59,43597127.0,2161981527.9300003
2021-10-05,49.725,50.125,49.675,49.94,28762192.0,1436383868.48
2021-10-06,49.2,49.71,49.11,49.66,57266033.0,2843831198.7799997
2021-10-07,50.37,50.87,50.33,50.63,60245110.0,3050209919.3
2021-10-08,50.76,50.91,50.64,50.82,25007779.0,1270895328.78
2021-10-11,51.07,51.23,50.7,50.72,26808286.0,1359716265.92
2021-10-12,50.75,50.82,50.4201,50.46,29109410.0,1468860828.6
2021-10-13,50.93,51.26,50.785,51.16,34753432.0,1777985581.12
2021-10-14,51.43,51.48,51.135,51.32,23980893.0,1230699428.76
2021-10-15,51.63,52.03,51.52,51.94,41156263.0,2137656300.22
2021-10-18,51.61,51.96,51.57,51.81,25729134.0,1333026432.54
2021-10-19,52.21,52.56,52.125,52.5,40591867.0,2131073017.5
2021-10-20,52.62,52.62,52.3748,52.49,26405285.0,1386013409.65
2021-10-21,52.09,52.22,51.985,52.15,35267470.0,1839198560.5
2021-10-22,52.21,52.42,51.845,52.04,51123454.0,2660464546.16
2021-10-25,52.28,52.39,52.02,52.31,32479912.0,1699024196.72
2021-10-26,52.44,52.5,51.95,52.04,32195245.0,1675440549.8
2021-10-27,51.72,51.97,51.565,51.62,32422138.0,1673630763.56
2021-10-28,51.39,51.67,51.25,51.67,27098496.0,1400179288.32
2021-10-29,50.99,51.07,50.65,50.92,50988872.0,2596353362.24
2021-11-01,50.89,51.34,50.85,51.32,31197440.0,1601052620.8
2021-11-02,50.95,50.98,50.78,50.86,34098046.0,1734226619.56
2021-11-03,50.8,51.175,50.62,51.1,49350822.0,2521827004.2000003
2021-11-04,51.21,51.235,50.8,50.98,23722435.0,1209369736.3
2021-11-05,51.16,51.18,50.745,50.92,23969881.0,1220546340.52
2021-11-08,51.28,51.45,51.22,51.39,23735312.0,1219757683.68
2021-11-09,51.42,51.58,51.1,51.19,28322154.0,1449811063.26
2021-11-10,51.305,51.53,50.86,50.98,35940063.0,1832224411.74
2021-11-11,51.65,52.0,51.64,51.86,55328791.0,2869351101.26
2021-11-12,51.85,52.06,51.78,52.0,31826190.0,1654961880.0
2021-11-15,52.12,52.14,51.78,51.83,31610660.0,1638380507.8
2021-11-16,51.91,52.01,51.7101,51.9,32764225.0,1700463277.5
2021-11-17,51.96,51.98,51.48,51.63,22601919.0,1166937077.97
2021-11-18,51.12,51.135,50.75,51.0,36719870.0,1872713370.0
2021-11-19,51.06,51.23,50.89,50.92,36400239.0,1853500169.88
2021-11-22,50.85,50.99,50.49,50.51,36871192.0,1862363907.92
2021-11-23,50.52,50.71,50.24,50.46,38638436.0,1949695480.56
2021-11-24,50.14,50.4,50.02,50.39,32810646.0,1653328451.94
2021-11-26,49.07,49.11,48.51,48.7,58023260.0,2825732762.0
2021-11-29,49.21,49.22,48.725,48.89,44383545.0,2169911515.05
2021-11-30,48.89,49.17,48.35,48.84,81647456.0,3987661751.04
2021-12-01,49.61,49.98,48.985,49.02,52674807.0,2582119039.1400003
2021-12-02,49.61,49.97,49.35,49.62,73906372.0,3667234178.64
2021-12-03,49.56,49.65,48.71,48.92,79115063.0,3870308881.96
2021-12-06,48.88,49.33,48.67,49.3,54871289.0,2705154547.7
2021-12-07,49.91,50.11,49.87,50.08,51075037.0,2557837852.96
2021-12-08,50.1,50.415,49.97,50.28,38176506.0,1919514721.68
2021-12-09,50.12,50.31,49.975,50.04,36476036.0,1825260841.44
2021-12-10,50.03,50.15,49.9,50.08,42011276.0,2103924702.08
2021-12-13,48.98,49.03,48.47,48.59,50773404.0,2467079700.36
2021-12-14,48.31,48.61,48.27,48.48,42023896.0,2037318478.08
2021-12-15,48.16,48.38,47.65,48.34,57129094.0,2761620403.96
2021-12-16,48.72,48.91,48.305,48.4,60351628.0,2921018795.2
2021-12-17,48.04,48.345,47.935,48.16,55498587.0,2672811949.9199996
2021-12-20,47.49,47.49,47.15,47.44,40091657.0,1901948208.08
2021-12-21,47.83,48.25,47.795,48.24,31286877.0,1509278946.48
2021-12-22,48.1,48.49,48.0,48.47,27130845.0,1315032057.15
2021-12-23,48.54,48.81,48.4,48.72,22174437.0,1080338570.64
2021-12-27,48.73,49.01,48.73,48.94,25912674.0,1268166265.56
2021-12-28,48.96,49.0,48.76,48.78,24529840.0,1196565595.2
2021-12-29,48.69,48.71,48.34,48.56,27823159.0,1351092601.04
2021-12-30,48.5,49.22,48.5,49.09,34900270.0,1713254254.3000002
2021-12-31,48.98,49.35,48.84,48.85,30439060.0,1486948081.0
2022-01-03,49.08,49.26,48.78,49.2,27572713.0,1356577479.6
2022-01-04,49.26,49.26,48.93,49.03,24479515.0,1200230620.45
2022-01-05,48.8,49.15,48.22,48.23,46285132.0,2232331916.3599997
2022-01-06,48.36,48.6799,48.155,48.45,34288708.0,1661287902.6
2022-01-07,48.69,48.98,48.5,48.89,32619999.0,1594791751.11
2022-01-10,48.94,49.08,48.56,48.89,43481753.0,2125822904.17
2022-01-11,49.31,50.04,49.16,50.02,57536372.0,2877969327.44
2022-01-12,50.64,50.89,50.4601,50.85,56009124.0,2848063955.4
2022-01-13,50.64,50.675,50.09,50.13,33229013.0,1665770421.69
2022-01-14,49.99,50.195,49.8201,50.11,40642296.0,2036585452.56
2022-01-18,49.21,49.495,49.15,49.22,45012852.0,2215532575.44
2022-01-19,49.59,49.7,49.39,49.43,43798144.0,2164942257.92
2022-01-20,50.26,50.54,49.67,49.72,58029461.0,2885224800.92
2022-01-21,49.62,49.69,48.95,49.0,59673805.0,2924016445.0
2022-01-24,48.23,48.32,47.1901,48.31,87788425.0,4241058811.75
2022-01-25,48.025,48.475,47.715,48.22,54804125.0,2642654907.5
2022-01-26,48.49,48.58,47.505,47.61,55447742.0,2639866996.62
2022-01-27,47.6,47.675,47.04,47.06,61064012.0,2873672404.7200003
2022-01-28,47.16,47.32,46.66,47.29,48799306.0,2307719180.74
2022-01-31,47.89,48.9,47.84,48.84,65614892.0,3204631325.28
2022-02-01,49.02,49.14,48.6,49.14,49892023.0,2451694010.22
2022-02-02,49.33,49.3586,48.73,49.06,35128102.0,1723384684.12
2022-02-03,48.45,48.775,48.37,48.54,38246759.0,1856497681.86
2022-02-04,48.32,48.89,48.22,48.66,36644187.0,1783106139.4199998
2022-02-07,48.45,48.835,48.41,48.56,31917110.0,1549894861.6
2022-02-08,48.48,49.04,48.46,49.03,25482307.0,1249397512.21
2022-02-09,49.44,49.83,49.38,49.8,39947912.0,1989406017.6
2022-02-10,49.39,50.11,49.38,49.47,55367663.0,2739038288.61
2022-02-11,49.49,49.7,48.64,48.72,53737800.0,2618105616.0
2022-02-14,48.51,48.62,48.12,48.38,59439822.0,2875698588.36
2022-02-15,49.03,49.47,48.985,49.43,32939335.0,1628191329.05
2022-02-16,49.37,49.99,49.33,49.79,47183295.0,2349256258.05
2022-02-17,49.56,49.655,49.11,49.21,41245306.0,2029681508.26
2022-02-18,49.03,49.06,48.62,48.72,41312339.0,2012737156.08
2022-02-22,48.02,48.37,47.715,48.03,60704499.0,2915637086.9700003
2022-02-23,48.2401,48.27,47.38,47.47,38848698.0,1844147694.06
2022-02-24,45.04,46.52,45.01,46.49,95679505.0,4448140187.45
2022-02-25,46.69,47.4,46.455,47.35,58887868.0,2788340549.8
2022-02-28,46.25,46.85,46.175,46.73,79366590.0,3708800750.7
2022-03-01,46.5,46.855,45.84,46.11,72258336.0,3331831872.96
2022-03-02,46.15,46.39,45.705,46.19,61858699.0,2857253306.81
2022-03-03,46.01,46.1,45.45,45.54,57514131.0,2619193525.74
2022-03-04,44.64,44.91,44.37,44.62,68351792.0,3049856959.04
2022-03-07,43.86,44.015,42.91,42.95,77557695.0,3331103000.25
2022-03-08,43.17,43.63,42.73,43.09,90831466.0,3913927869.940001
2022-03-09,43.765,44.42,43.61,44.31,59840921.0,2651551209.51
2022-03-10,43.62,43.685,43.205,43.48,59158298.0,2572202797.04
2022-03-11,43.73,43.78,42.56,42.57,72834276.0,3100555129.32
2022-03-14,42.07,42.37,41.42,41.54,85624497.0,3556841605.38
2022-03-15,40.96,41.67,40.8,41.6,85987473.0,3577078876.8
2022-03-16,43.53,45.04,43.32,44.95,134148676.0,6029982986.200001
2022-03-17,44.56,44.7999,44.15,44.72,80505564.0,3600208822.08
2022-03-18,44.35,45.45,44.24,45.36,77755144.0,3526973331.84
2022-03-21,44.7,44.85,44.32,44.66,58500209.0,2612619333.9399996
2022-03-22,45.28,45.62,45.245,45.47,61380892.0,2790989159.24
2022-03-23,45.03,45.67,44.92,45.17,76642656.0,3461948771.52
2022-03-24,45.2,45.45,45.045,45.41,51916599.0,2357532760.5899997
2022-03-25,45.0,45.07,44.745,45.05,39290733.0,1770047521.65
2022-03-28,45.09,45.22,44.81,45.2,49705950.0,2246708940.0
2022-03-29,45.98,46.0975,45.73,45.97,53668180.0,2467126234.6
2022-03-30,45.89,46.23,45.74,45.84,57717399.0,2645765570.1600003
2022-03-31,45.63,45.66,45.12,45.15,74202369.0,3350236960.35
2022-04-01,46.01,46.15,45.615,45.9,54193647.0,2487488397.2999997
2022-04-04,46.5,46.775,46.34,46.71,48052692.0,2244541243.32
2022-04-05,46.52,46.521,45.765,45.85,45058142.0,2065915810.7
2022-04-06,45.55,45.61,45.025,45.25,56877144.0,2573690766.0
2022-04-07,44.99,45.1,44.665,44.89,38954957.0,1748688019.73
2022-04-08,45.02,45.17,44.88,44.93,41254435.0,1853561764.55
2022-04-11,44.54,44.73,44.35,44.37,47360666.0,2101392750.42
2022-04-12,44.73,44.77,44.19,44.23,41697659.0,1844287457.57
2022-04-13,44.47,44.88,44.44,44.81,33529439.0,1502454161.5900002
2022-04-14,44.57,44.59,44.2,44.23,38915067.0,1721213413.4099998
2022-04-18,44.0,44.285,43.86,44.08,29106458.0,1283012668.64
2022-04-19,43.62,43.89,43.43,43.86,40066440.0,1757314058.4
2022-04-20,43.91,43.92,43.515,43.6,36373467.0,1585883161.2
2022-04-21,43.61,43.69,42.67,42.76,44857422.0,1918103364.72
2022-04-22,42.84,43.115,42.37,42.38,68371929.0,2897602351.02
2022-04-25,41.68,42.125,41.59,42.07,67643841.0,2845776390.87
2022-04-26,41.8,41.85,41.15,41.15,69849575.0,2874310011.25
2022-04-27,41.46,41.89,41.4,41.63,61593961.0,2564156596.4300003
2022-04-28,41.97,42.29,41.54,42.23,43769874.0,1848401779.02
2022-04-29,43.03,43.22,42.345,42.38,61703926.0,2615012383.88
2022-05-02,42.26,42.48,41.81,42.32,54915808.0,2324036994.56
2022-05-03,42.59,42.69,42.43,42.63,45593119.0,1943634662.97
2022-05-04,42.2,43.165,41.94,43.09,57175252.0,2463681608.6800003
2022-05-05,42.2,42.27,41.115,41.5,63268880.0,2625658520.0
2022-05-06,41.11,41.24,40.685,40.93,67425784.0,2759737339.12
2022-05-09,40.19,40.41,39.72,39.75,83149550.0,3305194612.5
2022-05-10,40.35,40.4,39.59,39.94,69865069.0,2790410855.8599997
2022-05-11,40.2101,40.52,39.63,39.66,75198469.0,2982371280.54
2022-05-12,39.25,39.75,38.945,39.4,73431269.0,2893191998.6
2022-05-13,39.84,40.5,39.81,40.49,49196095.0,1991949886.55
2022-05-16,40.19,40.5,40.1,40.33,32141476.0,1296265727.08
2022-05-17,41.4,41.45,40.985,41.32,49516433.0,2046019011.56
2022-05-18,41.03,41.2,40.27,40.33,53296348.0,2149441714.8399997
2022-05-19,40.49,41.15,40.49,40.97,55009654.0,2253745524.38
2022-05-20,41.41,41.56,40.59,41.14,59025369.0,2428303680.66
2022-05-23,41.39,41.57,41.18,41.45,36493406.0,1512651678.7
2022-05-24,40.81,40.84,40.35,40.73,46225467.0,1882763270.91
2022-05-25,40.62,41.03,40.55,40.93,37638216.0,1540532180.88
2022-05-26,40.86,41.67,40.86,41.57,50355768.0,2093289275.76
2022-05-27,41.86,42.07,41.73,42.05,31248734.0,1314009264.6999998
2022-05-31,43.13,43.14,42.64,42.64,72069005.0,3073022373.2
2022-06-01,42.91,42.96,42.16,42.34,39955649.0,1691722178.66
2022-06-02,42.51,43.09,42.395,43.07,44322320.0,1908962322.4
2022-06-03,42.66,42.67,42.27,42.37,39319078.0,1665949334.86
2022-06-06,43.13,43.23,42.49,42.6,43126061.0,1837170198.6
2022-06-07,42.34,42.77,42.27,42.73,57455308.0,2455065310.8399997
2022-06-08,42.94,43.13,42.78,42.96,43591826.0,1872704844.96
2022-06-09,42.22,42.31,41.56,41.59,53043977.0,2206099003.4300003
2022-06-10,41.5,41.58,41.03,41.13,44176784.0,1816991125.92
2022-06-13,40.06,40.305,39.525,39.69,67642031.0,2684712210.39
2022-06-14,40.1,40.41,39.995,40.24,58868440.0,2368866025.6
2022-06-15,40.38,41.05,40.16,40.77,67521892.0,2752867536.84
2022-06-16,39.55,39.72,39.255,39.52,68008728.0,2687704930.5600004
2022-06-17,39.95,40.05,39.42,39.67,63646277.0,2524847808.59
2022-06-21,40.24,40.475,40.18,40.31,35943853.0,1448896714.43
2022-06-22,39.48,39.855,39.4107,39.59,41337935.0,1636568846.65
2022-06-23,39.71,39.915,39.36,39.71,44261632.0,1757629406.72
2022-06-24,40.17,40.68,40.1,40.65,40934340.0,1663980921.0
2022-06-27,40.92,40.94,40.63,40.7,27076383.0,1102008788.1
2022-06-28,41.03,41.185,40.415,40.45,31095696.0,1257820903.2
2022-06-29,40.36,40.45,40.155,40.29,33969157.0,1368617335.53
2022-06-30,39.75,40.19,39.505,40.1,52118183.0,2089939138.3
2022-07-01,39.62,39.86,39.37,39.85,43515119.0,1734077492.15
2022-07-05,39.03,39.54,38.87,39.54,49452627.0,1955356871.58
2022-07-06,39.25,39.41,38.96,39.3,36060276.0,1417168846.8
2022-07-07,39.84,40.265,39.83,40.09,55949508.0,2243015775.7200003
2022-07-08,39.96,40.26,39.81,40.09,20993464.0,841627971.7600001
2022-07-11,39.18,39.2254,38.86,39.02,52682483.0,2055670486.66
2022-07-12,38.86,39.07,38.68,38.87,24445741.0,950205952.67
2022-07-13,38.3,38.985,38.3,38.78,39415686.0,1528540303.0800002
