timestamps,open,high,low,close,volume,amount
2021-05-28,80.8449,81.145,80.79,80.83,21512790.0,1738878815.7
2021-06-01,81.5,81.52,81.02,81.12,27609896.0,2239714763.52
2021-06-02,81.27,81.51,81.16,81.39,13638387.0,1110028317.93
2021-06-03,80.96,81.09,80.7473,80.99,17052055.0,1381045934.4499998
2021-06-04,81.53,81.74,81.4,81.68,13370338.0,1092089207.8400002
2021-06-07,81.87,81.99,81.765,81.95,16868362.0,1382362265.9
2021-06-08,82.03,82.11,81.77,81.91,13235099.0,1084086959.09
2021-06-09,81.88,81.94,81.61,81.69,19936552.0,1628616932.88
2021-06-10,80.67,80.95,80.585,80.81,16606014.0,1341931991.3400002
2021-06-11,80.91,81.06,80.69,81.0,12912272.0,1045894032.0
2021-06-14,80.93,81.16,80.88,81.14,17073271.0,1385325208.94
2021-06-15,81.21,81.27,81.068,81.24,17636228.0,1432767162.72
2021-06-16,81.31,81.399,80.47,80.74,21889012.0,1767318828.88
2021-06-17,80.22,80.39,79.799,80.18,27580584.0,2211411225.1200004
2021-06-18,78.73,78.93,78.43,78.52,36780785.0,2888027238.2
2021-06-21,78.87,79.595,78.75,79.55,20300832.0,1614931185.6
2021-06-22,79.32,79.75,79.145,79.56,14086533.0,1120724565.48
2021-06-23,79.47,79.53,78.93,79.05,16997999.0,1343691820.95
2021-06-24,79.64,79.85,79.59,79.81,19852911.0,1584460826.91
2021-06-25,79.99,80.05,79.83,79.98,12449186.0,995685896.28
2021-06-28,79.7,79.76,79.36,79.47,27010603.0,2146532620.41
2021-06-29,79.63,79.68,79.39,79.49,9388315.0,746277159.3499999
2021-06-30,78.76,79.06,78.55,78.88,33534338.0,2645188581.44
2021-07-01,78.89,79.12,78.7,79.07,28144506.0,2225386089.4199996
2021-07-02,79.08,79.36,78.88,79.34,13780265.0,1093326225.1
2021-07-06,79.38,79.4,78.54,78.82,21254147.0,1675251866.54
2021-07-07,79.16,79.35,78.825,79.25,21655773.0,1716220010.25
2021-07-08,77.98,78.37,77.75,78.23,24150370.0,1889283445.1
2021-07-09,79.05,79.61,78.97,79.56,35265563.0,2805728192.28
2021-07-12,79.58,79.94,79.51,79.9,12053125.0,963044687.5
2021-07-13,79.61,79.785,79.36,79.48,15794240.0,1255326195.2
2021-07-14,79.82,79.835,79.56,79.66,13639236.0,1086501539.76
2021-07-15,78.9,79.095,78.6,78.9,21699374.0,1712080608.6
2021-07-16,78.85,78.895,78.18,78.32,23105143.0,1809594799.76
2021-07-19,77.09,77.23,76.4826,76.9,44952213.0,3456825179.7000003
2021-07-20,76.72,77.61,76.62,77.46,30378766.0,2353139214.3599997
2021-07-21,78.01,78.69,77.965,78.64,23002570.0,1808922104.8
2021-07-22,78.93,78.97,78.48,78.67,15673119.0,1233004271.73
2021-07-23,79.19,79.37,79.03,79.22,16638743.0,1318121220.46
2021-07-26,79.07,79.36,79.065,79.33,14899040.0,1181940843.2
2021-07-27,78.97,79.065,78.6345,79.01,20937056.0,1654236794.5600002
2021-07-28,79.0201,79.5,78.89,79.35,19722630.0,1564990690.5
2021-07-29,80.01,80.12,79.88,79.9,23070010.0,1843293799.0
2021-07-30,79.59,79.84,79.33,79.49,23997146.0,1907533135.54
2021-08-02,80.14,80.28,79.74,79.89,25363951.0,2026326045.39
2021-08-03,80.23,80.48,79.9,80.46,18983085.0,1527379019.1
2021-08-04,80.51,80.645,80.195,80.22,12851997.0,1030987199.34
2021-08-05,80.63,80.705,80.52,80.61,11868871.0,956749691.31
2021-08-06,80.43,80.52,80.18,80.31,10892493.0,874776112.83
2021-08-09,80.33,80.38,80.18,80.27,7896971.0,633889862.17
2021-08-10,80.27,80.45,80.22,80.45,10438207.0,839753753.15
2021-08-11,80.93,81.045,80.76,81.0,14996095.0,1214683695.0
2021-08-12,80.83,80.96,80.67,80.93,12443220.0,1007029794.6
2021-08-13,81.19,81.45,81.12,81.42,14590414.0,1187951507.88
2021-08-16,80.79,81.01,80.53,81.0,19189313.0,1554334353.0
2021-08-17,80.24,80.42,79.885,80.24,23442582.0,1881032779.68
2021-08-18,80.22,80.53,79.92,79.93,16384696.0,1309628751.2800002
2021-08-19,78.89,79.35,78.85,79.14,30515332.0,2414983374.48
2021-08-20,78.91,79.47,78.82,79.45,15774382.0,1253274649.9
