timestamps,open,high,low,close,volume,amount
2022-06-28,485.96,490.715,471.43,473.09,752756.0,356121336.03999996
2022-06-29,472.62,487.745,472.39,485.57,1087237.0,527929670.09
2022-06-30,485.45,488.99,479.585,482.58,1519396.0,733230121.68
2022-07-01,480.33,486.82,469.8,485.98,997302.0,484668825.96
2022-07-05,481.56,481.56,461.9,476.94,1043099.0,497495637.06
2022-07-06,476.36,486.58,473.08,484.27,803741.0,389227654.07
2022-07-07,483.0,486.82,477.22,478.83,857440.0,410567995.2
2022-07-08,483.59,491.08,480.965,484.29,751418.0,363904223.22
2022-07-11,480.2,485.7,477.29,481.62,629533.0,303195683.46
2022-07-12,480.53,486.0,475.08,477.97,801637.0,383158436.8900001
2022-07-13,473.35,477.62,470.34,470.71,802151.0,377580497.21
2022-07-14,464.81,467.88,458.01,466.39,861381.0,401739484.59
2022-07-15,478.16,490.48,474.99,488.92,1035395.0,506225323.4
2022-07-18,491.0,491.94,479.68,480.8,687917.0,330750493.6
2022-07-19,486.16,499.33,485.51,497.43,933082.0,464142979.26
2022-07-20,482.0,487.0,451.37,459.54,2653661.0,1219463375.94
2022-07-21,458.58,464.86,451.58,461.94,1547210.0,714718187.4
2022-07-22,461.9,464.46,455.74,459.6,1008354.0,463439498.4
2022-07-25,464.69,474.37,462.325,470.86,861455.0,405624701.3
2022-07-26,474.53,475.33,468.45,468.96,818103.0,383657582.88
2022-07-27,467.22,470.37,459.55,468.0,1122804.0,525472272.0
2022-07-28,469.39,477.35,465.23,475.73,835980.0,397700765.4
2022-07-29,475.89,479.96,471.24,477.1,885146.0,422303156.6
2022-08-01,475.0,483.72,465.55,470.9,837644.0,394446559.6
2022-08-02,472.08,479.945,465.54,472.14,1164579.0,549844329.06
2022-08-03,475.42,483.77,473.295,479.53,810242.0,388535346.26
2022-08-04,479.91,479.91,473.74,474.9,614964.0,292046403.59999996
2022-08-05,470.83,476.99,470.83,475.13,624530.0,296732938.9
2022-08-08,478.3,479.62,472.15,475.72,479071.0,227903656.12
2022-08-09,479.25,488.99,477.03,483.97,798756.0,386573941.32
2022-08-10,488.84,489.87,479.96,481.33,619840.0,298347587.2
2022-08-11,481.62,483.56,474.21,477.11,894731.0,426885107.41
2022-08-12,480.0,492.595,479.67,491.7,801333.0,394015436.1
2022-08-15,488.95,495.7,486.5,493.22,429884.0,212027386.48
2022-08-16,493.15,498.18,489.17,492.28,567182.0,279212354.96
2022-08-17,487.69,492.96,486.63,490.85,459945.0,225764003.25
2022-08-18,489.56,493.2,487.82,491.77,407719.0,200503972.63
2022-08-19,492.22,506.79,491.63,503.54,711988.0,358514437.52000004
2022-08-22,505.25,512.99,503.835,507.0,972273.0,492942411.0
2022-08-23,501.83,504.175,493.01,493.23,577769.0,284973003.87
2022-08-24,492.53,495.53,489.03,493.4,664541.0,327884529.4
2022-08-25,490.13,492.43,482.31,492.34,714307.0,351681908.38
2022-08-26,492.05,494.725,483.08,483.48,619654.0,299590315.92
2022-08-29,481.13,490.85,478.81,488.51,602306.0,294232504.06
2022-08-30,488.27,492.15,483.92,486.85,984255.0,479184546.75
2022-08-31,484.83,492.62,484.83,485.11,1350626.0,655202178.86
2022-09-01,487.85,494.9,483.87,490.17,712258.0,349127503.86
