timestamps,open,high,low,close,volume,amount
2021-05-28,111.79,112.1,111.71,111.86,3458584.0,386877206.24
2021-06-01,111.63,111.95,111.43,111.65,1936496.0,216209778.4
2021-06-02,111.91,111.91,111.66,111.82,2728259.0,305073921.38
2021-06-03,111.54,111.54,111.24,111.27,3296380.0,366788202.6
2021-06-04,111.6,112.12,111.56,112.01,2624656.0,293987718.56
2021-06-07,111.86,111.9,111.75,111.76,1554764.0,173760424.64000002
2021-06-08,112.26,112.33,112.14,112.2,3897176.0,437263147.2
2021-06-09,112.74,112.81,112.55,112.6,3847192.0,433193819.2
2021-06-10,112.34,112.8,112.06,112.77,3290582.0,371078932.14
2021-06-11,113.0,113.01,112.74,112.9,2102317.0,237351589.3
2021-06-14,112.72,112.7259,112.131,112.22,4677376.0,524895134.72
2021-06-15,112.06,112.55,111.92,112.47,7737378.0,870222903.66
2021-06-16,112.36,112.54,111.0,111.51,6415069.0,715344344.19
2021-06-17,111.9276,112.275,111.75,111.95,5237823.0,586374284.85
2021-06-18,112.14,112.65,112.14,112.27,6614981.0,742663916.87
2021-06-21,112.08,112.34,111.97,112.2,2978521.0,334190056.2
2021-06-22,111.9,112.189,111.735,112.15,2929807.0,328577855.05
2021-06-23,112.22,112.35,112.09,112.28,2097558.0,235513812.24
2021-06-24,112.28,112.39,112.23,112.32,2504222.0,281274215.03999996
2021-06-25,112.56,112.56,111.96,112.13,3713021.0,416341044.73
2021-06-28,112.28,112.41,112.16,112.34,3114798.0,349916407.32
2021-06-29,112.11,112.31,112.08,112.31,3136532.0,352263908.92
2021-06-30,112.2,112.64,112.2,112.46,9725709.0,1093753234.14
2021-07-01,112.01,112.065,111.82,111.99,5653237.0,633106011.63
2021-07-02,111.77,112.21,111.76,112.12,3669123.0,411382070.76
2021-07-06,111.8,112.26,111.8,112.25,4849847.0,544395325.75
2021-07-07,112.44,112.495,112.235,112.41,3602652.0,404974111.32
2021-07-08,112.04,112.37,112.04,112.18,3741597.0,419732351.46
2021-07-09,112.18,112.26,112.04,112.15,3386349.0,379779040.35
2021-07-12,112.26,112.305,112.06,112.22,3274925.0,367512083.5
2021-07-13,112.15,112.33,111.755,111.82,5184101.0,579686173.8199999
2021-07-14,112.25,112.38,112.15,112.3,3359299.0,377249277.7
2021-07-15,112.47,112.73,112.35,112.65,4205577.0,473758249.05
2021-07-16,112.64,112.7,112.49,112.5,2693106.0,302974425.0
2021-07-19,112.74,112.74,112.43,112.52,4849979.0,545719637.0799999
2021-07-20,112.82,112.92,112.61,112.83,5233913.0,590542403.79
2021-07-21,112.42,112.5,112.23,112.4,4152694.0,466762805.6
2021-07-22,112.45,112.69,112.38,112.65,2873982.0,323754072.3
2021-07-23,112.37,112.695,112.3594,112.66,2527711.0,284771921.26
2021-07-26,112.49,112.63,112.3,112.35,3296017.0,370307509.95
2021-07-27,112.46,112.46,111.885,112.05,4321827.0,484260715.35
2021-07-28,111.95,112.35,111.85,112.33,3771732.0,423678655.56
2021-07-29,112.34,112.48,112.31,112.43,2915724.0,327814849.32
2021-07-30,112.38,112.82,112.33,112.73,6666613.0,751527283.49
2021-08-02,112.68,112.7467,112.33,112.53,6646613.0,747943360.89
2021-08-03,112.65,112.65,112.445,112.58,3001211.0,337876334.38
2021-08-04,112.8,112.84,112.3,112.63,3663164.0,412582161.32
