timestamps,open,high,low,close,volume,amount
2021-05-28,741.53,745.86,735.89,736.72,314735.0,231871569.2
2021-06-01,739.53,740.895,733.04,739.42,419801.0,310409255.41999996
2021-06-02,743.92,759.86,741.58,758.13,561759.0,425886350.67
2021-06-03,750.11,779.14,750.11,777.04,723115.0,561889279.6
2021-06-04,779.42,788.69,776.27,785.39,573223.0,450203611.97
2021-06-07,791.23,807.72,787.35,795.06,778471.0,618931153.26
2021-06-08,799.99,818.33,799.99,816.66,622573.0,508430466.18
2021-06-09,814.96,819.54,808.19,810.01,532688.0,431482606.88
2021-06-10,808.16,828.69,806.82,822.99,542401.0,446390598.99
2021-06-11,812.97,820.55,812.66,816.04,590109.0,481552548.3599999
2021-06-14,814.77,825.6,811.54,823.99,490783.0,404400284.17
2021-06-15,819.76,826.28,807.03,809.0,526464.0,425909376.0
2021-06-16,813.0,819.675,806.75,809.97,636371.0,515441418.87
2021-06-17,809.97,816.82,805.9,815.46,661387.0,539334643.02
2021-06-18,815.5,829.61,799.84,822.77,3751584.0,3086690767.68
2021-06-21,818.67,826.81,802.65,822.5,1036829.0,852791852.5
2021-06-22,823.65,824.985,811.57,822.57,573808.0,471997246.56
2021-06-23,821.62,824.72,792.03,803.56,909430.0,730781570.8
2021-06-24,804.01,809.625,772.95,779.32,1107324.0,862959739.6800001
2021-06-25,780.19,785.77,774.32,783.4,1128519.0,884081784.6
2021-06-28,789.34,798.9,783.02,798.52,675140.0,539112792.8
2021-06-29,792.02,804.095,789.39,802.33,493372.0,395847156.76
2021-06-30,808.3,809.85,798.592,802.6,717052.0,575505935.2
2021-07-01,800.56,808.6,795.2,797.64,506093.0,403680020.52
2021-07-02,800.64,804.3059,796.01,800.5,379912.0,304119556.0
2021-07-06,801.38,819.85,799.99,819.11,458329.0,375421867.19
2021-07-07,822.78,831.72,817.22,827.81,525781.0,435246769.6099999
2021-07-08,825.0,832.92,820.63,828.19,402432.0,333290158.08000004
2021-07-09,827.89,834.0,812.98,820.32,480885.0,394479583.2000001
2021-07-12,823.05,833.94,815.69,829.55,600739.0,498343037.45
2021-07-13,826.3,835.71,821.56,823.04,398218.0,327749342.71999997
2021-07-14,822.32,834.77,818.8973,831.84,412367.0,343023365.28000003
2021-07-15,832.65,835.71,824.65,834.04,310153.0,258680008.11999995
2021-07-16,834.16,845.62,829.29,831.47,541619.0,450339949.93
2021-07-19,828.36,838.86,824.16,834.3,477842.0,398663580.6
2021-07-20,838.5,840.0,828.18,832.65,409363.0,340856101.95
2021-07-21,829.53,829.53,812.84,819.76,582379.0,477411009.04
2021-07-22,823.23,826.79,817.57,820.82,377743.0,310059009.26
2021-07-23,820.61,835.46,815.96,833.48,348600.0,290551128.0
2021-07-26,831.99,835.02,823.85,829.51,393868.0,326717444.68
