timestamps,open,high,low,close,volume,amount
2021-05-28,145.27,145.53,144.28,145.25,1563233.0,227059593.25
2021-06-01,146.98,147.25,145.595,146.29,1346482.0,196976851.78
2021-06-02,146.2,146.89,145.405,145.97,1561315.0,227905150.55
2021-06-03,145.74,147.06,144.56,146.42,1294554.0,189548596.68
2021-06-04,146.91,148.85,146.91,148.51,1628502.0,241848832.02
2021-06-07,148.85,149.05,145.8647,146.85,1842757.0,270608865.45
2021-06-08,146.81,147.96,145.33,147.12,1348720.0,198423686.4
2021-06-09,146.88,147.31,145.83,146.41,998713.0,146221570.32999998
2021-06-10,147.13,147.725,145.965,146.82,1664555.0,244389965.1
2021-06-11,147.01,148.12,145.62,146.63,1024205.0,150179179.15
2021-06-14,146.45,146.69,144.88,146.0,1334155.0,194786630.0
2021-06-15,146.29,147.87,145.3701,147.85,1488714.0,220106364.9
2021-06-16,147.74,148.67,145.7,146.37,1606125.0,235088516.25
2021-06-17,146.22,146.42,140.91,142.62,2530852.0,360950112.24
2021-06-18,140.57,141.43,139.12,139.26,3291344.0,458352565.44
2021-06-21,140.47,143.6,140.41,143.04,1504835.0,215251598.4
2021-06-22,142.94,143.92,141.78,142.83,1502881.0,214656493.23
2021-06-23,143.19,145.59,142.97,144.41,1990677.0,287473665.57
2021-06-24,145.28,146.079,144.29,145.65,1307690.0,190465048.5
2021-06-25,146.16,147.5,146.08,146.69,1488536.0,218353345.84
2021-06-28,146.95,146.95,144.78,146.5,1190257.0,174372650.5
2021-06-29,147.35,147.98,146.43,146.49,1453631.0,212942405.19000003
2021-06-30,146.1,148.49,145.79,148.18,1615391.0,239368638.38000005
2021-07-01,149.88,150.71,149.35,150.17,2283190.0,342866642.29999995
2021-07-02,150.01,151.45,149.39,151.4,1207055.0,182748127.0
2021-07-06,151.25,151.25,147.37,149.7,1651453.0,247222514.1
2021-07-07,149.49,152.27,149.47,152.18,1426293.0,217053268.74
2021-07-08,150.0,151.8,149.52,150.57,1878748.0,282883086.36
2021-07-09,152.33,154.3,152.24,153.56,1511988.0,232180877.28
2021-07-12,152.96,155.25,152.3301,155.07,1813321.0,281191687.46999997
2021-07-13,154.6,155.31,153.77,154.04,1662004.0,256015096.16
2021-07-14,154.73,155.67,148.3101,153.4,3921056.0,601489990.4
2021-07-15,152.22,154.54,152.18,153.87,1296378.0,199473682.86
2021-07-16,154.81,155.25,152.61,152.74,1694705.0,258849241.7
2021-07-19,150.53,150.53,146.99,149.19,1894896.0,282699534.24
2021-07-20,150.33,154.42,149.11,154.09,1761069.0,271363122.21
2021-07-21,154.96,156.64,154.745,155.63,1575004.0,245117872.52
2021-07-22,156.07,156.23,154.9,156.05,1327019.0,207081314.95
2021-07-23,156.86,157.34,155.85,156.73,1119980.0,175534465.39999998
2021-07-26,156.48,157.64,155.34,156.03,1720723.0,268484409.69
