timestamps,open,high,low,close,volume,amount
2021-05-28,38.34,38.99,38.31,38.91,30943570.0,1204014308.6999998
2021-06-01,40.2,40.395,39.995,40.33,42840742.0,1727767124.86
2021-06-02,40.14,41.33,40.12,41.23,49122123.0,2025305131.29
2021-06-03,40.83,40.955,40.55,40.84,25512772.0,1041941608.48
2021-06-04,41.41,41.73,41.08,41.67,30422337.0,1267698782.79
2021-06-07,41.41,42.05,41.2,41.85,26059259.0,1090579989.15
2021-06-08,41.6,42.01,41.31,41.64,24651524.0,1026489459.36
2021-06-09,41.58,41.8,41.33,41.39,33868839.0,1401831246.21
2021-06-10,40.97,41.16,40.46,40.89,38266131.0,1564702096.59
2021-06-11,40.75,40.77,39.95,40.3,25487485.0,1027145645.5
2021-06-14,40.86,41.28,40.61,40.84,25140269.0,1026728585.96
2021-06-15,40.78,41.04,40.35,40.99,13856071.0,567960350.2900001
2021-06-16,40.91,41.32,40.05,40.51,40232039.0,1629799899.89
2021-06-17,40.86,41.04,40.15,40.27,27427352.0,1104499465.0400002
2021-06-18,40.68,40.78,39.82,40.13,39931653.0,1602457234.89
2021-06-21,40.39,40.91,40.15,40.83,18565628.0,758034591.24
2021-06-22,40.5,41.205,40.255,41.19,23911323.0,984907394.37
2021-06-23,41.29,41.78,40.92,41.09,21778115.0,894862745.35
2021-06-24,41.56,42.021,41.41,41.96,19629787.0,823665862.52
2021-06-25,42.0,42.05,40.67,41.04,33518820.0,1375612372.8
2021-06-28,41.19,41.33,40.64,41.17,21031895.0,865883117.1500001
2021-06-29,41.01,41.11,40.49,41.0,17303671.0,709450511.0
2021-06-30,40.38,40.695,40.09,40.54,26368039.0,1068960301.06
2021-07-01,40.74,40.76,39.45,39.69,37584114.0,1491713484.6599998
2021-07-02,40.26,40.425,39.55,40.27,28188884.0,1135166358.68
2021-07-06,39.14,39.23,38.31,38.33,30640955.0,1174467805.15
2021-07-07,38.66,38.97,38.02,38.74,29146205.0,1129123981.7
2021-07-08,37.97,38.44,37.42,38.13,32639966.0,1244561903.5800002
2021-07-09,38.37,38.85,38.1,38.62,13872076.0,535739575.11999995
2021-07-12,38.58,39.45,38.47,39.39,20704454.0,815548443.0600001
2021-07-13,39.13,39.66,38.93,39.43,23076578.0,909909470.54
2021-07-14,40.49,40.64,40.02,40.28,26018141.0,1048010719.48
2021-07-15,40.18,40.54,39.45,39.82,23980808.0,954915774.56
2021-07-16,40.0,40.16,39.2,39.29,20921084.0,821989390.36
2021-07-19,38.32,38.51,37.545,37.83,22448198.0,849215330.3399999
2021-07-20,37.41,38.45,37.25,38.17,20542006.0,784088369.02
2021-07-21,38.19,38.83,37.895,38.73,18007132.0,697416222.3599999
2021-07-22,38.72,38.87,38.31,38.66,14010553.0,541647978.9799999
2021-07-23,38.89,38.9,38.0,38.36,20496111.0,786230817.96
2021-07-26,38.4,39.14,38.4,38.96,16240561.0,632732256.5600001
2021-07-27,38.6,38.84,38.19,38.6,22467078.0,867229210.8000001
2021-07-28,38.95,39.67,38.675,39.61,21304255.0,843861540.55
2021-07-29,39.73,39.89,39.38,39.65,10743723.0,425988616.95
2021-07-30,39.02,39.36,37.3,37.4,47791462.0,1787400678.8
2021-08-02,38.49,38.845,37.93,38.02,23605060.0,897464381.2
2021-08-03,37.4,38.24,36.72,38.12,26944088.0,1027108634.56
2021-08-04,37.93,38.17,37.025,37.64,23218955.0,873961466.2
2021-08-05,38.35,38.62,37.14,37.3,34967961.0,1304304945.3
2021-08-06,37.61,37.82,36.98,37.57,20199851.0,758908402.07
2021-08-09,37.52,37.88,36.91,37.45,23598419.0,883760791.5500001
2021-08-10,37.53,37.96,37.31,37.59,19116899.0,718604233.4100001
2021-08-11,37.5,37.75,36.99,37.52,20754610.0,778712967.2
2021-08-12,37.18,37.46,36.83,36.84,21722186.0,800245332.2400001
2021-08-13,36.88,37.24,36.445,36.99,20908923.0,773421061.7700001
2021-08-16,36.78,36.84,36.22,36.29,17893460.0,649353663.4
2021-08-17,36.07,36.56,35.3,35.97,25657888.0,922914231.36
2021-08-18,35.5,35.9,34.75,34.85,38649625.0,1346939431.25
2021-08-19,34.04,34.8,33.85,34.46,29628652.0,1021003347.92
2021-08-20,33.98,35.01,33.91,34.86,47180153.0,1644700133.58
2021-08-23,34.97,34.99,34.54,34.78,22031569.0,766257969.82
2021-08-24,35.49,36.53,35.49,36.29,31350685.0,1137716358.65
2021-08-25,36.17,36.88,35.94,36.84,21551839.0,793969748.7600001
2021-08-26,36.48,36.695,35.88,36.0,21875793.0,787528548.0
2021-08-27,36.27,36.99,36.08,36.98,18215093.0,673594139.14
2021-08-30,36.7,36.935,36.37,36.71,14921134.0,547754829.14
2021-08-31,37.01,37.15,36.22,36.4,22341381.0,813226268.4
2021-09-01,36.39,37.03,36.335,36.65,18491605.0,677717323.25
2021-09-02,36.3,36.711,35.82,35.95,22418437.0,805942810.1500001
