timestamps,open,high,low,close,volume,amount
2021-05-28,15.01,15.05,14.41,14.53,154942405.0,2251313144.65
2021-06-01,14.72,14.835,14.46,14.81,90219500.0,1336150795.0
2021-06-02,14.9,15.02,14.68,14.91,78448492.0,1169667015.72
2021-06-03,15.15,16.06,14.985,15.99,180900088.0,2892592407.12
2021-06-04,16.33,16.455,15.795,15.97,155015208.0,2475592871.76
2021-06-07,16.01,16.2,15.65,15.88,92208353.0,1464268645.64
2021-06-08,15.76,15.8,15.33,15.63,95127982.0,1486850358.66
2021-06-09,15.6,15.62,15.39,15.48,60781331.0,940895003.88
2021-06-10,15.59,15.78,15.08,15.11,79108372.0,1195327500.9199998
2021-06-11,15.3,15.43,15.17,15.28,51915258.0,793265142.24
2021-06-14,15.23,15.3,14.815,14.87,84268126.0,1253067033.62
2021-06-15,14.91,15.16,14.76,15.0,63275695.0,949135425.0
2021-06-16,15.1,15.29,14.88,15.02,70430334.0,1057863616.68
2021-06-17,15.3,15.4,14.58,14.77,128261284.0,1894419164.68
2021-06-18,14.54,14.765,14.44,14.52,79154160.0,1149318403.2
2021-06-21,14.63,14.9,14.55,14.78,64311290.0,950520866.2
2021-06-22,15.02,15.11,14.815,14.91,66547833.0,992228190.03
2021-06-23,15.14,15.53,15.03,15.42,96384175.0,1486243978.5
2021-06-24,15.54,15.55,15.15,15.26,81461776.0,1243106701.76
2021-06-25,15.24,15.52,15.18,15.19,112636864.0,1710953964.1599998
2021-06-28,15.2,15.21,14.83,14.96,80208577.0,1199920311.92
2021-06-29,15.05,15.2,14.875,15.01,68866802.0,1033690698.02
2021-06-30,14.95,15.11,14.81,14.86,72817168.0,1082063116.48
2021-07-01,14.91,14.97,14.84,14.91,51951392.0,774595254.72
2021-07-02,14.96,15.04,14.83,14.93,44707980.0,667490141.4
2021-07-06,14.87,14.88,14.39,14.5,75125222.0,1089315719.0
2021-07-07,14.41,14.46,14.02,14.23,73650939.0,1048052861.97
2021-07-08,13.9597,14.23,13.735,14.06,63974278.0,899478348.6800001
2021-07-09,14.445,14.575,14.27,14.48,66793122.0,967164406.56
2021-07-12,14.36,14.74,14.24,14.61,50336096.0,735410362.56
2021-07-13,14.5,14.625,14.295,14.42,46145866.0,665423387.72
2021-07-14,14.43,14.63,14.2,14.25,39657798.0,565123621.5
2021-07-15,14.15,14.3,13.94,14.01,45401407.0,636073712.0699999
2021-07-16,14.12,14.14,13.58,13.61,48682432.0,662567899.52
2021-07-19,13.25,13.32,12.7901,13.28,101633980.0,1349699254.4
2021-07-20,13.37,13.96,13.28,13.91,71550348.0,995265340.68
2021-07-21,14.05,14.34,14.03,14.19,54754881.0,776971761.39
2021-07-22,14.08,14.14,13.78,13.91,41048058.0,570978486.78
2021-07-23,13.97,14.04,13.73,13.82,38426068.0,531048259.76
2021-07-26,13.9,14.0815,13.87,14.03,44583541.0,625507080.23
2021-07-27,13.93,13.955,13.65,13.79,43232851.0,596181015.29
2021-07-28,13.86,13.99,13.565,13.86,71181771.0,986579346.06
2021-07-29,14.51,14.79,14.3,14.39,111154778.0,1599517255.42
2021-07-30,14.23,14.3,13.87,13.95,74955713.0,1045632196.35
2021-08-02,14.02,14.33,13.88,13.91,64673717.0,899611403.47
2021-08-03,13.9699,14.08,13.64,14.02,53257695.0,746672883.9
2021-08-04,13.85,13.93,13.3,13.32,81502699.0,1085615950.68
2021-08-05,13.54,13.82,13.45,13.71,60482396.0,829213649.1600001
2021-08-06,13.82,13.91,13.73,13.8,44450636.0,613418776.8000001
2021-08-09,13.72,13.82,13.55,13.75,38760378.0,532955197.5
2021-08-10,13.77,13.91,13.66,13.82,32120825.0,443909801.5
2021-08-11,13.86,13.95,13.67,13.93,42795585.0,596142499.05
2021-08-12,13.92,14.05,13.79,13.9,38608652.0,536660262.8
2021-08-13,13.88,13.95,13.54,13.59,45118472.0,613160034.48
2021-08-16,13.5,13.56,13.32,13.46,38757778.0,521679691.88000005
2021-08-17,13.32,13.33,12.81,12.99,74625322.0,969382932.78
2021-08-18,12.95,13.21,12.9,13.0,50966744.0,662567672.0
2021-08-19,12.8,12.92,12.57,12.67,68538770.0,868386215.9
2021-08-20,12.61,12.67,12.38,12.57,53591597.0,673646374.29
2021-08-23,12.71,12.85,12.47,12.73,64573553.0,822021329.69
2021-08-24,12.81,13.14,12.76,13.08,53672503.0,702036339.24
2021-08-25,13.12,13.28,13.02,13.17,51195455.0,674244142.35
2021-08-26,13.11,13.13,12.81,12.9,57559820.0,742521678.0
2021-08-27,12.89,13.37,12.87,13.31,57587271.0,766486577.01
2021-08-30,13.35,13.37,13.03,13.05,42720093.0,557497213.65
2021-08-31,13.02,13.135,12.93,13.03,42212703.0,550031520.0899999
2021-09-01,13.03,13.22,12.9,13.11,58875686.0,771860243.4599999
2021-09-02,13.09,13.21,12.97,13.01,49322939.0,641691436.39
2021-09-03,12.99,13.05,12.87,12.89,41746597.0,538113635.33
2021-09-07,12.83,13.04,12.81,12.95,64841399.0,839696117.05
2021-09-08,12.97,13.22,12.91,13.03,57980882.0,755490892.4599999
2021-09-09,12.95,12.95,12.72,12.76,67846407.0,865720153.3199999
2021-09-10,12.84,12.93,12.66,12.68,48792472.0,618688544.96
2021-09-13,12.76,12.99,12.62,12.99,62962161.0,817878471.39
2021-09-14,12.93,13.06,12.79,12.86,48173963.0,619517164.18
2021-09-15,12.89,13.25,12.81,13.22,60721572.0,802739181.84
2021-09-16,13.18,13.53,13.1,13.4,76426063.0,1024109244.2
2021-09-17,13.41,13.7,13.39,13.55,76337380.0,1034371499.0
2021-09-20,13.07,13.19,12.63,12.82,126152174.0,1617270870.68
2021-09-21,12.885,12.97,12.66,12.77,60473075.0,772241167.75
2021-09-22,12.92,13.39,12.905,13.23,75752038.0,1002199462.74
2021-09-23,13.35,13.74,13.32,13.71,68708095.0,941987982.45
2021-09-24,13.66,13.94,13.64,13.78,57440218.0,791526204.04
2021-09-27,13.89,14.29,13.88,14.16,68769650.0,973778244.0
2021-09-28,14.63,14.73,14.23,14.31,107090949.0,1532471480.19
2021-09-29,14.46,14.5,14.17,14.3,56598504.0,809358607.2
2021-09-30,14.26,14.32,14.09,14.16,79263604.0,1122372632.64
2021-10-01,14.26,14.37,14.01,14.16,51880916.0,734633770.5600001
2021-10-04,14.27,14.79,14.22,14.35,78317497.0,1123856081.95
2021-10-05,14.44,14.44,14.11,14.29,55915797.0,799036739.13
2021-10-06,14.14,14.34,13.89,14.12,60512778.0,854440425.3599999
2021-10-07,14.34,14.95,14.305,14.89,96539549.0,1437473884.61
2021-10-08,14.92,15.49,14.85,15.12,100290893.0,1516398302.1599998
2021-10-11,15.2,15.36,14.97,15.09,45302310.0,683611857.9
2021-10-12,15.11,15.68,15.01,15.64,89134009.0,1394055900.76
2021-10-13,15.59,15.69,15.27,15.51,63363486.0,982767667.86
2021-10-14,15.62,15.62,15.37,15.45,50875110.0,786020449.5
2021-10-15,15.54,16.03,15.535,15.7,77211817.0,1212225526.9
2021-10-18,15.57,15.65,15.485,15.56,48633809.0,756742068.0400001
2021-10-19,15.6,15.69,15.37,15.42,44668310.0,688785340.2
2021-10-20,15.43,16.16,15.37,16.04,105213717.0,1687628020.6799998
2021-10-21,16.16,16.7,16.13,16.55,94854951.0,1569849439.05
2021-10-22,16.42,16.54,16.23,16.28,60646754.0,987329155.12
2021-10-25,16.4,16.5,15.81,16.0,67808039.0,1084928624.0
2021-10-26,16.09,16.22,15.7,15.94,64882294.0,1034223766.36
2021-10-27,15.79,15.92,15.5,15.51,96094256.0,1490421910.56
2021-10-28,16.86,17.58,16.71,16.86,215237578.0,3628905565.08
2021-10-29,16.86,17.355,16.55,17.08,100560723.0,1717577148.84
