timestamps,open,high,low,close,volume,amount
2021-05-28,42.57,42.895,42.06,42.72,15074047.0,643963287.84
2021-06-01,43.57,44.395,43.4046,44.21,22568042.0,997733136.82
2021-06-02,44.0,44.01,42.96,43.34,14907291.0,646081991.94
2021-06-03,42.07,42.2,41.545,41.87,20632765.0,863893870.55
2021-06-04,42.21,42.515,41.3206,41.73,16177181.0,675073763.13
2021-06-07,41.41,41.52,40.44,41.26,17007322.0,701722105.7199999
2021-06-08,41.38,41.92,40.685,41.38,15076984.0,623885597.9200001
2021-06-09,41.27,41.59,40.68,40.7,14112969.0,574397838.3000001
2021-06-10,40.82,41.7845,40.05,40.14,16691749.0,670006804.86
2021-06-11,41.4,41.98,40.625,40.85,20271622.0,828095758.7
2021-06-14,40.61,40.79,39.16,39.48,19629963.0,774990939.2399999
2021-06-15,37.88,38.22,36.435,37.6,51918975.0,1952153460.0
2021-06-16,36.98,37.84,36.52,37.06,37094457.0,1374720576.42
2021-06-17,36.14,36.75,34.07,35.15,60607587.0,2130356683.05
2021-06-18,34.77,35.45,34.45,34.96,48032000.0,1679198720.0
2021-06-21,35.24,35.976,35.13,35.78,28620747.0,1024050327.66
2021-06-22,36.29,37.01,35.63,36.49,27905192.0,1018260456.08
2021-06-23,37.35,38.075,37.1,37.18,22279940.0,828368169.2
2021-06-24,37.75,37.8454,36.77,37.52,20753669.0,778677660.8800001
2021-06-25,38.31,38.55,37.11,37.24,44574317.0,1659947565.0800002
2021-06-28,37.31,37.84,36.57,36.74,15385778.0,565273483.72
2021-06-29,36.97,37.68,36.84,37.27,15161422.0,565066197.94
2021-06-30,37.11,37.4486,36.765,37.11,12464332.0,462551360.52
2021-07-01,37.92,38.2,36.66,37.09,14266293.0,529136807.37000006
2021-07-02,37.38,37.49,36.78,37.14,10482237.0,389310282.18
2021-07-06,37.31,37.45,35.79,36.0,19328773.0,695835828.0
2021-07-07,36.57,36.77,35.335,36.21,15035928.0,544450952.88
2021-07-08,34.04,35.08,33.57,34.69,24669780.0,855794668.1999999
