timestamps,open,high,low,close,volume,amount
2021-05-28,316.0,316.75,313.01,314.81,1049052.0,330252060.12
2021-06-01,318.27,318.54,310.085,310.85,1311720.0,407748162.00000006
2021-06-02,313.0,313.0,303.825,306.57,2108575.0,646425837.75
2021-06-03,305.39,307.78,302.175,306.31,1331871.0,407965406.01
2021-06-04,306.78,308.0,299.66,302.12,2125579.0,642179927.48
2021-06-07,303.0,304.21,299.21,303.34,1979816.0,600557385.4399999
2021-06-08,302.8,303.48,298.62,302.58,1515891.0,458678298.78
2021-06-09,302.58,302.62,290.46,293.11,4380585.0,1283993269.35
2021-06-10,293.59,295.59,291.21,292.84,1824275.0,534220690.99999994
2021-06-11,293.26,296.17,293.26,296.09,1647348.0,487763269.31999993
2021-06-14,296.72,297.17,292.04,292.99,1291763.0,378473641.37
2021-06-15,294.99,299.88,293.9,299.3,1858810.0,556341833.0
2021-06-16,298.47,299.39,292.47,294.68,1710195.0,503960262.6
2021-06-17,294.49,294.74,285.59,287.57,2386580.0,686308810.6
2021-06-18,284.15,289.53,282.0084,285.32,2745558.0,783362608.56
2021-06-21,287.96,295.03,287.795,293.16,1944564.0,570068382.24
2021-06-22,294.92,299.12,293.849,297.69,2287508.0,680968256.52
2021-06-23,300.0,300.65,296.1646,297.37,2207665.0,656493341.05
2021-06-24,301.7,304.59,298.98,303.69,5064587.0,1538064426.03
2021-06-25,292.74,294.75,286.52,291.95,11722502.0,3422384458.9
2021-06-28,293.0,294.65,289.44,293.99,3598798.0,1058010624.02
2021-06-29,296.0,299.5,294.85,297.89,3645892.0,1086074767.88
2021-06-30,296.03,298.62,295.0,298.33,1741784.0,519626420.72
2021-07-01,299.95,300.0997,296.82,299.12,1770193.0,529500130.16
2021-07-02,299.9,299.9,297.37,299.38,1362068.0,407775917.84
2021-07-06,299.38,299.63,292.6,294.61,2319462.0,683336699.82
2021-07-07,294.0,295.15,291.24,293.55,2311060.0,678411663.0
2021-07-08,287.16,294.62,285.85,293.24,2011506.0,589854019.44
2021-07-09,295.81,298.2,293.18,296.4,2338484.0,693126657.5999999
2021-07-12,297.28,302.24,294.6001,299.67,1948784.0,583992101.2800001
2021-07-13,298.99,302.655,298.69,299.08,1774954.0,530853242.32
2021-07-14,298.65,300.8599,294.6,295.86,1462027.0,432555308.22
2021-07-15,294.0,298.74,293.67,296.08,1191712.0,352842088.96
2021-07-16,296.7,297.0,292.0901,292.49,2005824.0,586683461.76
2021-07-19,287.53,295.34,286.32,294.82,2882469.0,849809510.5799999
2021-07-20,295.41,299.04,294.45,298.02,1671954.0,498275731.08
2021-07-21,297.51,301.945,297.3301,298.35,1364436.0,407079480.6
2021-07-22,297.55,298.85,296.06,296.62,996523.0,295588652.26
2021-07-23,297.8,298.66,296.09,297.07,1013970.0,301220067.9
2021-07-26,296.09,298.5,295.65,297.5,1225532.0,364595770.0
2021-07-27,287.5,288.38,279.12,282.63,4888604.0,1381666148.52
2021-07-28,284.21,284.2975,280.28,281.83,2776717.0,782562152.11
2021-07-29,281.83,284.65,281.19,281.92,1820777.0,513313451.84
2021-07-30,280.0,282.0,277.79,279.95,2337190.0,654296340.5
2021-08-02,280.79,282.605,275.39,276.16,2490391.0,687746378.5600001
2021-08-03,276.28,281.715,274.25,280.81,2151107.0,604052356.67
2021-08-04,279.33,280.2902,275.08,275.12,1978834.0,544416810.08
2021-08-05,275.9,277.78,274.67,275.8,2089816.0,576371252.8000001
2021-08-06,276.67,278.452,275.0286,276.27,1701796.0,470155180.92
