timestamps,open,high,low,close,volume,amount
2021-05-28,81.2,82.91,80.695,82.9,161287.0,13370692.3
2021-06-01,83.53,85.125,83.2,84.53,265136.0,22411946.08
2021-06-02,84.09,84.25,82.3,83.08,251231.0,20872271.48
2021-06-03,82.55,85.27,80.895,85.17,337027.0,28704589.59
2021-06-04,85.36,86.53,84.4,86.25,291018.0,25100302.5
2021-06-07,86.37,86.37,85.0,85.75,218623.0,18746922.25
2021-06-08,86.0,86.98,85.095,86.46,190359.0,16458439.14
2021-06-09,86.5,86.57,85.06,85.39,150045.0,12812342.55
2021-06-10,85.75,85.95,82.97,83.45,160574.0,13399900.3
2021-06-11,83.9,84.325,83.31,83.96,116819.0,9808123.239999998
2021-06-14,84.43,85.7,83.97,84.9,340435.0,28902931.500000004
2021-06-15,84.9,84.95,82.59,83.61,196938.0,16465986.18
2021-06-16,83.38,83.97,82.24,83.18,158223.0,13160989.14
2021-06-17,83.09,83.41,80.91,81.25,168940.0,13726375.0
2021-06-18,79.74,80.19,77.18,77.24,414057.0,31981762.68
2021-06-21,78.05,79.79,78.05,79.22,209927.0,16630416.94
2021-06-22,79.04,79.57,77.6914,79.18,118309.0,9367706.62
2021-06-23,79.39,79.82,78.63,78.72,130499.0,10272881.28
2021-06-24,79.23,79.39,78.08,79.23,182327.0,14445768.21
2021-06-25,79.39,80.81,79.35,79.35,1402879.0,111318448.65
2021-06-28,79.36,79.95,77.54,78.05,197790.0,15437509.5
2021-06-29,78.39,78.75,77.96,78.38,103675.0,8126046.499999999
2021-06-30,77.9,79.025,77.54,78.79,116105.0,9147912.95
2021-07-01,80.17,80.63,79.04,79.12,137546.0,10882639.52
2021-07-02,79.34,79.42,77.22,77.68,118170.0,9179445.6
2021-07-06,77.41,77.41,74.93,76.22,141862.0,10812721.64
2021-07-07,75.77,77.32,75.77,76.77,265094.0,20351266.38
2021-07-08,75.15,77.54,74.785,76.02,136323.0,10363274.46
2021-07-09,77.42,78.79,77.135,77.92,92522.0,7209314.24
2021-07-12,77.08,77.99,76.8,77.86,71536.0,5569792.96
2021-07-13,77.17,78.46,76.44,76.88,88564.0,6808800.319999999
2021-07-14,77.15,77.75,75.95,76.21,79231.0,6038194.51
2021-07-15,75.39,76.37,74.8,75.32,100788.0,7591352.159999999
2021-07-16,76.05,76.5,73.28,73.43,167903.0,12329117.29
2021-07-19,71.97,73.56,71.21,72.37,127837.0,9251563.69
2021-07-20,72.29,76.12,72.07,75.05,209723.0,15739711.15
2021-07-21,75.76,76.77,75.76,76.25,68830.0,5248287.5
2021-07-22,75.72,76.23,73.98,74.12,73196.0,5425287.5200000005
2021-07-23,74.76,75.61,73.75,75.38,81777.0,6164350.26
2021-07-26,75.83,76.25,74.64,74.97,61186.0,4587114.42
2021-07-27,74.16,75.06,73.4488,74.37,108812.0,8092348.44
2021-07-28,75.27,75.57,73.3,74.27,107077.0,7952608.79
2021-07-29,72.36,75.18,70.45,74.87,226999.0,16995415.130000003
2021-07-30,74.46,75.31,74.24,74.75,161092.0,12041627.0
2021-08-02,74.82,76.43,72.84,73.1,169280.0,12374367.999999998
