timestamps,open,high,low,close,volume,amount
2021-05-28,18.44,18.44,18.16,18.27,2268313.0,41442078.51
2021-06-01,18.4,18.5,18.24,18.4,2272077.0,41806216.8
2021-06-02,18.4,18.58,18.28,18.56,3461322.0,64242136.31999999
2021-06-03,18.31,18.74,18.31,18.61,2443655.0,45476419.55
2021-06-04,18.77,18.95,18.62,18.95,2930462.0,55532254.9
2021-06-07,19.07,19.07,18.815,18.87,2405152.0,45385218.24
2021-06-08,18.87,18.87,18.475,18.57,1819745.0,33792664.65
2021-06-09,18.58,18.59,18.21,18.22,2096059.0,38190194.98
2021-06-10,18.27,18.61,18.24,18.53,2348554.0,43518705.620000005
2021-06-11,18.69,18.73,18.44,18.49,1715559.0,31720685.909999996
2021-06-14,18.44,18.54,18.16,18.27,1689790.0,30872463.3
2021-06-15,18.23,18.29,17.925,17.99,2088139.0,37565620.61
2021-06-16,17.9,17.98,17.57,17.74,2562578.0,45460133.72
2021-06-17,17.65,17.785,17.205,17.53,2886279.0,50596470.870000005
2021-06-18,17.15,17.4,16.79,16.82,7765532.0,130616248.24
2021-06-21,16.91,17.255,16.85,17.18,2441722.0,41948783.96
2021-06-22,16.97,17.17,16.8,17.12,3385336.0,57956952.32
2021-06-23,17.2,17.35,17.15,17.17,1638697.0,28136427.49
2021-06-24,17.22,17.61,17.22,17.56,2080208.0,36528452.48
2021-06-25,17.65,18.04,17.54,17.99,4179096.0,75181937.03999999
2021-06-28,18.0,18.19,17.76,17.87,2261225.0,40408090.75
2021-06-29,17.99,18.16,17.81,18.09,1613998.0,29197223.82
2021-06-30,17.98,18.02,17.7,17.87,1773129.0,31685815.23
2021-07-01,17.9,18.0,17.66,17.78,2134680.0,37954610.400000006
2021-07-02,17.87,17.985,17.65,17.87,1657623.0,29621723.01
2021-07-06,17.885,17.885,17.16,17.32,2084391.0,36101652.12
2021-07-07,17.35,17.53,17.08,17.33,1412894.0,24485453.019999996
2021-07-08,16.96,17.1899,16.6,16.98,1860168.0,31585652.64
2021-07-09,17.13,17.46,17.13,17.4,1396079.0,24291774.6
2021-07-12,17.36,17.53,17.29,17.42,1246511.0,21714221.62
2021-07-13,17.31,17.36,17.11,17.21,1799150.0,30963371.5
2021-07-14,17.38,17.61,17.135,17.17,1772583.0,30435250.110000003
2021-07-15,17.04,17.12,16.695,16.75,2007019.0,33617568.25
2021-07-16,16.83,16.915,16.29,16.29,2235710.0,36419715.9
2021-07-19,15.89,16.04,15.512,15.74,5044617.0,79402271.58
2021-07-20,15.7,16.21,15.68,16.06,7696251.0,123601791.06
2021-07-21,16.38,16.64,16.18,16.57,1819657.0,30151716.49
2021-07-22,16.47,16.52,16.28,16.31,1612610.0,26301669.1
2021-07-23,16.13,16.7,16.13,16.64,1935250.0,32202560.0
2021-07-26,16.6,16.8,16.59,16.7,1925601.0,32157536.7
2021-07-27,16.64,16.845,16.26,16.48,4811086.0,79286697.28
2021-07-28,16.44,17.14,16.44,16.96,3692329.0,62621899.84
2021-07-29,17.4,18.0,16.6001,17.5,7966632.0,139416060.0
2021-07-30,17.43,18.02,17.43,17.97,7500158.0,134777839.26
2021-08-02,18.1,18.5,17.825,17.83,4023237.0,71734315.71
2021-08-03,17.91,17.91,17.46,17.73,3063247.0,54311369.31
2021-08-04,17.64,17.75,17.445,17.66,5051505.0,89209578.3
2021-08-05,17.75,17.965,17.525,17.55,3341888.0,58650134.400000006
2021-08-06,17.57,17.965,17.535,17.79,3606901.0,64166768.79
2021-08-09,17.98,18.17,17.84,18.05,3968810.0,71637020.5
2021-08-10,18.0,18.245,17.995,18.07,2663086.0,48121964.02
2021-08-11,18.17,18.18,17.95,18.17,2493254.0,45302425.18000001
2021-08-12,18.18,18.225,17.985,18.1,3179172.0,57543013.2
2021-08-13,18.05,18.29,18.0,18.21,3330936.0,60656344.56
2021-08-16,18.21,18.39,18.12,18.32,3772351.0,69109470.32000001
2021-08-17,18.16,18.27,17.8,17.83,5562873.0,99186025.59
2021-08-18,17.8,18.175,17.73,17.73,2754736.0,48841469.28
2021-08-19,17.48,17.665,17.42,17.54,2866584.0,50279883.36
2021-08-20,17.54,17.74,17.5,17.7,3131892.0,55434488.4
2021-08-23,17.78,17.945,17.604,17.77,2910599.0,51721344.23
2021-08-24,17.81,18.1898,17.21,18.06,2285294.0,41272409.64
2021-08-25,18.005,18.37,18.005,18.26,1763863.0,32208138.380000003
2021-08-26,18.25,18.415,18.123,18.19,1558637.0,28351607.03
2021-08-27,18.25,18.84,18.24,18.72,2095074.0,39219785.28
2021-08-30,18.81,18.93,18.72,18.74,1748127.0,32759899.979999997
2021-08-31,18.79,18.935,18.53,18.58,2260046.0,41991654.68
2021-09-01,18.68,18.8,18.5,18.59,2895303.0,53823682.77
2021-09-02,18.7,19.08,18.66,19.03,3218557.0,61249139.71
2021-09-03,19.0,19.365,19.0,19.19,3379959.0,64861413.21
2021-09-07,19.19,19.3,19.03,19.04,2543869.0,48435265.76
2021-09-08,18.99,19.06,18.32,18.36,3337567.0,61277730.12
2021-09-09,18.3,18.5,18.105,18.11,2643019.0,47865074.09
2021-09-10,18.28,18.55,18.115,18.15,1802355.0,32712743.249999996
2021-09-13,18.34,18.53,18.25,18.51,3203801.0,59302356.510000005
2021-09-14,18.64,19.23,18.53,18.56,5570451.0,103387570.56
2021-09-15,18.55,19.08,18.47,19.03,3048955.0,58021613.650000006
2021-09-16,19.02,19.15,18.815,18.82,1985212.0,37361689.84
2021-09-17,18.71,18.85,18.11,18.36,4411654.0,80997967.44
2021-09-20,17.97,17.97,17.495,17.78,3677012.0,65377273.36000001
2021-09-21,17.88,18.02,17.595,17.71,2091605.0,37042324.55
2021-09-22,17.97,18.54,17.7695,18.38,2902728.0,53352140.64
