timestamps,open,high,low,close,volume,amount
2021-05-28,89.34,90.13,89.01,89.69,163787.0,14690056.03
2021-06-01,90.17,90.655,89.48,90.32,178110.0,16086895.2
2021-06-02,90.82,91.195,89.57,90.88,171539.0,15589464.319999998
2021-06-03,90.39,91.88,89.84,91.85,143418.0,13172943.3
2021-06-04,92.26,93.93,91.97,93.65,140470.0,13155015.5
2021-06-07,93.76,94.59,93.04,94.08,109553.0,10306746.24
2021-06-08,94.86,95.83,94.485,95.43,115395.0,11012144.85
2021-06-09,95.66,95.95,93.94,94.34,104715.0,9878813.1
2021-06-10,94.64,94.9344,93.54,93.96,116377.0,10934782.92
2021-06-11,94.5,94.875,93.45,94.09,133616.0,12571929.44
2021-06-14,93.96,95.16,93.96,94.56,126991.0,12008268.96
2021-06-15,94.72,95.08,93.77,94.29,127166.0,11990482.14
2021-06-16,94.61,94.92,92.9301,94.18,123525.0,11633584.5
2021-06-17,94.26,94.7,93.12,93.9,152970.0,14363883.0
2021-06-18,92.6,92.6,90.6,91.17,326547.0,29771289.99
2021-06-21,91.8,94.335,91.25,93.76,156856.0,14706818.56
2021-06-22,93.29,93.76,92.62,93.4,85868.0,8020071.2
2021-06-23,93.75,94.19,93.06,93.32,106736.0,9960603.52
2021-06-24,93.98,95.25,93.42,95.05,101672.0,9663923.6
2021-06-25,95.32,96.03,95.09,95.29,517502.0,49312765.580000006
2021-06-28,95.34,96.21,95.11,95.97,110109.0,10567160.73
2021-06-29,96.27,97.04,96.11,96.67,62599.0,6051445.33
2021-06-30,96.47,96.54,95.86,95.87,98744.0,9466587.28
2021-07-01,96.57,96.57,95.515,95.9,82703.0,7931217.7
2021-07-02,96.31,96.44,95.04,95.33,81215.0,7742225.95
2021-07-06,95.33,95.33,92.58,92.83,282120.0,26189199.6
2021-07-07,92.87,93.72,90.92,91.51,175289.0,16040696.39
2021-07-08,89.55,92.42,89.43,91.28,158795.0,14494807.6
2021-07-09,92.09,93.03,91.56,92.81,76384.0,7089199.04
2021-07-12,93.22,93.35,91.87,93.14,116530.0,10853604.2
2021-07-13,92.38,93.03,91.74,93.01,88923.0,8270728.23
2021-07-14,93.81,94.71,92.55,92.72,88805.0,8233999.6
2021-07-15,92.33,92.35,90.2,91.31,78330.0,7152312.3
2021-07-16,92.29,92.29,90.22,90.34,103799.0,9377201.66
2021-07-19,89.69,91.17,89.13,89.85,129109.0,11600443.65
2021-07-20,90.35,93.25,90.35,92.02,171375.0,15769927.5
