timestamps,open,high,low,close,volume,amount
2021-05-28,43.308,44.2,43.232,43.708,4150160.0,181395193.28
2021-06-01,44.024,44.076,42.726,42.998,3630780.0,156116278.44
2021-06-02,42.978,43.33,42.776,43.274,3329025.0,144060227.85
2021-06-03,43.0,43.47,42.334,43.076,2832110.0,121995970.36
2021-06-04,43.48,44.47,43.48,44.352,3142365.0,139370172.48
2021-06-07,44.432,44.7613,44.011,44.708,2838450.0,126901422.6
2021-06-08,44.76,45.556,44.746,45.472,4280215.0,194629936.48
2021-06-09,45.586,45.698,44.806,45.104,2932890.0,132285070.56
2021-06-10,45.068,45.904,44.88,45.79,3870610.0,177235231.9
2021-06-11,45.602,45.878,45.444,45.788,3273225.0,149874426.29999998
2021-06-14,45.818,46.3,45.602,46.292,3284330.0,152038204.36
2021-06-15,46.21,46.342,45.8,46.012,3165695.0,145659958.34
2021-06-16,46.056,46.516,45.422,46.054,3501870.0,161275120.98000002
2021-06-17,45.916,47.534,45.82,47.396,5871710.0,278295567.16
2021-06-18,47.4,47.796,46.69,46.732,9358535.0,437343057.62
2021-06-21,47.152,47.994,46.736,47.584,4077460.0,194021856.64
2021-06-22,47.6,48.412,47.596,48.38,4143350.0,200455273.0
2021-06-23,48.464,48.584,47.672,48.012,3905335.0,187502944.02
2021-06-24,48.49,48.788,47.986,47.998,3434445.0,164846491.10999998
2021-06-25,48.1,48.472,47.2875,48.406,5297130.0,256412874.78
2021-06-28,48.634,49.466,48.552,49.408,3795835.0,187544615.68
2021-06-29,48.71,48.994,47.93,48.648,4774270.0,232258686.96
2021-06-30,48.564,48.564,47.566,47.638,5466795.0,260427180.21
2021-07-01,47.571,48.532,47.272,48.468,5718165.0,277148021.22
2021-07-02,48.694,49.745,48.692,49.608,3667105.0,181917744.84
2021-07-06,50.1495,50.3695,49.136,50.23,5034505.0,252883186.15
2021-07-07,50.55,50.758,49.3482,50.666,5402730.0,273734718.18
2021-07-08,49.964,50.8954,49.1232,50.586,4513100.0,228299676.6
2021-07-09,50.922,51.486,50.506,51.362,4791565.0,246104361.53
2021-07-12,51.616,51.894,50.953,51.158,4102825.0,209892321.35
2021-07-13,51.18,51.69,50.799,51.408,2545995.0,130884510.96
2021-07-14,51.58,51.733,50.726,51.168,3674710.0,188027561.28
2021-07-15,51.5531,52.38,50.8624,51.26,6286245.0,322232918.7
2021-07-16,51.72,52.5545,51.642,51.688,4327020.0,223655009.76
2021-07-19,51.02,51.67,50.474,51.326,4540275.0,233034154.65
2021-07-20,51.898,53.03,51.6,52.768,3952260.0,208552855.68
2021-07-21,52.842,53.204,52.41,52.93,4078265.0,215862566.45
2021-07-22,53.254,54.2873,53.137,54.15,4042845.0,218920056.75
2021-07-23,54.188,55.218,53.724,55.142,4112605.0,226777264.91000003
2021-07-26,55.32,55.3995,54.428,54.468,3357330.0,182867050.44
2021-07-27,54.48,54.684,53.336,54.228,3686860.0,199931044.08
2021-07-28,54.4,54.764,53.816,54.338,4005570.0,217654662.66
2021-07-29,54.456,55.3406,54.434,54.842,4834925.0,265156956.85
2021-07-30,54.198,54.756,50.0,54.448,9331455.0,508079061.84
2021-08-02,54.854,57.7072,54.028,56.924,10211940.0,581304472.56
2021-08-03,57.094,59.6,57.0,59.552,7556695.0,450016300.64
2021-08-04,59.4706,61.12,58.69,60.804,6016515.0,365828178.06
2021-08-05,61.0,61.302,59.654,60.004,6620905.0,397280783.62
2021-08-06,59.71,60.754,59.2,60.736,3981475.0,241818865.6
2021-08-09,61.03,61.1,59.838,60.222,3625210.0,218317396.62
2021-08-10,60.306,60.871,59.623,60.08,3611200.0,216960896.0
2021-08-11,60.286,60.596,58.7415,59.734,4897795.0,292564886.53000003
2021-08-12,59.868,61.958,59.656,61.132,5782950.0,353523299.4
2021-08-13,60.7,61.906,60.442,61.866,2991650.0,185081418.9
2021-08-16,61.8,61.8,59.734,60.488,3790220.0,229262827.36
2021-08-17,60.028,60.454,59.0379,59.726,4477520.0,267424359.52
2021-08-18,59.638,59.78,58.516,58.544,4401790.0,257698393.76
2021-08-19,57.5571,59.716,57.252,59.156,4093880.0,242177565.28
2021-08-20,59.54,59.917,59.066,59.588,3658720.0,218015807.36
2021-08-23,60.378,61.69,60.334,61.504,4705080.0,289381240.32
2021-08-24,61.6,61.602,59.824,59.968,5207465.0,312281261.12
2021-08-25,60.1,61.568,60.036,61.206,4008815.0,245363530.89
