timestamps,open,high,low,close,volume,amount
2021-05-28,139.41,144.83,138.88,142.27,4151238.0,590596630.26
2021-06-01,148.0,151.98,144.72,150.11,6014894.0,902895738.34
2021-06-02,148.01,150.27,138.67,144.36,4436618.0,640470174.48
2021-06-03,140.7,147.29,140.2838,145.48,3592292.0,522606640.16
2021-06-04,147.28,157.9,147.27,154.7,6751746.0,1044495106.2
2021-06-07,155.8523,156.3,145.11,150.39,3963073.0,596006548.4699999
2021-06-08,148.37,154.98,148.01,154.1,3168317.0,488237649.7
2021-06-09,152.81,155.69,144.0201,145.69,3700820.0,539172465.8
2021-06-10,148.7769,151.93,142.43,144.12,2684992.0,386961047.04
2021-06-11,144.31,147.895,142.52,145.45,2672385.0,388698398.24999994
2021-06-14,147.25,157.3,143.84,155.02,4893938.0,758658268.7600001
2021-06-15,153.7,163.78,149.396,153.1,6680259.0,1022747652.9
2021-06-16,149.9,149.9,141.2,146.12,3720764.0,543678035.6800001
2021-06-17,146.3,153.7481,146.12,153.24,3510154.0,537895998.96
2021-06-18,152.63,157.48,152.207,154.34,2588269.0,399473437.46
2021-06-21,154.34,154.41,146.75,148.09,2183533.0,323359401.97
2021-06-22,148.36,162.39,146.58,160.5,5485234.0,880380057.0
2021-06-23,161.72,172.2,161.5,169.65,6398573.0,1085517909.45
2021-06-24,171.42,174.0,165.46,168.11,3845157.0,646409343.2700001
2021-06-25,171.49,171.92,164.75,168.99,2084166.0,352203212.34000003
2021-06-28,170.9608,178.99,170.27,178.05,3571369.0,635882250.45
2021-06-29,177.3802,181.14,174.2,179.55,3031531.0,544311391.0500001
2021-06-30,178.98,181.44,175.5,179.09,1814988.0,325046200.92
2021-07-01,177.44,179.69,160.52,161.09,4110168.0,662106963.12
2021-07-02,165.4899,166.51,158.28,162.2,2447988.0,397063653.6
2021-07-06,147.305,150.56,139.65,147.11,8419474.0,1238588820.14
2021-07-07,151.87,151.9,142.081,145.28,3760330.0,546300742.4
2021-07-08,136.245,140.38,133.07,138.59,6799594.0,942355732.46
2021-07-09,144.31,146.91,137.5,139.75,3328372.0,465139987.0
2021-07-12,140.39,140.9399,134.0,137.46,2360563.0,324482989.98
2021-07-13,137.56,140.0,134.6,135.11,2706969.0,365738581.59
2021-07-14,136.23,137.73,128.75,130.41,3307444.0,431323772.04
2021-07-15,131.55,138.4739,130.5135,134.8,2580719.0,347880921.20000005
2021-07-16,136.01,136.2,131.71,133.4,1463134.0,195182075.6
