timestamps,open,high,low,close,volume,amount
2021-05-28,46.08,46.345,46.08,46.24,13729194.0,634837930.5600001
2021-06-01,47.57,47.59,47.23,47.45,24266890.0,1151463930.5
2021-06-02,47.36,47.36,47.12,47.26,13877316.0,655841954.16
2021-06-03,46.54,46.5925,46.28,46.32,20676591.0,957739695.12
2021-06-04,46.71,46.82,46.66,46.8,9968941.0,466546438.7999999
2021-06-07,46.34,46.35,46.06,46.3,11968630.0,554147569.0
2021-06-08,46.205,46.29,45.945,46.08,11258179.0,518776888.32
2021-06-09,46.12,46.31,46.0,46.08,11994523.0,552707619.84
2021-06-10,46.04,46.23,45.93,46.18,13049216.0,602612794.88
2021-06-11,46.17,46.22,45.9485,46.07,10269042.0,473094764.94
2021-06-14,46.08,46.29,45.96,46.21,14809722.0,684357253.62
2021-06-15,45.8,45.84,45.525,45.58,17247910.0,786159737.8
2021-06-16,45.26,45.36,44.72,44.88,24382147.0,1094270757.36
2021-06-17,45.22,45.57,45.14,45.51,21127188.0,961498325.88
2021-06-18,45.65,45.75,45.46,45.56,16959982.0,772696779.9200001
2021-06-21,45.38,45.56,45.15,45.55,12198845.0,555657389.75
2021-06-22,45.06,45.26,45.04,45.18,12449805.0,562482189.9
2021-06-23,45.75,46.03,45.715,45.75,13075368.0,598198086.0
2021-06-24,46.0,46.23,45.965,46.23,11532976.0,533169480.48
2021-06-25,46.945,47.12,46.8,47.11,21109229.0,994455778.19
2021-06-28,47.13,47.31,47.09,47.22,9709365.0,458476215.3
2021-06-29,46.61,46.9,46.48,46.87,16231474.0,760769186.38
2021-06-30,46.26,46.44,46.2,46.33,14045611.0,650733157.63
2021-07-01,46.38,46.445,45.815,46.09,17667302.0,814285949.1800001
2021-07-02,45.42,45.56,45.34,45.49,16055311.0,730356097.39
2021-07-06,44.55,44.6,44.15,44.22,27360084.0,1209862914.48
2021-07-07,44.62,44.68,44.16,44.3,17914980.0,793633614.0
2021-07-08,42.86,43.08,42.72,42.92,35024805.0,1503264630.6
2021-07-09,43.77,44.25,43.62,44.15,20595541.0,909293135.15
2021-07-12,43.95,44.0599,43.84,44.0,11574260.0,509267440.0
2021-07-13,44.31,44.725,44.3,44.5,17990136.0,800561052.0
2021-07-14,44.67,44.69,44.31,44.31,13455618.0,596218433.58
2021-07-15,44.68,44.865,44.55,44.74,13942117.0,623770314.58
2021-07-16,44.86,44.89,44.37,44.4,13765553.0,611190553.1999999
2021-07-19,43.83,43.87,43.515,43.81,19477967.0,853329734.2700001
2021-07-20,43.3535,43.72,43.22,43.59,15993594.0,697160762.46
2021-07-21,43.27,43.76,43.21,43.72,11895664.0,520078430.08
2021-07-22,43.9,43.98,43.74,43.9,10308279.0,452533448.1
2021-07-23,43.05,43.07,42.57,42.78,23726710.0,1015028653.8
2021-07-26,41.0,41.2,40.41,40.49,54503226.0,2206835620.74
2021-07-27,38.712,39.26,38.24,39.16,71604967.0,2804050507.72
2021-07-28,40.33,41.62,40.31,41.52,67998282.0,2823288668.6400003
2021-07-29,41.34,41.34,40.71,40.94,31463570.0,1288118555.8
2021-07-30,40.25,40.72,40.22,40.54,23611289.0,957201656.06
2021-08-02,40.99,41.29,40.91,41.12,18258635.0,750795071.1999999
2021-08-03,40.76,40.82,40.555,40.81,17385726.0,709511478.0600001
2021-08-04,41.21,41.545,41.18,41.36,25034644.0,1035432875.84
2021-08-05,40.91,41.06,40.78,40.9,14659185.0,599560666.5
2021-08-06,40.8,40.86,40.315,40.42,17649402.0,713388828.84
2021-08-09,40.91,41.25,40.87,41.17,21931826.0,902933276.42
