timestamps,open,high,low,close,volume,amount
2021-05-28,38.99,39.435,38.77,39.42,12740523.0,502231416.66
2021-06-01,39.64,39.88,39.165,39.49,14393143.0,568385217.07
2021-06-02,39.58,39.79,39.335,39.54,11342461.0,448480907.94
2021-06-03,38.622,38.63,38.015,38.17,32252091.0,1231062313.47
2021-06-04,38.5601,38.9572,38.455,38.68,17124130.0,662361348.4
2021-06-07,38.55,38.71,38.21,38.65,13387640.0,517432286.0
2021-06-08,38.43,38.59,38.05,38.1,17546970.0,668539557.0
2021-06-09,38.152,38.48,37.995,38.0,14647673.0,556611574.0
2021-06-10,38.07,38.99,37.97,38.95,22421160.0,873304182.0000001
2021-06-11,38.7,38.88,38.18,38.28,18949046.0,725369480.88
2021-06-14,37.57,38.285,37.4,38.03,15962530.0,607055015.9
2021-06-15,38.062,38.13,37.4101,37.59,17473987.0,656847171.33
2021-06-16,37.53,37.92,36.73,36.77,29774816.0,1094819984.3200002
2021-06-17,35.58,36.04,34.79,34.93,69394656.0,2423955334.08
2021-06-18,34.84,35.1,34.1,34.13,34624704.0,1181741147.52
2021-06-21,34.6613,34.95,34.2373,34.77,25205209.0,876385116.9300001
2021-06-22,34.6,34.81,34.41,34.55,18077364.0,624572926.1999999
2021-06-23,35.01,35.178,34.33,34.33,22767263.0,781600138.79
2021-06-24,34.64,34.73,34.29,34.44,16088755.0,554096722.1999999
2021-06-25,34.91,34.95,34.22,34.36,14503006.0,498323286.16
2021-06-28,34.32,34.44,33.72,33.98,19428302.0,660173701.9599999
2021-06-29,33.3935,33.97,33.3,33.64,15616904.0,525352650.56
2021-06-30,33.64,34.21,33.5,33.98,15218906.0,517138425.87999994
2021-07-01,34.4667,34.52,33.76,33.96,12270805.0,416716537.8
2021-07-02,34.39,34.59,34.05,34.42,14539517.0,500450175.1400001
2021-07-06,35.02,35.05,34.17,34.52,20109666.0,694185670.32
2021-07-07,34.74,34.791,34.29,34.56,14560630.0,503215372.8
2021-07-08,34.62,34.685,33.385,33.68,27180577.0,915441833.36
2021-07-09,33.8,34.49,33.76,34.37,18294587.0,628784955.1899999
2021-07-12,34.2,34.56,33.83,33.89,20379444.0,690659357.16
2021-07-13,34.0,34.92,33.92,34.28,21119951.0,723991920.28
2021-07-14,35.09,35.16,34.575,34.74,15862678.0,551069433.72
2021-07-15,34.84,35.03,34.63,34.97,14288220.0,499659053.4
2021-07-16,34.84,34.84,33.83,33.92,28887366.0,979859454.72
2021-07-19,33.5201,33.71,32.8728,33.19,30024443.0,996511263.17
2021-07-20,33.39,33.8101,33.05,33.3,18011183.0,599772393.9
2021-07-21,33.03,33.7275,32.97,33.62,15534774.0,522279101.87999994
2021-07-22,33.6901,33.6901,33.05,33.41,15715252.0,525046569.31999993
2021-07-23,33.2,33.32,32.92,33.15,12670784.0,420036489.6
2021-07-26,33.06,33.76,33.01,33.5,13638037.0,456874239.5
2021-07-27,33.65,33.725,33.29,33.68,14206599.0,478478254.32
2021-07-28,33.51,34.19,33.38,34.19,16530090.0,565163777.0999999
2021-07-29,34.75,35.369,34.7,35.07,28977917.0,1016255549.19
2021-07-30,34.8,35.28,34.695,34.92,12405256.0,433191539.52
