timestamps,open,high,low,close,volume,amount
2021-05-28,53.85,54.74,53.66,54.71,4689212.0,256546788.52
2021-06-01,55.26,55.79,54.7,54.89,7205299.0,395498862.11
2021-06-02,55.225,55.53,54.73,55.18,4365596.0,240893587.28
2021-06-03,53.6499,53.6499,52.6,52.65,11000994.0,579202334.1
2021-06-04,53.33,53.99,53.26,53.68,5475583.0,293929295.44
2021-06-07,53.38,53.82,52.95,53.61,5015257.0,268867927.77
2021-06-08,53.08,53.58,52.77,52.81,4574494.0,241579028.14
2021-06-09,53.1,53.52,52.62,52.68,3430933.0,180741550.44
2021-06-10,52.82,54.37,52.45,54.32,8611276.0,467764512.32
2021-06-11,53.9,54.21,53.14,53.21,6390294.0,340027543.74
2021-06-14,52.2,53.485,52.03,52.99,4902031.0,259758622.69
2021-06-15,53.03,53.09,52.015,52.28,5244093.0,274161182.04
2021-06-16,52.27,52.94,51.21,51.22,7745404.0,396719592.88
2021-06-17,49.55,50.3,48.59,48.79,13486403.0,658001602.37
2021-06-18,48.79,49.43,47.67,47.73,7518915.0,358877812.95
2021-06-21,48.35,48.589,47.6099,48.32,6442094.0,311281982.08
2021-06-22,47.93,48.234,47.68,47.89,6803007.0,325796005.23
2021-06-23,48.47,49.0,47.56,47.57,8566194.0,407493848.58
2021-06-24,48.265,48.3781,47.57,47.87,3405619.0,163026981.53
2021-06-25,48.5378,48.6,47.33,47.43,3988586.0,189178633.98
2021-06-28,47.22,47.43,46.19,46.41,6426874.0,298271222.34
2021-06-29,45.63,46.47,45.51,45.83,6394061.0,293039815.63
2021-06-30,45.79,46.965,45.68,46.75,5176123.0,241983750.25
2021-07-01,47.32,47.34,46.18,46.68,2840815.0,132609244.2
2021-07-02,47.42,47.715,46.72,47.46,4866442.0,230961337.32
2021-07-06,48.23,48.38,46.6471,47.03,7361186.0,346196577.58
2021-07-07,47.33,47.45,46.49,46.89,4025957.0,188777123.73
2021-07-08,46.87,47.04,45.252,45.53,6546890.0,298079901.7
2021-07-09,45.81,46.81,45.76,46.62,5712616.0,266322157.92
2021-07-12,46.32,46.74,45.495,45.55,8712087.0,396835562.85
2021-07-13,45.59,46.91,45.52,45.91,6425198.0,294980840.18
2021-07-14,47.01,47.23,46.33,46.72,7210035.0,336852835.2
2021-07-15,46.8,46.98,46.39,46.77,4132353.0,193270149.81
2021-07-16,46.5,46.51,44.77,44.87,8821127.0,395803968.4899999
2021-07-19,44.1329,44.44,43.06,43.38,8053640.0,349366903.20000005
2021-07-20,43.6,44.15,43.15,43.51,4413407.0,192027338.57
2021-07-21,43.22,44.7,43.07,44.5,6596452.0,293542114.0
2021-07-22,44.45,44.49,43.56,44.06,3383069.0,149058020.14000002
2021-07-23,43.95,44.12,43.3901,43.63,3320342.0,144866521.46
2021-07-26,43.59,44.63,43.47,44.31,4532239.0,200823510.09
2021-07-27,44.18,44.3,43.43,44.01,4210916.0,185322413.16
2021-07-28,43.73,44.99,43.7,44.95,5590434.0,251290008.3
2021-07-29,45.9,46.5783,45.72,46.11,7487554.0,345251114.94
2021-07-30,45.72,46.37,45.32,45.83,4209180.0,192906719.4
2021-08-02,45.85,45.98,45.46,45.61,2833634.0,129242046.74
2021-08-03,45.7,46.0,45.37,45.98,3999829.0,183912137.42
2021-08-04,46.51,47.1,45.32,45.4,4906076.0,222735850.4
2021-08-05,45.49,45.62,44.63,44.77,4754514.0,212859591.78
2021-08-06,43.54,43.94,42.98,43.6,7685283.0,335078338.8
2021-08-09,42.99,43.16,41.94,41.98,10359656.0,434898358.88
2021-08-10,41.93,42.19,41.435,41.64,6209380.0,258558583.2
2021-08-11,42.23,42.9401,42.18,42.68,6853691.0,292515531.88
2021-08-12,42.41,42.45,41.51,41.85,6314034.0,264242322.9
2021-08-13,42.43,43.05,42.29,42.85,8256968.0,353811078.8
2021-08-16,42.68,42.94,42.22,42.4,5005582.0,212236676.8
2021-08-17,42.18,42.49,41.17,41.51,5448245.0,226156649.95
2021-08-18,41.63,41.7,40.3,40.76,5758245.0,234706066.2
2021-08-19,40.67,40.71,39.64,39.81,7777378.0,309617418.18
2021-08-20,39.66,40.16,39.51,39.69,3373883.0,133909416.27
2021-08-23,40.85,42.16,40.76,41.89,11482192.0,480989022.88
2021-08-24,42.15,42.305,41.73,42.12,3143932.0,132422415.84
2021-08-25,41.87,41.87,41.09,41.43,5615174.0,232636658.82
2021-08-26,41.09,41.86,40.96,41.15,3350061.0,137855010.15
2021-08-27,41.08,43.29,41.0,43.08,11067779.0,476799919.32
2021-08-30,43.15,43.2999,42.27,42.45,5182839.0,220011515.55
2021-08-31,42.59,43.2,42.417,43.11,6687990.0,288319248.9
2021-09-01,43.37,43.5,42.73,42.83,3998627.0,171261194.41
2021-09-02,42.81,43.08,42.405,42.62,4015420.0,171137200.39999998
2021-09-03,43.42,44.39,43.36,43.98,9249128.0,406776649.44
2021-09-07,43.35,43.66,42.315,42.35,9043684.0,383000017.4
2021-09-08,42.37,42.415,41.62,42.08,4949362.0,208269152.96
2021-09-09,42.44,42.45,41.33,41.6,7303087.0,303808419.2
2021-09-10,41.79,41.88,40.83,40.91,5750894.0,235269073.54
2021-09-13,41.15,42.75,41.02,42.37,12382045.0,524627246.65
2021-09-14,42.55,42.89,42.01,42.55,4385892.0,186619704.6
2021-09-15,42.16,42.87,42.1,42.5,4296298.0,182592665.0
2021-09-16,41.2,41.27,40.17,40.83,11147746.0,455162469.18
2021-09-17,40.58,40.71,40.1409,40.48,6402647.0,259179150.55999997
2021-09-20,39.94,40.02,39.3,39.92,7358025.0,293732358.0
2021-09-21,40.37,40.71,39.74,39.86,4949017.0,197267817.62
2021-09-22,40.14,41.22,39.975,40.02,7266217.0,290794004.34000003
2021-09-23,39.84,39.98,39.16,39.17,6219860.0,243631916.2
2021-09-24,38.88,39.39,38.62,38.93,3588776.0,139711049.68
2021-09-27,39.05,39.74,38.82,38.89,5077112.0,197448885.68
2021-09-28,38.45,38.75,38.015,38.51,5957761.0,229433376.11
2021-09-29,38.41,38.5,37.31,37.42,8412959.0,314812925.78000003
2021-09-30,37.92,38.98,37.7099,38.34,7426351.0,284726297.34000003
2021-10-01,38.62,38.63,37.97,38.35,3115524.0,119480345.4
2021-10-04,38.38,39.245,38.37,38.76,5718059.0,221631966.83999997
2021-10-05,38.63,39.215,38.0901,39.18,4900969.0,192019965.42
2021-10-06,38.86,39.99,38.71,39.96,6611616.0,264200175.36
2021-10-07,39.81,40.78,39.74,40.18,6379321.0,256321117.78
2021-10-08,41.32,41.59,40.6,40.78,7484497.0,305217787.66
2021-10-11,40.91,41.565,40.61,40.62,3411072.0,138557744.64
2021-10-12,40.84,41.76,40.66,41.7,9112258.0,379981158.6
2021-10-13,42.0,43.34,41.96,43.15,9092809.0,392354708.35
2021-10-14,43.79,44.06,43.4697,43.99,5919866.0,260414905.34
2021-10-15,43.2033,44.15,42.83,43.58,6563634.0,286043169.71999997
2021-10-18,43.57,43.675,43.06,43.07,4990242.0,214929722.94
2021-10-19,44.11,44.17,43.1501,43.42,5798042.0,251750983.64
2021-10-20,43.98,44.76,43.65,44.25,6413934.0,283816579.5
2021-10-21,44.07,44.22,43.69,43.92,4259877.0,187093797.84
2021-10-22,44.57,45.73,44.025,44.44,7901049.0,351122617.56
2021-10-25,45.05,45.75,44.76,45.47,6298433.0,286389748.51
2021-10-26,45.05,45.3101,44.77,45.25,5227879.0,236561524.75
2021-10-27,45.08,45.52,44.82,45.05,4765984.0,214707579.2
2021-10-28,45.09,45.27,44.39,44.47,4312428.0,191773673.16
2021-10-29,43.77,43.89,43.14,43.27,6723894.0,290942893.38
2021-11-01,43.47,43.8499,42.85,43.65,3991906.0,174246696.9
2021-11-02,43.33,43.33,42.43,42.88,5829737.0,249979122.56
2021-11-03,42.3,43.76,42.12,43.55,6128659.0,266903099.45
2021-11-04,44.15,44.68,43.235,43.28,4513876.0,195360553.28
2021-11-05,43.73,44.75,43.2501,44.75,7921193.0,354473386.75
2021-11-08,45.11,45.4,44.885,45.19,5307517.0,239846693.23
2021-11-09,45.4,46.01,44.75,45.93,6383433.0,293191077.69
2021-11-10,47.03,47.44,46.12,46.46,9374223.0,435526400.58
2021-11-11,47.37,48.0425,47.05,47.87,8624697.0,412864245.39
2021-11-12,47.73,48.25,47.2,47.99,7172675.0,344216673.25
2021-11-15,47.948,48.109,47.33,47.93,3918909.0,187833308.37
2021-11-16,47.83,48.17,46.89,46.96,6902044.0,324119986.24
2021-11-17,47.46,48.03,47.13,47.38,5046702.0,239112740.76
2021-11-18,47.25,47.595,46.76,46.95,3554116.0,166865746.20000002
2021-11-19,46.93,47.26,45.89,45.92,6503590.0,298644852.8
2021-11-22,45.0,45.655,44.23,44.9,9423224.0,423102757.6
2021-11-23,43.99,44.52,43.425,43.98,6856664.0,301556082.71999997
2021-11-24,43.54,44.29,43.49,44.11,4108287.0,181216539.57
2021-11-26,44.26,44.26,42.17,42.92,7768605.0,333428526.6
2021-11-29,42.92,43.175,42.46,43.09,4496339.0,193747247.51
2021-11-30,43.16,44.21,42.18,42.69,8947960.0,381988412.4
