timestamps,open,high,low,close,volume,amount
2021-05-28,71.2232,71.472,69.9272,70.0768,14795052.469368,1036789932.8854076
2021-06-01,70.924,71.472,70.276,70.5256,10236226.20026,721915994.5090567
2021-06-02,70.6744,70.6744,69.828,70.2264,8111149.077709,569616799.5908233
2021-06-03,69.728,71.6224,69.4792,70.2264,12773752.634732,897054662.0277433
2021-06-04,70.5752,70.7744,69.0808,69.5784,12951036.159765,901112374.3385932
2021-06-07,69.7776,70.1024,69.0808,69.3296,7596760.10872,526680339.6335141
2021-06-08,69.628,69.7032,68.3824,69.28,8948399.494099,619945116.9511788
2021-06-09,68.6312,68.8304,68.1328,68.432,11287961.181507,772457759.5728871
2021-06-10,68.8304,69.1296,67.7344,67.9336,10089971.329919,685448076.3381853
2021-06-11,68.0336,68.6816,67.6344,68.2328,8573487.288348,584993043.4483914
2021-06-14,68.6816,68.9304,66.8368,67.136,9239279.062201,620288239.1199263
2021-06-15,67.036,67.6344,66.3384,67.4856,7725546.751941,521363157.8827896
2021-06-16,67.2856,68.0336,66.2392,66.9872,14138190.02851,947077763.0778052
2021-06-17,66.8368,67.3352,64.3456,64.7936,15527979.665586,1006113703.260113
2021-06-18,63.996,64.8936,63.548,63.6968,17617420.713987,1122173323.734687
2021-06-21,64.2456,65.7408,64.096,65.7408,10939051.482356,719141995.6912693
2021-06-22,65.392,65.7656,64.4944,64.9432,7805887.07378,506939285.40990937
2021-06-23,64.8936,65.7408,64.4944,64.5448,8871657.389493,572619351.8733478
2021-06-24,65.0928,65.7904,64.3952,65.5416,9688501.054754,634999860.7302648
2021-06-25,65.5912,65.9896,65.292,65.5912,6915434.244813,453591630.6383784
2021-06-28,65.5912,65.6416,63.7472,64.2456,12454837.709745,800168521.5651933
2021-06-29,65.0928,65.94,64.5944,65.2424,14029476.277073,915316703.0593076
2021-06-30,65.5416,67.4104,65.0432,67.0864,13900896.490212,932561102.3009584
2021-07-01,67.6848,67.9336,66.588,67.1864,9517128.084056,639421574.30662
2021-07-02,67.4856,67.4856,66.3384,66.588,6779100.454305,451406741.0512613
2021-07-06,66.1896,66.3888,63.896,64.3952,14274275.029602,919194795.3862268
2021-07-07,64.1952,65.168,63.4976,64.6936,12414207.18809,803119754.1434193
2021-07-08,63.448,64.4944,62.8496,64.1456,10955389.322729,702740021.3400455
2021-07-09,64.844,65.7408,64.4944,65.5912,8390380.48591,550335124.52742
2021-07-12,65.0928,65.4664,64.2952,65.3424,11305687.828599,738740776.3714473
2021-07-13,65.2424,65.2424,64.1952,64.2456,7981666.024763,512786922.7605138
2021-07-14,64.1952,64.6936,63.3976,63.8472,9053559.569633,578044428.554272
2021-07-15,63.2488,64.3952,62.6504,63.5976,10412690.12468,662222101.4733487
2021-07-16,63.7968,64.1456,62.4016,62.5512,9344973.834341,584539327.3066308
2021-07-19,60.7568,61.0064,58.9128,59.8096,20074716.775491,1200660780.4554064
2021-07-20,59.8592,63.4976,59.7592,63.2984,15218630.693606,963314973.09615
2021-07-21,63.7472,65.3424,63.6472,65.192,13737046.590406,895545541.3217479
2021-07-22,65.0432,65.0928,63.2984,63.2984,8796693.326657,556816612.8680655
2021-07-23,63.7968,64.1952,62.9496,63.3488,7659615.751237,485227466.3019624
2021-07-26,63.0992,64.4944,62.9496,64.3952,10883816.219493,700865522.2174957
2021-07-27,66.4384,67.136,63.7968,65.192,24266610.759334,1581988888.622502
2021-07-28,65.5416,67.1864,64.9928,65.4416,13930828.866386,911655730.342486
2021-07-29,65.7408,66.688,65.2424,66.2392,10889846.553894,721334723.8526955
2021-07-30,65.5912,65.8904,64.3952,64.5448,12050786.244399,777815587.9874845
