timestamps,open,high,low,close,volume,amount
2024-04-02,142.85,152.48,138.64,140.0,18246124.0,2554457360.0
2024-04-03,142.3,144.0,135.8,137.34,8866864.0,1217775101.76
2024-04-04,136.0,139.35,125.26,126.06,14207744.0,1791028208.64
2024-04-05,125.5,128.18,119.0,122.7,16054788.0,1969922487.6
2024-04-08,126.13,131.95,125.86,129.96,12195039.0,1584867268.44
2024-04-09,130.87,133.6,128.25,132.17,9143523.0,1208499434.9099998
2024-04-10,129.5,139.93,128.94,138.37,8376809.0,1159099061.33
2024-04-11,139.2,139.32,136.41,136.57,5326943.0,727500605.51
2024-04-12,135.0,138.11,133.555,134.0,3765246.0,504542964.0
2024-04-15,134.6,135.32,129.85,131.75,3724891.0,490754389.25
2024-04-16,132.5,133.05,128.25,130.07,5870930.0,763631865.0999999
2024-04-17,132.04,138.18,131.25,134.75,6154554.0,829326151.5
2024-04-18,138.15,138.41,135.43,137.22,5022268.0,689155614.96
2024-04-19,137.25,140.59,134.905,135.1,4518763.0,610484881.3
2024-04-22,135.52,137.14,132.11,136.69,2435104.0,332854365.76
2024-04-23,138.46,148.35,137.87,147.83,4682814.0,692260393.62
2024-04-24,147.0,149.9,144.35,146.18,4684613.0,684796728.34
2024-04-25,143.0,152.14,138.6725,148.31,6069264.0,900132543.84
2024-04-26,153.64,157.25,150.2,153.07,4230515.0,647564931.05
2024-04-29,153.58,159.55,153.58,159.01,5937215.0,944076557.15
2024-04-30,158.14,163.1,152.25,153.71,3490075.0,536459428.25
2024-05-01,154.19,156.7,149.4207,151.67,3397459.0,515292606.53
2024-05-02,153.53,155.44,151.6589,153.83,2530741.0,389303888.03
2024-05-03,155.63,167.17,155.14,166.26,4635134.0,770637378.8399999
2024-05-06,167.16,171.17,164.51,169.14,4007044.0,677751422.16
2024-05-07,168.66,173.5,167.165,167.36,2884150.0,482691344.00000006
2024-05-08,167.0,167.01,163.225,164.0,3679684.0,603468176.0
2024-05-09,165.0,168.72,164.65,166.4,4022569.0,669355481.6
2024-05-10,169.0,170.8,165.99,167.27,3459622.0,578690971.94
2024-05-13,165.0,167.55,160.18,161.53,4413798.0,712960790.94
2024-05-14,160.69,166.555,158.86,165.63,3855420.0,638573214.6
2024-05-15,168.36,172.35,166.956,167.87,2572025.0,431765836.75
2024-05-16,168.03,170.0,166.35,166.4,1604395.0,266971328.0
2024-05-17,166.88,167.64,160.94,162.62,1937153.0,315019820.86
2024-05-20,163.06,164.3,160.21,160.95,1736122.0,279428835.9
2024-05-21,160.24,164.49,159.07,163.93,1945469.0,318920733.17
2024-05-22,164.29,167.36,163.0,163.85,2018868.0,330791521.8
2024-05-23,166.42,170.0,161.44,161.67,3139003.0,507482615.01
2024-05-24,162.81,177.7695,162.09,177.43,4294052.0,761893646.36
2024-05-28,178.34,182.78,176.78,178.09,2632749.0,468866269.41
2024-05-29,176.0,178.69,174.0962,177.32,1537710.0,272666737.2
2024-05-30,176.97,177.81,174.5,175.08,2043133.0,357711725.64000005
2024-05-31,177.1,179.765,165.4,175.9,5454904.0,959517613.6
2024-06-03,178.93,179.0,166.44,170.37,3434765.0,585180913.0500001
2024-06-04,168.35,169.41,161.33,163.04,5279783.0,860815820.3199999
2024-06-05,165.09,168.3,162.47,163.49,8005543.0,1308826225.0700002
2024-06-06,163.25,164.13,155.5,160.31,5249018.0,841470075.58
2024-06-07,159.5,165.76,159.04,162.08,4850297.0,786136137.7600001
2024-06-10,161.22,170.0,160.5984,166.64,4224304.0,703938018.56
2024-06-11,165.5,168.54,163.3,168.23,2036122.0,342536804.06
2024-06-12,171.54,179.22,171.155,177.52,4016501.0,713009257.5200001
2024-06-13,179.8,181.96,172.84,176.17,3462158.0,609928374.86
2024-06-14,174.09,174.78,166.2,170.17,3128342.0,532349958.14
2024-06-17,169.75,171.88,166.15,168.76,2804196.0,473236116.96
2024-06-18,167.94,180.25,166.33,179.57,3364919.0,604238504.8299999
2024-06-20,178.47,185.5,175.095,177.18,4005304.0,709659762.72
2024-06-21,177.1,177.18,170.4,175.73,3876954.0,681297126.42
2024-06-24,176.55,179.15,174.77,178.14,2552892.0,454772180.87999994
2024-06-25,179.8,181.5,176.27,181.45,2554030.0,463428743.5
2024-06-26,180.89,181.725,177.62,180.0,2283955.0,411111900.0
2024-06-27,178.39,179.2729,173.25,176.28,2541263.0,447973841.64
2024-06-28,174.8,176.3,167.175,171.51,3783554.0,648917346.54
2024-07-01,171.0,171.2,165.12,167.52,2748335.0,460401079.2000001
2024-07-02,165.41,171.98,165.41,169.81,2447440.0,415599786.4
2024-07-03,170.1,174.78,169.18,172.68,1317151.0,227445634.68
2024-07-05,171.5,177.44,171.26,176.23,1629585.0,287181764.55
2024-07-08,176.81,178.6,174.17,174.37,1659343.0,289339638.91
2024-07-09,174.28,174.83,172.6,172.98,1801065.0,311548223.7
2024-07-10,174.93,179.8,174.6,179.73,1835670.0,329924969.09999996
2024-07-11,181.0,183.16,176.55,176.7,2574654.0,454941361.7999999
2024-07-12,177.95,184.331,174.4,180.45,1603909.0,289425379.04999995
2024-07-15,180.24,181.8099,176.5,177.44,3026614.0,537042388.16
2024-07-16,178.78,183.89,178.18,182.74,1789742.0,327057453.08000004
2024-07-17,180.2,180.2,162.9,165.83,6033756.0,1000577757.48
2024-07-18,168.0,171.45,159.43,161.49,4736552.0,764905782.48
2024-07-19,162.0,163.69,159.11,163.34,2547792.0,416156345.28
2024-07-22,166.38,168.25,163.6839,166.76,1738608.0,289930270.08
2024-07-23,167.0,171.01,166.22,170.49,3209514.0,547190041.86
2024-07-24,167.34,172.3,162.73,162.9,5532133.0,901184465.7
2024-07-25,166.0,166.29,156.41,160.0,5163169.0,826107040.0
