timestamps,open,high,low,close,volume,amount
2021-05-28,66.05,66.685,65.8,66.11,5940055.0,392697036.05
2021-06-01,66.44,66.55,65.12,65.32,6573132.0,429356982.2399999
2021-06-02,65.59,66.35,65.54,66.03,6572676.0,433993796.28
2021-06-03,65.96,66.6,65.7933,66.48,6755423.0,449100521.04
2021-06-04,66.79,67.57,66.54,67.43,6342973.0,427706669.3900001
2021-06-07,67.605,67.9644,67.11,67.42,7731895.0,521284360.9
2021-06-08,67.44,67.61,66.99,67.51,5489219.0,370577174.69000006
2021-06-09,67.57,69.19,67.52,68.65,8434161.0,579005152.6500001
2021-06-10,68.99,69.705,68.47,69.29,8678419.0,601327652.5100001
2021-06-11,69.14,69.25,68.645,68.77,6928016.0,476439660.32
2021-06-14,68.01,68.325,67.47,68.15,5319472.0,362522016.8
2021-06-15,68.48,68.5,67.74,68.09,6454167.0,439464231.03
2021-06-16,68.2162,69.3399,67.19,67.33,12938704.0,871162940.3199999
2021-06-17,67.32,67.48,66.49,67.22,7015715.0,471596362.3
2021-06-18,67.0,67.18,65.89,66.61,11464711.0,763664399.71
2021-06-21,66.99,67.565,66.77,67.35,5310613.0,357669785.54999995
2021-06-22,67.238,67.6,66.775,67.05,4796795.0,321625104.75
2021-06-23,67.21,67.25,66.56,66.65,3946810.0,263054886.50000003
2021-06-24,66.77,68.2401,66.65,67.18,5053999.0,339527652.82000005
2021-06-25,67.14,68.0,66.88,67.88,8078383.0,548360638.04
2021-06-28,68.3,68.64,67.65,67.7,6580310.0,445486987.0
2021-06-29,67.67,68.0295,67.5043,67.93,4348132.0,295368606.76000005
2021-06-30,68.29,68.94,68.01,68.86,6010372.0,413874215.92
2021-07-01,68.75,69.375,68.41,69.13,5463979.0,377724868.27
2021-07-02,69.28,69.45,68.64,69.3,3969291.0,275071866.3
2021-07-06,68.98,69.06,67.98,68.41,6169761.0,422073350.01
2021-07-07,68.4,68.43,67.8,68.36,6079973.0,415626954.28
2021-07-08,68.055,68.32,67.42,67.69,4982633.0,337274427.77
2021-07-09,67.59,68.41,67.454,68.22,6419563.0,437942587.86
2021-07-12,68.23,69.06,67.75,68.07,7322466.0,498440260.61999995
2021-07-13,67.83,68.515,67.83,68.01,4518554.0,307306857.54
2021-07-14,68.07,68.11,67.43,67.93,5950122.0,404191787.46
2021-07-15,67.86,68.39,67.37,68.3,6126992.0,418473553.6
2021-07-16,68.39,68.97,68.35,68.63,5965490.0,409411578.7
2021-07-19,68.61,69.07,67.665,68.23,6054350.0,413088300.5
2021-07-20,68.32,69.77,68.27,69.16,9332631.0,645444759.9599999
2021-07-21,68.95,69.02,68.01,68.41,5816412.0,397900744.92
2021-07-22,68.01,68.805,67.82,68.65,2901519.0,199189279.35
2021-07-23,68.88,69.34,68.64,69.02,3524311.0,243247945.22
2021-07-26,68.94,69.3039,68.465,68.75,4314356.0,296611975.0
2021-07-27,68.53,69.05,68.29,68.93,5812998.0,400689952.1400001
2021-07-28,68.9,70.15,68.73,70.06,7097186.0,497228851.16
2021-07-29,70.25,70.4,69.77,69.83,7597509.0,530534053.47
2021-07-30,68.7,69.0,68.0,68.29,9619856.0,656939966.24
2021-08-02,68.34,68.6456,67.83,68.35,4243043.0,290011989.04999995
2021-08-03,68.65,69.84,68.21,69.83,5128404.0,358116451.32
2021-08-04,69.49,69.99,69.03,69.24,6846306.0,474038227.43999994
2021-08-05,69.24,69.33,68.51,69.3,5532345.0,383391508.5
2021-08-06,69.14,69.24,68.67,68.78,3857850.0,265342923.0
2021-08-09,68.78,69.27,68.11,68.46,5160142.0,353263321.32
2021-08-10,68.26,69.27,67.95,69.24,5928258.0,410472583.92
2021-08-11,69.37,70.85,69.36,69.84,9529890.0,665567517.6
2021-08-12,70.25,71.0,69.74,70.88,5907932.0,418754220.16
2021-08-13,70.88,71.39,70.76,71.16,4361771.0,310383624.36
2021-08-16,71.27,71.85,71.05,71.71,8874572.0,636395558.1199999
2021-08-17,71.265,73.09,71.01,73.03,9000069.0,657275039.07
2021-08-18,72.62,73.3399,71.9,71.96,8135287.0,585415252.52
2021-08-19,71.61,72.33,71.51,71.67,5209470.0,373362714.9
2021-08-20,71.67,72.89,71.44,72.44,5646464.0,409029852.16
2021-08-23,72.68,73.04,72.46,72.55,5356262.0,388596808.1
2021-08-24,72.63,72.69,71.89,72.25,4177371.0,301815054.75
2021-08-25,71.95,71.96,70.92,71.41,4989215.0,356279843.15
2021-08-26,71.54,72.36,71.14,71.43,6552465.0,468042574.9500001
2021-08-27,71.31,72.45,71.16,71.28,5493114.0,391549165.92
2021-08-30,71.3,72.2,71.15,72.01,4494298.0,323634398.98
2021-08-31,72.19,72.83,71.84,72.78,7564551.0,550548021.78
2021-09-01,72.6812,72.72,71.35,71.87,5944253.0,427213463.11
2021-09-02,72.01,72.38,71.41,72.34,6774539.0,490070151.2600001
2021-09-03,72.16,72.37,71.75,71.96,4174385.0,300388744.59999996
2021-09-07,71.08,71.3,70.33,71.19,6852345.0,487818440.55
2021-09-08,71.19,71.91,71.12,71.88,4510030.0,324180956.4
2021-09-09,71.64,71.68,70.58,70.61,7013695.0,495237003.95
2021-09-10,70.98,71.44,70.25,70.99,5089696.0,361317519.04
2021-09-13,71.24,71.9,70.82,71.15,11199725.0,796860433.7500001
2021-09-14,70.77,71.07,70.11,70.45,5626620.0,396395379.0
2021-09-15,70.58,72.485,70.42,71.76,7856723.0,563798442.48
2021-09-16,71.8,71.86,70.81,71.33,5306926.0,378543031.58
2021-09-17,70.83,71.76,70.44,71.61,10888341.0,779714099.01
2021-09-20,70.93,71.92,70.33,70.96,9594935.0,680856587.5999999
2021-09-21,71.28,72.06,71.11,71.73,5896216.0,422935573.68
2021-09-22,72.07,72.18,71.085,71.38,6556960.0,468035804.7999999
2021-09-23,71.48,72.11,71.3,71.69,5263484.0,377339167.96
2021-09-24,71.63,71.87,71.18,71.19,5023626.0,357631934.94
2021-09-27,71.11,71.29,70.29,70.41,5560476.0,391513115.16
2021-09-28,70.0,70.8,69.67,69.97,6318810.0,442127135.7
2021-09-29,70.16,71.4,69.95,70.94,5316814.0,377174785.16
2021-09-30,71.21,71.568,69.8,69.85,6175655.0,431369501.74999994
2021-10-01,68.6035,69.41,67.635,68.56,9343666.0,640601740.96
2021-10-04,68.2,69.025,67.3,67.56,7560253.0,510770692.68
2021-10-05,67.45,68.1298,67.24,67.4,7236740.0,487756276.00000006
2021-10-06,67.385,67.71,66.88,67.48,6398575.0,431775841.0
2021-10-07,67.5,68.32,67.15,68.14,5349385.0,364507093.9
2021-10-08,68.05,68.41,67.82,68.05,4342458.0,295504266.9
2021-10-11,68.23,68.447,67.85,68.08,3315630.0,225728090.4
2021-10-12,68.19,68.34,67.29,67.37,8855983.0,596627574.71
2021-10-13,67.58,67.96,67.2,67.63,4760990.0,321985753.7
2021-10-14,68.21,68.73,68.0,68.15,7165942.0,488358947.3
2021-10-15,68.3,68.6,67.6,67.63,4327067.0,292639541.21
2021-10-18,67.5,67.585,65.78,65.9,7576379.0,499283376.1
2021-10-19,66.0,66.99,65.86,66.9,5889663.0,394018454.7000001
2021-10-20,66.91,67.31,66.8,66.86,4878516.0,326177579.76
2021-10-21,67.09,67.19,66.52,66.99,5013677.0,335866222.22999996
2021-10-22,67.12,67.27,66.51,67.24,4501244.0,302663646.56
2021-10-25,67.24,67.97,66.75,67.67,6051874.0,409530313.58
2021-10-26,67.97,68.39,67.7,67.73,4948741.0,335178227.93
2021-10-27,67.96,67.97,66.6,66.77,4887672.0,326349859.44
2021-10-28,66.7,67.66,66.67,67.34,5884835.0,396284788.9
