timestamps,open,high,low,close,volume,amount
2021-05-28,177.46,178.43,177.2411,178.38,10019082.0,1787203847.1599998
2021-06-01,178.76,178.85,177.19,177.9,9250810.0,1645719099.0
2021-06-02,178.34,178.78,177.97,178.77,6662355.0,1191029203.35
2021-06-03,175.83,175.83,174.66,175.27,10240422.0,1794838763.94
2021-06-04,176.65,177.57,176.61,177.16,8201213.0,1452926895.08
2021-06-07,176.96,177.9,176.63,177.87,7407724.0,1317611867.88
2021-06-08,177.23,177.54,176.37,177.32,5949525.0,1054969773.0
2021-06-09,177.38,177.8,176.78,176.98,6381237.0,1129351324.26
2021-06-10,176.7,177.85,176.48,177.74,9939599.0,1766664326.26
2021-06-11,176.33,176.57,175.48,175.74,7863793.0,1381982981.8200002
2021-06-14,173.16,175.06,172.95,174.71,7818706.0,1366006125.26
2021-06-15,174.78,174.915,173.34,174.05,7617517.0,1325828833.85
2021-06-16,173.91,174.465,171.03,171.11,16962690.0,2902485885.9
2021-06-17,167.02,167.615,165.44,165.85,27090067.0,4492887611.95
2021-06-18,166.14,166.72,164.87,164.93,15426566.0,2544303530.38
2021-06-21,166.52,167.2218,166.0,166.95,8435584.0,1408320748.8
2021-06-22,166.35,166.915,166.01,166.25,7274195.0,1209334918.75
2021-06-23,166.97,168.03,165.97,166.14,8512348.0,1414241496.7199998
2021-06-24,167.0,167.23,166.01,166.04,6956400.0,1155040656.0
2021-06-25,167.45,167.525,166.29,166.59,7524418.0,1253492794.62
2021-06-28,166.68,166.91,166.3575,166.58,6549215.0,1090968234.7
2021-06-29,164.34,165.2782,164.01,164.83,7514799.0,1238664319.17
2021-06-30,164.57,166.1,164.29,165.63,7897028.0,1307984747.64
2021-07-01,166.65,166.88,165.5,166.2,7490655.0,1244946861.0
2021-07-02,167.35,167.715,166.4,167.29,7914588.0,1324031426.52
2021-07-06,169.27,169.65,167.54,168.12,7956614.0,1337665945.68
2021-07-07,168.72,169.23,168.19,168.76,7139585.0,1204876364.6
2021-07-08,169.82,169.855,167.91,168.65,7288627.0,1229226943.55
2021-07-09,168.84,169.62,168.66,169.21,5008677.0,847518235.1700001
2021-07-12,168.7,169.16,167.64,169.0,7348560.0,1241906640.0
2021-07-13,169.51,169.9,168.93,169.22,7063287.0,1195249426.14
2021-07-14,170.91,171.04,170.28,171.04,8949049.0,1530645340.96
2021-07-15,170.89,171.3,170.34,171.07,6568289.0,1123637199.23
