timestamps,open,high,low,close,volume,amount
2021-05-28,43.65,43.835,43.3539,43.63,3779833.0,164914113.79000002
2021-06-01,43.84,44.12,43.055,43.12,4773427.0,205830172.24
2021-06-02,43.03,43.235,42.72,42.88,6343683.0,272017127.04
2021-06-03,42.6,43.365,42.26,43.18,4697766.0,202849535.88
2021-06-04,43.46,43.555,43.15,43.41,3317320.0,144004861.2
2021-06-07,43.7,43.7,42.385,42.6,7101153.0,302509117.8
2021-06-08,42.86,43.335,42.73,43.01,5307438.0,228272908.38
2021-06-09,43.16,43.2,42.71,42.76,4925649.0,210620751.24
2021-06-10,43.03,43.48,43.01,43.04,3415638.0,147009059.52
2021-06-11,43.05,43.285,42.96,43.16,3519210.0,151889103.6
2021-06-14,42.8,42.92,41.15,41.46,10626377.0,440569590.42
2021-06-15,41.54,41.66,40.88,41.02,5397805.0,221417961.1
2021-06-16,40.95,41.02,40.205,40.35,6179969.0,249361749.15
2021-06-17,40.2,40.26,39.03,39.32,5142405.0,202199364.6
2021-06-18,38.93,39.29,38.52,38.7,9149492.0,354085340.40000004
2021-06-21,38.87,39.61,38.87,39.39,4159966.0,163861060.74
2021-06-22,39.58,40.47,39.445,40.15,7850548.0,315199502.2
2021-06-23,40.23,40.975,40.02,40.86,7329639.0,299489049.54
2021-06-24,41.13,41.23,40.57,41.0,3907856.0,160222096.0
2021-06-25,41.2,41.37,40.81,40.9,9558905.0,390959214.5
2021-06-28,41.16,41.22,40.725,40.99,2746964.0,112598054.36
2021-06-29,41.01,41.33,40.8001,40.85,3301001.0,134845890.85
2021-06-30,40.83,41.01,40.65,40.9,3435925.0,140529332.5
2021-07-01,41.0,41.09,40.7433,41.08,3091441.0,126996396.28
2021-07-02,41.19,41.315,40.975,41.2,1997426.0,82293951.2
2021-07-06,41.0,41.12,40.015,40.42,3723866.0,150518663.72
2021-07-07,40.44,40.825,40.32,40.65,2961665.0,120391682.25
2021-07-08,39.85,40.44,39.62,40.1,2832497.0,113583129.7
2021-07-09,40.59,41.11,40.485,41.03,2916819.0,119677083.57
2021-07-12,41.09,41.35,40.815,40.92,2945561.0,120532356.12
2021-07-13,40.63,40.73,40.16,40.57,3313757.0,134439121.49
2021-07-14,40.88,41.25,40.51,40.76,2734904.0,111474687.04
2021-07-15,40.36,40.82,40.34,40.57,2371122.0,96196419.54
2021-07-16,40.85,40.85,39.795,39.82,3130808.0,124668774.56
2021-07-19,39.01,39.43,38.765,39.33,4281045.0,168373499.85
2021-07-20,39.57,40.34,39.45,40.11,4370268.0,175291449.48
2021-07-21,40.35,40.89,40.25,40.86,3657208.0,149433518.88
2021-07-22,40.91,40.93,40.33,40.43,2363467.0,95554970.81
2021-07-23,40.83,41.31,40.645,41.22,3869054.0,159482405.88
2021-07-26,41.18,41.54,41.01,41.06,5037552.0,206841885.12
2021-07-27,40.19,40.89,39.22,40.52,7300882.0,295831738.64000005
2021-07-28,40.64,41.1,40.51,40.84,3688002.0,150618001.68
2021-07-29,41.25,42.04,41.16,41.82,3680787.0,153930512.34
2021-07-30,41.63,42.0776,41.56,41.86,3237366.0,135516140.76
2021-08-02,42.11,42.555,41.07,41.1,4090220.0,168108042.0
2021-08-03,41.25,41.88,40.79,41.7,3047335.0,127073869.5
2021-08-04,41.51,41.7766,41.33,41.59,3160737.0,131455051.83
2021-08-05,41.47,41.59,40.805,40.89,4570699.0,186895882.11
2021-08-06,41.02,41.2,40.745,40.92,3584789.0,146689565.88
2021-08-09,40.96,40.98,40.5141,40.75,2131681.0,86866000.75
2021-08-10,40.9,40.96,40.56,40.92,3654127.0,149526876.84
2021-08-11,41.0,41.025,40.57,40.94,2547408.0,104290883.52
2021-08-12,40.89,40.98,40.16,40.36,2435512.0,98297264.32
2021-08-13,40.32,40.42,40.12,40.31,2063780.0,83190971.80000001
2021-08-16,40.17,40.41,39.98,40.39,1861359.0,75180290.01
2021-08-17,40.0,40.53,39.865,40.37,5330526.0,215193334.61999995
2021-08-18,40.24,41.06,40.1,40.59,5548326.0,225206552.34000003
2021-08-19,40.13,41.01,40.07,40.89,4419823.0,180726562.47
2021-08-20,40.6,41.17,40.105,40.17,7405132.0,297464152.44
2021-08-23,40.35,40.63,39.83,40.41,5419800.0,219014117.99999997
2021-08-24,40.63,40.75,40.35,40.49,4560892.0,184670517.08
2021-08-25,40.41,40.92,40.38,40.82,3380252.0,137981886.64000002
2021-08-26,40.99,41.14,40.17,40.19,3841848.0,154403871.12
2021-08-27,40.19,40.91,40.19,40.75,2333621.0,95095055.75
2021-08-30,40.74,40.74,40.04,40.06,2628598.0,105301635.88
2021-08-31,40.14,40.375,39.8111,39.99,7084593.0,283312874.07
2021-09-01,39.98,40.0,39.06,39.16,6171048.0,241658239.68
2021-09-02,39.36,39.64,38.995,39.6,4365538.0,172875304.8
2021-09-03,39.64,39.87,39.49,39.49,2787474.0,110077348.26
2021-09-07,39.22,39.66,39.0,39.55,5346436.0,211451543.8
2021-09-08,39.45,39.51,38.75,38.98,5679170.0,221374046.6
2021-09-09,38.88,39.2,38.53,38.61,4182693.0,161493776.73
2021-09-10,38.76,39.02,38.4705,38.83,4059006.0,157611202.98
2021-09-13,39.17,39.46,38.67,38.95,3805147.0,148210475.65
2021-09-14,39.13,39.13,38.115,38.26,3912761.0,149702235.85999998
2021-09-15,38.32,38.82,37.97,38.64,3827192.0,147882698.88
2021-09-16,38.54,38.995,38.51,38.84,4353002.0,169070597.68
2021-09-17,38.58,38.695,38.245,38.39,8692198.0,333693481.22
2021-09-20,37.78,38.04,37.37,37.99,4303289.0,163481949.11
2021-09-21,38.12,38.21,37.28,37.31,3985450.0,148697139.5
