timestamps,open,high,low,close,volume,amount
2021-05-28,118.721,118.8035,117.6425,117.8425,21490800.0,2532529599.0
2021-06-01,118.722,119.2855,117.714,119.059,23254020.0,2768600367.18
2021-06-02,119.4575,119.682,117.6178,118.5295,21006020.0,2489833047.59
2021-06-03,117.2865,117.8508,116.476,117.379,18695920.0,2194508393.6800003
2021-06-04,118.4635,119.9515,118.1205,119.6785,24458200.0,2927120688.7
2021-06-07,119.4718,120.2255,119.05,120.115,24119320.0,2897092121.7999997
2021-06-08,120.6005,120.976,119.739,119.922,24239840.0,2906890092.48
2021-06-09,120.5715,120.644,119.845,120.397,17941040.0,2160047392.88
2021-06-10,120.346,121.8,120.189,121.7565,25907500.0,3154406523.75
2021-06-11,122.0,122.086,120.948,121.51,21958140.0,2668133591.4
2021-06-14,121.613,122.446,120.9,122.4455,22097560.0,2705746782.98
2021-06-15,122.45,122.7755,121.056,121.4195,21562140.0,2618064257.73
2021-06-16,121.572,121.886,119.47,120.7725,26471860.0,3197072711.85
2021-06-17,120.6975,122.5225,120.5,121.7435,25848880.0,3146933122.2799997
2021-06-18,121.367,121.603,120.015,120.111,46115200.0,5538942787.2
2021-06-21,120.5005,122.0,119.8985,121.8125,27413660.0,3339326458.75
2021-06-22,121.75,122.4,121.064,122.3305,22390200.0,2739004361.1
2021-06-23,122.0935,123.0955,121.8345,122.127,19154160.0,2339240098.3199997
2021-06-24,122.7,123.0555,122.3,122.5,21365140.0,2617229650.0
2021-06-25,122.0,122.633,121.5653,122.5085,34196380.0,4189347219.23
2021-06-28,122.6785,122.7848,121.4055,122.536,28525420.0,3495390865.12
2021-06-29,122.6704,123.0208,121.6908,122.2725,23108720.0,2825560966.2
2021-06-30,121.9945,122.257,121.3545,122.0895,24473980.0,2988015981.21
2021-07-01,121.725,122.587,121.5315,122.4445,18112820.0,2217815188.49
2021-07-02,123.15,125.404,123.0595,125.2575,26002180.0,3256968061.35
2021-07-06,125.6485,126.428,124.5825,126.19,26403580.0,3331867760.2
2021-07-07,127.162,127.284,126.153,126.474,24059020.0,3042840495.48
2021-07-08,124.026,125.5955,124.022,125.044,23789340.0,2974714230.96
2021-07-09,125.025,125.7345,124.5513,125.5185,18631680.0,2338620526.08
2021-07-12,126.178,127.0694,125.6108,126.9755,17667780.0,2243375199.39
2021-07-13,127.0385,128.0575,126.6745,127.3415,19246940.0,2450934210.01
2021-07-14,127.958,129.3263,127.9145,128.237,23745660.0,3045072201.42
2021-07-15,128.649,128.7,126.53,127.005,24218800.0,3075908694.0
2021-07-16,127.663,127.8115,126.1535,126.97,20424540.0,2593303843.8
2021-07-19,126.0895,126.205,123.505,124.578,27967580.0,3484145181.24
2021-07-20,125.5275,127.0432,124.3505,126.2095,25516440.0,3220417134.1800003
2021-07-21,126.1335,127.596,126.0235,127.549,20746180.0,2646154512.82
2021-07-22,127.844,128.483,127.4988,128.4215,14301880.0,1836668882.42
2021-07-23,130.4305,133.399,129.8005,133.015,41506420.0,5520976456.299999
2021-07-26,133.3283,134.237,132.3015,134.035,30560680.0,4096200743.8
2021-07-27,134.2505,134.399,130.104,131.9,54682880.0,7212671872.0
2021-07-28,136.312,138.297,135.2775,136.094,94480600.0,12858242776.4
2021-07-29,136.15,136.661,135.543,135.7775,31715720.0,4306281172.3
2021-07-30,135.035,135.3045,134.255,134.7265,25575780.0,3445735324.1699996
2021-08-02,135.117,135.3365,133.7941,134.8545,21634200.0,2917469223.9
2021-08-03,135.135,135.732,133.3195,135.63,20761880.0,2815933784.4
2021-08-04,135.3495,135.6495,134.487,135.1255,19676020.0,2658732040.51
2021-08-05,135.6805,136.35,134.846,136.2515,17869000.0,2434678053.5
2021-08-06,136.042,136.4725,135.21,135.7385,20488120.0,2781026676.62
2021-08-09,135.9425,137.184,135.3393,136.913,17766000.0,2432396358.0
2021-08-10,137.342,137.7723,136.3645,136.807,19414080.0,2655982042.56
2021-08-11,137.1815,137.6823,136.2715,136.279,15352000.0,2092155208.0
2021-08-12,135.9755,137.3,135.4255,137.194,16518860.0,2266288478.8399997
2021-08-13,137.25,137.8565,137.033,137.7275,15947440.0,2196401042.6
2021-08-16,137.5249,138.3625,135.2988,138.3095,22398360.0,3097905972.420001
2021-08-17,137.75,138.2655,136.082,136.6615,21715200.0,2967631804.7999997
2021-08-18,136.5,137.1043,135.3215,135.449,19258940.0,2608604164.0600004
2021-08-19,134.4355,136.3525,134.25,135.68,21782540.0,2955455027.2000003
2021-08-20,136.0,137.554,135.25,137.4295,31193160.0,4286860382.22
2021-08-23,137.9695,140.8745,137.6075,140.0415,28303400.0,3963650591.1
2021-08-24,140.6115,142.08,140.3385,141.2615,19177220.0,2709002863.03
2021-08-25,141.625,142.1895,141.376,142.079,15751480.0,2237954526.92
2021-08-26,141.75,142.4175,141.357,141.4405,20609320.0,2914992525.4599996
2021-08-27,141.6525,144.5125,141.497,144.004,28780200.0,4144463920.8
2021-08-30,144.4,145.9705,144.163,144.5905,24434200.0,3532953195.1
2021-08-31,145.147,145.1713,144.281,144.6975,22448760.0,3248279450.1
2021-09-01,145.0,146.2538,144.8835,145.2155,21936100.0,3185461729.5499997
2021-09-02,145.216,145.5193,143.1848,143.287,32358140.0,4636500806.18
2021-09-03,143.0805,144.155,142.4005,143.7395,19854360.0,2853855779.22
2021-09-07,143.8345,144.565,143.619,144.2805,20324340.0,2932405937.37
2021-09-08,144.1,144.4,143.0,143.691,18350220.0,2636761462.02
2021-09-09,143.8405,144.3105,143.1775,143.541,15317100.0,2198631851.1
2021-09-10,144.2125,144.7185,140.7378,140.876,36839340.0,5189778861.84
2021-09-13,141.9495,142.95,141.25,142.3325,22410920.0,3189802270.9
2021-09-14,142.9953,143.363,141.75,142.5445,20693280.0,2949713250.96
2021-09-15,142.7715,144.4505,141.3475,144.4295,27884760.0,4027381944.42
2021-09-16,143.9505,144.3,142.4015,143.61,26195420.0,3761924266.2
2021-09-17,143.0305,143.45,140.4698,140.8,53114460.0,7478515968.000001
2021-09-20,138.1615,139.0,136.3218,138.7195,46518040.0,6452959249.780001
2021-09-21,139.7495,140.0115,138.278,139.033,25331900.0,3521970052.7
2021-09-22,139.304,140.887,138.5515,140.2835,25054360.0,3514713311.06
2021-09-23,140.9875,141.6965,140.4015,141.216,20951000.0,2958616416.0
2021-09-24,140.5385,142.3303,140.241,142.215,22877740.0,3253557794.1
2021-09-27,140.8043,141.9385,140.0675,141.072,21881960.0,3086931861.12
2021-09-28,138.655,139.0965,135.36,135.83,45772200.0,6217237926.000001
2021-09-29,136.98,137.151,133.865,134.3535,30848700.0,4144630815.45
2021-09-30,134.2615,135.5425,133.556,133.676,38688620.0,5171739967.12
2021-10-01,134.4475,136.9105,134.073,136.543,35360180.0,4828185057.74
2021-10-04,135.9605,135.9605,131.05,133.6595,51201940.0,6843625699.43
2021-10-05,134.041,137.2245,134.041,136.023,32403260.0,4407588634.98
2021-10-06,134.75,137.75,134.55,137.565,24344280.0,3348920878.2
2021-10-07,138.892,140.042,138.6512,139.225,25110140.0,3495959241.5
2021-10-08,139.577,140.331,139.2175,139.7855,26908240.0,3761381782.520001
2021-10-11,139.292,140.712,138.859,138.914,17953620.0,2494009168.68
2021-10-12,139.48,139.507,135.76,136.449,36332240.0,4957497815.76
2021-10-13,137.4025,138.0,136.5188,137.582,19662320.0,2705181310.24
2021-10-14,139.4738,141.3373,138.825,141.151,31927940.0,4506660658.940001
2021-10-15,141.6145,141.718,140.755,141.368,26274440.0,3714365033.92
2021-10-18,141.0765,142.796,141.0695,142.778,19396160.0,2769344932.48
2021-10-19,143.3875,143.6625,142.6,143.237,20163000.0,2888087631.0
2021-10-20,143.338,143.5461,141.3765,141.769,23288060.0,3301524978.1400003
2021-10-21,141.769,142.156,140.5,141.886,26292260.0,3730503602.36
2021-10-22,139.15,140.5828,136.056,137.5665,50562120.0,6955653880.98
2021-10-25,137.55,138.0,135.424,137.447,34325860.0,4717986479.42
2021-10-26,139.2635,140.0829,138.3045,139.3085,49235020.0,6858856783.67
2021-10-27,139.405,148.65,139.405,146.2175,85781400.0,12542741854.5
2021-10-28,147.1345,147.158,144.6267,145.849,36206380.0,5280664316.62
2021-10-29,145.078,148.242,144.6495,148.046,43320300.0,6413397133.799999
2021-11-01,148.046,148.046,143.2255,143.497,46923240.0,6733344170.280001
2021-11-02,144.5795,146.609,144.3355,145.4325,33482240.0,4869405868.8
2021-11-03,145.9005,146.669,144.591,146.598,26493240.0,3883855997.520001
