timestamps,open,high,low,close,volume,amount
2021-05-28,372.0,373.07,368.26,372.02,2201532.0,819013934.64
2021-06-01,377.7,383.36,376.31,382.44,3692704.0,1412237717.76
2021-06-02,383.33,384.665,379.37,383.44,2849655.0,1092671713.2
2021-06-03,382.25,391.25,380.1349,388.72,3020836.0,1174259369.92
2021-06-04,389.68,392.05,386.32,391.45,2546186.0,996704509.7
2021-06-07,393.0,393.2603,387.55,388.16,2217710.0,860826313.6
2021-06-08,385.79,386.4799,382.22,384.7,2474768.0,952043249.6
2021-06-09,383.16,384.27,378.88,382.78,2060023.0,788535603.9399999
2021-06-10,389.64,389.64,372.345,373.94,3936046.0,1471845041.24
2021-06-11,375.7,378.75,375.11,378.05,2155736.0,814975994.8000001
2021-06-14,377.43,378.75,370.7,372.92,2581903.0,962843266.76
2021-06-15,373.5,374.84,367.16,371.3,2334095.0,866649473.5
2021-06-16,370.99,374.0788,365.25,371.0,3301504.0,1224857984.0
2021-06-17,373.52,373.52,356.55,361.5,4185929.0,1513213333.5
2021-06-18,356.52,358.38,348.125,348.83,6845048.0,2387758093.8399997
2021-06-21,352.89,357.97,351.04,357.54,2778594.0,993458498.76
2021-06-22,357.0,359.88,352.64,357.53,1911381.0,683376048.93
2021-06-23,358.79,362.48,357.66,361.05,1745242.0,630119624.1
2021-06-24,363.0,370.88,362.78,368.75,2715898.0,1001487387.5
2021-06-25,368.82,371.1499,364.54,368.77,2822275.0,1040770351.75
2021-06-28,367.8,368.87,363.86,368.71,1854688.0,683842012.48
2021-06-29,374.86,378.09,370.7495,372.62,2423805.0,903158219.1
2021-06-30,370.9,380.11,370.9,379.53,2266149.0,860071529.9699999
2021-07-01,380.7,381.64,374.145,374.99,2602048.0,975741979.52
2021-07-02,376.31,376.6,372.42,374.16,1619903.0,606102906.48
2021-07-06,373.23,373.6313,365.405,369.86,2195782.0,812131930.52
2021-07-07,367.5,370.09,362.18,367.67,2041235.0,750500872.45
2021-07-08,359.69,362.89,355.5915,358.94,2985678.0,1071679261.32
2021-07-09,366.0,372.15,364.95,371.76,2677499.0,995387028.24
2021-07-12,370.31,384.0,367.33,380.5,4192667.0,1595309793.5
2021-07-13,381.06,385.33,372.01,375.98,6521946.0,2452121257.08
2021-07-14,378.75,381.77,371.39,374.4,3339161.0,1250181878.4
2021-07-15,371.24,378.75,370.57,373.35,2227145.0,831504585.75
2021-07-16,374.93,374.93,363.83,364.8,2634163.0,960942662.4
2021-07-19,354.0,355.19,349.0,354.72,4447775.0,1577714748.0000002
2021-07-20,352.27,367.31,351.54,364.76,2977866.0,1086206402.16
2021-07-21,368.04,374.9,367.93,373.5,2426193.0,906183085.5
2021-07-22,372.3,373.6938,368.45,372.71,1905105.0,710051684.55
2021-07-23,374.59,378.0,371.38,374.05,1733288.0,648336376.4
2021-07-26,373.18,376.6773,373.11,375.9,1586231.0,596264232.9
2021-07-27,372.5,375.14,369.22,374.84,1820767.0,682496302.28
2021-07-28,375.81,377.44,372.34,374.23,1690097.0,632485000.3100001
2021-07-29,377.03,379.51,374.81,377.55,1296615.0,489536993.25
2021-07-30,376.57,379.95,373.06,374.88,1474985.0,552942376.8
2021-08-02,376.17,386.93,375.75,378.19,2383212.0,901306946.28
2021-08-03,380.25,381.31,371.77,380.36,1493646.0,568123192.5600001
2021-08-04,378.48,382.6533,375.76,377.86,1460508.0,551867552.88
2021-08-05,380.15,384.31,379.95,384.3,1583780.0,608646654.0
2021-08-06,388.88,398.8599,388.64,397.89,3655764.0,1454591937.96
2021-08-09,396.59,404.6,393.58,399.88,3319120.0,1327249705.6
2021-08-10,400.12,410.63,399.5,407.97,3152266.0,1286029960.02
2021-08-11,408.8,414.68,407.06,413.89,3000518.0,1241884395.02
2021-08-12,414.38,418.62,410.56,415.0,2318873.0,962332295.0
2021-08-13,416.0,416.89,408.18,410.78,1980037.0,813359598.8599999
2021-08-16,408.99,408.99,402.15,408.35,1591335.0,649821647.25
2021-08-17,403.84,408.35,400.2,404.97,2077398.0,841283868.0600001
2021-08-18,402.6,406.11,398.59,398.8,2187776.0,872485068.8000001
2021-08-19,394.6,397.7337,390.91,393.57,2241689.0,882261539.73
2021-08-20,391.49,396.45,391.0,395.87,1612127.0,638192715.49
2021-08-23,401.89,404.1,399.0,401.45,1857603.0,745734724.35
2021-08-24,403.59,409.66,402.7,408.56,1958368.0,800110830.08
2021-08-25,409.9,416.68,408.94,413.12,1845260.0,762313811.2
2021-08-26,415.88,420.7297,411.1617,412.41,2076546.0,856388335.86
2021-08-27,412.78,419.85,412.5,419.69,2174684.0,912693127.96
2021-08-30,419.95,420.7599,412.715,413.6,2089407.0,864178735.2
2021-08-31,412.11,414.86,408.76,413.51,1958083.0,809686901.3299999
2021-09-01,413.16,416.11,410.31,413.66,1680365.0,695099785.9000001
2021-09-02,415.11,417.5786,412.64,414.5,1832271.0,759476329.5
2021-09-03,414.0,415.1199,410.6,411.31,1374128.0,565192587.68
2021-09-07,411.0,414.73,409.64,410.32,1591712.0,653111267.84
2021-09-08,409.22,410.98,404.7,405.0,1646164.0,666696420.0
2021-09-09,404.67,408.8799,403.51,404.58,2424949.0,981085866.42
2021-09-10,408.0,409.79,403.16,403.48,1955994.0,789204459.12
2021-09-13,407.41,409.37,403.8,409.26,1825147.0,746959661.22
2021-09-14,410.3,417.01,402.78,403.69,3306250.0,1334700062.5
2021-09-15,398.0,403.61,396.21,401.95,3257166.0,1309217873.7
2021-09-16,404.52,405.98,394.89,396.68,2882948.0,1143607812.64
2021-09-17,396.32,399.16,388.83,391.46,3835123.0,1501297249.58
2021-09-20,377.82,380.86,372.5,378.13,3834484.0,1449933434.92
2021-09-21,380.85,381.5,374.08,375.84,2377286.0,893479170.2399999
2021-09-22,380.8,389.29,379.71,385.47,2991275.0,1153046774.25
2021-09-23,390.39,393.74,388.18,391.86,2517987.0,986698385.82
2021-09-24,390.47,392.49,388.6,390.85,1789664.0,699490174.4000001
2021-09-27,396.58,401.0,395.18,399.81,2788509.0,1114873783.29
2021-09-28,400.45,404.21,388.39,389.5,2608961.0,1016190309.5
2021-09-29,390.68,392.39,384.3,384.89,1955033.0,752472651.37
2021-09-30,388.0,388.02,376.62,378.03,2689949.0,1016881420.47
2021-10-01,379.44,382.72,375.845,380.0,2382303.0,905275140.0
2021-10-04,380.21,386.87,372.82,374.15,2895551.0,1083370406.65
2021-10-05,378.1,388.22,375.5,385.81,2508430.0,967777378.3
2021-10-06,382.38,389.55,378.66,388.05,2111769.0,819471960.45
2021-10-07,392.91,397.85,389.76,390.62,2348003.0,917176931.86
