timestamps,open,high,low,close,volume,amount
2021-05-28,214.4,215.68,212.43,214.79,1071802.0,230212351.58
2021-06-01,216.86,217.06,214.23,215.87,1241745.0,268055493.15
2021-06-02,217.25,217.36,209.3,210.63,1374843.0,289583181.09
2021-06-03,209.15,213.94,207.92,213.26,1577031.0,336317631.06
2021-06-04,214.63,216.1031,212.95,213.77,981509.0,209817178.93
2021-06-07,214.16,215.22,211.525,211.87,1059667.0,224511647.29
2021-06-08,211.84,212.23,208.811,209.84,1328483.0,278768872.72
2021-06-09,210.57,210.99,208.21,208.31,1107612.0,230726655.72
2021-06-10,209.5,212.41,208.81,210.1,1107533.0,232692683.3
2021-06-11,210.42,211.95,209.605,211.69,709338.0,150159761.22
2021-06-14,210.77,211.2,205.95,207.86,1489505.0,309608509.3
2021-06-15,207.7,211.1454,206.85,209.56,869130.0,182134882.8
2021-06-16,208.63,210.295,206.53,206.76,1359962.0,281185743.12
2021-06-17,207.48,209.14,204.13,207.21,1250056.0,259024103.76
2021-06-18,202.87,204.15,200.42,201.36,2732073.0,550130219.2800001
2021-06-21,202.9,208.435,201.9001,208.09,975835.0,203061505.15
2021-06-22,207.47,211.01,207.15,209.84,1138734.0,238951942.56
2021-06-23,209.65,209.94,206.02,206.15,1063020.0,219141573.0
2021-06-24,208.28,208.28,204.07,204.43,1296476.0,265038588.68
2021-06-25,204.84,208.46,203.75,207.62,3082584.0,640006090.08
2021-06-28,207.32,207.68,205.51,206.92,1105461.0,228741990.11999995
2021-06-29,208.55,209.815,205.41,205.88,925637.0,190570145.56
2021-06-30,205.49,206.96,204.44,206.74,1452500.0,300289850.0
2021-07-01,207.42,212.5,207.155,211.83,1464738.0,310275450.54
2021-07-02,211.47,215.19,210.43,214.85,842075.0,180919813.75
2021-07-06,214.05,214.91,211.45,214.84,981949.0,210961923.16
2021-07-07,214.57,217.42,214.28,216.93,984776.0,213627457.68
2021-07-08,213.62,215.31,211.63,214.05,988614.0,211612826.7
2021-07-09,216.33,219.96,215.22,218.79,925810.0,202557969.9
2021-07-12,217.48,221.705,216.65,220.34,1114653.0,245602642.02
2021-07-13,220.0,220.92,218.12,219.23,886273.0,194297629.79
2021-07-14,220.0,220.82,217.9847,218.75,1236608.0,270508000.0
2021-07-15,217.02,220.96,217.02,220.29,1132287.0,249431503.23
2021-07-16,220.98,221.63,218.99,219.2,1065455.0,233547736.0
2021-07-19,216.05,219.23,214.61,217.63,1604480.0,349182982.4
2021-07-20,239.1,252.0,237.68,248.9,4886962.0,1216364841.8
2021-07-21,250.99,254.45,248.31,249.25,2467852.0,615112111.0
2021-07-22,249.41,250.0,245.7306,246.79,1740969.0,429653739.51
2021-07-23,248.71,250.34,246.35,248.46,1499849.0,372652482.54
2021-07-26,247.55,248.42,240.815,245.76,1727677.0,424593899.52
2021-07-27,245.66,250.78,244.01,247.69,1572258.0,389432584.02
2021-07-28,247.415,247.5667,242.71,245.93,1120091.0,275463979.63
2021-07-29,247.17,249.48,246.86,247.9,1092682.0,270875867.8
2021-07-30,247.04,249.79,246.4669,248.2,1283684.0,318610368.8
2021-08-02,248.85,251.81,248.41,251.0,1171880.0,294141880.0
2021-08-03,251.94,254.2,247.42,253.51,1276511.0,323608303.61
2021-08-04,252.2,255.13,248.02,248.26,1528203.0,379391676.78
2021-08-05,249.24,250.5,244.305,249.06,1147716.0,285850146.96
2021-08-06,249.98,252.51,249.67,250.12,1047492.0,261998699.04
2021-08-09,249.0,249.99,247.52,248.64,698318.0,173629787.51999998
2021-08-10,246.0,248.46,239.72,240.66,1980471.0,476620150.86
2021-08-11,240.81,241.71,236.42,241.16,1250409.0,301548634.44
2021-08-12,237.0,244.44,236.11,242.54,1121386.0,271980960.44
2021-08-13,242.52,244.02,242.05,242.98,830445.0,201781526.1
2021-08-16,242.6,246.5899,242.2,246.31,897655.0,221101403.05
2021-08-17,244.53,247.58,243.72,245.03,1087589.0,266491932.67
2021-08-18,243.36,246.67,242.2,242.47,1224550.0,296916638.5
2021-08-19,241.05,247.27,239.84,246.5,1062316.0,261860894.0
2021-08-20,246.6,250.66,246.6,249.34,1006878.0,251054960.52
2021-08-23,250.24,251.79,249.44,249.65,1005701.0,251073254.65
2021-08-24,249.58,251.65,249.37,249.48,817312.0,203902997.76
2021-08-25,250.16,255.28,249.24,252.09,1112162.0,280364918.58
2021-08-26,251.59,253.17,250.04,251.04,917171.0,230246607.84
2021-08-27,252.5,253.41,250.55,251.85,905844.0,228136811.4
2021-08-30,252.55,255.08,251.57,253.49,601685.0,152521130.65
2021-08-31,253.36,257.42,252.07,252.98,1820623.0,460581206.54
2021-09-01,254.22,255.0,251.27,252.66,958115.0,242077335.9
2021-09-02,253.42,254.88,252.98,253.28,804413.0,203741724.64
2021-09-03,252.3,254.0994,251.09,252.95,605665.0,153202961.75
2021-09-07,250.96,253.26,248.4,252.13,1784049.0,449812274.37
2021-09-08,251.38,256.53,249.71,254.43,1416424.0,360380758.32
2021-09-09,254.25,261.8,253.95,258.26,2145874.0,554193419.24
2021-09-10,259.89,260.77,255.68,256.7,1113205.0,285759723.5
2021-09-13,258.96,259.47,255.96,257.69,1138539.0,293390114.91
2021-09-14,258.7,258.97,254.35,254.67,1410520.0,359217128.4
2021-09-15,254.03,257.3995,251.305,256.45,1347518.0,345570991.09999996
2021-09-16,257.48,262.75,256.05,261.64,1750772.0,458071986.08
2021-09-17,261.37,263.92,258.07,258.74,5765329.0,1491721225.46
2021-09-20,254.42,256.975,252.145,255.03,1217675.0,310543655.25
2021-09-21,257.0,260.68,255.83,255.84,1413618.0,361660029.12
2021-09-22,257.82,260.25,256.05,258.25,1213490.0,313383792.5
2021-09-23,259.97,259.97,255.38,255.53,1769427.0,452141681.31
2021-09-24,256.68,259.24,255.89,256.33,1175158.0,301228250.14
2021-09-27,256.77,259.78,255.32,255.55,1481473.0,378590425.15
2021-09-28,253.71,256.19,251.264,251.8,1674569.0,421656474.2000001
2021-09-29,252.88,254.11,251.64,252.21,1818652.0,458682220.92
2021-09-30,253.17,253.72,242.54,242.72,2122781.0,515241404.32
2021-10-01,243.87,249.51,243.01,247.79,1793978.0,444529808.62
2021-10-04,247.8,250.8,243.32,244.38,1312973.0,320864341.74
2021-10-05,244.84,247.55,242.92,243.11,1396127.0,339412434.97
2021-10-06,241.07,242.0,236.03,239.53,1170244.0,280308545.32
2021-10-07,240.35,243.58,240.04,242.28,1512103.0,366352314.84
2021-10-08,242.23,244.15,240.24,240.42,823482.0,197981542.44
2021-10-11,240.02,241.8262,237.17,237.52,908974.0,215899504.48
2021-10-12,238.46,240.4,237.35,239.07,1070624.0,255954079.68
2021-10-13,239.51,241.065,236.99,239.01,1166695.0,278851771.95
2021-10-14,241.22,244.4625,240.49,242.51,1145979.0,277911367.28999996
2021-10-15,244.09,248.55,243.31,246.88,1127142.0,278268816.96
2021-10-18,246.1,247.6591,243.96,246.59,911269.0,224709822.71
2021-10-19,248.15,251.51,248.06,248.68,897972.0,223307676.96
2021-10-20,249.78,253.45,249.78,250.86,1106142.0,277486782.12
2021-10-21,255.28,260.18,249.87,260.0,1878640.0,488446400.0
2021-10-22,246.52,257.88,243.03,253.11,2830546.0,716439498.0600001
2021-10-25,254.22,254.22,240.84,241.81,2136934.0,516732010.54
2021-10-26,240.86,242.18,237.36,241.4,1917363.0,462851428.2
2021-10-27,240.81,246.85,240.81,245.37,1710791.0,419776787.67
2021-10-28,247.2,253.02,246.36,250.67,1357497.0,340283772.99
2021-10-29,250.37,253.0,248.37,250.46,1176529.0,294673453.34000003
2021-11-01,251.33,253.0075,250.09,250.99,1117280.0,280426107.2
2021-11-02,251.96,252.83,248.13,248.44,1085693.0,269729568.92
2021-11-03,247.19,250.0,245.51,250.0,1171798.0,292949500.0
2021-11-04,250.0,252.66,245.08,247.41,1184275.0,293001477.75
2021-11-05,244.98,253.16,244.97,248.27,1824560.0,452983511.2000001
2021-11-08,249.54,249.95,244.92,247.63,1233868.0,305542732.84
2021-11-09,248.11,250.24,245.535,246.14,1006088.0,247638500.32
