timestamps,open,high,low,close,volume,amount
2021-05-28,320.37,321.51,318.85,318.91,3252884.0,1037377236.44
2021-06-01,320.66,321.255,315.17,316.31,3602960.0,1139652277.6
2021-06-02,315.48,316.98,312.41,313.23,3424500.0,1072656135.0
2021-06-03,311.0,312.925,309.69,311.43,2697316.0,840025121.88
2021-06-04,312.11,313.45,309.35,311.01,2664442.0,828668106.42
2021-06-07,311.12,312.33,307.88,309.96,4022772.0,1246898409.12
2021-06-08,311.27,312.29,308.98,310.9,2954508.0,918556537.2
2021-06-09,311.45,312.98,306.9,307.34,3656053.0,1123651329.02
2021-06-10,307.65,309.65,306.14,308.31,3330145.0,1026717004.95
2021-06-11,309.27,311.24,308.35,310.77,2812287.0,873974430.9899999
2021-06-14,308.93,310.06,306.22,309.32,3454473.0,1068537588.36
2021-06-15,308.75,308.95,303.485,306.45,5355424.0,1641169684.8
2021-06-16,306.69,307.35,301.17,302.78,4560851.0,1380934465.78
2021-06-17,303.05,305.2101,300.03,303.12,4573358.0,1386276276.96
2021-06-18,299.25,303.83,298.4,302.61,9611603.0,2908567183.83
2021-06-21,305.25,308.7194,304.87,307.6,3839025.0,1180884090.0
2021-06-22,309.13,314.91,308.295,312.71,4471250.0,1398204587.5
2021-06-23,312.02,313.6599,310.632,311.67,2619654.0,816467562.1800001
2021-06-24,313.12,314.8355,311.67,311.84,2695189.0,840467737.76
2021-06-25,312.24,315.46,311.5501,313.63,11797609.0,3700084110.67
2021-06-28,313.66,315.27,311.3694,314.28,2681107.0,842618307.9599999
2021-06-29,315.788,320.299,315.56,318.24,3191673.0,1015718015.52
2021-06-30,317.94,320.285,317.69,318.89,3115518.0,993507535.02
2021-07-01,319.91,321.69,318.5001,321.54,2613521.0,840351542.34
2021-07-02,322.53,323.12,321.35,322.7,2238796.0,722459469.1999999
2021-07-06,322.83,323.83,316.8,319.26,3165551.0,1010633812.26
2021-07-07,318.49,324.4199,318.25,323.48,2979512.0,963812541.76
2021-07-08,319.07,320.33,314.8,318.54,3733229.0,1189182765.66
2021-07-09,320.54,323.31,320.18,322.09,2627741.0,846369098.6899999
2021-07-12,321.07,324.0,320.53,321.74,2591775.0,833877688.5
2021-07-13,322.44,323.29,316.83,317.05,3253373.0,1031481909.65
2021-07-14,318.75,320.06,318.0101,319.22,3432073.0,1095586343.0600002
2021-07-15,317.38,322.96,317.3635,322.71,2652245.0,855905983.9499999
2021-07-16,324.0,326.28,321.4,321.54,3703847.0,1190934964.38
2021-07-19,317.99,319.0,314.91,318.87,3805474.0,1213451494.38
2021-07-20,318.5,326.13,318.27,325.35,4307766.0,1401531668.1
2021-07-21,327.6,328.47,324.97,326.36,2884159.0,941274131.24
2021-07-22,327.94,327.97,325.33,326.66,2248629.0,734537149.1400001
2021-07-23,329.47,333.45,327.94,332.84,2835796.0,943866340.64
2021-07-26,330.07,331.56,326.88,331.18,2803000.0,928297540.0
2021-07-27,331.79,331.88,326.06,327.26,2957969.0,968024934.94
2021-07-28,326.42,329.33,324.71,325.52,2420680.0,787979753.5999999
2021-07-29,326.49,328.56,325.44,327.43,2161225.0,707649901.75
2021-07-30,326.85,330.11,326.34,328.19,2381388.0,781547727.72
2021-08-02,330.0,330.0,326.42,327.22,2016388.0,659802481.36
2021-08-03,328.35,333.0145,328.03,331.94,2405883.0,798608803.02
2021-08-04,330.69,331.92,329.39,330.31,1783670.0,589164037.7
2021-08-05,331.96,336.0,331.09,333.11,2284098.0,760855884.7800001
2021-08-06,334.69,335.71,329.1231,329.84,2655032.0,875735754.8799999
2021-08-09,329.23,331.07,327.3201,328.76,1995337.0,655986992.12
2021-08-10,328.67,333.24,327.146,331.48,1868142.0,619251710.1600001
