timestamps,open,high,low,close,volume,amount
2021-05-28,13.8,14.88,13.66,14.41,2175927.0,31355108.07
2021-06-01,14.4,14.47,13.11,13.2,1581381.0,20874229.2
2021-06-02,13.4,14.07,12.691,13.69,1488039.0,20371253.91
2021-06-03,13.57,14.22,13.01,13.94,1382350.0,19269959.0
2021-06-04,13.8,14.35,13.7,13.97,803124.0,11219642.28
2021-06-07,14.14,14.88,13.67,14.78,1766310.0,26106061.799999997
2021-06-08,14.6,15.55,14.51,15.35,2057738.0,31586278.3
2021-06-09,15.34,15.3514,13.36,13.45,1537733.0,20682508.85
2021-06-10,13.26,13.26,12.52,12.85,2341266.0,30085268.1
2021-06-11,12.89,12.9,12.1,12.21,1381940.0,16873487.400000002
2021-06-14,12.3,13.05,12.02,12.9,1706150.0,22009335.0
2021-06-15,12.62,12.8,11.75,12.07,1328284.0,16032387.88
2021-06-16,12.15,12.24,11.455,11.77,1815295.0,21366022.15
2021-06-17,11.78,12.22,11.4,11.64,1699652.0,19783949.28
2021-06-18,11.47,11.81,11.09,11.1,1942883.0,21566001.3
2021-06-21,11.2,11.76,10.87,11.2,2167619.0,24277332.799999997
2021-06-22,11.11,11.33,10.785,10.9,2413646.0,26308741.4
2021-06-23,10.9,11.149,10.76,11.12,2415139.0,26856345.68
2021-06-24,11.23,11.27,10.7,10.75,1676273.0,18019934.75
2021-06-25,10.82,10.86,10.44,10.65,1410420.0,15020973.0
2021-06-28,10.74,11.0,10.6001,10.89,1000067.0,10890729.63
2021-06-29,11.0,11.0699,10.685,10.69,966699.0,10334012.31
2021-06-30,10.96,11.0,10.56,10.89,1141937.0,12435693.930000002
2021-07-01,10.95,11.06,10.66,10.97,1026475.0,11260430.75
2021-07-02,11.0,11.03,10.285,10.38,1207332.0,12532106.16
2021-07-06,10.35,10.9,10.13,10.56,1411959.0,14910287.04
2021-07-07,10.61,10.76,10.19,10.73,1447095.0,15527329.35
2021-07-08,10.64,10.68,10.02,10.31,1431141.0,14755063.71
2021-07-09,10.36,10.44,9.92,10.11,1024787.0,10360596.57
2021-07-12,10.32,10.8437,10.27,10.56,1288851.0,13610266.56
2021-07-13,10.5,10.64,9.91,9.97,1075052.0,10718268.44
2021-07-14,10.03,10.03,9.08,9.26,1736544.0,16080397.44
2021-07-15,9.25,9.775,9.11,9.77,1405060.0,13727436.2
2021-07-16,9.76,9.96,9.07,9.13,1380479.0,12603773.27
2021-07-19,9.0,9.83,8.91,9.56,1311813.0,12540932.28
2021-07-20,9.33,9.4,8.6,8.69,6276340.0,54541394.599999994
2021-07-21,8.8,9.05,8.6601,8.84,2098401.0,18549864.84
2021-07-22,8.84,8.85,7.96,8.49,5420164.0,46017192.36
2021-07-23,8.28,8.87,8.19,8.6,2092770.0,17997822.0
2021-07-26,8.48,8.6965,8.12,8.19,1801895.0,14757520.05
2021-07-27,8.21,8.32,7.97,8.2,1732349.0,14205261.8
2021-07-28,8.18,8.43,8.04,8.34,1466854.0,12233562.36
2021-07-29,8.44,8.45,7.81,7.93,3336307.0,26456914.51
2021-07-30,7.9,8.169,7.77,7.91,2448461.0,19367326.51
2021-08-02,8.0,8.41,7.99,8.07,3021468.0,24383246.76
2021-08-03,8.17,8.53,8.02,8.17,3063848.0,25031638.16
2021-08-04,8.09,8.321,7.88,8.11,2589824.0,21003472.639999997
2021-08-05,7.99,8.39,7.65,8.11,3746522.0,30384293.42
2021-08-06,8.23,8.45,8.045,8.15,2349347.0,19147178.05
2021-08-09,8.17,8.25,7.77,8.23,2352165.0,19358317.95
2021-08-10,8.25,8.44,7.77,7.84,2162462.0,16953702.08
2021-08-11,7.89,7.89,7.24,7.57,5109873.0,38681738.61
2021-08-12,8.68,9.08,8.04,8.39,9782088.0,82071718.32000001
2021-08-13,8.64,9.1,8.335,8.37,3960241.0,33147217.17
2021-08-16,8.37,8.37,7.46,7.47,4637414.0,34641482.58
2021-08-17,7.43,7.49,6.75,6.91,5458809.0,37720370.19
2021-08-18,6.91,7.59,6.79,7.37,2537427.0,18700836.99
2021-08-19,7.16,7.29,6.81,6.81,2002441.0,13636623.21
2021-08-20,6.81,7.28,6.71,7.11,1953301.0,13887970.11
2021-08-23,7.15,7.31,7.1,7.28,2735568.0,19914935.04
2021-08-24,7.34,7.76,7.249,7.73,1995709.0,15426830.57
2021-08-25,7.72,7.77,7.38,7.51,1909417.0,14339721.67
2021-08-26,7.45,7.7699,7.41,7.48,1513064.0,11317718.72
