timestamps,open,high,low,close,volume,amount
2021-05-28,218.6616,218.8878,217.0688,217.6343,2683635.045,584051034.4740435
2021-06-01,219.5005,220.2545,218.1998,219.557,2370428.906,520444259.3146419
2021-06-02,220.5655,220.5655,217.2479,217.4741,2361137.729,513486302.59031886
2021-06-03,217.4458,218.3223,215.3346,216.0226,2462892.934,532040535.1243084
2021-06-04,216.5504,217.4835,216.0098,216.8238,1379269.231,299058395.88849777
2021-06-07,216.3148,217.1159,214.4486,215.0707,2156460.219,463791408.8224833
2021-06-08,215.1838,217.5495,214.3638,216.5975,1825538.563,395407088.8993925
2021-06-09,216.607,217.1536,214.5146,214.7125,2093969.441,449601413.60071254
2021-06-10,215.9472,216.8332,213.148,213.2422,2359191.855,503079261.382281
2021-06-11,214.656,215.2026,211.0839,212.2337,2120838.205,450113339.34850854
2021-06-14,211.9887,212.017,209.9246,210.3393,2743811.782,577131449.5576327
2021-06-15,210.1979,210.9896,208.9255,209.7078,2189091.274,459069515.0697372
2021-06-16,209.7078,210.0848,206.032,206.3996,3238533.801,668432081.1128795
2021-06-17,206.5975,207.5401,202.3798,203.8549,2573641.175,524649364.3655074
2021-06-18,201.3195,202.9123,199.7738,200.2828,5757540.903,1153136413.1673684
2021-06-21,202.394,204.9293,202.017,203.5815,3047568.655,620428598.1378825
2021-06-22,203.2799,204.3355,202.5259,203.1008,2239812.379,454907686.0248032
2021-06-23,203.2705,203.9303,202.2243,202.3186,2370849.062,479666863.0351532
2021-06-24,203.3836,205.5042,202.3091,205.1744,3569727.073,732416610.3665311
2021-06-25,205.344,207.5118,204.8351,206.164,5537476.771,1141628361.016444
2021-06-28,206.5221,207.4552,203.8643,204.3261,2504314.374,511696789.2133614
2021-06-29,204.5523,205.8058,203.0349,203.5344,3185096.536,648276712.3968384
2021-06-30,203.1385,207.2196,203.1385,206.7389,3041254.644,628745639.7204516
2021-07-01,207.8982,208.5391,207.0311,207.9359,1729738.751,359674783.9540609
2021-07-02,208.2846,209.2837,207.0818,208.5957,1637719.282,341621200.03228736
2021-07-06,207.4364,208.2469,203.5156,205.9943,2053934.728,423098846.5400504
2021-07-07,205.4948,208.8501,205.476,208.049,1658724.96,345096069.20304
2021-07-08,205.9943,208.0231,204.648,206.7107,2551390.944,527399808.0079008
