timestamps,open,high,low,close,volume,amount
2021-07-29,38.0,40.25,33.35,34.82,102474737.0,3568170342.34
2021-07-30,34.93,36.9795,33.25,35.15,40632228.0,1428222814.2
2021-08-02,35.97,37.98,35.3,37.68,19948534.0,751660761.12
2021-08-03,37.911,48.59,37.1594,46.8,93819198.0,4390738466.4
2021-08-04,54.45,85.0,54.4,70.39,175790537.0,12373895899.43
2021-08-05,62.9,66.5,50.46,50.97,82445402.0,4202242139.94
2021-08-06,57.77,60.88,53.1,55.01,70131720.0,3857945917.2
2021-08-09,59.0835,59.96,56.0,56.83,27495240.0,1562554489.2
2021-08-10,56.4852,58.49,53.5,53.94,17066352.0,920559026.88
2021-08-11,54.5683,54.6058,49.0,51.19,15893137.0,813569683.03
2021-08-12,50.125,50.39,47.52,48.1,13426242.0,645802240.2
2021-08-13,48.45,53.2,48.22,50.63,25659808.0,1299156079.04
2021-08-16,49.4,49.79,47.0,47.19,12052503.0,568757616.5699999
2021-08-17,47.3,48.85,46.01,46.67,9160299.0,427511154.33
2021-08-18,47.9651,52.06,47.2,49.8,24407995.0,1215518151.0
2021-08-19,45.06,46.88,44.135,44.69,18517574.0,827550382.06
2021-08-20,45.2,45.56,42.44,42.64,11764299.0,501629709.36
2021-08-23,44.16,46.85,43.32,45.29,15664716.0,709454987.64
2021-08-24,46.46,50.24,46.0,49.38,17107747.0,844780546.86
2021-08-25,48.425,50.99,47.5,48.98,10837516.0,530821533.67999995
2021-08-26,48.0,49.8499,46.4,46.86,7187728.0,336816934.08
2021-08-27,46.7986,48.1,46.14,46.87,6058053.0,283940944.11
2021-08-30,46.3,46.6,42.56,43.64,12363840.0,539557977.6
2021-08-31,42.03,44.5,41.51,44.32,8847512.0,392121731.84
2021-09-01,43.76,47.12,43.7,44.57,11012953.0,490847315.21
2021-09-02,45.202,45.7999,44.2,44.49,4099172.0,182372162.28
2021-09-03,44.6928,44.88,43.15,43.35,4676645.0,202732560.75
2021-09-07,43.33,43.39,41.75,42.13,6278020.0,264492982.6
2021-09-08,42.0,42.21,39.81,40.05,7834862.0,313786223.09999996
2021-09-09,40.5,42.54,40.3813,41.28,6951918.0,286975175.04
2021-09-10,41.5,42.52,40.72,41.17,5521802.0,227332588.34
2021-09-13,41.22,41.3899,39.8,40.6,4357360.0,176908816.0
2021-09-14,41.0,41.0,39.23,40.02,4354731.0,174276334.62
2021-09-15,40.2,41.94,39.83,41.87,5922416.0,247971557.92
2021-09-16,41.62,42.43,40.91,41.95,4206706.0,176471316.70000002
2021-09-17,41.92,42.9012,41.9,42.38,5000840.0,211935599.2
2021-09-20,40.62,41.56,40.0301,40.7,4437794.0,180618215.8
2021-09-21,41.04,42.69,40.7938,42.29,5984827.0,253098333.83
2021-09-22,43.0004,46.94,42.76,46.88,14619488.0,685361597.44
2021-09-23,46.285,47.84,44.71,45.94,12129439.0,557226427.66
2021-09-24,44.7,46.55,44.35,44.91,6057991.0,272064375.81
2021-09-27,44.93,45.91,43.95,44.76,4041686.0,180905865.36
2021-09-28,43.92,45.96,42.51,44.62,5791895.0,258434354.9
2021-09-29,44.17,45.4625,43.1,43.13,4597599.0,198294444.87
2021-09-30,43.13,43.13,41.41,42.08,3557950.0,149718536.0
2021-10-01,42.3617,42.78,41.12,41.9,2655845.0,111279905.5
2021-10-04,41.8,41.8123,40.25,40.93,2647750.0,108372407.5
2021-10-05,41.074,42.4899,41.0509,42.01,2813392.0,118190597.92
2021-10-06,42.0,42.65,41.7,42.06,2730242.0,114833978.52
2021-10-07,42.2374,42.84,41.68,41.84,2895418.0,121144289.12
2021-10-08,41.8,42.06,41.05,41.78,3719416.0,155397200.48000002
2021-10-11,41.1723,42.468,41.01,42.07,3733178.0,157054798.46
2021-10-12,42.0,42.05,40.5,40.53,3717965.0,150689121.45000002
2021-10-13,40.62,40.83,39.86,40.52,3914428.0,158612622.56
2021-10-14,40.59,41.79,40.55,40.93,3827495.0,156659370.35
2021-10-15,41.641,41.7,40.8601,41.03,2579553.0,105839059.59
2021-10-18,40.95,41.25,40.31,40.65,4019789.0,163404422.85
2021-10-19,40.91,41.8,40.54,41.7,4529214.0,188868223.8
2021-10-20,41.8933,42.44,41.02,41.83,4057555.0,169727525.65
2021-10-21,41.93,43.36,41.21,41.28,5377739.0,221993065.92
2021-10-22,41.125,41.13,39.59,39.59,5916837.0,234247576.83
2021-10-25,39.76,39.87,38.15,39.01,8081732.0,315268365.32
2021-10-26,39.61,40.25,39.0,39.57,13250919.0,524338864.83
2021-10-27,35.98,36.19,34.44,35.44,29046790.0,1029418237.6
2021-10-28,35.21,35.52,33.99,35.47,17422533.0,617977245.51
2021-10-29,35.65,35.85,34.8,34.97,10687377.0,373737573.69
2021-11-01,35.2,35.215,34.42,34.85,7946006.0,276918309.1
2021-11-02,34.72,34.99,34.34,34.99,5497732.0,192365642.68
2021-11-03,34.94,37.5,34.6752,37.04,15342781.0,568296608.24
2021-11-04,37.03,37.95,36.5,37.07,6474368.0,240004821.76
2021-11-05,37.0,37.41,36.65,37.01,4744776.0,175604159.76
2021-11-08,37.06,38.17,36.52,37.98,7149237.0,271528021.26
2021-11-09,36.76,37.199,36.45,36.7,7130040.0,261672468.00000003
2021-11-10,35.9,36.11,33.7501,34.49,14706846.0,507239118.54
2021-11-11,34.82,34.84,34.04,34.17,6037956.0,206316956.52
2021-11-12,34.645,35.9,34.59,35.21,8727757.0,307304323.97
2021-11-15,35.5,35.61,34.23,34.96,6219582.0,217436586.72
2021-11-16,34.37,34.44,32.87,33.87,8929807.0,302452563.09
2021-11-17,33.8,33.98,32.81,32.88,6763787.0,222393316.56000003
2021-11-18,32.9,32.93,30.41,30.53,12654119.0,386330253.07
2021-11-19,30.3,30.8,28.8,28.99,14289543.0,414253851.57
2021-11-22,29.0,29.36,27.44,27.84,12690388.0,353300401.92
2021-11-23,27.6,28.3001,26.57,27.65,8654347.0,239292694.55
2021-11-24,27.54,28.54,27.51,27.98,5980076.0,167322526.48
2021-11-26,27.075,29.22,27.05,27.92,5503000.0,153643760.0
2021-11-29,28.095,28.29,25.75,27.07,15203897.0,411569491.79
2021-11-30,26.6949,27.56,25.81,25.94,22291032.0,578229370.08
2021-12-01,26.35,26.39,23.89,23.93,37603088.0,899841895.84
2021-12-02,23.96,24.29,23.34,24.2,13935688.0,337243649.59999996
2021-12-03,23.92,24.06,21.5,21.55,16825218.0,362583447.9
2021-12-06,21.34,22.05,20.58,21.9,12053688.0,263975767.2
2021-12-07,22.65,23.33,22.02,22.73,11058383.0,251357045.59
2021-12-08,23.0,23.74,21.76,23.72,15159432.0,359581727.03999996
2021-12-09,23.27,23.48,21.7,21.91,14155120.0,310138679.2
