timestamps,open,high,low,close,volume,amount
2021-05-28,16.39,16.425,15.92,15.96,11863586.0,189342832.56
2021-06-01,16.14,16.23,15.89,16.09,11841243.0,190525599.87
2021-06-02,15.87,16.19,15.775,16.07,18397638.0,295650042.66
2021-06-03,15.99,16.02,15.8301,15.9,10057001.0,159906315.9
2021-06-04,15.92,16.23,15.86,16.22,10313663.0,167287613.85999998
2021-06-07,16.23,16.315,15.83,15.9,8186445.0,130164475.5
2021-06-08,15.9,16.08,15.75,16.0,7153154.0,114450464.0
2021-06-09,15.98,15.99,15.605,15.65,9143297.0,143092598.05
2021-06-10,15.74,15.81,15.5629,15.63,6414852.0,100264136.76
2021-06-11,15.66,15.89,15.65,15.89,7725245.0,122754143.05
2021-06-14,15.95,16.05,15.65,15.72,8364203.0,131485271.16
2021-06-15,15.64,15.75,15.54,15.63,7657281.0,119683302.03
2021-06-16,15.62,15.71,15.49,15.56,7986956.0,124277035.36
2021-06-17,15.57,15.64,14.62,14.75,15704146.0,231636153.5
2021-06-18,14.53,14.575,14.31,14.45,24387584.0,352400588.8
2021-06-21,14.54,14.89,14.5,14.73,8104451.0,119378563.23
2021-06-22,14.68,14.765,14.495,14.61,9067933.0,132482501.13
2021-06-23,14.64,14.64,14.415,14.46,9498257.0,137344796.22
2021-06-24,14.62,14.62,14.485,14.62,6708388.0,98076632.56
2021-06-25,14.59,14.795,14.58,14.74,7685508.0,113284387.92
2021-06-28,14.72,14.74,14.47,14.53,6395416.0,92925394.48
2021-06-29,14.62,14.705,14.46,14.53,6035492.0,87695698.75999999
2021-06-30,14.5,14.63,14.45,14.58,7610118.0,110955520.44
2021-07-01,14.72,14.81,14.595,14.7,8399857.0,123477897.9
2021-07-02,14.74,14.75,14.58,14.71,4477213.0,65859803.23
2021-07-06,14.71,14.73,14.3,14.35,7956593.0,114177109.55
2021-07-07,14.35,14.57,14.3,14.44,7817302.0,112881840.88
2021-07-08,14.15,14.41,14.0306,14.3,8038932.0,114956727.6
2021-07-09,14.49,14.62,14.42,14.58,5351127.0,78019431.66
2021-07-12,14.5,14.56,14.4,14.47,5955745.0,86179630.15
2021-07-13,14.39,14.41,13.685,13.76,15374802.0,211557275.52
2021-07-14,13.89,14.22,13.81,14.01,10511719.0,147269183.19
2021-07-15,13.89,14.14,13.87,14.07,12780400.0,179820228.0
2021-07-16,14.21,14.24,13.82,13.86,9835985.0,136326752.1
2021-07-19,13.56,13.745,13.48,13.67,13368043.0,182741147.81
2021-07-20,13.69,14.01,13.67,13.97,9237755.0,129051437.35
2021-07-21,14.07,14.255,13.96,14.23,12229508.0,174025898.84
2021-07-22,14.18,14.21,13.925,14.02,9889341.0,138648560.82
2021-07-23,14.06,14.1569,13.98,14.1,6844757.0,96511073.7
2021-07-26,14.34,14.67,14.34,14.43,11206439.0,161708914.77
2021-07-27,14.24,14.4,14.07,14.34,6610423.0,94793465.82
2021-07-28,14.5,14.55,14.205,14.46,6624842.0,95795215.32
2021-07-29,14.63,14.68,14.47,14.55,6440858.0,93714483.9
2021-07-30,14.44,14.57,14.395,14.5,8153834.0,118230593.0
2021-08-02,14.59,14.87,14.48,14.49,7937007.0,115007231.43
2021-08-03,14.58,14.88,14.33,14.85,5425838.0,80573694.3
2021-08-04,14.7,14.81,14.545,14.66,10097202.0,148024981.32
2021-08-05,14.78,14.84,14.635,14.69,4851385.0,71266845.64999999
2021-08-06,14.79,14.98,14.77,14.87,3664033.0,54484170.70999999
2021-08-09,14.86,14.8601,14.65,14.72,4390970.0,64635078.400000006
2021-08-10,14.7,14.83,14.63,14.82,6879972.0,101961185.04
2021-08-11,14.89,15.28,14.74,15.19,6561096.0,99663048.24
2021-08-12,15.21,15.25,15.035,15.21,3992979.0,60733210.59
2021-08-13,15.2,15.2,14.96,14.98,5145052.0,77072878.96000001
2021-08-16,14.9,15.03,14.66,15.0,6356924.0,95353860.0
2021-08-17,14.92,14.96,14.65,14.92,7972970.0,118956712.4
2021-08-18,14.85,14.96,14.7,14.71,6290216.0,92529077.36
2021-08-19,14.58,14.63,14.27,14.38,7395399.0,106345837.62
2021-08-20,14.4,14.59,14.35,14.58,3944750.0,57514455.0
2021-08-23,14.63,14.8,14.55,14.7,5114444.0,75182326.8
2021-08-24,14.77,14.9,14.635,14.84,4760173.0,70640967.32
2021-08-25,14.84,15.229,14.81,15.11,5934298.0,89667242.78
2021-08-26,15.23,15.542,15.105,15.12,11897522.0,179890532.64
2021-08-27,15.1,15.49,14.99,15.42,9472399.0,146064392.58
2021-08-30,15.47,15.54,15.23,15.31,6611848.0,101227392.88
2021-08-31,15.35,15.53,15.325,15.46,10701666.0,165447756.36
2021-09-01,15.5,15.53,15.21,15.34,8203103.0,125835600.02
2021-09-02,15.41,15.485,15.24,15.39,11049783.0,170056160.37
2021-09-03,15.575,15.89,15.39,15.48,14355387.0,222221390.76
2021-09-07,15.4,15.48,14.98,15.02,12907677.0,193873308.54
2021-09-08,14.96,15.03,14.51,14.54,11716189.0,170353388.06
2021-09-09,14.49,14.745,14.46,14.66,8603465.0,126126796.9
2021-09-10,14.55,14.6464,14.285,14.31,7289677.0,104315277.87
2021-09-13,14.35,14.38,14.13,14.3,15659057.0,223924515.1
2021-09-14,14.4,14.41,13.71,13.75,12805957.0,176081908.75
2021-09-15,13.75,13.87,13.6444,13.74,16157148.0,221999213.52
2021-09-16,13.75,13.85,13.635,13.66,8015312.0,109489161.92
2021-09-17,13.51,13.605,13.35,13.55,26241831.0,355576810.05
2021-09-20,13.27,13.4,13.08,13.28,10765540.0,142966371.2
2021-09-21,13.35,13.41,12.99,13.01,9342294.0,121543244.94
2021-09-22,13.08,13.29,13.08,13.16,7783293.0,102428135.88
2021-09-23,13.25,13.6,13.22,13.44,6825697.0,91737367.68
2021-09-24,13.36,13.58,13.35,13.41,5792256.0,77674152.96
2021-09-27,13.41,14.185,13.41,14.0,12385663.0,173399282.0
2021-09-28,14.0,14.34,13.99,14.18,10810799.0,153297129.82
2021-09-29,14.17,14.245,14.0,14.09,9832350.0,138537811.5
2021-09-30,14.23,14.72,14.22,14.25,19297213.0,274985285.25
2021-10-01,14.34,14.7,14.32,14.62,9176444.0,134159611.28
2021-10-04,14.65,15.045,14.59,14.85,13567120.0,201471732.0
2021-10-05,14.95,15.15,14.78,15.03,13140055.0,197495026.65
2021-10-06,14.8,14.9169,14.45,14.71,14791766.0,217586877.86
2021-10-07,14.86,14.95,14.75,14.77,10950870.0,161744349.9
2021-10-08,14.88,15.06,14.77,14.83,7792119.0,115557124.77
2021-10-11,14.85,15.08,14.8,14.86,7033708.0,104520900.88
2021-10-12,14.89,14.89,14.64,14.7,8642613.0,127046411.1
2021-10-13,14.68,14.825,14.52,14.72,8427697.0,124055699.84
2021-10-14,14.76,15.06,14.74,15.05,6386282.0,96113544.1
2021-10-15,15.12,15.29,15.12,15.15,7634276.0,115659281.4
2021-10-18,15.03,15.34,15.0,15.11,7891572.0,119241652.92
2021-10-19,15.21,15.445,15.095,15.37,9862146.0,151581184.01999998
2021-10-20,15.38,15.66,15.3091,15.49,8391638.0,129986472.62
2021-10-21,15.41,15.65,15.29,15.49,9633279.0,149219491.71
2021-10-22,15.46,15.69,15.36,15.36,11745155.0,180405580.8
2021-10-25,15.41,15.5,15.35,15.41,9772608.0,150595889.28
2021-10-26,15.45,15.46,14.75,14.88,18426827.0,274191185.76
2021-10-27,14.86,14.86,14.475,14.58,11529750.0,168103755.0
2021-10-28,14.61,14.9105,14.48,14.76,11965246.0,176607030.96
2021-10-29,14.78,15.095,14.64,14.65,16770834.0,245692718.1
2021-11-01,14.73,15.02,14.69,14.96,9549000.0,142853040.0
2021-11-02,15.0,15.255,14.95,15.24,12287175.0,187256547.0
2021-11-03,15.18,15.445,15.11,15.28,8440237.0,128966821.36
2021-11-04,15.23,15.36,15.14,15.27,8520286.0,130104767.22
2021-11-05,15.34,15.52,15.33,15.46,8812410.0,136239858.6
2021-11-08,15.5,15.65,15.41,15.44,6074456.0,93789600.64
2021-11-09,15.4,15.6,15.37,15.53,4894272.0,76008044.16
2021-11-10,15.53,15.91,15.49,15.72,9485724.0,149115581.28
2021-11-11,15.78,15.95,15.73,15.94,4824677.0,76905351.38
2021-11-12,15.28,15.35,14.57,14.64,19128794.0,280045544.16
2021-11-15,14.62,14.765,14.415,14.7,10511468.0,154518579.6
2021-11-16,14.73,14.815,14.54,14.58,7699998.0,112265970.84
2021-11-17,14.57,14.705,14.44,14.55,7534195.0,109622537.25
2021-11-18,14.55,14.645,14.31,14.61,6270321.0,91609389.81
2021-11-19,14.55,14.59,14.335,14.39,7240185.0,104186262.15
2021-11-22,14.49,14.98,14.44,14.77,10327475.0,152536805.75
2021-11-23,14.72,14.835,14.6342,14.81,9199285.0,136241410.85
2021-11-24,14.87,15.04,14.8,14.86,10158314.0,150952546.04
2021-11-26,14.44,14.5358,14.23,14.43,6651843.0,95986094.49
2021-11-29,14.55,14.71,14.33,14.61,12343495.0,180338461.95
2021-11-30,14.58,14.64,14.11,14.35,24940967.0,357902876.45
2021-12-01,14.03,14.56,13.86,14.21,22223501.0,315795949.21000004
2021-12-02,14.29,15.115,14.22,14.99,14524872.0,217727831.28
2021-12-03,15.12,15.64,14.9,15.17,19438781.0,294886307.77
2021-12-06,15.36,15.54,15.105,15.12,12473734.0,188602858.08
2021-12-07,15.3,15.61,15.09,15.47,14903132.0,230551452.04
2021-12-08,15.55,15.8,15.47,15.58,11366835.0,177095289.3
2021-12-09,15.42,15.515,15.3,15.38,8568962.0,131790635.56
2021-12-10,15.55,15.61,15.12,15.21,9774344.0,148667772.24
2021-12-13,15.17,15.23,14.61,14.79,10867647.0,160732499.13
2021-12-14,14.62,14.94,14.55,14.57,13978367.0,203664807.19
2021-12-15,14.64,14.82,14.5,14.79,10934675.0,161723843.25
2021-12-16,14.94,15.185,14.79,14.95,11932543.0,178391517.85
2021-12-17,14.96,15.155,14.8,15.08,17967482.0,270949628.56
2021-12-20,14.9,14.96,14.595,14.85,11378502.0,168970754.7
2021-12-21,14.985,15.425,14.985,15.42,9390211.0,144797053.62
2021-12-22,15.42,15.56,15.28,15.55,6693805.0,104088667.75
2021-12-23,15.63,15.875,15.57,15.76,6735670.0,106154159.2
2021-12-27,15.75,15.97,15.7,15.92,4456365.0,70945330.8
2021-12-28,15.9,16.045,15.85,15.97,6011828.0,96008893.16
2021-12-29,15.97,16.215,15.94,16.07,5867295.0,94287430.65
2021-12-30,16.02,16.18,15.86,15.89,6608209.0,105004441.01
2021-12-31,15.9,16.0053,15.75,15.77,4315896.0,68061679.92
2022-01-03,15.89,16.235,15.89,16.14,8569087.0,138305064.18
2022-01-04,16.33,16.965,16.33,16.83,16823599.0,283141171.16999996
2022-01-05,16.85,17.347,16.84,16.89,10922696.0,184484335.44
2022-01-06,17.1,17.15,16.77,16.97,8571902.0,145465176.94
2022-01-07,16.98,17.24,16.98,17.13,10482700.0,179568651.0
2022-01-10,17.2,17.335,16.74,17.0,15250042.0,259250714.0
2022-01-11,17.12,17.12,16.79,17.04,16455764.0,280406218.56
2022-01-12,17.14,17.305,16.96,17.15,7975747.0,136784061.04999998
2022-01-13,17.25,17.595,17.07,17.49,9726860.0,170122781.39999998
2022-01-14,17.37,17.6,17.17,17.56,8547172.0,150088340.32
2022-01-18,17.51,17.6,17.195,17.32,10283232.0,178105578.24
2022-01-19,17.3,17.38,16.715,16.74,11762012.0,196896080.88
2022-01-20,16.845,17.03,16.51,16.67,18906183.0,315166070.61
2022-01-21,16.68,16.69,16.11,16.14,10121405.0,163359476.70000002
2022-01-24,15.845,16.13,15.45,16.1,11759661.0,189330542.1
2022-01-25,15.92,15.99,15.4,15.89,11657122.0,185231668.58
2022-01-26,16.07,16.15,15.62,15.84,10817132.0,171343370.88
2022-01-27,16.01,16.32,15.62,15.81,12858998.0,203300758.38
2022-01-28,15.72,16.14,15.675,16.13,11142127.0,179722508.51
2022-01-31,16.09,16.39,15.8819,16.33,16818390.0,274644308.7
2022-02-01,16.36,16.86,16.29,16.81,10422539.0,175202880.58999997
2022-02-02,16.735,17.08,16.7,17.03,8890019.0,151397023.57000002
2022-02-03,16.96,17.15,16.83,16.85,7035118.0,118541738.3
2022-02-04,16.81,17.01,16.63,16.84,6702530.0,112870605.2
2022-02-07,17.0,17.05,16.79,16.93,6955365.0,117754329.45
2022-02-08,17.1,17.15,16.92,17.1,6457552.0,110424139.2
2022-02-09,17.19,17.32,17.1,17.3,8012170.0,138610541.0
2022-02-10,17.2,17.76,17.16,17.35,9406346.0,163200103.10000002
2022-02-11,17.35,17.585,17.08,17.2,8804607.0,151439240.4
2022-02-14,17.27,17.3,16.72,16.87,9019392.0,152157143.04000002
2022-02-15,17.01,17.47,16.96,17.38,7447103.0,129430650.14
2022-02-16,17.29,17.72,17.27,17.64,8063367.0,142237793.88
2022-02-17,17.44,17.54,17.19,17.24,8985772.0,154914709.27999997
2022-02-18,17.24,17.51,17.16,17.33,9651986.0,167268917.38
2022-02-22,17.18,17.42,16.76,16.94,11734227.0,198777805.38000005
2022-02-23,17.07,17.11,16.54,16.62,7846215.0,130404093.3
2022-02-24,16.14,16.29,15.75,16.25,11558388.0,187823805.0
2022-02-25,16.02,16.16,15.46,16.02,18758649.0,300513556.98
2022-02-28,15.75,15.98,15.58,15.92,18104453.0,288222891.76
2022-03-01,15.94,16.05,15.265,15.41,14194368.0,218735210.88
2022-03-02,16.22,17.18,16.15,16.99,20561038.0,349332035.61999995
2022-03-03,17.01,17.02,16.59,16.75,16233123.0,271904810.25
2022-03-04,16.35,16.45,16.1,16.42,10468318.0,171889781.56000003
2022-03-07,16.4,16.43,15.73,15.77,9691719.0,152838408.63
2022-03-08,16.09,16.575,16.07,16.09,12353539.0,198768442.51
2022-03-09,16.44,16.5775,16.3,16.37,12569672.0,205765530.64
2022-03-10,16.07,16.375,15.98,16.36,10586363.0,173192898.68
2022-03-11,16.5,16.69,16.385,16.55,11139400.0,184357070.0
2022-03-14,16.63,16.8,16.165,16.32,10739126.0,175262536.32
2022-03-15,16.32,16.66,16.205,16.53,14246282.0,235491041.46
2022-03-16,16.67,16.85,16.48,16.76,11061527.0,185391192.52
2022-03-17,16.5,16.8,16.27,16.72,10839555.0,181237359.6
2022-03-18,16.6,17.1,16.445,17.04,25124896.0,428128227.84
2022-03-21,17.12,17.335,16.8541,17.05,9128354.0,155638435.70000002
2022-03-22,17.2,17.3,16.985,17.13,12037583.0,206203796.79
2022-03-23,17.05,17.2,16.96,16.97,7361411.0,124923144.67
2022-03-24,17.06,17.15,16.93,17.05,13534333.0,230760377.65
2022-03-25,17.15,17.57,17.11,17.54,11028947.0,193447730.38
2022-03-28,17.4,17.45,17.09,17.38,6572580.0,114231440.4
2022-03-29,17.58,17.655,17.38,17.56,6015505.0,105632267.8
2022-03-30,17.5,17.615,17.2,17.28,4783913.0,82666016.64
2022-03-31,17.05,17.16,16.69,16.71,10402907.0,173832575.97
2022-04-01,16.88,16.88,16.06,16.29,8138793.0,132580937.97
2022-04-04,16.26,16.38,15.98,16.32,10027431.0,163647673.92000002
2022-04-05,16.17,16.33,15.74,15.8,8198473.0,129535873.4
2022-04-06,15.7,15.745,15.47,15.57,9878118.0,153802297.26
2022-04-07,15.99,16.09,15.605,16.0,14207808.0,227324928.0
2022-04-08,16.02,16.295,15.84,16.1,8942154.0,143968679.4
2022-04-11,16.02,16.22,15.8,15.81,6340637.0,100245470.97
2022-04-12,15.49,15.85,15.32,15.41,10502122.0,161837700.02
2022-04-13,15.44,15.555,15.315,15.48,10134259.0,156878329.32
2022-04-14,15.52,15.62,15.343,15.38,7197432.0,110696504.16
