timestamps,open,high,low,close,volume,amount
2021-05-28,35.455,35.51,35.02,35.48,2613361.0,92722048.28
2021-06-01,35.98,36.01,35.49,35.61,3519784.0,125339508.24
2021-06-02,35.65,35.76,35.11,35.41,2777772.0,98360906.52
2021-06-03,35.13,35.26,34.65,34.83,3123627.0,108795928.41
2021-06-04,34.99,35.24,34.73,35.2,2530486.0,89073107.2
2021-06-07,35.25,35.43,34.98,35.3,2063090.0,72827077.0
2021-06-08,35.31,36.03,35.31,35.73,3727654.0,133189077.42
2021-06-09,35.49,35.69,35.02,35.03,2077926.0,72789747.78
2021-06-10,35.39,35.555,34.93,35.01,4665188.0,163328231.88
2021-06-11,35.27,35.55,34.96,35.37,2037881.0,72079850.97
2021-06-14,35.3,35.47,34.75,34.96,1660864.0,58063805.440000005
2021-06-15,34.865,35.157,34.73,35.01,2019436.0,70700454.36
2021-06-16,34.94,35.58,34.68,34.93,2771549.0,96810206.57
2021-06-17,34.84,34.9,33.51,34.02,3181192.0,108224151.84
2021-06-18,33.44,33.92,33.125,33.19,4940133.0,163963014.26999998
2021-06-21,33.52,34.13,33.48,34.07,3673983.0,125172600.81
2021-06-22,33.99,34.09,33.19,33.81,3670138.0,124087365.78
2021-06-23,33.81,34.09,33.62,33.81,1886829.0,63793688.49
2021-06-24,34.17,34.595,33.771,34.58,1995241.0,68995433.78
2021-06-25,34.74,35.06,34.54,34.84,5245324.0,182747088.16000003
2021-06-28,34.68,34.89,33.61,33.88,2266956.0,76804469.28
2021-06-29,34.08,34.35,33.61,33.67,3351075.0,112830695.25
2021-06-30,33.76,34.53,33.76,34.47,2665375.0,91875476.25
2021-07-01,34.58,34.79,34.37,34.62,2141943.0,74154066.66
2021-07-02,34.79,34.8,34.31,34.44,1711534.0,58945230.95999999
2021-07-06,34.24,34.35,33.095,33.51,3342893.0,112020344.43
2021-07-07,33.3,33.78,32.645,33.24,3093047.0,102812882.28
2021-07-08,32.59,33.415,32.21,32.94,2830508.0,93236933.52
2021-07-09,33.47,33.97,33.3,33.95,1819609.0,61775725.55
2021-07-12,33.59,34.055,33.34,33.87,2568247.0,86986525.89
2021-07-13,33.51,33.73,32.84,32.89,2317142.0,76210800.38
2021-07-14,33.11,33.625,32.67,32.8,1950682.0,63982369.599999994
2021-07-15,32.39,33.08,32.11,32.41,4104845.0,133038026.45
2021-07-16,32.73,32.89,31.5733,31.66,6164667.0,195173357.22
2021-07-19,30.89,30.94,29.93,30.49,4709667.0,143597746.82999998
2021-07-20,30.51,32.12,30.3487,31.89,3332018.0,106258054.02
2021-07-21,32.21,33.04,32.175,32.87,1921719.0,63166903.529999994
2021-07-22,32.77,32.78,32.19,32.33,3807130.0,123084512.9
2021-07-23,32.72,32.83,32.235,32.38,2208598.0,71514403.24000001
2021-07-26,32.36,32.84,32.265,32.51,2352821.0,76490210.71
2021-07-27,32.32,32.835,32.15,32.73,2419629.0,79194457.16999999
2021-07-28,33.46,33.57,32.5,32.81,3440239.0,112874241.59
2021-07-29,33.21,33.54,32.93,33.1,1839046.0,60872422.6
2021-07-30,32.8,33.1,32.5,32.82,1729509.0,56762485.38
2021-08-02,33.23,34.01,32.62,32.73,1853609.0,60668622.56999999
2021-08-03,32.84,33.07,31.71,33.0,2423697.0,79982001.0
2021-08-04,32.0,32.6894,30.68,30.7,5556549.0,170586054.29999998
2021-08-05,30.88,31.945,30.85,31.65,5523086.0,174805671.9
2021-08-06,32.15,32.49,31.65,31.74,4706137.0,149372788.38
2021-08-09,31.47,31.82,31.0174,31.56,2840157.0,89635354.92
2021-08-10,31.63,32.67,31.5,32.3,2001706.0,64655103.8
2021-08-11,32.27,33.03,31.81,33.01,2046034.0,67539582.33999999
2021-08-12,32.92,32.98,32.48,32.68,1303646.0,42603151.28
2021-08-13,32.72,32.78,32.11,32.12,994314.0,31937365.679999996
2021-08-16,31.77,32.19,31.37,31.98,1764495.0,56428550.1
2021-08-17,31.56,31.74,31.11,31.48,1715117.0,53991883.16
2021-08-18,31.82,32.925,31.38,32.23,3637143.0,117225118.89
2021-08-19,31.74,32.185,31.11,31.75,3758754.0,119340439.5
2021-08-20,31.64,31.99,31.47,31.81,1687529.0,53680297.489999995
2021-08-23,32.15,32.44,32.09,32.2,1808775.0,58242555.00000001
2021-08-24,32.43,32.97,32.425,32.52,1685743.0,54820362.36000001
2021-08-25,32.68,33.16,32.5,32.94,1805687.0,59479329.779999994
2021-08-26,32.93,32.93,32.19,32.21,1222972.0,39391928.12
2021-08-27,32.45,33.08,32.39,32.79,2083719.0,68325146.01
2021-08-30,32.81,32.9,31.77,31.78,1522115.0,48372814.7
2021-08-31,31.68,32.36,31.58,31.75,3453984.0,109663992.0
2021-09-01,31.97,32.12,31.41,31.9,2006344.0,64002373.599999994
2021-09-02,31.95,32.37,31.77,31.89,1338497.0,42684669.33
2021-09-03,31.74,31.88,31.125,31.37,1411568.0,44280888.16
2021-09-07,31.18,31.52,30.9,31.26,1657237.0,51805228.620000005
2021-09-08,31.08,31.32,30.87,31.09,1288459.0,40058190.31
2021-09-09,31.1,31.9,30.99,31.67,1535616.0,48632958.720000006
2021-09-10,31.91,32.0,31.2,31.22,1509572.0,47128837.84
2021-09-13,31.56,32.4,31.44,32.25,2422517.0,78126173.25
2021-09-14,32.45,32.45,31.5,31.59,1712078.0,54084544.02
2021-09-15,31.49,32.045,31.36,32.01,1407702.0,45060541.02
2021-09-16,32.03,32.2,31.38,31.44,1318087.0,41440655.28
2021-09-17,31.25,31.56,30.75,30.99,4280345.0,132647891.55
2021-09-20,30.21,30.97,30.042,30.94,2585474.0,79994565.56
2021-09-21,31.21,31.3542,30.41,30.6,2635382.0,80642689.2
2021-09-22,31.05,31.49,30.56,31.11,3354754.0,104366396.94
2021-09-23,31.35,32.08,31.32,31.71,3017288.0,95678202.48
2021-09-24,31.57,31.95,31.4,31.53,3183431.0,100373579.43
2021-09-27,31.81,33.19,31.76,33.0,4630805.0,152816565.0
2021-09-28,33.21,33.62,32.245,32.41,3728183.0,120830411.03
2021-09-29,32.59,32.75,31.87,31.91,2547503.0,81290820.73
2021-09-30,32.0,32.055,31.18,31.2,2641492.0,82414550.39999999
2021-10-01,31.43,32.655,31.33,32.43,5084491.0,164890043.13
2021-10-04,32.38,32.6,31.815,31.88,4333055.0,138137793.4
2021-10-05,31.96,32.3661,31.55,32.11,1990061.0,63900858.71
2021-10-06,31.75,32.07,30.815,31.96,2058925.0,65803243.0
2021-10-07,32.19,32.72,32.09,32.14,1523826.0,48975767.64
2021-10-08,32.22,32.34,31.6,31.64,1129650.0,35742126.0
2021-10-11,31.55,32.13,31.33,31.42,2315488.0,72752632.96000001
2021-10-12,31.4,31.84,31.36,31.41,1114967.0,35021113.47
2021-10-13,31.39,31.61,30.73,31.35,1602757.0,50246431.95
2021-10-14,31.69,31.69,30.86,30.89,3263173.0,100799413.97
2021-10-15,31.595,31.86,31.27,31.33,2913024.0,91265041.92
2021-10-18,31.05,31.43,30.85,30.9,2339145.0,72279580.5
2021-10-19,31.0,31.21,30.56,30.88,1576099.0,48669937.12
2021-10-20,30.63,31.3055,30.45,30.94,2045832.0,63298042.080000006
2021-10-21,30.8,30.93,30.38,30.72,1081747.0,33231267.84
2021-10-22,30.76,31.0,30.28,30.46,2546515.0,77566846.9
2021-10-25,30.44,30.52,29.82,30.37,2901902.0,88130763.74000001
2021-10-26,30.24,30.7,29.95,29.96,4585457.0,137380291.72
2021-10-27,30.06,30.62,29.355,29.38,3616575.0,106254973.5
2021-10-28,29.34,29.9,29.29,29.7,4465178.0,132615786.6
2021-10-29,29.68,30.009,29.42,29.69,2975416.0,88340101.04
2021-11-01,29.68,30.58,29.63,30.5,2478996.0,75609378.0
2021-11-02,30.48,30.95,30.23,30.68,3214213.0,98612054.84
2021-11-03,30.38,30.84,30.13,30.43,3418560.0,104026780.8
2021-11-04,30.16,31.66,29.69,31.0,4901261.0,151939091.0
2021-11-05,31.9,33.63,31.75,33.4,4394897.0,146789559.79999998
2021-11-08,33.55,33.84,32.52,32.76,3035768.0,99451759.68
2021-11-09,32.97,33.355,32.71,33.09,2611393.0,86410994.37
2021-11-10,32.97,33.43,32.27,32.29,1718574.0,55492754.46
2021-11-11,32.29,32.51,31.99,32.0,1517279.0,48552928.0
2021-11-12,32.06,32.24,31.84,31.97,1584996.0,50672322.12
2021-11-15,32.41,33.16,32.17,33.05,4153994.0,137289501.7
2021-11-16,33.01,33.035,31.52,31.71,3593584.0,113952548.64
2021-11-17,31.95,32.08,31.35,31.48,1602697.0,50452901.56
2021-11-18,31.6,31.61,30.89,31.32,1490385.0,46678858.2
2021-11-19,31.02,31.085,29.92,30.18,3956377.0,119403457.86
2021-11-22,30.38,30.555,30.02,30.28,2143016.0,64890524.48
2021-11-23,30.58,30.9,30.435,30.78,1577672.0,48560744.16
2021-11-24,30.51,30.98,30.34,30.73,2231648.0,68578543.04
2021-11-26,29.0,29.04,27.945,28.75,2382908.0,68508605.0
2021-11-29,29.19,29.32,28.35,28.5,3218204.0,91718814.0
2021-11-30,28.09,28.44,27.78,28.13,4977856.0,140027089.28
2021-12-01,28.86,28.99,27.41,27.41,3771048.0,103364425.68
2021-12-02,27.81,28.98,27.69,28.8,3673366.0,105792940.8
2021-12-03,29.0,29.365,28.735,29.06,4616972.0,134169206.32
2021-12-06,29.32,30.919,29.24,30.43,4473461.0,136127418.23
2021-12-07,30.91,31.47,30.69,30.83,3942456.0,121545918.48
2021-12-08,30.99,31.65,30.82,31.08,2024579.0,62923915.31999999
2021-12-09,30.52,31.19,30.45,30.85,2294037.0,70771041.45
2021-12-10,31.12,31.18,30.71,30.86,1807511.0,55779789.46
2021-12-13,30.71,30.86,29.37,30.08,2953549.0,88842753.92
2021-12-14,29.96,30.68,29.61,29.68,2089312.0,62010780.16
2021-12-15,29.85,30.03,29.34,29.99,2049482.0,61463965.18
2021-12-16,30.27,30.65,29.38,29.48,2002599.0,59036618.52
2021-12-17,29.5,30.08,28.98,29.96,4168962.0,124902101.52
2021-12-20,29.16,29.3285,28.51,29.26,1752092.0,51266211.92
2021-12-21,29.41,31.06,29.29,30.59,2950138.0,90244721.42
2021-12-22,30.59,30.75,30.045,30.3,3817181.0,115660584.3
2021-12-23,30.39,31.23,30.32,31.13,2557603.0,79618181.39
2021-12-27,31.0,31.405,30.77,31.35,1125887.0,35296557.45
2021-12-28,31.16,31.71,31.16,31.64,1293061.0,40912450.04
2021-12-29,31.42,31.73,31.24,31.63,1225999.0,38778348.37
2021-12-30,31.55,32.02,31.5279,31.64,1127406.0,35671125.84
2021-12-31,31.65,31.955,31.42,31.83,1270429.0,40437755.07
2022-01-03,32.0,32.77,31.99,32.33,2015649.0,65165932.169999994
2022-01-04,32.69,33.69,32.45,33.53,2892123.0,96972884.19
2022-01-05,33.81,34.3,33.28,33.32,3357181.0,111861270.92
2022-01-06,33.78,34.085,33.36,33.65,2997933.0,100880445.45
2022-01-07,33.78,34.62,33.34,34.01,3594960.0,122264589.6
2022-01-10,34.11,34.39,33.44,33.98,5001426.0,169948455.48
2022-01-11,33.96,34.36,33.34,33.92,2696510.0,91465619.2
2022-01-12,34.18,34.49,33.81,33.91,1861834.0,63134790.93999999
2022-01-13,34.06,34.915,34.03,34.38,2598849.0,89348428.62
2022-01-14,34.01,35.09,33.81,35.07,2453534.0,86045437.38
2022-01-18,34.8,35.05,34.025,34.32,2414709.0,82872812.88
2022-01-19,34.34,34.35,33.67,33.83,2097289.0,70951286.86999999
2022-01-20,33.87,34.38,33.54,33.58,2650271.0,88996100.17999999
2022-01-21,33.48,33.48,32.34,32.63,2816266.0,91894759.58
2022-01-24,31.89,33.02,31.13,32.82,2627705.0,86241278.1
2022-01-25,32.17,32.68,31.1317,32.23,3943557.0,127100842.10999998
2022-01-26,32.6,33.0,31.21,31.62,3066916.0,96975883.92
2022-01-27,32.04,32.499,30.4,30.64,3769534.0,115498521.76
2022-01-28,30.47,30.875,29.35,30.76,4743621.0,145913781.96
2022-01-31,30.4,31.17,30.19,31.09,4605901.0,143197462.09
2022-02-01,31.12,31.645,30.85,31.62,6089559.0,192551855.58
2022-02-02,32.08,32.87,31.91,32.61,5159703.0,168257914.82999998
2022-02-03,33.09,33.17,32.42,32.52,3291393.0,107036100.36
2022-02-04,32.32,32.51,31.64,32.18,4698423.0,151195252.14
2022-02-07,32.29,33.335,32.16,32.83,4857985.0,159487647.54999998
2022-02-08,33.15,33.57,32.75,33.51,3374381.0,113075507.31
2022-02-09,33.99,34.695,33.89,34.47,3098392.0,106801572.24
2022-02-10,34.16,35.54,34.03,34.56,2426563.0,83862017.28
2022-02-11,34.43,35.14,33.93,34.34,2930454.0,100631790.36
2022-02-14,34.35,34.69,33.94,34.07,2353892.0,80197100.44
2022-02-15,34.25,35.55,34.25,34.99,3309819.0,115810566.81
2022-02-16,34.88,35.93,34.8,35.73,2681998.0,95827788.54
2022-02-17,35.17,35.37,34.765,34.98,1920946.0,67194691.08
2022-02-18,34.93,35.35,34.43,34.56,3063577.0,105877221.12
2022-02-22,34.64,35.11,34.12,34.41,3305288.0,113734960.07999998
2022-02-23,34.65,34.81,33.79,33.81,2743721.0,92765207.01
2022-02-24,33.02,34.419,32.68,34.38,4188761.0,144009603.18
2022-02-25,34.5,35.93,34.5,35.75,3492999.0,124874714.25
2022-02-28,35.3,36.6799,35.29,35.92,6708847.0,240981784.24
2022-03-01,35.82,36.01,32.88,33.11,6908501.0,228740468.11
2022-03-02,33.56,35.51,33.54,35.13,4966002.0,174455650.26000002
2022-03-03,35.36,35.47,34.23,34.85,3488294.0,121567045.9
2022-03-04,34.41,34.77,33.31,33.85,3417150.0,115670527.5
2022-03-07,34.01,34.28,32.35,32.42,4347612.0,140949581.04000002
2022-03-08,32.82,34.22,32.4,32.93,3188796.0,105007052.28
2022-03-09,33.66,34.44,33.57,33.98,2609853.0,88682804.94
2022-03-10,33.4,34.61,33.31,34.28,1873688.0,64230024.64
2022-03-11,34.55,35.155,33.66,33.73,2563814.0,86477446.22
2022-03-14,33.81,33.99,33.09,33.42,2330819.0,77895970.98
2022-03-15,33.67,34.3,33.48,34.1,2826405.0,96380410.5
2022-03-16,34.56,35.07,34.1,34.93,3011804.0,105202313.72
2022-03-17,34.41,35.2,34.41,34.94,2161248.0,75514005.11999999
2022-03-18,35.48,35.81,34.56,35.73,6526104.0,233177695.92
2022-03-21,35.59,35.9,34.97,35.88,2398600.0,86061768.0
2022-03-22,36.0,37.66,35.99,37.32,4712088.0,175855124.16
2022-03-23,37.09,37.33,36.33,36.73,2184571.0,80239292.83
2022-03-24,36.92,37.09,36.375,37.02,2370937.0,87772087.74000001
2022-03-25,37.09,37.44,36.79,37.0,1231924.0,45581188.0
2022-03-28,36.79,36.83,35.99,36.49,1686726.0,61548631.74
2022-03-29,36.75,37.01,36.3801,36.88,2106265.0,77679053.2
2022-03-30,36.81,36.9,36.05,36.44,2309225.0,84148159.0
2022-03-31,36.21,36.93,35.91,35.94,2318038.0,83310285.72
2022-04-01,36.11,36.4,35.78,36.32,1676476.0,60889608.32
2022-04-04,36.45,36.49,35.72,35.82,1757738.0,62962175.16
2022-04-05,35.68,35.96,34.29,34.45,3241015.0,111652966.75
2022-04-06,34.22,34.57,33.85,34.16,2353262.0,80387429.91999999
2022-04-07,33.97,34.51,33.47,34.42,2184209.0,75180473.78
2022-04-08,34.55,35.06,34.22,34.52,1908585.0,65884354.2
2022-04-11,34.5,35.03,34.14,34.23,1617665.0,55372672.95
2022-04-12,34.36,34.94,34.23,34.68,1832156.0,63539170.08
2022-04-13,34.86,35.46,34.8,35.28,1812032.0,63928488.96
2022-04-14,35.41,35.92,35.34,35.48,2242265.0,79555562.19999999
2022-04-18,35.42,35.875,35.17,35.44,1728360.0,61253078.4
2022-04-19,35.55,36.79,35.49,36.64,2149132.0,78744196.48
2022-04-20,36.77,37.2,36.58,36.84,1713837.0,63137755.080000006
2022-04-21,37.2,37.53,35.53,35.67,2232789.0,79643583.63000001
2022-04-22,35.5,35.77,34.87,34.96,1802861.0,63028020.56
2022-04-25,34.69,34.85,33.76,34.82,3184839.0,110896093.98
2022-04-26,34.63,34.959,34.25,34.26,3203658.0,109757323.08
2022-04-27,34.22,34.57,33.37,34.4,3115756.0,107182006.4
2022-04-28,34.77,35.155,33.93,34.95,1892467.0,66141721.650000006
2022-04-29,34.93,35.21,33.97,34.12,2090199.0,71317589.88
2022-05-02,34.12,34.34,32.91,33.84,3492482.0,118185590.88
2022-05-03,34.35,35.7,33.49,34.99,3962829.0,138659386.71
2022-05-04,34.93,36.6,34.56,36.56,3614630.0,132150872.8
2022-05-05,36.26,36.5,34.87,35.42,2463673.0,87263297.66000001
2022-05-06,35.27,35.305,34.215,35.03,3061119.0,107230998.57
2022-05-09,34.52,34.69,33.05,33.27,3675531.0,122284916.37
2022-05-10,33.67,34.51,33.17,33.98,4580492.0,155645118.16
2022-05-11,34.03,34.685,33.28,33.54,2327037.0,78048820.98
2022-05-12,33.35,33.52,31.94,32.85,3072137.0,100919700.45
2022-05-13,33.33,34.07,33.28,33.79,2323740.0,78519174.6
2022-05-16,33.69,34.58,33.64,34.06,2083106.0,70950590.36
2022-05-17,34.74,35.33,34.52,35.24,1828737.0,64444691.88
2022-05-18,34.81,35.25,33.42,33.59,2277536.0,76502434.24000001
2022-05-19,33.2,34.18,33.0,33.45,3319421.0,111034632.45
2022-05-20,33.75,33.78,32.23,33.16,2852253.0,94580709.48
2022-05-23,33.64,34.48,33.08,34.3,2246082.0,77040612.6
2022-05-24,34.06,34.16,32.75,33.71,1509298.0,50878435.58
2022-05-25,33.46,34.215,33.32,33.95,1636484.0,55558631.8
2022-05-26,34.43,34.93,34.3,34.61,2090719.0,72359784.59
2022-05-27,34.93,36.03,34.89,36.03,1874515.0,67538775.45
2022-05-31,35.71,36.03,35.22,35.77,5121829.0,183207823.33
2022-06-01,36.07,36.1,34.745,35.68,2435042.0,86882298.56
2022-06-02,35.82,37.01,35.42,36.99,3513679.0,129970986.21
2022-06-03,36.62,37.06,36.111,36.63,1900757.0,69624728.91000001
2022-06-06,37.0,37.1,36.51,36.65,1818122.0,66634171.3
2022-06-07,36.32,37.45,36.1,37.43,1656859.0,62016232.37
2022-06-08,36.93,37.345,36.39,36.47,1963072.0,71593235.84
2022-06-09,36.05,36.13,35.14,35.17,1922064.0,67598990.88000001
2022-06-10,34.24,34.71,33.73,33.98,3181426.0,108104855.48
2022-06-13,33.06,33.06,31.96,32.19,2575228.0,82896589.32
2022-06-14,32.39,32.88,31.59,32.2,3513419.0,113132091.8
2022-06-15,32.67,33.37,32.29,32.71,3476636.0,113720763.56
2022-06-16,31.75,31.92,30.7,30.8,2989302.0,92070501.6
2022-06-17,30.95,31.76,30.545,31.52,4905404.0,154618334.07999998
2022-06-21,32.28,32.3399,31.59,31.66,2409472.0,76283883.52
2022-06-22,30.88,31.785,30.77,31.43,1754226.0,55135323.18
2022-06-23,31.46,31.57,29.84,30.7,2668408.0,81920125.6
2022-06-24,31.02,32.23,30.84,32.18,2736460.0,88059282.8
2022-06-27,32.38,32.5,31.67,31.8,1890714.0,60124705.2
2022-06-28,32.1,32.78,31.77,31.88,1728795.0,55113984.6
2022-06-29,31.98,32.14,30.92,31.32,1431789.0,44843631.48
