timestamps,open,high,low,close,volume,amount
2021-05-28,87.3,87.35,87.18,87.18,15497448.0,1351067516.64
2021-06-01,87.06,87.16,87.0,87.15,22693711.0,1977756913.65
2021-06-02,87.15,87.27,87.12,87.26,13532747.0,1180867503.22
2021-06-03,87.03,87.23,86.9853,87.08,16718759.0,1455869533.72
2021-06-04,87.23,87.31,87.17,87.27,26864722.0,2344484288.94
2021-06-07,87.29,87.35,87.26,87.3,9211067.0,804126149.1
2021-06-08,87.44,87.44,87.31,87.36,11047308.0,965092826.88
2021-06-09,87.47,87.49,87.4,87.43,12810565.0,1120027697.95
2021-06-10,87.5,87.66,87.46,87.59,15311355.0,1341121584.45
2021-06-11,87.65,87.69,87.55,87.62,12580700.0,1102320934.0
2021-06-14,87.59,87.59,87.47,87.54,19423922.0,1700370131.88
2021-06-15,87.48,87.565,87.44,87.53,15988518.0,1399474980.54
2021-06-16,87.53,87.57,87.26,87.41,21575532.0,1885917252.12
2021-06-17,87.46,87.5,87.38,87.47,21124685.0,1847776196.95
2021-06-18,87.34,87.45,87.29,87.43,35144123.0,3072650673.8900003
2021-06-21,87.52,87.6,87.45,87.6,21313281.0,1867043415.6
2021-06-22,87.57,87.66,87.52,87.66,14626203.0,1282132954.98
2021-06-23,87.63,87.75,87.57,87.57,16603433.0,1453962627.81
2021-06-24,87.74,87.84,87.7,87.84,12746340.0,1119638505.6
2021-06-25,87.85,87.95,87.83,87.93,16193368.0,1423882848.24
2021-06-28,87.97,87.97,87.86,87.92,16073718.0,1413201286.56
2021-06-29,87.94,88.03,87.93,88.03,12783729.0,1125351663.87
2021-06-30,87.97,88.065,87.96,88.04,26121915.0,2299773396.6000004
2021-07-01,87.83,87.92,87.81,87.92,31631318.0,2781025478.56
2021-07-02,87.96,88.07,87.92,88.06,11180431.0,984548753.86
2021-07-06,88.06,88.08,87.94,88.01,17806453.0,1567145928.5300002
2021-07-07,88.09,88.1,87.93,88.04,11481284.0,1010812243.36
2021-07-08,87.81,87.93,87.77,87.85,21926124.0,1926209993.4
2021-07-09,87.88,88.02,87.87,88.0,15719184.0,1383288192.0
2021-07-12,88.0,88.02,87.885,87.97,17523448.0,1541537720.56
2021-07-13,87.92,87.955,87.7,87.71,26961126.0,2364760361.46
2021-07-14,87.81,87.88,87.74,87.85,16123270.0,1416429269.5
2021-07-15,87.77,87.82,87.715,87.79,16407040.0,1440374041.6
2021-07-16,87.84,87.84,87.64,87.67,17009720.0,1491242152.4
2021-07-19,87.46,87.49,86.98,87.08,54253181.0,4724367001.48
2021-07-20,87.16,87.53,87.08,87.52,27002274.0,2363239020.48
2021-07-21,87.58,87.76,87.56,87.73,18557808.0,1628076495.8400002
2021-07-22,87.74,87.85,87.65,87.78,17135366.0,1504142427.48
2021-07-23,87.88,87.99,87.83,87.95,19278311.0,1695527452.45
2021-07-26,87.92,87.97,87.78,87.82,15308198.0,1344365948.36
2021-07-27,87.7,87.77,87.56,87.7,19936426.0,1748424560.2
2021-07-28,87.8,87.845,87.665,87.77,15206714.0,1334693287.78
2021-07-29,87.83,88.0,87.83,87.96,18175026.0,1598675286.9599998
2021-07-30,87.93,87.97,87.84,87.84,20873088.0,1833492049.92
2021-08-02,87.67,87.69,87.34,87.34,27274385.0,2382144785.9
2021-08-03,87.39,87.46,87.28,87.44,16058659.0,1404169142.96
2021-08-04,87.37,87.42,87.28,87.28,17113284.0,1493647427.52
2021-08-05,87.33,87.52,87.33,87.48,15046719.0,1316286978.12
2021-08-06,87.43,87.52,87.37,87.38,12923235.0,1129232274.3
2021-08-09,87.34,87.36,87.175,87.18,10726185.0,935108808.3
2021-08-10,87.19,87.2,86.97,86.98,30972870.0,2694020232.6
2021-08-11,87.04,87.155,87.01,87.12,15834681.0,1379517408.72
2021-08-12,87.12,87.29,87.09,87.27,14128024.0,1232952654.48
2021-08-13,87.3,87.46,87.3,87.46,10016892.0,876077374.3199999
2021-08-16,87.44,87.49,87.35,87.49,12602065.0,1102554666.85
2021-08-17,87.39,87.395,87.2,87.29,18468368.0,1612103842.72
2021-08-18,87.3,87.39,87.09,87.09,12147708.0,1057943889.72
2021-08-19,87.0,87.2,86.95,87.08,20026720.0,1743926777.6
2021-08-20,87.1,87.33,87.085,87.29,16784293.0,1465100935.97
2021-08-23,87.41,87.59,87.41,87.56,21933093.0,1920461623.08
2021-08-24,87.58,87.7,87.55,87.68,20828296.0,1826224993.28
2021-08-25,87.7,87.82,87.66,87.77,18860360.0,1655373797.1999998
2021-08-26,87.76,87.77,87.575,87.72,17676076.0,1550545386.72
2021-08-27,87.75,87.99,87.73,87.96,18519658.0,1628989117.6799998
2021-08-30,87.98,88.1,87.96,88.07,11448965.0,1008310347.55
2021-08-31,88.06,88.1,87.97,88.09,19163884.0,1688146541.5600002
2021-09-01,87.84,87.98,87.82,87.89,22723456.0,1997164547.84
2021-09-02,88.0,88.02,87.93,88.0,16521333.0,1453877304.0
2021-09-03,87.96,88.04,87.89,88.01,6491057.0,571277926.57
2021-09-07,87.99,87.99,87.77,87.78,11784734.0,1034463950.52
2021-09-08,87.79,87.91,87.71,87.88,13021084.0,1144292861.9199998
2021-09-09,87.87,87.98,87.86,87.96,22774727.0,2003264986.92
2021-09-10,88.08,88.09,87.82,87.83,16112927.0,1415198378.41
2021-09-13,87.95,88.06,87.89,88.05,17157023.0,1510675875.15
2021-09-14,88.08,88.12,87.97,88.01,20123461.0,1771065802.61
2021-09-15,88.02,88.14,88.01,88.14,17091318.0,1506428768.52
2021-09-16,88.11,88.14,87.95,88.11,13399661.0,1180644130.71
2021-09-17,88.08,88.09,87.965,88.0,38948535.0,3427471080.0
2021-09-20,87.6,87.81,87.55,87.69,49640984.0,4353017886.96
2021-09-21,87.83,87.88,87.68,87.84,27304229.0,2398403475.36
2021-09-22,87.97,88.075,87.85,88.0,24344753.0,2142338264.0
2021-09-23,88.05,88.16,87.96,88.04,27590423.0,2429060840.92
2021-09-24,87.96,88.02,87.86,87.91,21713492.0,1908833081.72
2021-09-27,87.76,87.89,87.73,87.83,17482868.0,1535520296.44
