timestamps,open,high,low,close,volume,amount
2022-09-08,24.1722,24.1722,24.1722,24.1722,17.0,410.9274
2022-09-09,23.3024,23.3024,23.255,23.255,477.0,11092.635
2022-09-12,23.07,23.07,22.649,22.649,318.0,7202.3820000000005
2022-09-13,23.41,24.1402,23.41,24.1402,456.0,11007.9312
2022-09-14,24.1446,24.1446,24.1446,24.1446,14.0,338.0244
2022-09-15,24.14,24.493,24.14,24.493,304.0,7445.871999999999
2022-09-16,25.1,25.4399,25.091,25.1589,2344.0,58972.461599999995
2022-09-19,25.61,25.61,25.2209,25.2209,1370.0,34552.633
2022-09-20,25.65,25.93,25.65,25.8997,2350.0,60864.295
2022-09-21,25.88,25.9916,25.29,25.9916,2481.0,64485.1596
2022-09-22,26.45,26.5363,26.45,26.5363,6605.0,175272.2615
2022-09-23,27.2825,27.2825,27.1885,27.1885,479.0,13023.2915
2022-09-26,27.0907,27.34,27.0907,27.305,1078.0,29434.79
2022-09-27,27.02,27.1202,26.527,27.1202,3412.0,92534.1224
2022-09-28,26.0509,26.0509,26.0509,26.0509,44.0,1146.2396
2022-09-29,26.49,26.7492,26.49,26.7492,204.0,5456.8368
2022-09-30,26.19,26.9203,26.19,26.9203,743.0,20001.7829
2022-10-03,26.92,26.92,26.04,26.2791,556.0,14611.1796
2022-10-04,25.09,25.13,24.79,24.8072,3363.0,83426.61360000001
2022-10-05,25.16,25.16,24.9,24.9392,968.0,24141.1456
2022-10-06,24.75,25.25,24.75,25.0821,706.0,17707.9626
2022-10-07,25.73,26.4444,25.73,26.4444,1136.0,30040.8384
2022-10-10,26.37,26.9965,26.37,26.8064,3022.0,81008.9408
2022-10-11,27.09,27.175,26.88,27.1381,1022.0,27735.1382
2022-10-12,27.46,27.46,27.0405,27.0405,1296.0,35044.488000000005
2022-10-13,26.65,26.65,26.53,26.5759,1146.0,30455.9814
2022-10-14,26.24,27.6102,26.24,27.6102,573.0,15820.6446
2022-10-17,26.53,26.6544,26.53,26.6544,232.0,6183.8207999999995
2022-10-18,26.24,26.8487,25.92,26.8487,1394.0,37427.0878
2022-10-19,27.0,27.3847,27.0,27.3847,710.0,19443.137
2022-10-20,27.4696,27.4696,27.4696,27.4696,14.0,384.5744
2022-10-21,27.759,27.76,26.7748,26.7748,391.0,10468.9468
2022-10-24,26.8981,26.8981,26.4378,26.4378,603.0,15941.9934
2022-10-25,25.0017,25.0017,25.0017,25.0017,43.0,1075.0731
2022-10-26,24.1201,25.0203,24.1201,25.0203,3518.0,88021.4154
2022-10-27,25.5653,25.5653,25.5653,25.5653,0.0,0.0
2022-10-28,25.0805,25.0805,25.0805,25.0805,8.0,200.644
2022-10-31,25.7084,25.7084,25.7084,25.7084,2.0,51.4168
2022-11-01,26.54,26.6504,26.54,26.6504,113.0,3011.4952000000003
2022-11-02,26.69,27.66,26.08,27.66,1307.0,36151.62
2022-11-03,28.065,28.065,28.065,28.065,16.0,449.04
2022-11-04,27.46,27.46,27.3413,27.3413,254.0,6944.6902
2022-11-07,27.2647,27.2647,27.2647,27.2647,48.0,1308.7056
2022-11-08,28.4905,28.4905,28.4905,28.4905,32.0,911.696
2022-11-09,29.11,30.2164,29.11,30.2164,865.0,26137.186
2022-11-10,28.41,28.43,28.1401,28.1401,766.0,21555.3166
2022-11-11,28.44,28.44,27.5243,27.5243,729.0,20065.2147
2022-11-14,28.1122,28.1122,28.1122,28.1122,49.0,1377.4978
2022-11-15,27.26,27.7335,27.25,27.7335,1501.0,41627.9835
2022-11-16,28.04,28.62,28.04,28.5824,3009.0,86004.4416
2022-11-17,28.67,28.8757,28.67,28.8757,681.0,19664.3517
2022-11-18,29.2124,29.2124,29.2124,29.2124,3000.0,87637.2
2022-11-21,29.9287,29.9287,29.9287,29.9287,11.0,329.21569999999997
2022-11-22,29.68,29.68,29.4584,29.4584,445.0,13108.988
2022-11-23,29.32,29.32,28.8514,28.8514,650.0,18753.41
2022-11-25,28.8514,28.8514,28.8514,28.8514,80.0,2308.112
2022-11-28,29.2,29.4289,29.2,29.4289,558.0,16421.3262
2022-11-29,29.28,29.325,29.25,29.325,853.0,25014.225
2022-11-30,29.3296,29.35,28.3138,28.3138,449.0,12712.8962
2022-12-01,28.1749,28.1749,28.1749,28.1749,58.0,1634.1442
2022-12-02,28.1,28.1,27.9866,27.9866,3000.0,83959.8
2022-12-05,28.8867,28.8867,28.8867,28.8867,25.0,722.1675
2022-12-06,29.5591,29.5591,29.5591,29.5591,2.0,59.1182
2022-12-07,29.46,29.7,29.46,29.6837,495.0,14693.4315
2022-12-08,29.2643,29.2643,29.2643,29.2643,300.0,8779.289999999999
2022-12-09,29.22,29.6059,29.22,29.6059,1004.0,29724.3236
2022-12-12,29.7,29.7,29.3663,29.3663,202.0,5931.9926
2022-12-13,28.7025,29.3232,28.7025,29.2617,466.0,13635.9522
2022-12-14,28.93,29.25,28.93,29.1706,614.0,17910.7484
2022-12-15,30.27,30.3247,30.27,30.3247,201.0,6095.2647
2022-12-16,30.8274,30.8274,30.8274,30.8274,141.0,4346.6634
2022-12-19,31.4332,31.4332,31.4332,31.4332,331.0,10404.3892
2022-12-20,31.0574,31.28,31.03,31.28,450.0,14076.0
2022-12-21,34.41,34.41,31.95,31.95,1841.0,58819.95
2022-12-22,31.95,31.95,31.15,31.418,642.0,20170.356
2022-12-23,31.28,31.28,31.28,31.28,40.0,1251.2
2022-12-27,31.845,31.845,31.845,31.845,32.0,1019.04
2022-12-28,32.375,32.375,32.375,32.375,542.0,17547.25
2022-12-29,31.4657,31.4657,31.4266,31.4266,309.0,9710.8194
2022-12-30,31.498,31.78,31.3949,31.3949,808.0,25367.0792
2023-01-03,31.0,31.36,31.0,31.3562,518.0,16242.5116
2023-01-04,31.2,31.2,30.1888,30.1888,373.0,11260.4224
2023-01-05,30.64,31.039,30.64,30.9324,614.0,18992.4936
2023-01-06,30.64,30.64,30.313,30.313,495.0,15004.935
2023-01-09,29.3787,29.3787,29.3025,29.3025,1235.0,36188.5875
2023-01-10,28.4614,28.4614,28.4614,28.4614,111.0,3159.2154
2023-01-11,28.53,28.54,28.1757,28.1757,1603.0,45165.6471
2023-01-12,27.98,27.98,26.9406,26.9406,1145.0,30846.987
2023-01-13,27.12,27.12,26.6056,26.6056,551.0,14659.6856
2023-01-17,25.9,26.03,25.635,25.64,2950.0,75638.0
2023-01-18,25.48,26.7232,25.48,26.7232,1276.0,34098.803199999995
2023-01-19,26.5553,26.5553,26.5553,26.5553,45.0,1194.9885
2023-01-20,25.4931,25.4931,25.4931,25.4931,46.0,1172.6826
2023-01-23,24.7209,24.7209,24.7209,24.7209,38.0,939.3942
2023-01-24,25.0656,25.0656,25.0656,25.0656,400.0,10026.24
2023-01-25,25.0292,25.0292,25.0292,25.0292,3.0,75.0876
