timestamps,open,high,low,close,volume,amount
2021-05-28,114.36,114.64,114.36,114.4,5575688.0,637858707.2
2021-06-01,114.1934,114.32,114.0471,114.3,9498089.0,1085631572.7
2021-06-02,114.42,114.51,114.37,114.43,4269904.0,488605114.72
2021-06-03,114.33,114.33,114.09,114.14,3591204.0,409900024.56
2021-06-04,114.43,114.78,114.41,114.77,6326118.0,726048562.86
2021-06-07,114.63,114.72,114.6,114.68,3068480.0,351893286.40000004
2021-06-08,115.04,115.0699,114.96,115.01,4760524.0,547507865.24
2021-06-09,115.42,115.55,115.215,115.37,5679344.0,655225917.28
2021-06-10,115.12,115.79,115.07,115.78,6494799.0,751967828.22
2021-06-11,115.7,115.72,115.505,115.61,3914239.0,452525170.79
2021-06-14,115.49,115.5,115.195,115.25,3730876.0,429983459.0
2021-06-15,115.19,115.29,115.13,115.27,4196729.0,483756951.83
2021-06-16,115.32,115.38,114.31,114.48,13529115.0,1548813085.2
2021-06-17,114.66,115.26,114.58,114.89,8838138.0,1015413674.82
2021-06-18,115.04,115.58,114.81,115.54,13434961.0,1552275393.94
2021-06-21,115.26,115.35,115.075,115.17,6460007.0,743999006.19
2021-06-22,115.04,115.41,115.01,115.38,5459704.0,629940647.52
2021-06-23,115.25,115.37,115.095,115.15,5429843.0,625246421.45
2021-06-24,115.15,115.28,115.08,115.13,3631724.0,418120384.12
2021-06-25,115.21,115.245,114.69,114.89,6716861.0,771700160.29
2021-06-28,115.11,115.36,115.1,115.25,4968856.0,572660654.0
2021-06-29,115.1,115.32,115.09,115.31,3373184.0,388961847.04
2021-06-30,115.48,115.66,115.46,115.49,6572875.0,759101333.75
2021-07-01,115.38,115.45,115.17,115.33,11966217.0,1380063806.61
2021-07-02,115.47,115.75,115.44,115.75,5071881.0,587070225.75
2021-07-06,115.89,116.44,115.885,116.36,9095292.0,1058328177.12
2021-07-07,116.58,116.91,116.47,116.7,7456447.0,870167364.9
2021-07-08,116.915,117.19,116.82,117.0,7367979.0,862053543.0
