timestamps,open,high,low,close,volume,amount
2021-05-28,76.81,77.075,76.75,76.8,9286508.0,713203814.4
2021-06-01,77.41,77.44,76.99,77.06,7192896.0,554284565.76
2021-06-02,77.23,77.44,77.1,77.36,8008460.0,619534465.6
2021-06-03,76.93,77.02,76.69,76.93,6560134.0,504671108.62000006
2021-06-04,77.45,77.67,77.365,77.65,5571581.0,432633264.65
2021-06-07,77.8,77.9,77.675,77.88,6829457.0,531878111.16
2021-06-08,78.0,78.02,77.7,77.82,5793695.0,450865344.9
2021-06-09,77.8,77.845,77.55,77.59,7890429.0,612218386.11
2021-06-10,76.62,76.85,76.51,76.73,8150539.0,625390857.47
2021-06-11,76.82,76.95,76.61,76.93,5310340.0,408524456.2000001
2021-06-14,76.9,77.04,76.79,77.04,4387164.0,337987114.56
2021-06-15,77.07,77.0924,76.8833,77.075,5921754.0,456419189.55
2021-06-16,77.12,77.18,76.29,76.53,7077435.0,541636100.55
2021-06-17,76.03,76.17,75.5929,75.95,7124041.0,541070913.95
2021-06-18,74.66,74.82,74.33,74.43,9299765.0,692181508.95
2021-06-21,74.76,75.45,74.63,75.4,8243734.0,621577543.6
2021-06-22,75.19,75.6186,75.03,75.48,7918754.0,597707551.9200001
2021-06-23,75.36,75.42,74.875,75.0,5890662.0,441799650.0
2021-06-24,75.53,75.695,75.463,75.69,4535846.0,343318183.74
2021-06-25,75.88,75.9174,75.71,75.87,3773453.0,286291879.11
2021-06-28,75.61,75.67,75.29,75.42,9903503.0,746922196.26
2021-06-29,75.59,75.59,75.34,75.43,3514445.0,265094586.35
2021-06-30,74.79,75.035,74.575,74.86,8744518.0,654614617.48
2021-07-01,74.9,75.08,74.701,75.02,8095434.0,607319458.68
2021-07-02,75.1,75.39,74.92,75.38,5719810.0,431159277.7999999
2021-07-06,75.4,75.43,74.63,74.89,5973207.0,447333472.23
2021-07-07,75.22,75.38,74.87,75.27,7417110.0,558285869.6999999
2021-07-08,74.07,74.41,73.84,74.26,9737041.0,723072664.6600001
2021-07-09,75.03,75.61,74.99,75.6,7888155.0,596344518.0
2021-07-12,75.61,75.93,75.51,75.93,7055047.0,535689718.71
2021-07-13,75.63,75.77,75.3701,75.5,6008127.0,453613588.5
2021-07-14,75.79,75.81,75.54,75.68,5624274.0,425645056.32000005
2021-07-15,74.94,75.09,74.63,74.91,7913544.0,592803581.04
2021-07-16,74.91,74.93,74.23,74.35,15463536.0,1149713901.6
2021-07-19,73.21,73.29,72.605,72.98,16113592.0,1175969944.16
2021-07-20,72.84,73.65,72.715,73.53,13192864.0,970071289.92
2021-07-21,74.04,74.715,74.01,74.69,8313176.0,620911115.4399999
2021-07-22,75.0,75.02,74.56,74.76,5873083.0,439071685.08
2021-07-23,75.26,75.41,75.09,75.31,4492130.0,338302310.3
2021-07-26,75.17,75.43,75.15,75.41,8102577.0,611015331.5699999
2021-07-27,75.05,75.16,74.77,75.14,8409424.0,631884119.36
2021-07-28,75.18,75.6,75.03,75.47,7196437.0,543115100.39
2021-07-29,76.07,76.17,75.96,75.99,4369373.0,332028654.27
2021-07-30,75.73,75.88,75.4,75.55,6771030.0,511551316.5
