timestamps,open,high,low,close,volume,amount
2021-05-28,71.967,72.46,71.75,71.78,2694620.0,193419823.6
2021-06-01,72.254,72.254,70.832,71.354,4133150.0,294916785.1
2021-06-02,71.57,71.934,71.14,71.472,2112755.0,151002825.35999998
2021-06-03,70.748,71.036,70.108,70.594,3889040.0,274542889.76
2021-06-04,71.02,72.26,71.02,72.12,5813865.0,419295943.8
2021-06-07,72.132,72.739,71.8272,72.692,3189000.0,231814787.99999997
2021-06-08,73.216,73.59,72.556,72.858,6302910.0,459217416.78
2021-06-09,73.418,73.466,72.808,72.866,3764290.0,274288755.14
2021-06-10,72.654,74.212,72.654,74.146,4411810.0,327118064.26
2021-06-11,74.29,74.952,74.046,74.898,3649040.0,273305797.91999996
2021-06-14,75.0,75.8415,74.964,75.824,3949620.0,299475986.88
2021-06-15,75.75,75.75,74.59,74.762,3737900.0,279452879.8
2021-06-16,74.912,75.018,73.356,74.342,8287660.0,616121219.72
2021-06-17,73.846,75.884,73.846,75.628,8824495.0,667378907.86
2021-06-18,75.6,76.152,75.292,75.874,4493920.0,340971686.08
2021-06-21,75.566,76.37,74.824,76.166,5551520.0,422837072.32
2021-06-22,76.268,77.056,76.106,77.0,4210935.0,324241995.0
2021-06-23,77.078,77.364,76.676,77.0,2394825.0,184401525.0
2021-06-24,77.294,78.17,77.294,77.686,4023555.0,312573893.73
2021-06-25,77.642,77.89,77.142,77.722,5002970.0,388840834.34
2021-06-28,78.964,78.964,78.107,78.666,5391405.0,424120265.73
2021-06-29,78.854,79.102,78.322,79.026,3067845.0,242439518.97
2021-06-30,79.02,79.02,78.008,78.008,3696710.0,288372953.68
2021-07-01,78.132,78.446,77.498,78.054,3015845.0,235398765.63
2021-07-02,78.928,79.188,78.614,79.076,3196005.0,252727291.37999997
2021-07-06,79.28,80.188,79.144,79.92,4187115.0,334634230.8
2021-07-07,80.38,80.554,79.396,79.938,3036735.0,242750522.43
2021-07-08,78.428,79.588,78.17,79.21,2588950.0,205070729.49999997
2021-07-09,79.374,79.842,78.802,79.712,2007820.0,160047347.84
2021-07-12,80.212,80.418,79.0,79.14,4272435.0,338120505.9
2021-07-13,78.84,79.866,78.7942,79.098,3252485.0,257265058.53
2021-07-14,79.804,79.804,78.476,78.532,3751130.0,294583741.15999997
2021-07-15,78.468,78.53,77.194,77.576,4014830.0,311454452.08
2021-07-16,78.336,78.348,77.662,77.74,3824465.0,297313909.09999996
2021-07-19,77.036,77.584,76.664,77.374,5318710.0,411529867.54
2021-07-20,77.646,79.36,77.356,78.852,5037315.0,397202362.38
