timestamps,open,high,low,close,volume,amount
2021-05-28,435.5,442.0,433.82,439.09,1451377.0,637285126.93
2021-06-01,441.7,441.95,434.65,438.66,948038.0,415866349.08
2021-06-02,438.06,447.08,436.0129,445.44,1321057.0,588451630.08
2021-06-03,439.5,451.93,438.0,450.56,1490108.0,671383060.48
2021-06-04,454.98,463.62,454.01,461.93,1400708.0,647029046.44
2021-06-07,459.56,461.83,454.8,457.21,868104.0,396905829.84
2021-06-08,461.16,466.0,458.82,465.26,1516447.0,705542131.22
2021-06-09,466.12,470.61,465.42,468.33,899811.0,421408485.63
2021-06-10,467.32,473.71,466.24,471.33,1149788.0,541929578.04
2021-06-11,470.3,474.62,468.69,472.16,1471072.0,694581355.52
2021-06-14,472.33,476.99,469.87,476.97,961544.0,458627641.68
2021-06-15,478.19,478.19,468.85,470.71,1359586.0,639970726.06
2021-06-16,469.2,473.72,464.72,469.34,1230276.0,577417737.8399999
2021-06-17,468.88,476.49,467.31,474.73,1442703.0,684894395.19
2021-06-18,477.08,478.49,472.34,473.4,1571185.0,743798979.0
2021-06-21,477.18,481.12,472.0,477.9,1073572.0,513060058.7999999
2021-06-22,477.31,479.74,475.12,477.56,1480629.0,707089185.24
2021-06-23,477.56,482.2,477.56,478.59,1218772.0,583292091.48
2021-06-24,482.0,486.25,480.3,482.62,1088492.0,525328009.04
2021-06-25,480.99,490.19,477.0,486.09,1494488.0,726455671.92
2021-06-28,486.86,491.39,485.635,486.99,934526.0,455104816.74
2021-06-29,485.62,491.66,484.46,491.4,718400.0,353021760.0
2021-06-30,490.63,492.6,487.4675,490.17,955109.0,468165778.53
2021-07-01,493.68,493.68,487.23,491.05,905571.0,444680639.55
2021-07-02,494.86,500.83,494.585,497.64,1072679.0,533807977.56
2021-07-06,501.86,502.69,498.225,500.97,1181275.0,591783336.75
2021-07-07,505.53,508.63,503.12,506.09,928985.0,470150018.65
2021-07-08,501.25,506.89,497.08,506.09,989486.0,500768969.7399999
2021-07-09,502.9448,505.59,495.74,503.93,1269391.0,639684206.63
2021-07-12,506.75,507.7,503.0,505.1,922293.0,465850194.3
2021-07-13,504.9,509.97,503.63,506.69,1002925.0,508172068.25
2021-07-14,509.46,511.69,504.5858,505.56,1453635.0,734899710.6
2021-07-15,505.97,506.375,500.38,503.17,1101414.0,554198482.38
2021-07-16,504.64,505.0,500.85,501.51,727878.0,365038095.78
2021-07-19,498.84,502.48,496.0,498.78,1320265.0,658521776.6999999
2021-07-20,500.06,512.67,499.01,508.56,1273340.0,647569790.4
2021-07-21,506.71,514.585,503.08,514.45,1118901.0,575618619.45
2021-07-22,516.11,522.09,514.1,521.31,917690.0,478400973.9
2021-07-23,524.92,532.33,522.02,528.43,974481.0,514944994.8299999
2021-07-26,528.15,530.23,523.13,529.31,720516.0,381376323.96
2021-07-27,528.02,530.52,516.44,522.91,983295.0,514174788.45
2021-07-28,524.59,527.23,520.93,523.1,694711.0,363403324.1
2021-07-29,521.21,529.44,521.21,525.51,627457.0,329734928.07
2021-07-30,525.2,530.86,525.02,529.97,905258.0,479759582.2600001
2021-08-02,532.11,534.77,525.37,527.51,844555.0,445511208.05
2021-08-03,528.89,532.11,524.26,530.18,870968.0,461769814.2399999
2021-08-04,530.83,537.17,528.44,536.06,709090.0,380114785.4
2021-08-05,536.74,540.63,534.54,538.01,896958.0,482572373.58
2021-08-06,534.81,537.88,530.01,534.29,1040249.0,555794638.2099999
2021-08-09,534.17,537.24,531.87,535.23,733126.0,392391028.98
2021-08-10,538.23,539.99,528.71,530.13,855955.0,453767424.15
2021-08-11,529.39,533.04,526.62,532.23,765098.0,407208108.54
2021-08-12,532.29,538.14,530.23,536.92,521221.0,279853979.32
2021-08-13,536.36,541.205,534.51,540.74,541187.0,292641458.38
2021-08-16,540.45,542.96,535.87,542.94,785257.0,426347435.58
2021-08-17,542.11,542.11,534.14,535.86,1079151.0,578273854.86
2021-08-18,535.075,539.59,532.11,532.98,723960.0,385856200.8
2021-08-19,528.59,547.9,527.83,543.44,1495328.0,812621048.32
2021-08-20,547.58,549.68,542.97,545.3,1243372.0,678010751.5999999
2021-08-23,548.85,553.8,548.2,552.49,1368695.0,756190300.5500001
2021-08-24,554.0,555.03,548.83,554.02,1661268.0,920375697.36
2021-08-25,577.31,582.96,551.01,555.61,2237826.0,1243358503.86
2021-08-26,547.6837,556.61,546.1694,552.64,1557011.0,860466559.04
2021-08-27,554.63,566.25,553.67,565.94,1414248.0,800379513.1200001
2021-08-30,567.14,568.31,563.539,565.57,893865.0,505543228.0500001
2021-08-31,567.11,567.11,563.25,566.11,1231171.0,696978214.8100001
2021-09-01,567.3,567.78,562.67,563.13,1259555.0,709293207.15
2021-09-02,563.7,565.285,555.6443,559.79,1086273.0,608084762.67
2021-09-03,559.5,566.74,558.0419,563.25,762599.0,429533886.75
2021-09-07,563.75,563.75,555.51,560.47,888368.0,497903612.96
2021-09-08,559.5,568.48,558.17,567.59,918160.0,521138434.4
2021-09-09,568.53,572.86,566.585,567.75,775329.0,440193039.75
2021-09-10,571.41,573.0,567.035,567.38,1078994.0,612199615.72
2021-09-13,570.19,571.47,551.2577,557.42,1203991.0,671128663.2199999
2021-09-14,565.95,571.2025,563.02,568.27,1198426.0,681029543.02
2021-09-15,570.0,572.3746,564.595,572.11,1037617.0,593631061.87
2021-09-16,570.91,574.72,567.94,572.88,1000007.0,572884010.16
2021-09-17,572.84,572.84,560.67,561.85,1860851.0,1045519134.35
2021-09-20,553.01,560.21,547.51,554.4,1300042.0,720743284.8
2021-09-21,559.74,559.87,553.51,555.25,758148.0,420961677.0
2021-09-22,560.6,565.0,553.64,562.8,911270.0,512862755.99999994
2021-09-23,566.18,578.31,565.08,577.37,1235097.0,713107954.89
2021-09-24,573.39,579.17,570.34,577.92,1168689.0,675408746.88
2021-09-27,572.85,573.83,561.3,567.01,1279118.0,725272697.18
2021-09-28,560.44,562.78,544.48,545.01,1647661.0,897991721.61
2021-09-29,548.88,553.15,545.04,546.93,994873.0,544125889.89
2021-09-30,549.39,554.49,539.21,539.51,1567660.0,845768246.6
2021-10-01,541.24,546.05,533.28,543.97,1439951.0,783290145.47
2021-10-04,539.69,541.525,519.0,525.35,1456264.0,765048292.4
2021-10-05,529.06,536.93,526.4,533.35,958298.0,511108238.3
2021-10-06,526.42,537.93,526.01,534.61,977795.0,522738984.95
2021-10-07,538.17,544.75,537.08,537.73,955575.0,513841344.75
2021-10-08,539.06,541.39,529.44,531.12,947017.0,502979669.04
2021-10-11,528.75,533.46,525.04,525.41,1025263.0,538683432.8299999
2021-10-12,527.02,533.4,524.14,527.05,873062.0,460147327.1
2021-10-13,534.25,539.64,532.245,534.94,866603.0,463580608.82000005
2021-10-14,543.35,549.92,542.0,543.78,1068922.0,581258405.16
2021-10-15,545.0,553.28,543.2701,552.16,1602664.0,884926954.2399999
2021-10-18,552.76,564.81,548.27,564.56,1321811.0,746241618.16
2021-10-19,568.15,573.13,563.96,572.8,977970.0,560181216.0
2021-10-20,574.34,575.68,568.91,570.53,836310.0,477139944.2999999
2021-10-21,570.0,578.93,565.305,578.35,729580.0,421952593.0
2021-10-22,580.9,591.63,580.0,590.8,991808.0,585960166.4
2021-10-25,590.8,604.23,589.75,602.56,1104581.0,665576327.3599999
2021-10-26,605.58,613.36,602.46,608.61,1418597.0,863372320.1700001
2021-10-27,609.22,617.32,606.9,613.13,1457715.0,893768797.95
2021-10-28,613.15,620.41,605.82,615.41,1066795.0,656516310.9499999
2021-10-29,613.36,626.6,610.88,625.99,1018244.0,637410561.5600001
2021-11-01,628.53,629.98,607.31,608.81,1246644.0,758969333.64
2021-11-02,612.09,625.655,610.5,618.39,1024542.0,633566527.38
2021-11-03,619.91,625.66,609.26,622.87,1093905.0,681360607.35
2021-11-04,621.28,631.56,620.3129,625.68,1267235.0,792883594.8
2021-11-05,628.19,629.31,612.79,614.99,1428213.0,878336712.87
2021-11-08,619.01,619.49,608.21,615.25,1222768.0,752308012.0
2021-11-09,615.95,618.13,611.22,612.78,1205081.0,738449535.18
2021-11-10,611.39,617.99,603.56,603.98,1197320.0,723157333.6
2021-11-11,607.25,610.595,605.91,606.87,684294.0,415277499.78
2021-11-12,610.93,628.38,610.93,626.99,1182582.0,741467088.1800001
2021-11-15,628.19,632.9499,622.55,626.14,1402451.0,878130669.14
2021-11-16,626.16,646.48,625.95,645.76,1331737.0,859982485.12
2021-11-17,643.58,644.55,629.84,635.06,1321893.0,839481368.5799999
2021-11-18,636.52,636.72,626.435,628.94,1328849.0,835766290.0600001
2021-11-19,715.87,716.86,681.46,692.34,3616570.0,2503896073.8
2021-11-22,691.96,693.51,660.81,661.63,2177106.0,1440438642.78
2021-11-23,652.75,672.14,648.8,670.63,2112651.0,1416807140.13
2021-11-24,661.5,684.65,659.676,684.0,1715066.0,1173105144.0
2021-11-26,684.0,691.05,663.71,666.91,1279285.0,853167959.3499999
2021-11-29,674.33,697.27,674.33,694.66,2009260.0,1395752551.6
2021-11-30,668.95,681.565,652.0,652.3,4185985.0,2730518015.5
2021-12-01,667.9,674.95,657.6,663.89,5184989.0,3442262347.21
2021-12-02,660.2,677.81,660.2,672.12,1962020.0,1318712882.4
2021-12-03,671.43,673.45,634.98,647.96,2277214.0,1475543583.44
2021-12-06,649.99,652.06,639.53,645.34,1686968.0,1088667929.12
2021-12-07,654.218,674.45,653.96,673.3,1615384.0,1087638047.1999998
2021-12-08,673.17,676.2,666.78,673.06,1332797.0,897052348.8199999
2021-12-09,674.03,680.25,662.71,665.51,1180179.0,785420926.29
2021-12-10,670.31,678.23,666.89,677.95,1276680.0,865525206.0
2021-12-13,678.0,684.0699,668.4,668.74,1430834.0,956855929.16
2021-12-14,655.64,657.04,626.8507,639.48,1865970.0,1193250495.6
2021-12-15,645.21,648.74,625.25,647.49,2555034.0,1654358964.66
2021-12-16,649.0,649.99,624.81,633.96,1954679.0,1239188298.8400002
2021-12-17,621.4,631.74,612.19,620.27,4336031.0,2689509948.37
2021-12-20,609.1,614.33,599.27,604.63,2236746.0,1352403733.98
2021-12-21,610.54,623.1,601.05,621.07,1875795.0,1165000000.65
2021-12-22,620.96,632.42,616.72,631.66,1014630.0,640901185.8
2021-12-23,631.66,638.81,630.75,635.71,759830.0,483031529.3
2021-12-27,639.09,653.65,638.0,652.77,1068771.0,697661645.67
2021-12-28,657.86,658.835,647.4,649.78,955871.0,621105858.38
2021-12-29,649.09,650.77,642.08,648.03,651261.0,422036665.83
2021-12-30,648.0363,650.7,642.45,643.36,776362.0,499480256.32
2021-12-31,644.33,647.35,638.72,643.22,821517.0,528416164.74
2022-01-03,640.03,645.61,621.28,631.47,1360704.0,859243754.88
2022-01-04,631.47,631.47,606.13,618.32,1998921.0,1235972832.72
2022-01-05,609.43,614.69,593.175,593.7,2296013.0,1363142918.1
2022-01-06,586.8,595.845,580.21,586.39,1789057.0,1049085134.23
2022-01-07,586.44,588.99,563.77,567.56,2275300.0,1291369267.9999998
2022-01-10,553.52,570.89,543.855,570.19,2947743.0,1680773581.17
2022-01-11,566.2,579.61,558.52,578.72,1696464.0,981777646.08
2022-01-12,584.8064,589.57,575.8,577.26,1433704.0,827619971.04
2022-01-13,580.89,582.53,551.7,552.92,1633371.0,903123493.32
2022-01-14,551.33,557.34,543.4,550.79,1722603.0,948792506.37
2022-01-18,539.32,548.895,536.105,537.82,1888288.0,1015559052.16
2022-01-19,542.11,558.5699,540.81,545.35,1904687.0,1038721055.45
2022-01-20,552.1,566.48,543.77,544.62,1923993.0,1047845067.66
2022-01-21,546.99,552.76,527.82,528.55,2574858.0,1360941195.9
2022-01-24,526.0,535.73,500.36,534.68,2850271.0,1523982898.28
2022-01-25,516.91,528.85,509.02,515.99,2418222.0,1247778369.78
2022-01-26,532.04,536.85,499.75,507.48,2503085.0,1270265575.8
2022-01-27,516.4146,525.995,513.2901,517.22,2486193.0,1285908743.46
2022-01-28,520.16,536.23,506.17,534.82,1760655.0,941633507.1
