timestamps,open,high,low,close,volume,amount
2021-10-01,10.6,10.6,8.33,9.2,6513331.0,59922645.2
2021-10-04,9.4,9.5,7.5,7.51,7298630.0,54812711.3
2021-10-05,7.71,8.08,7.51,7.73,3638662.0,28126857.26
2021-10-06,7.8,7.98,7.07,7.25,3871745.0,28070151.25
2021-10-07,7.39,7.86,7.1,7.63,2684110.0,20479759.3
2021-10-08,7.86,8.48,7.79,8.41,3991110.0,33565235.1
2021-10-11,8.77,9.4,8.39,8.44,3385679.0,28575130.76
2021-10-12,8.7,8.927,8.42,8.53,1668544.0,14232680.319999998
2021-10-13,8.62,9.245,8.61,9.24,2729137.0,25217225.88
2021-10-14,9.82,10.3597,9.68,9.82,4455434.0,43752361.88
2021-10-15,10.31,10.5,9.9,10.05,4353544.0,43753117.2
2021-10-18,10.05,10.8,10.03,10.69,2826961.0,30220213.09
2021-10-19,11.14,11.87,10.73,10.91,5952938.0,64946553.58
2021-10-20,11.15,11.5,10.03,10.44,4248300.0,44352252.0
2021-10-21,10.27,10.85,10.08,10.18,1729646.0,17607796.28
2021-10-22,10.19,10.29,9.38,9.66,2485300.0,24007998.0
2021-10-25,9.6,10.87,9.51,10.28,7722671.0,79389057.88
2021-10-26,10.45,11.45,10.32,10.52,4744584.0,49913023.68
2021-10-27,10.45,12.85,10.45,12.28,7887107.0,96853673.96
2021-10-28,12.49,14.08,11.84,13.63,7731027.0,105373898.01
2021-10-29,14.26,16.0294,13.85,15.04,12903145.0,194063300.8
2021-11-01,15.87,17.22,14.66,15.66,9342958.0,146310722.28
2021-11-02,15.96,16.0994,14.21,15.0,4109154.0,61637310.0
2021-11-03,15.53,15.99,14.75,15.35,3012949.0,46248767.15
2021-11-04,15.87,16.88,15.77,16.43,4775577.0,78462730.11
2021-11-05,17.26,19.39,17.2,19.27,12845705.0,247536735.35
2021-11-08,21.45,21.64,19.6,21.35,10373304.0,221470040.4
2021-11-09,22.79,23.14,20.115,22.53,11675325.0,263045072.25
2021-11-10,20.45,21.89,17.0173,18.23,12954690.0,236163998.7
2021-11-11,19.94,20.3,18.26,19.25,6232997.0,119985192.25
