timestamps,open,high,low,close,volume,amount
2021-05-28,279.6633,284.7733,279.6633,280.7267,1575882.0,442392153.4494
2021-06-01,284.2567,284.2567,276.25,278.68,1493682.0,416259299.76
2021-06-02,278.74,279.3,272.9767,273.8467,1195950.0,327506960.865
2021-06-03,270.9633,274.9467,270.37,272.2167,1261461.0,343390750.5987
2021-06-04,273.8533,278.5967,273.71,277.15,1374498.0,380942120.7
2021-06-07,278.3867,281.0633,276.27,277.04,1088871.0,301660821.84000003
2021-06-08,278.45,280.38,275.3967,277.89,1242825.0,345368639.25
2021-06-09,278.76,281.3232,278.25,280.08,1085088.0,303911447.03999996
2021-06-10,281.0233,286.5433,280.38,286.38,1189263.0,340581137.94
2021-06-11,286.6667,288.1,285.1233,288.09,1335516.0,384748804.43999994
2021-06-14,287.43,291.1367,286.5467,290.93,1264149.0,367778868.57
2021-06-15,291.6667,291.7817,289.8867,290.7867,1311381.0,381332153.4327
2021-06-16,291.4533,293.8733,288.3333,290.4733,1344558.0,390558199.3014
2021-06-17,289.7467,297.09,288.7941,295.0033,1567320.0,462364572.156
2021-06-18,293.51,295.3333,291.8667,292.9533,2403579.0,704136399.8607
2021-06-21,294.9533,300.3167,291.86,298.0,1424001.0,424352298.0
2021-06-22,298.4233,301.0,295.6917,300.6533,1349685.0,405787249.2105
2021-06-23,300.0,303.785,299.73,301.8067,1292415.0,390059506.1805
2021-06-24,304.43,304.57,300.12,301.5233,1023033.0,308468286.1689
2021-06-25,301.6667,304.0617,301.2167,302.7833,1303404.0,394648964.3532
2021-06-28,303.26,304.85,301.5,304.1367,1245492.0,378799826.7564001
2021-06-29,305.0,308.68,303.66,306.9067,1241304.0,380964514.3368
2021-06-30,306.6833,308.3333,304.0067,306.5467,1619391.0,496418967.0596999
2021-07-01,305.8433,309.3333,305.4967,309.1533,1093602.0,338090667.1866
2021-07-02,310.2933,313.1567,309.77,312.72,1015587.0,317594366.64000005
2021-07-06,314.1833,316.43,309.1567,316.0133,1726257.0,545520171.2181001
2021-07-07,318.0033,320.29,316.2283,318.23,1492857.0,475071883.11
2021-07-08,313.7467,317.9367,312.1067,317.29,1366020.0,433424485.8
2021-07-09,317.29,318.3967,312.72,316.9267,1023996.0,324531673.09319997
2021-07-12,317.4467,320.2233,315.5067,319.6833,1031124.0,329633123.02919996
2021-07-13,320.7733,321.6833,318.2839,318.75,856512.0,273013200.0
2021-07-14,321.52,321.6517,317.3921,318.36,958296.0,305083114.56
2021-07-15,317.69,319.6433,315.8517,317.8867,1383852.0,439908145.5684
2021-07-16,318.5467,319.6367,316.4467,316.7033,1055259.0,334204007.65470004
2021-07-19,314.6667,314.6667,308.8267,310.73,2106285.0,654485938.0500001
2021-07-20,311.65,321.9933,309.6433,318.35,2732631.0,869933078.85
2021-07-21,328.3333,329.09,308.84,314.98,2541090.0,800392528.2
2021-07-22,317.07,325.3067,315.44,324.63,1954455.0,634474726.65
2021-07-23,323.88,326.13,320.84,325.4867,1317837.0,428938416.2679
2021-07-26,323.2767,324.67,318.0833,322.0333,1604451.0,516686650.2183
2021-07-27,322.5433,325.0333,320.0733,325.0267,1072971.0,348744223.3257
2021-07-28,325.0267,326.6667,322.981,324.1667,959454.0,311023036.9818
2021-07-29,324.3333,327.71,323.47,327.1633,949233.0,310554200.7489
2021-07-30,326.37,331.6967,325.7067,330.4867,1238934.0,409451209.1778
2021-08-02,331.9967,332.89,328.6767,330.85,934920.0,309318282.0
2021-08-03,331.6767,333.6667,329.68,333.2033,976902.0,325506970.17660004
2021-08-04,333.3333,334.0,329.9117,330.2933,1285404.0,424560328.9932
2021-08-05,337.3333,341.3333,332.8933,339.7,1672050.0,567995385.0
2021-08-06,340.0,343.4941,335.7467,343.34,1489266.0,511324588.43999994
2021-08-09,344.3633,345.35,341.9333,344.0,1086195.0,373651080.0
2021-08-10,344.63,345.0333,331.4683,331.8733,1800999.0,597703481.4267
2021-08-11,333.17,335.6733,328.89,331.8833,1326363.0,440197729.4379
2021-08-12,332.92,337.0367,332.16,333.3333,1577292.0,525763947.4236
2021-08-13,333.8967,335.1667,332.1333,334.3467,1465287.0,489913873.0029
2021-08-16,334.7367,339.6867,333.1633,339.4133,1147923.0,389620333.5759
2021-08-17,338.64,346.6667,337.2034,345.0,1512486.0,521807670.0
2021-08-18,344.4767,349.6667,344.3433,346.46,1252887.0,434075230.02
2021-08-19,345.94,352.9766,344.2367,351.88,1460046.0,513760986.48
2021-08-20,352.1203,353.9432,346.97,347.94,1842030.0,640915918.2
2021-08-23,350.5733,353.2683,344.7775,348.6733,1510836.0,526788173.8788
2021-08-24,350.0,352.97,346.5773,348.8967,1421781.0,496054699.0227
2021-08-25,348.9,350.0,346.35,347.9867,1324866.0,461035747.2822
2021-08-26,349.3733,350.02,345.3,347.4167,1405356.0,488244143.8452
2021-08-27,348.5133,350.05,344.67,345.5067,1374618.0,474939728.9406
2021-08-30,347.0567,353.3167,347.0567,352.97,889869.0,314097060.93
2021-08-31,353.0433,353.9233,347.9233,351.1867,1376976.0,483575657.41919994
2021-09-01,351.6667,354.7883,349.1767,354.2367,1046637.0,370757236.9779
2021-09-02,355.6,359.0267,355.1633,357.1767,1211598.0,432754575.3666
